NAME;LUN;NAME_TYPE;IAU_TYPE;TYPE;SUBTYPE;PROCESS;PERIOD;PERIOD_SOURCE;GEOLOGY;NAME_DETAIL;NAME_ORIGIN;IAU_APPROVAL;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURY_N;CENTURY_C;BIRTH_PLACE;BIRTH_DATE;DEATH_PLACE;DEATH_DATE;FACTS;LONGI_N;LONGI_N_360;LONGI_C;LATI_N;LATI_C;FACE;QUADRANT;AREA;LENGTH_KM;WIDE_KM;LENGTH_ARCSEC;HEIGHT_M;RAPPORT;GENERAL_1;GENERAL_2;SLOPES;WALLS;FLOOR;INTEREST_N;INTEREST_C;LUNATION;MOONDAY_S;MOONDAY_M;DIAM_INST;TH_INSTRU;PR_INSTRU;
8 HOMEWARD;AA120200S970900;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Formation period not found;Period source not found;No details;8 Homeward;IAU 2018;05/10/2018 00:00:00;Not known;Not known;Not known;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;97.09;97.09;97 ° 5 ' East;-12.02;12 ° 1 ' South;Librations zone;South-East;South of Mare Smythii;12.52;12.52;6.2;Unknown height.;Unknown height. Impossible calculation.;Crater visible on the iconic color picture taken by W. A. Anders onboard Apollo 8 mission on the December 24th 1968. Symbolise Apollo 8 return to Earth. Previously named Ganskiy or Hansky M.;;Not described in this VMA version.;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable;
ABBE;AA575755S1747750;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Nectarian (From -3.92 billions years to -3.85 billions years);Byrne / Personal communication / 2008;No details;Ernst K. Abbe;IAU 1970 ?;01/01/1970 00:00:00;Not known;Not known;Not known;physicist;Germany;German;19;19 th century;Eisenach;1840;Iena;1905;Director of Iena observatory. Author of a classical theory of microscopes in 1877 and of sinuses relations. Associated with Carl Zeiss. Conceiver of a refractometer and of the first apochromatic objectives and of orthoscopic eyepieces.;174.774969;174.774969;174 ° 46 ' East;-57.575482;57.575° South;Farside;South-East;Not determined;66;66;31.9;3650;0.057052617999224;Not observable;;Not described in this VMA version.;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable;
ABBOT;AA55562N547431;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Imbrian (From -3.85 billions years to -3.2 billions years) ?;Period source not found;No details;Charles Greeley Abbot (ex Apollonius K);?;01/01/1973 00:00:00;Not named;Not named;Not named;Astrophysicist;U. S. A.;American;20;20 th century;Wilton;1872;Washington;1973;Director of the observatory of the Smithsonian Institution. Determination of the value of the solar constant and the distribution of energy in the solar spectrum.;54.743059;54.743059;54 ° 45 ' East;5.556162;5.556° North;Nearside;North-East;North edge of Mare Fecunditatis;10;10;5.2;2086;0.200644105105784;Circular formation isolated with bowl shape.;;Fairly steep slopes.;Slightly high walls.;Rounded floor.;1;Low interest or difficult formation;3;3 days after New Moon;2 days after Full Moon;50;50 mm refractor;100 mm refractor;
ABEL;AA346257S857762;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Pre-Nectarian (From -4.55 billions years to -3.92 billions years);Wilhelms / 1987 / Geological history of the Moon table;No details;Niels Henrik Abel;Franz (1913);01/01/1964 00:00:00;Not named;Not named;Not named;Mathematician;Norway;Norwegian;19;19 th century;Finnoy Island;1802;Arendal;1829;Specialist of the theory of elliptic integrals and works on the so called abelian integrals.;85.776219;85.776219;85 ° 47 ' East;-34.6257;34.626° South;Librations zone;South-East;Moon South-East limb;114;114;68.6;4593;0.033447084140138;Circular formation situated in the zone of librations.;;Slightly steep slopes bearing Abel L to the West Barnard and Abel A to the North.;Slightly high walls almost gobbled to the East in the Mare Australe lava.;Flat floor filled with lava supporting a ghost crater to the North-east.;2;Pretty interesting formation;2;2 days after New Moon;1 day after Full Moon;5;Naked eye;10x binoculars;
ABENEZRA;AA209936S118907;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Upper Imbrian (From -3.8 billions years to -3.2 billions years);Wilhelms / 1987 / Geological history of the Moon table;No details;Abraham Bar Rabbi ben Ezra;Riccioli (1651);01/01/1935 00:00:00;Schirley;Not named;Abenezra;Philosopher and astronomer;Spain;Spanish;12;12 th century;?;1092;?;1167;?;11.890657;11.890657;11 ° 53 ' East;-20.993564;20.994° South;Nearside;South-East;East of Catharina crater region;41;42;21.5;3243;0.075087498976741;Circular formation with hexagon shape composing a remarkable gathering with Azophi and Abenezra C;;Fairly steep slopes crushing Abenezra C to the West and bearing Azophi to the South-West.;Walls in high terraces.;Tormented floor.  Circular crest lines. Hills.;4;Exceptional formation;6;6 days after New Moon;5 days after Full Moon;30;10x binoculars;50 mm refractor;
ABETTI;AA201127N278157;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Imbrian (From -3.85 billions years to -3.2 billions years) ?;Period source not found;No details;Antonio Abetti;?;01/01/1976 00:00:00;Not named;Not named;Not named;Astronomer;Italy;Italian;19;19 th century;?;1846;?;1928;?;27.815724;27.815724;27 ° 49 ' East;20.112727;20.113° North;Nearside;North-East;South-East part of Mare Serenitatis;17;17;0.8;315;0.196923375362373;Ghost circular formation.;;Almost flat slopes.;Very flat walls.;Flat floor filled with the lava of Mare Serenitatis.;2;Pretty interesting formation;5;5 days after New Moon;4 days after Full Moon;50;50 mm refractor;100 mm refractor;
ABUL WAFA;AA9626N1166306;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Formation period not found;Period source not found;No details;Abu al-Wafa al-Buzadjani;IAU 1985 ?;01/01/1970 00:00:00;Not known;Not known;Not known;mathematician;Iran;Iranian;10;10 th century;Buzadjan;940;Bagdad;997;Author of an arithmetrical treaty and of a precise method for sinuses calculations. ;116.630644;116.630644;116 ° 38 ' East;0.962556;0.963° North;Farside;North-East;Not determined;55;55;0;Unknown height.;Unknown height. Impossible calculation.;Not observable;;Not described in this VMA version.;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable;
ABULFEDA;AA138651S139103;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Nectarian (From -3.92 billions years to -3.85 billions years);Wilhelms / 1987 / Geological history of the Moon table;No details;Isma'il Abu al-Fida;Riccioli (1651);01/01/1935 00:00:00;Derkenni;Not named;Abulfeda;Historian;Araby;Arabian;14;14 th century;Damas;1273;Hamah;1331;"Prince of the dynasty of Ayyubides. Author of  the ""History"" that follows Ibn al-Athir work";13.910298;13.910298;13 ° 55 ' East;-13.865087;13.865° South;Nearside;South-East;East of Ptolemaeus crater region;63;62;31.1;3619;0.058169407175781;Damaged circular formation.;Partly covered by imbrian ejecta. Typical ;Steep slopes bearing many craterlets whose Abulfeda R to the North-West and Abulfeda S and W to the North.;Very high walls in terraces overlapped by Catena Abulfeda to the South and by Abulfeda U & Y to the North.;Extensive flat floor filled with lava.  White stpot off center and hills.  Craterlets to the North-East and to the South-West.;3;Very interesting formation;6;6 days after New Moon;5 days after Full Moon;30;10x binoculars;50 mm refractor;
ACOSTA;AA56453S601395;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Copernician (From -1.1 billions years to present days) ?;Period source not found;No details;Cristobal Acosta (ex Langrenus C);?;01/01/1976 00:00:00;Not named;Not named;Not named;Doctor and historian;Portugal;Portugese;16;16 th century;?;1515;?;1580;?;60.139473;60.139473;60 ° 8 ' East;-5.645305;5.645° South;Nearside;South-East;Moon East limb;13;13;6.5;2626;0.201101589438419;Circular formation with bowl shape situated on the North slope of Langrenus;;Fairly steep slopes.;Fairly high walls.;Rounded floor.;2;Pretty interesting formation;3;3 days after New Moon;2 days after Full Moon;50;50 mm refractor;100 mm refractor;
ADAMS;AA318916S683869;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Nectarian (From -3.92 billions years to -3.85 billions years);Wilhelms / 1987 / Geological history of the Moon table;No details;John Couch Adams;Birt / Lee (1865);01/01/1970 00:00:00;Not named;Not named;Not named;Astronomer;Great Britain;British;19;19 th century;Laneast;1819;Cambridge;1892;Has demonstrated the existence and indicated the position of Neptune independently of Le Verrier but his works have not been published by the Royal Observatory.;68.386902;68.386902;68 ° 23 ' East;-31.891634;31.892° South;Nearside;South-East;Moon South-East limb;66;66;31.6;3637;0.05749938669167;Isolated circular formation;;Fairly steep slopes bearing Adams B to the West and Adams D to the East.;Fairly high walls in terraces overlapped by two craterlets to the North and a crater to the South.;Flat floor with craterlets whose a central.;3;Very interesting formation;2;2 days after New Moon;1 day after Full Moon;30;10x binoculars;50 mm refractor;
