NAME;LUN;NAME_TYPE;IAU_TYPE;TYPE;SUBTYPE;PROCESS;PERIOD;PERIOD_SOURCE;GEOLOGY;NAME_DETAIL;NAME_ORIGIN;IAU_APPROVAL;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURY_N;CENTURY_C;BIRTH_PLACE;BIRTH_DATE;DEATH_PLACE;DEATH_DATE;FACTS;LONGI_N;LONGI_N_360;LONGI_C;LATI_N;LATI_C;FACE;QUADRANT;AREA;LENGTH_KM;WIDE_KM;LENGTH_ARCSEC;HEIGHT_M;RAPPORT;GENERAL_1;GENERAL_2;SLOPES;WALLS;FLOOR;INTEREST_N;INTEREST_C;LUNATION;MOONDAY_S;MOONDAY_M;DIAM_INST;TH_INSTRU;PR_INSTRU
8 HOMEWARD;AA120200S970900;Formation nommée par l'UAI;AA;Cratère;Non déterminé;Impact météoritique;Période de formation non trouvée;Source de la période de formation non trouvée;Pas de données;8 Homeward;UAI 2018;05/10/2018 00:00:00;Non nommé;Non nommé;Non nommé;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;97.09;97.09;97 ° 5 ' Est;-12.02;12 ° 1 ' Sud;Zone des librations;Sud-Est;Sud de Mare Smythii;12.52;12.52;6.2;Hauteur non connue;Hauteur inconnue. Calcul impossible.;Cratère visible dans l'iconique photographie en couleur prise à bord d'Apollo 8 par W. A. Anders le 24 Décembre 1968. Symbolise le retour sur Terre d'Apollo 8. Le cratère était désigné avant par Ganskiy (Hansky) M.;;Non décrit dans cette version AVL;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
ABBE;AA575755S1747750;Formation nommée par l'UAI;AA;Cratère;Non déterminé;Impact météoritique;Nectarien (De -3.92 milliards d'années à -3.85 milliards d'années);Byrne communication personnelle / 2008;Pas de données;Ernst K. Abbe;IAU 1970 ?;01/01/1970 00:00:00;Non nommé;Non nommé;Non nommé;Physicien;Allemagne;allemand;19;19 ème siècle;Eisenach;1840;Iéna;1905;Directeur de l'observatoire d'Iéna. Auteur de la théorie classique du microscope en 1877 et de la relation des sinus. Associé avec Carl Zeiss. Inventeur d'un réfractomètre et des premiers objectifs apochromatiques et oculaires orthoscopiques.;174.774969;174.774969;174 ° 46 ' Est;-57.575482;57 ° 35 ' Sud;Face cachée;Sud-Est;Non déterminée;66;66;31.9;3650;0.057052617999224;Non observable;;Non décrit dans cette version AVL;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
ABBOT;AA55562N547431;Formation nommée par l'UAI;AA;Cratère;Non déterminé;Impact météoritique;Imbrien (De -3.85 milliards d'années à -3.2 milliards d'années) ?;Source de la période de formation non trouvée;Pas de données;Charles Greeley Abbot (ex Apollonius K);(??);01/01/1973 00:00:00;Non nommé;Non nommé;Non nommé;Astrophysicien;Etats Unis;américain;20;20 ème siècle;Wilton;1872;Washington;1973;Directeur de l'observatoire de la Smithsonian Institution. Détermination de la valeur de la constante solaire et de la répartition de l'énergie dans le spectre solaire.;54.743059;54.743059;54 ° 45 ' Est;5.556162;5 ° 33 ' Nord;Face visible;Nord-Est;Bord Nord de la Mer de la Fécondité;10;10;5.2;2086;0.200644105105784;Formation circulaire isolée en forme de bol.;;Versants assez escarpés.;Muraille peu élevée.;Fond arrondi.;1;Formation peu intéressante ou difficile;3;Trois jours après la Nouvelle lune;Deux jours après la Pleine Lune;50;Lunette 50 mm;Télescope  ou lunette 100 mm
ABEL;AA346257S857762;Formation nommée par l'UAI;AA;Cratère;Non déterminé;Impact météoritique;Pré-Nectarien (De -4.55 milliards d'années à -3.92 milliards d'années);Wilhelms / 1987 / Geological history of the Moon table;Pas de données;Niels Henrik Abel;Franz (1913);01/01/1964 00:00:00;Non nommé;Non nommé;Non nommé;Mathématicien;Norvège;norvégien;19;19 ème siècle;Ile de Finnoy;1802;Arendal;1829;Spécialiste de la théorie des intégrales elliptiques et travaux sur les intégrales dites abéliennes.;85.776219;85.776219;85 ° 47 ' Est;-34.6257;34 ° 38 ' Sud;Zone des librations;Sud-Est;Limbe Sud-Est de la Lune;114;114;68.6;4593;0.033447084140138;Formation circulaire située dans la zone des librations.;;Versants peu escarpés portant Abel L à  l'Ouest. Barnard et Abel A au Nord.;Muraille peu élevée presque engloutie à  l'Est dans la lave de Mare Australe.;Fond plat rempli de lave portant un cratère fantôme au Nord-Est.;2;Formation assez intéressante.;2;Deux jours après la Nouvelle Lune;Un jour après la Pleine Lune;5;Oeil nu;Jumelles x 10
ABENEZRA;AA209936S118907;Formation nommée par l'UAI;AA;Cratère;Non déterminé;Impact météoritique;Imbrien supérieur (De -3.8 milliards d'années à -3.2 milliards d'années);Wilhelms / 1987 / Geological history of the Moon table;Pas de données;Abraham Bar Rabbi ben Ezra;Riccioli (1651);01/01/1935 00:00:00;Schirley;Non nommé;Abenezra;Philosophe et astronome;Espagne;espagnol;12;12 ème siècle;??;1092;??;1167;Penseur du judaisme. Commentaires sur le Pentateuque. Auteur de traités de mathématiques d'astronomie et d'astrologie.;11.890657;11.890657;11 ° 53 ' Est;-20.993564;20 ° 60 ' Sud;Face visible;Sud-Est;Région à  l'Ouest du cratère Catherine;41;42;21.5;3243;0.075087498976741;Formation circulaire de forme hexagonale constituant un trio remarquable avec Azophi et Abenezra C.;;Versants assez escarpés écrasant Abenezra C à  l'Ouest et portant Azophi au Sud-Ouest.;Muraille en gradins élevée.;Fond tourmenté. Lignes de cràªtes circulaires. Monticules.;4;Formation exceptionnelle.;6;Six jours après la Nouvelle Lune;Cinq jours après la Pleine Lune;30;Jumelles x 10;Lunette 50 mm
ABETTI;AA201127N278157;Formation nommée par l'UAI;AA;Cratère;Non déterminé;Impact météoritique;Imbrien (De -3.85 milliards d'années à -3.2 milliards d'années) ?;Source de la période de formation non trouvée;Pas de données;Antonio Abetti;(??);01/01/1976 00:00:00;Non nommé;Non nommé;Non nommé;Astronome;Italie;italien;19;19 ème siècle; San Pietro di Gorizia;1846;Florence;1928;Directeur de l'observatoire d'Arcetri. Professeur de l'université de Florence.;27.815724;27.815724;27 ° 49 ' Est;20.112727;20 ° 7 ' Nord;Face visible;Nord-Est;Partie Sud-Est de la Mer de la Sérénité;17;17;0.8;315;0.196923375362373;Formation circulaire fantôme.;;Versants presque plats.;Muraille très aplatie.;Fond plat rempli par la lave de Mare Serenitatis.;2;Formation assez intéressante.;5;Cinq jour après la Nouvelle Lune;Quatre jour après la Pleine Lune;50;Lunette 50 mm;Télescope  ou lunette 100 mm
ABUL WAFA;AA9626N1166306;Formation nommée par l'UAI;AA;Cratère;Non déterminé;Impact météoritique;Période de formation non trouvée;Source de la période de formation non trouvée;Pas de données;Abu al-Wafa al-Buzadjani;IAU 1985 ?;01/01/1970 00:00:00;Non nommé;Non nommé;Non nommé;Mathématicien;Perse;persan;10;10 ème siècle;Buzadjan;940;Bagdad;997;Auteur d'un traité d'arithmétique et d'une méthode précise de calcul des sinus.. ;116.630644;116.630644;116 ° 38 ' Est;0.962556;0 ° 58 ' Nord;Face cachée;Nord-Est;Non déterminée;55;55;0;Hauteur non connue;Hauteur inconnue. Calcul impossible.;Non observable;;Non décrit dans cette version AVL;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
ABULFEDA;AA138651S139103;Formation nommée par l'UAI;AA;Cratère;Non déterminé;Impact météoritique;Nectarien (De -3.92 milliards d'années à -3.85 milliards d'années);Wilhelms / 1987 / Geological history of the Moon table;Pas de données;Isma'il Abu al-Fida;Riccioli (1651);01/01/1935 00:00:00;Derkenni;Non nommé;Abulfeda;Historien et géographe;Arabie;arabe;14;14 ème siècle;Damas;1273;Hamah;1331;"Prince de la dynastie des Ayyübides. Auteur de ""l'Histoire"" qui continue l'oeuvre de Ibn al-Athir.";13.910298;13.910298;13 ° 55 ' Est;-13.865087;13 ° 52 ' Sud;Face visible;Sud-Est;Région à  l'Est du cratère Ptolémée;63;62;31.1;3619;0.058169407175781;Formation circulaire abîmée.;Partiellement recouvert par les éjectas du bassin Imbrien;Versants escarpés portant de nombreux craterlets dont Abulfeda R au Nord-Ouest et Abulfeda S & W au Nord.;Muraille très élevée en gradins chevauchée par Catena Abulfeda au Sud et par Abulfeda U & Y au Nord.;Fond plat étendu rempli de lave. Tache blanche excentrée et monticules. Craterlets au Nord-Est et au Sud-Ouest.;3;Formation très intéressante.;6;Six jours après la Nouvelle Lune;Cinq jours après la Pleine Lune;30;Jumelles x 10;Lunette 50 mm
ACOSTA;AA56453S601395;Formation nommée par l'UAI;AA;Cratère;Non déterminé;Impact météoritique;Copernicien (De -1.1 milliards d'années jusqu'à présent) ?;Source de la période de formation non trouvée;Pas de données;Cristobal Acosta (ex Langrenus C);(??);01/01/1976 00:00:00;Non nommé;Non nommé;Non nommé;Médecin et historien;Portugal;portugais;16;16 ème siècle;Tanger;1515;Huelva;1580;Pionnier de l'étude des plantes. Médecin à Burgos.;60.139473;60.139473;60 ° 8 ' Est;-5.645305;5 ° 39 ' Sud;Face visible;Sud-Est;Limbe Est de la Lune;13;13;6.5;2626;0.201101589438419;Formation circulaire en forme de bol située sur le versant Nord de Langrenus.;;Versants assez escarpés.;Muraille assez élevée.;Fond arrondi.;2;Formation assez intéressante.;3;Trois jours après la Nouvelle lune;Deux jours après la Pleine Lune;50;Lunette 50 mm;Télescope  ou lunette 100 mm
ADAMS;AA318916S683869;Formation nommée par l'UAI;AA;Cratère;Non déterminé;Impact météoritique;Nectarien (De -3.92 milliards d'années à -3.85 milliards d'années);Wilhelms / 1987 / Geological history of the Moon table;Pas de données;John Couch Adams;Birt / Lee (1865);01/01/1970 00:00:00;Non nommé;Non nommé;Non nommé;Astronome;Grande Bretagne;britannique;19;19 ème siècle;Laneast;1819;Cambridge;1892;A démontré l'existence et indiqué la position de Neptune indépendamment de Le Verrier. mais ses travaux n'ont pas été publiés par l'Observatoire Royal.;68.386902;68.386902;68 ° 23 ' Est;-31.891634;31 ° 53 ' Sud;Face visible;Sud-Est;Limbe Sud-Est de la Lune;66;66;31.6;3637;0.05749938669167;Formation circulaire isolée.;;Versants assez escarpés portant Adams B à  l'Ouest et Adams D à  l'Est.;Muraille assez élevée en gradins chevauchée par deux craterlets au Nord et un cratère au Sud.;Fond plat avec craterlets dont un central.;3;Formation très intéressante.;2;Deux jours après la Nouvelle Lune;Un jour après la Pleine Lune;30;Jumelles x 10;Lunette 50 mm
