NAME;LUN;NAME_TYPE;IAU_TYPE;TYPE;SUBTYPE;PROCESS;PERIOD;PERIOD_SOURCE;GEOLOGY;NAME_DETAIL;NAME_ORIGIN;IAU_APPROVAL;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURY_N;CENTURY_C;BIRTH_PLACE;BIRTH_DATE;DEATH_PLACE;DEATH_DATE;FACTS;LONGI_N;LONGI_N_360;LONGI_C;LATI_N;LATI_C;FACE;QUADRANT;AREA;LENGTH_KM;WIDE_KM;LENGTH_ARCSEC;HEIGHT_M;RAPPORT;GENERAL_1;GENERAL_2;SLOPES;WALLS;FLOOR;INTEREST_N;INTEREST_C;LUNATION;MOONDAY_S;MOONDAY_M;DIAM_INST;TH_INSTRU;PR_INSTRU
ABBE H;AA584449S1775841;Satellite feature;AA;Crater;Not defined;Meteoritic impact;Formation period not found;Formation period source not found;No detail found;Ernst K. Abbe;Andersson / Whitaker 1982;Adopted by IAU;Not named;Not named;Not named;physicist;Germany;German;19;19 th century;Eisenach;1840;Iena;1905;Director of Iena observatory. Author of a classical theory of microscopes in 1877 and of sinuses relations. Associated with Carl Zeiss. Conceiver of a refractometer and of the first apochromatic objectives and of orthoscopic eyepieces.;177.584133;177.584133;177 ° 35 '  East;-58.444934;58 ° 27 '  South;Farside;South-East;Not defined;25.1268;25.1268;12.5;2755;0.109629924393156;Not observable;;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
ABBE K;AA598158S1768578;Satellite feature;AA;Crater;Not defined;Meteoritic impact;Formation period not found;Formation period source not found;No detail found;Ernst K. Abbe;Andersson / Whitaker 1982;Adopted by IAU;Not named;Not named;Not named;physicist;Germany;German;19;19 th century;Eisenach;1840;Iena;1905;Director of Iena observatory. Author of a classical theory of microscopes in 1877 and of sinuses relations. Associated with Carl Zeiss. Conceiver of a refractometer and of the first apochromatic objectives and of orthoscopic eyepieces.;176.857881;176.857881;176 ° 51 '  East;-59.815856;59 ° 49 '  South;Farside;South-East;Not defined;26.1044;26.1044;13;2786;0.106743295019157;Not observable;;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
ABBE M;AA617461S1752393;Satellite feature;AA;Crater;Not defined;Meteoritic impact;Formation period not found;Formation period source not found;No detail found;Ernst K. Abbe;Andersson / Whitaker 1982;Adopted by IAU;Not named;Not named;Not named;physicist;Germany;German;19;19 th century;Eisenach;1840;Iena;1905;Director of Iena observatory. Author of a classical theory of microscopes in 1877 and of sinuses relations. Associated with Carl Zeiss. Conceiver of a refractometer and of the first apochromatic objectives and of orthoscopic eyepieces.;175.239369;175.239369;175 ° 14 '  East;-61.746193;61 ° 45 '  South;Farside;South-East;Not defined;28.6143;28.6143;14.3;2864;0.100104858441105;Not observable;;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
ABEL A;AA363141S857973;Satellite feature;AA;Crater;Not defined;Meteoritic impact;Formation period not found;Formation period source not found;No detail found;Niels Henrik Abel;(Mädler 1837 or IAU 19.. ??);Adopted by IAU;Not named;Not named;Not named;Mathematician;Norway;Norwegian;19;19 th century;Finnoy Island;1802;Arendal;1829;Specialist of the theory of elliptic integrals and works on the so called abelian integrals.;85.797305;85.797305;85 ° 48 '  East;-36.314113;36 ° 19 '  South;Librations zone;South-East;Moon South-East limb;27.8334;27.8334;13.9;2841;0.102084081925979;Not described in this VMA version;;;;;0;Not evaluated;2;Deux days after New Moon;1 day after Full Moon;50;50 mm refractor;100 mm refractor
ABEL B;AA367202S825954;Satellite feature;AA;Crater;Not defined;Meteoritic impact;Nectarian (From -3.92 billions years to -3.85 billions years);PC;No detail found;Niels Henrik Abel;(Mädler 1837 or IAU 19.. ??);Adopted by IAU;Not named;Not named;Not named;Mathematician;Norway;Norwegian;19;19 th century;Finnoy Island;1802;Arendal;1829;Specialist of the theory of elliptic integrals and works on the so called abelian integrals.;82.595424;82.595424;82 ° 36 '  East;-36.720239;36 ° 43 '  South;Librations zone;South-East;Moon South-East limb;41.5459;41.5459;20.7;3205;0.077135980746089;Not described in this VMA version;;;;;0;Not evaluated;2;Deux days after New Moon;1 day after Full Moon;30;10x binoculars;50 mm refractor
ABEL C;AA361273S814093;Satellite feature;AA;Crater;Not defined;Meteoritic impact;Formation period not found;Formation period source not found;No detail found;Niels Henrik Abel;(Mädler 1837 or IAU 19.. ??);Adopted by IAU;Not named;Not named;Not named;Mathematician;Norway;Norwegian;19;19 th century;Finnoy Island;1802;Arendal;1829;Specialist of the theory of elliptic integrals and works on the so called abelian integrals.;81.409385;81.409385;81 ° 25 '  East;-36.12732;36 ° 8 '  South;Librations zone;South-East;Moon South-East limb;36.8427;36.8427;18.4;3091;0.083903365906623;Not described in this VMA version;;;;;0;Not evaluated;2;Deux days after New Moon;1 day after Full Moon;30;10x binoculars;50 mm refractor
ABEL D;AA376716S864543;Satellite feature;AA;Crater;Not defined;Meteoritic impact;Formation period not found;Formation period source not found;No detail found;Niels Henrik Abel;(Mädler 1837 or IAU 19.. ??);Adopted by IAU;Not named;Not named;Not named;Mathematician;Norway;Norwegian;19;19 th century;Finnoy Island;1802;Arendal;1829;Specialist of the theory of elliptic integrals and works on the so called abelian integrals.;86.454329;86.454329;86 ° 27 '  East;-37.671636;37 ° 40 '  South;Librations zone;South-East;Moon South-East limb;27.8972;27.8972;13.9;2843;0.101899641577061;Not described in this VMA version;;;;;0;Not evaluated;2;Deux days after New Moon;1 day after Full Moon;30;10x binoculars;50 mm refractor
ABEL E;AA375354S844354;Satellite feature;AA;Crater;Not defined;Meteoritic impact;Formation period not found;Formation period source not found;No detail found;Niels Henrik Abel;(Mädler 1837 or IAU 19.. ??);Adopted by IAU;Not named;Not named;Not named;Mathematician;Norway;Norwegian;19;19 th century;Finnoy Island;1802;Arendal;1829;Specialist of the theory of elliptic integrals and works on the so called abelian integrals.;84.435411;84.435411;84 ° 26 '  East;-37.535443;37 ° 32 '  South;Librations zone;South-East;Moon South-East limb;13.998;13.998;7;2817;0.201214285714286;Not described in this VMA version;;;;;0;Not evaluated;2;Deux days after New Moon;1 day after Full Moon;50;50 mm refractor;100 mm refractor
ABEL J;AA362027S798713;Satellite feature;AA;Crater;Not defined;Meteoritic impact;Formation period not found;Formation period source not found;No detail found;Niels Henrik Abel;(Mädler 1837 or IAU 19.. ??);Adopted by IAU;Not named;Not named;Not named;Mathematician;Norway;Norwegian;19;19 th century;Finnoy Island;1802;Arendal;1829;Specialist of the theory of elliptic integrals and works on the so called abelian integrals.;79.87135;79.87135;79 ° 52 '  East;-36.202727;36 ° 12 '  South;Nearside;South-East;Moon South-East limb;18.7579;18.7579;9.3;2523;0.134488272921109;Not described in this VMA version;;;;;0;Not evaluated;2;Deux days after New Moon;1 day after Full Moon;50;50 mm refractor;100 mm refractor
ABEL K;AA346915S774576;Satellite feature;AA;Crater;Craterlet;Meteoritic impact;Formation period not found;Formation period source not found;No detail found;Niels Henrik Abel;(Mädler 1837 or IAU 19.. ??);Adopted by IAU;Not named;Not named;Not named;Mathematician;Norway;Norwegian;19;19 th century;Finnoy Island;1802;Arendal;1829;Specialist of the theory of elliptic integrals and works on the so called abelian integrals.;77.457635;77.457635;77 ° 27 '  East;-34.691545;34 ° 41 '  South;Nearside;South-East;Moon South-East limb;9.94431;9.94431;4.9;1993;0.200503018108652;Isolated circular formation with bowl shape.;;Slightly steep slopes.;Slightly high walls.;Rounded floor.;0;Not evaluated;2;Deux days after New Moon;1 day after Full Moon;50;50 mm refractor;100 mm refractor
ABEL L;AA345525S823945;Satellite feature;AA;Crater;Craterlet;Meteoritic impact;Nectarian (From -3.92 billions years to -3.85 billions years);PC;No detail found;Niels Henrik Abel;(Mädler 1837 or IAU 19.. ??);Adopted by IAU;Not named;Not named;Not named;Mathematician;Norway;Norwegian;19;19 th century;Finnoy Island;1802;Arendal;1829;Specialist of the theory of elliptic integrals and works on the so called abelian integrals.;82.394591;82.394591;82 ° 24 '  East;-34.552536;34 ° 33 '  South;Librations zone;South-East;Moon South-East limb;54.1297;54.1297;27;3471;0.064123406613708;Not described in this VMA version;;;;;0;Not evaluated;2;Deux days after New Moon;1 day after Full Moon;30;10x binoculars;50 mm refractor
ABEL M;AA323763S835217;Satellite feature;AA;Crater;Craterlet;Meteoritic impact;Pre-Nectarian (From -4.55 billions years to -3.92 billions years);W&B09;No detail found;Niels Henrik Abel;(Mädler 1837 or IAU 19.. ??);Adopted by IAU;Not named;Not named;Not named;Mathematician;Norway;Norwegian;19;19 th century;Finnoy Island;1802;Arendal;1829;Specialist of the theory of elliptic integrals and works on the so called abelian integrals.;83.521793;83.521793;83 ° 31 '  East;-32.376317;32 ° 23 '  South;Librations zone;South-East;Moon South-East limb;91.0059;91.0059;45.5;4058;0.044588506757499;Not described in this VMA version;;;;;0;Not evaluated;2;Deux days after New Moon;1 day after Full Moon;30;10x binoculars;50 mm refractor
ABENEZRA A;AA227915S104422;Satellite feature;AA;Crater;Craterlet;Meteoritic impact;Formation period not found;Formation period source not found;No detail found;Abraham Bar Rabbi ben Ezra;(Mädler 1837 or IAU 19.. ??);Adopted by IAU;Not named;Not named;Not named;Philosopher and astronomer;Spain;Spanish;12;12 th century;?;1092;?;1167;Heracles among the Greeks. Son of Jupiter. Author of twelve remarkable works.;10.442277;10.442277;10 ° 27 '  East;-22.791538;22 ° 47 '  South;Nearside;South-East;West of Catharina crater region;22.1887;22.1887;11;2653;0.119558359621451;Not described in this VMA version;;;;;0;Not evaluated;6;6 days after New Moon;5 days after Full Moon;30;10x binoculars;50 mm refractor
ABENEZRA B;AA208177S100624;Satellite feature;AA;Crater;Craterlet;Meteoritic impact;Formation period not found;Formation period source not found;No detail found;Abraham Bar Rabbi ben Ezra;(Mädler 1837 or IAU 19.. ??);Adopted by IAU;Not named;Not named;Not named;Philosopher and astronomer;Spain;Spanish;12;12 th century;?;1092;?;1167;?;10.062467;10.062467;10 ° 4 '  East;-20.817777;20 ° 49 '  South;Nearside;South-East;West of Catharina crater region;13.7665;13.7665;6.8;2770;0.201161946259985;Not described in this VMA version;;;;;0;Not evaluated;6;6 days after New Moon;5 days after Full Moon;50;50 mm refractor;100 mm refractor
