NAME;LOCAL_NAME;LONGI_360;LUN;LUN_REDUCED;NAME_TYPE;TYPE;TYPE_IAU;SUBTYPE;PROCESS;PERIOD;PERIOD_SOURCE;GEOLOGY;NAME_DETAIL;NAME_ORIGIN;IAU_APPROVAL;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURY_N;CENTURY_C;BIRTH_PLACE;BIRTH_DATE;DEATH_PLACE;DEATH_DATE;FACTS;LONGI_N;LONGI_360;LONGI_C;LATI_N;LATI_C;FACE;QUADRANT;AREA;RUKL;RUKL_C;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTH_KM;LENGTH_KM_ILCD;WIDE_KM;LENGTH_MI;WIDE_MI;LENGTH_ARCSEC;HEIGHT_M;HEIGHT_FE;RAPPORT;PROFIL;FLOOR_DIAMETER_KM;PEAK_HEIGHT_KM;PEAK_DIAMETER_KM;EXCAVATION_DEPTH_KM;MELTING_DEPTH_KM;EJECTA_THICK_M_1RADIUS;EJECTA_THICK_M_3RADIUS;EJECTA_THICK_M_5RADIUS;RADAR_BRIGHT_HALO_RADIUS;RADAR_DARK_HALO_RADIUS;GENERAL_1;GENERAL_2;SLOPES;WALLS;FLOOR;ELGER_1895;INTEREST_N;INTEREST_C;LUNATION;MOONDAY_S;MOONDAY_M;DIAM_INST;TH_INSTRU;PR_INSTRU;IAU_FEATURE_NAME;IAU_CLEAN_FEATURE_NAME;IAU_FEATURE_ID;IAU_DIAMETER;IAU_CENTER_LATITUDE;IAU_CENTER_LONGITUDE;IAU_NORTHERN_LATITUDE;IAU_SOUTHERN_LATITUDE;IAU_EASTERN_LONGITUDE;IAU_WESTERN_LONGITUDE;IAU_COORDINATE_SYSTEM;IAU_CONTINENT;IAU_ETHNICITY;IAU_FEATURE_TYPE;IAU_FEATURE_TYPE_CODE;IAU_QUAD_NAME;IAU_QUAD_CODE;IAU_APPROVAL_STATUS;IAU_APPROVAL_DATE;IAU_REFERENCE;IAU_ORIGIN;IAU_LINK
LUNA 2;LUNA 2;359,9;HS301000N3599000;301000N3599000;Registered feature;Historical site;No IAU type;Probe / Voluntary impact;Human action;12/09/1959;(USSR / Korolev);Not appliable;Luna 2 / Lunik 2 (Class E-1A);(USSR / Korolev);Not IAU approved;Non existent in this period;Non existent in this period;Non existent in this period;Not appliable;Not appliable;Not appliable;20;20 th century;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;-0,1;359,9;0 ° 6 '  West;30,1;30 ° 6 '  North;Nearside;North-West;Archimedes North area;12;Aristillus;333;Not indicated;Not indicated;Not described;??;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Launch on 12 September 1959 / 22h 02mn (UT) from BaÃ¯konour.;;Probe without instruments 1.2 m diameter and 390.2 kg. Sodium cloud released in space to help spotting. Confirms magnetic field and radiations belts lack around the Moon.;"Impact at 3.3 km/s with a 60Â° angle at 21h 02mn 24s in Palus putredinis. First human object to reach another celestial body than Earth. Two capsules 9 and 15 cm wide broken in the impact in pentagons with ""USSR September 1959"" written on them.";30 minutes later, third stage of launch rocket impacts the Moon with unknown coordinates.;Not described;0;Invisible formation;7;First Quarter;Six days after Full moon;999;Invisible;Invisible;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved
RANGER 4;RANGER 4;229,3;HS155000S2293000;155000S2293000;Registered feature;Historical site;No IAU type;Probe / Voluntary impact;Human action;23/04/1962;(NASA/USA);Not appliable;Ranger 4 (Class Block 2);(NASA/USA);Not IAU approved;Non existent in this period;Non existent in this period;Non existent in this period;Not appliable;Not appliable;Not appliable;20;20 th century;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;-130,7;229,3;130 ° 42 '  West;-15,5;15 ° 30 '  South;Farside;South-West;Invisible;No map;Not indicated;Not indicated;Not indicated;Not indicated;Not described;??;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Launch on 23 April 1962 / 20h 50mn (UT) from Cape Kennedy.;;Probe 3.6 m High and 306 kg. 6 cameras whom 4 high resolution ones. 2 solar panels 5.2 m span. 140 kg retrorocket for expected soft landing of a balsawood 65 cm diameter capsule.;Bad functionning of on board computer. No picture transmission. Impact on Farside on April 26, 1962 at 12h 49mn 53s with a 9600 km/h speed.;;Not described;0;Invisible formation;99;Invisible;Invisible;999;Invisible;Invisible;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved
RANGER 6;RANGER 6;21,5;HS93000N215000;93000N215000;Registered feature;Historical site;No IAU type;Probe / Voluntary impact;Human action;30/01/1964;(NASA/USA);Not appliable;Ranger 6 (Class Block 3);(NASA/USA);Not IAU approved;Non existent in this period;Non existent in this period;Non existent in this period;Not appliable;Not appliable;Not appliable;20;20 th century;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;21,5;21,5;21 ° 30 '  East;9,3;9 ° 18 '  North;Nearside;North-East;Mare Tranquillitatis East part;35;Arago;279;Not indicated;Not indicated;Not described;??;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Launch on 30 January 1964 / 15h 49mn (UT) from Cape Kennedy.;;Probe 3.6 m High and 306 kg. 6 cameras whom 4 high resolution ones. 2 solar panels 4.6 m span.;Impact on the February 2, 32 km away from planned site. TV camera failure before the impact. ;;Not described;0;Invisible formation;5;Five days after New Moon;Four days after Full Moon;999;Invisible;Invisible;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved
RANGER 7;RANGER 7;339,34;HS103500S3393400;103500S3393400;Registered feature;Historical site;No IAU type;Probe / Voluntary impact;Human action;28/07/1964;(NASA/USA);Not appliable;Ranger 7 (Class Block 3);(NASA/USA);Not IAU approved;Non existent in this period;Non existent in this period;Non existent in this period;Not appliable;Not appliable;Not appliable;20;20 th century;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;-20,66;339,34;20 ° 40 '  West;-10,35;10 ° 39 '  South;Nearside;South-West;Oceanus Procellarum South-East area;42;Fra Mauro;216;Not indicated;Not indicated;Not described;??;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Launch on 28 July 1964 / 16h 50 mn (UT) from Cape Kennedy.;;Probe 3.6 m high and 306 kg. 2 wide angle cameras (25 Â°) and 4 high definition ones (From 8.4 to 2.1 Â°). 2 solar panels 4.6 m span providing 200W. Optical terrestrial sensor and wide gain transmission antenna. 2 internal energy network for best reliability. Recoed on magnetic tape and film after on board screen photography.;68 h hours flight. Hyperbolical orbit with a 26.8 Â° angle. 4308 pictures transmitted from 13h 08 mn to 13h 25mn on 31 July. Last picture at 519 m altitude with a 50 cm resolution. Impact 16 km away from planned site at 2.62 km/s.;;Not described;0;Invisible formation;9;Two days after First Quarter;One day after Last Quarter;999;Invisible;Invisible;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved
RANGER 8;RANGER 8;24,65;HS26700N246500;26700N246500;Registered feature;Historical site;No IAU type;Probe / Voluntary impact;Human action;17/02/1965;(NASA/USA);Not appliable;Ranger 8 (Class Block 3);(NASA/USA);Not IAU approved;Non existent in this period;Non existent in this period;Non existent in this period;Not appliable;Not appliable;Not appliable;20;20 th century;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;24,65;24,65;24 ° 21 '  East;2,67;2 ° 40 '  North;Nearside;North-East;Mare Tranquillitatis East part;35;Arago;276;Not indicated;Not indicated;Not described;??;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Launch on 17 February 1965 / 17h 05mn (UT) from Cape Kennedy.;;Probe 3.6 m high and 306 kg. 2 wide angle cameras (25 Â°) and 4 high definition ones (From 8.4 to 2.1 Â°). 2 solar panels 4.6 m span providing 200W. Optical terrestrial sensor and wide gain transmission antenna. 2 internal energy network for best reliability. Recoed on magnetic tape and film after on board screen photography.;Energy lost during flight then return to nominal. 7137 pictures whom 540 high resolution ones transmitted from 9h 34mn (2510 km altitude) to 9h 57mn. Last picture with a 1.5 m resolution. Impact with a 42 Â° angle permitting panoramic views on the 20 february with a 2.68 km/h speed 70 km away from future Apollo 11 landing site.;;Not described;0;Invisible formation;5;Five days after New Moon;Four days after Full Moon;999;Invisible;Invisible;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved
RANGER 9;RANGER 9;357,63;HS128300S3576300;128300S3576300;Registered feature;Historical site;No IAU type;Probe / Voluntary impact;Human action;21/03/1965;(NASA/USA);Not appliable;Ranger 9 (Class Block 3);(NASA/USA);Not IAU approved;Non existent in this period;Non existent in this period;Non existent in this period;Not appliable;Not appliable;Not appliable;20;20 th century;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;-2,37;357,63;2 ° 22 '  West;-12,83;12 ° 10 '  South;Nearside;South-West;Ptoleameus crater area;44;Ptolemaeus;Not indicated;Not indicated;Not indicated;Not described;??;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Launch on 21 March 1965 / 21h 37mn (UT) from Cape Kennedy.;;Probe 3.6 m high and 306 kg. 2 wide angle cameras (25 Â°) and 4 high definition ones (From 8.4 to 2.1 Â°). 2 solar panels 4.6 m span providing 200W. Optical terrestrial sensor and wide gain transmission antenna. 2 internal energy network for best reliability. Recoed on magnetic tape and film after on board screen photography.;5814 pictures taken from 13h 49mn (2363 km altitude) to 14h 08mn on 24 March. Last picture with a 30 cm resolution. Impact 4.9 km away from planned site with a 2.67 km/s speed. ;;Not described;0;Invisible formation;7;First Quarter;Six days after Full moon;999;Invisible;Invisible;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved
LUNA 5;LUNA 5;334,9;HS16000S3349000;16000S3349000;Registered feature;Historical site;No IAU type;Probe / Voluntary impact;Human action;09/05/1965;(USSR  / RSVN / Korolev);Not appliable;Luna 5 / Lunik 5 (Lunik Class E-6);(USSR  / RSVN / Korolev);Not IAU approved;Non existent in this period;Non existent in this period;Non existent in this period;Not appliable;Not appliable;Not appliable;20;20 th century;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;-25,1;334,9;25 ° 6 '  West;-1,6;1 ° 24 '  South;Nearside;South-West;Oceanus Procellarum South-East area;42;Fra Mauro;252;Not indicated;Not indicated;Not described;??;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Launch on 9 May 1965 / 7h 55mn (UT) from BaÃ¯konour.;;Probe 1474 kg. Same class as future Luna 9. Lunar surface probe 84 kg contained in a balloon. High speed impact on May 9 1965 because of retrocket failure.;;;Not described;0;Invisible formation;9;Two days after First Quarter;One day after Last Quarter;999;Invisible;Invisible;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved
LUNA 7;LUNA 7;320;HS90000N3200000;90000N3200000;Registered feature;Historical site;No IAU type;Probe / Voluntary impact;Human action;03/10/1965;(USSR  / RSVN / Korolev);Not appliable;Luna 7 / Lunik 7 (Lunik Class E-6);(USSR  / RSVN / Korolev);Not IAU approved;Non existent in this period;Non existent in this period;Non existent in this period;Not appliable;Not appliable;Not appliable;20;20 th century;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;-40;320;40 ° 0 '  West;9;9 ° 0 '  North;Nearside;North-West;Oceanus Procellarum East area;30;Not indicated;Not indicated;Not indicated;Not indicated;Not described;??;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Launch on 3 October 1965 from BaÃ¯konour.;;Probe 1474 kg. Same class as future Luna 9. Lunar surface probe 84 kg contained in a balloon. High speed impact on May 9 1965 because of retrocket failure.;;;Not described;0;Invisible formation;11;Four days after First Quarter;Three days after Last Quarter;999;Invisible;Invisible;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved
LUNA 8;LUNA 8;296,9;HS91000N2969000;91000N2969000;Registered feature;Historical site;No IAU type;Probe / Voluntary impact;Human action;03/12/1965;(USSR  / RSVN / Korolev);Not appliable;Luna 8 / Lunik 8 (Lunik Class E-6);(USSR  / RSVN / Korolev);Not IAU approved;Non existent in this period;Non existent in this period;Non existent in this period;Not appliable;Not appliable;Not appliable;20;20 th century;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;-63,1;296,9;63 ° 6 '  West;9,1;9 ° 6 '  North;Nearside;North-West;West Moon limb;28;Galilei;261;Not indicated;Not indicated;Not described;??;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Launch on 3 December 1965 / 10h 48mn (UT) from BaÃ¯konour.;;Probe 1552 kg. Same class as future Luna 9. Lunar surface probe 84 kg contained in a balloon. Could have soft landed on December 7 1965. Contact lost just before landing.;;;Not described;0;Invisible formation;12;Five days after First Quarter;Four days after Last Quarter;999;Invisible;Invisible;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved
LUNA 9;LUNA 9;295,7;HS71000N2957000;71000N2957000;Registered feature;Historical site;No IAU type;Probe / Soft landing;Human action;31/01/1966;(USSR  / RSVN / Korolev);Not appliable;Luna 9 / Lunik 9 (Lunik Class E-6);(USSR  / RSVN / Korolev);Not IAU approved;Non existent in this period;Non existent in this period;Non existent in this period;Not appliable;Not appliable;Not appliable;20;20 th century;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;-64,3;295,7;64 ° 18 '  West;7,1;7 ° 6 '  North;Nearside;North-West;West Moon limb;28;Galilei;261;Not indicated;Not indicated;Not described;??;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Launch on 31 January 1966 / 11 h 45 from BaÃ¯konour.;;Probe 1580 kg. Trip during 3.5 days. Retrorocket activated from 75 km altitude during 46s. Lunar surface probe contained in a balloon released few meters before impact. First lunar soft landing on February 3, 1966 at 18h 45mn (UT).;Egg shaped surface probe 82 kg with instruments and cameras. Four solar panels opened after landing. Sealed container with internal heating and batteries. TV camera with orientable mirror. 3 pictures series with 27 total whom first lunar surface panorama.;Hard soil confirmation. Stereo pictures obtained because of movement soil. Radiations datas. Functionnal until 7 february when batteries failed.;Not described;0;Invisible formation;12;Five days after First Quarter;Four days after Last Quarter;999;Invisible;Invisible;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved
