NAME;LOCAL_NAME;LUN;LUN_REDUCED;NAME_TYPE;TYPE;TYPE_IAU;SUBTYPE;PROCESS;PERIOD;PERIOD_SOURCE;GEOLOGY;NAME_DETAIL;NAME_ORIGIN;IAU_APPROVAL;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONALTY;CENTURY_N;CENTURY_C;BIRTH_PLACE;BIRTH_DATE;DEATH_PLACE;DEATH_DATE;FACTS;LONGI_N;LONGI_360;LONGI_C;LATI_N;LATI_C;FACE;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGHT_KM;WIDE_KM;LENGHT_MI;WIDE_MI;LENGTH_ARCSEC;HEIGHT_M;HEIGHT_FE;RAPPORT;PROFIL;FLOOR_DIAMETER_KM;PEAK_HEIGHT_KM;PEAK_DIAMETER_KM;EXCAVATION_DEPTH_KM;MELTING_DEPTH_KM;EJECTA_THICK_M_1RADIUS;EJECTA_THICK_M_3RADIUS;EJECTA_THICK_M_5RADIUS;RADAR_BRIGHT_HALO_RADIUS;RADAR_DARK_HALO_RADIUS;GENERAL_1;GENERAL_2;SLOPES;WALLS;FLOOR;ELGER_1985;INTEREST_N;INTEREST_C;LUNATION;MOONDAY_S;MOONDAY_M;DIAM_INST;TH_INSTRU;PR_INSTRU;IAU_FEATURE_NAME;IAU_CLEAN_FEATURE_NAME;IAU_FEATURE_ID;IAU_DIAMETER;IAU_CENTER_LATITUDE;IAU_CENTER_LONGITUDE;IAU_NORTHERN_LATITUDE;IAU_SOUTHERN_LATITUDE;IAU_EASTERN_LONGITUDE;IAU_WESTERN_LONGITUDE;IAU_COORDINATE_SYSTEM;IAU_CONTINENT;IAU_ETHNICITY;IAU_FEATURE_TYPE;IAU_FEATURE_TYPE_CODE;IAU_QUAD_NAME;IAU_QUAD_CODE;IAU_APPROVAL_STATUS;IAU_APPROVAL_DATE;IAU_REFERENCE;IAU_ORIGIN;IAU_LINK
LUNA 2;LUNA 2;HS301000N3599000;301000N3599000;Formation répertoriée;Site historique;Pas de type UAI;Sonde / Impact volontaire;Action humaine;12/09/1959;(URSS / Korolev);Non applicable;Luna 2 / Lunik 2 (Class E-1A);(USSR / Korolev);Non approuvé par l'UAI;Inexistant à cette époque;Inexistant à cette époque;Inexistant à cette époque;Non applicable;Non applicable;Non applicable;20;20 ème siècle;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;-0,1;359,9000;0 ° 6 '  Ouest;30,1;30 ° 6 '  Nord;Face visible;Nord-Ouest;Région au Nord du cratère Archimède;12;Aristillus;333;Pas de carte ou d'image;Pas de carte ou d'image;Non décrit;??;Non applicable;Non applicable;Non applicable;Non applicable;Calcul impossible;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Lancé le 12 Septembre 1959 / 22h 02mn (UT) de Baïkonour.;Sonde d'un diamètre de 1,20 m et d'une masse de 390,2 kg. Capsule sans instrument. Lache un nuage de sodium dans l'espace pour aider son repérage. Confirme l'absence de champ magnétique et de ceintures de radiations autour de la Lune. ;"Percute la Lune à 3,3 km/s  avec une inclinaison de 60 °. Contact le 13 septembre à 21 h 2 mn 24 s dans Palus Putredinis. Premier objet humain à atteindre un autre astre. 2 capsules de 9 et 15 cm brisées à l'impact en pentagones avec ""URSS, septembre 1959"" inscrit dessus. ";30 minutes plus tard, le dernier étage de la fusée porteuse percute aussi la Lune. Les coordonnées de ce second impact sont inconnues.;;Non décrit;0;Non visible;7;Premier Quartier;6 jours après la Pleine Lune;999;Non visible;Non visible;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
RANGER 4;RANGER 4;HS155000S2293000;155000S2293000;Formation répertoriée;Site historique;Pas de type UAI;Sonde / Impact volontaire;Action humaine;23/04/1962;(NASA/USA);Non applicable;Ranger 4 (Class Block 2);(NASA/USA);Non approuvé par l'UAI;Inexistant à cette époque;Inexistant à cette époque;Inexistant à cette époque;Non applicable;Non applicable;Non applicable;20;20 ème siècle;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;-130,7;229,3000;130 ° 42 '  Ouest;-15,5;15 ° 30 '  Sud;Face cachée;Sud-Ouest;Non définie;0;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;Non décrit;Pas de carte ou d'image;Non applicable;Non applicable;Non applicable;Non applicable;Calcul impossible;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Lancé le 23 Avril 1962 / 20h 50mn (UT) de Cape Kennedy.;Sonde de 3,60 m de haut. Masse de 306 kg dont 6 caméras dont 4 à haute définition. 2 panneaux solaires de 5,20 m d'envergure et une rétrofusée de 14O kg. Comporte une capsule scientifique avec rétrofusée pour l'alunissage en douceur d'une capsule en balsa de 65cm de diamètre. ;Mauvais fonctionnement de l'ordinateur de bord. Ne tranmet aucune image.S'écrase sur la Lune sur la face cachée le 26 avril 1962 à 12h 49mn 53s avec une vitesse de 9600 km/h. ;;;Non décrit;0;Non visible;999;Non visible;Non visible;999;Non visible;Non visible;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
RANGER 6;RANGER 6;HS93000N215000;93000N215000;Formation répertoriée;Site historique;Pas de type UAI;Sonde / Impact volontaire;Action humaine;30/01/1964;(NASA/USA);Non applicable;Ranger 6 (Class Block 3);(NASA/USA);Non approuvé par l'UAI;Inexistant à cette époque;Inexistant à cette époque;Inexistant à cette époque;Non applicable;Non applicable;Non applicable;20;20 ème siècle;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;21,5;21,5000;21 ° 30 '  Est;9,3;9 ° 18 '  Nord;Face visible;Nord-Est;Partie Est de la Mer de la Tranquillité;35;Arago;279;Pas de carte ou d'image;Pas de carte ou d'image;Non décrit;??;Non applicable;Non applicable;Non applicable;Non applicable;Calcul impossible;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Lancé le 30 Janvier 1964 / 15h 49mn (UT) de Cape Kennedy.;Sonde de 3,60 m de haut. Masse de 306 kg dont 6 caméras dont 4 à haute définition. 2 panneaux solaires de 4,60 m d'envergure. ;S'écrase sur la Lune le 2 février 1964 dans Mare Tranquillitatis, près du cratère Arago à 32 km du point prévu. Caméra de télévision en panne avant l'impact.;;;Non décrit;0;Non visible;5;5 jours après la Nouvelle Lune;4 jours après la Pleine Lune;999;Non visible;Non visible;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
RANGER 7;RANGER 7;HS103500S3393400;103500S3393400;Formation répertoriée;Site historique;Pas de type UAI;Sonde / Impact volontaire;Action humaine;28/07/1964;(NASA/USA);Non applicable;Ranger 7 (Class Block 3);(NASA/USA);Non approuvé par l'UAI;Inexistant à cette époque;Inexistant à cette époque;Inexistant à cette époque;Non applicable;Non applicable;Non applicable;20;20 ème siècle;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;-20,66;339,3400;20 ° 40 '  Ouest;-10,35;10 ° 39 '  Sud;Face visible;Sud-Ouest;Région au Sud-Est de l'Océan des Tempêtes;42;Fra Mauro;216;Pas de carte ou d'image;Pas de carte ou d'image;Non décrit;??;Non applicable;Non applicable;Non applicable;Non applicable;Calcul impossible;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Lancé le 28 Juillet 1964 / 16h 50 mn (UT) de Cape Kennedy.;Sonde de 3,60 m de haut. Masse de 306 kg. 2 caméras grand angle (25  °) et 4 à haute définition (de 8,4  ° à 2,1  °). 2 panneaux solaires de 4,6 m d'envergure assurant 200 W. Senseur terrestre optique et antenne de transmission à grand gain. 2 réseaux internes d'alimentation pour une meilleure fiabilité. Enregistrement sur bande magnétique et sur film après photographie d'un écran de bord. ;Vol de 68 h. Orbite hyperbolique depuis la Terre inclinée à 26,8  °. 4308 photographies transmises de 13 h 08 (2110 km d'altitude) à 13 h 25 le 31 juillet. Dernière photo prise à 519 m d'altitude avec une résolution de 50 cm sur la dernière. S'écrase dans Mare Cognitum à 16 km de l'endroit prévu. Vitesse d'impact de 2,62 km/s.;;;Non décrit;0;Non visible;9;2 jours après le Premier Quartier;1 jour après le Dernier Quartier;999;Non visible;Non visible;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
RANGER 8;RANGER 8;HS26700N246500;26700N246500;Formation répertoriée;Site historique;Pas de type UAI;Sonde / Impact volontaire;Action humaine;17/02/1965;(NASA/USA);Non applicable;Ranger 8 (Class Block 3);(NASA/USA);Non approuvé par l'UAI;Inexistant à cette époque;Inexistant à cette époque;Inexistant à cette époque;Non applicable;Non applicable;Non applicable;20;20 ème siècle;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;24,65;24,6500;24 ° 39 '  Est;2,67;2 ° 40 '  Nord;Face visible;Nord-Est;Partie Est de la Mer de la Tranquillité;35;Arago;276;Pas de carte ou d'image;Pas de carte ou d'image;Non décrit;??;Non applicable;Non applicable;Non applicable;Non applicable;Calcul impossible;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Lancé le 17 Février 1965 / 17h 05mn (UT) de Cape Kennedy.;Sonde de 3,60 m de haut. Masse de 306 kg. 2 caméras grand angle (25  °) et 4 à haute définition (de 8,4  ° à 2,1  °). 2 panneaux solaires de 4,6 m d'envergure assurant 200 W. Senseur terrestre optique et antenne de transmission à grand gain. 2 réseaux internes d'alimentation pour une meilleure fiabilité. Enregistrement sur bande magnétique et sur film après photographie d'un écran de bord. ;Perte d'alimentation pendant le vol puis retour à la normale. 7137 photographies dont 540 à haute résolution transmises de 9 h 34 (2510 km d'altitude) à 9 h 57mn 36s. Résolution de 1,5 m sur la dernière. Impact calculé avec un angle de 42 ° pour permettre des vues panoramiques. S'écrase dans Mare Tranquillitatis le 20 février 1965 à 70 km du futur site d'Apollo 11 avec une vitesse de 2,68 km/h.;;;Non décrit;0;Non visible;5;5 jours après la Nouvelle Lune;4 jours après la Pleine Lune;999;Non visible;Non visible;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
RANGER 9;RANGER 9;HS128300S3576300;128300S3576300;Formation répertoriée;Site historique;Pas de type UAI;Sonde / Impact volontaire;Action humaine;21/03/1965;(NASA/USA);Non applicable;Ranger 9 (Class Block 3);(NASA/USA);Non approuvé par l'UAI;Inexistant à cette époque;Inexistant à cette époque;Inexistant à cette époque;Non applicable;Non applicable;Non applicable;20;20 ème siècle;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;-2,37;357,6300;2 ° 22 '  Ouest;-12,83;12 ° 10 '  Sud;Face visible;Sud-Ouest;Secteur du cratère Ptolémée;44;Ptolemaeus;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;Non décrit;Pas de carte ou d'image;Non applicable;Non applicable;Non applicable;Non applicable;Calcul impossible;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Lancé le 21 Mars 1965 / 21h 37mn (UT) de Cape Kennedy.;Sonde de 3,60 m de haut. Masse de 306 kg. 2 caméras grand angle (25  °) et 4 à haute définition (de 8,4  ° à 2,1  °). 2 panneaux solaires de 4,6 m d'envergure assurant 200 W. Senseur terrestre optique et antenne de transmission à grand gain. 2 réseaux internes d'alimentation pour une meilleure fiabilité. Enregistrement sur bande magnétique et sur film après photographie d'un écran de bord. ;5 814 photos prises entre 13 h 49 (2363 km d'altitude) et 14 h 08mn 20s. Résolution de 30 cm sur la dernière. S'écrase dans le cratère Alphonsus à 4,9 km du point prévu le 24 mars 1965 avec une vitesse de 2,67 km/s.;;;Non décrit;0;Non visible;7;Premier Quartier;6 jours après la Pleine Lune;999;Non visible;Non visible;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
LUNA 5;LUNA 5;HS16000S3349000;16000S3349000;Formation répertoriée;Site historique;Pas de type UAI;Sonde / Impact volontaire;Action humaine;09/05/1965;(URSS  / RSVN / Korolev);Non applicable;Luna 5 / Lunik 5 (Lunik Class E-6);(USSR  / RSVN / Korolev);Non approuvé par l'UAI;Inexistant à cette époque;Inexistant à cette époque;Inexistant à cette époque;Non applicable;Non applicable;Non applicable;20;20 ème siècle;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;-25,1;334,9000;25 ° 6 '  Ouest;-1,6;1 ° 24 '  Sud;Face visible;Sud-Ouest;Région au Sud-Est de l'Océan des Tempêtes;42;Fra Mauro;252;Pas de carte ou d'image;Pas de carte ou d'image;Non décrit;??;Non applicable;Non applicable;Non applicable;Non applicable;Calcul impossible;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Lancé le 9 Mai 1965 / 7h 55mn (UT) de Baïkonour.;Sonde de 1474 kg. Même classe que Luna 9. Comporte un module d'alunissage en douceur de 84 kg. Tentative avortée par panne de la rétrofusée à 84 km d'altitude. S'écrase sur la Lune le 9 mai 1965 sur le bord Sud de Mare Nubium.;;;;Non décrit;0;Non visible;9;2 jours après le Premier Quartier;1 jour après le Dernier Quartier;999;Non visible;Non visible;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
LUNA 7;LUNA 7;HS90000N3200000;90000N3200000;Formation répertoriée;Site historique;Pas de type UAI;Sonde / Impact volontaire;Action humaine;03/10/1965;(URSS  / RSVN / Korolev);Non applicable;Luna 7 / Lunik 7 (Lunik Class E-6);(USSR  / RSVN / Korolev);Non approuvé par l'UAI;Inexistant à cette époque;Inexistant à cette époque;Inexistant à cette époque;Non applicable;Non applicable;Non applicable;20;20 ème siècle;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;-40;320,0000;40 ° 0 '  Ouest;9;9 ° 0 '  Nord;Face visible;Nord-Ouest;Partie Est de l'Océan des Tempêtes;30;Kepler;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;Non décrit;Pas de carte ou d'image;Non applicable;Non applicable;Non applicable;Non applicable;Calcul impossible;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Lancé le 3 Octobre 1965 de Baïkonour.;Sonde de 1474 kg. Même classe que Luna 9. Comporte un module d'alunissage en douceur de 84 kg. Tentative avortée par panne de rétrofusées. S'écrase sur la Lune le 8 octobre 1965 dans Oceanus Procellarum à 40 km au Sud Est du cratère Marius.;;;;Non décrit;0;Non visible;11;4 jours après le Premier Quartier;3 jours après le Dernier Quartier;999;Non visible;Non visible;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
LUNA 8;LUNA 8;HS91000N2969000;91000N2969000;Formation répertoriée;Site historique;Pas de type UAI;Sonde / Impact volontaire;Action humaine;03/12/1965;(URSS  / RSVN / Korolev);Non applicable;Luna 8 / Lunik 8 (Lunik Class E-6);(USSR  / RSVN / Korolev);Non approuvé par l'UAI;Inexistant à cette époque;Inexistant à cette époque;Inexistant à cette époque;Non applicable;Non applicable;Non applicable;20;20 ème siècle;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;-63,1;296,9000;63 ° 6 '  Ouest;9,1;9 ° 6 '  Nord;Face visible;Nord-Ouest;Limbe Ouest de la Lune;28;Galilei;261;Pas de carte ou d'image;Pas de carte ou d'image;Non décrit;??;Non applicable;Non applicable;Non applicable;Non applicable;Calcul impossible;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Lancé le 3 Décembre 1965 / 10h 48mn (UT) de Baïkonour.;Sonde de 1552 kg. Même classe que Luna 9. Comporte un module d'alunissage en douceur de 84 kg. Se pose sans doute en douceur sur la Lune le 7 décembre 1965 dans Oceanus Procellarum à 40 km au Sud du cratère Galilei. Contact perdu juste avant l'alunissage.;;;;Non décrit;0;Non visible;12;5 jours après le Premier Quartier;4 jours après le Dernier Quartier;999;Non visible;Non visible;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
LUNA 9;LUNA 9;HS71000N2957000;71000N2957000;Formation répertoriée;Site historique;Pas de type UAI;Sonde / Atterrissage ;Action humaine;31/01/1966;(URSS  / RSVN / Korolev);Non applicable;Luna 9 / Lunik 9 (Lunik Class E-6);(USSR  / RSVN / Korolev);Non approuvé par l'UAI;Inexistant à cette époque;Inexistant à cette époque;Inexistant à cette époque;Non applicable;Non applicable;Non applicable;20;20 ème siècle;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;-64,3;295,7000;64 ° 18 '  Ouest;7,1;7 ° 6 '  Nord;Face visible;Nord-Ouest;Limbe Ouest de la Lune;28;Galilei;261;Pas de carte ou d'image;Pas de carte ou d'image;Non décrit;??;Non applicable;Non applicable;Non applicable;Non applicable;Calcul impossible;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Lancé le 31 Janvier 1966 / 11 h 45 de Baïkonour.;Sonde de 1 580 kg. Voyage de 3,5 j. Séquence de freinage par rétrofusée à 75 km d'altitude pendant 46 s. Sonde lunaire contenue dans un ballon gonflé libéré à quelques mètres d'altitude. Premier alunissage en douceur dans Oceanus Procellarum le 3 février à 18 h 45. ;Sonde en forme d'oeuf posée de 82 kg avec instruments et caméras. 4 panneaux solaires en pétales ouverts après l'alunissage. Conteneur scellé avec chauffage interne, batteries et programmateur. Caméra TV fixe avec miroir orientable. 3 séries totalisant 27 photos en 3 jours formant le premier panorama lunaire. ;Apporte la preuve que le sol de la Lune est dur. Photos stéréo suite à un mouvement de la sonde à cause d'un tassement de terrain. Données sur les radiations. Contact perdu le 7 février suite à l'épuisement des batteries.;;Non décrit;0;Non visible;12;5 jours après le Premier Quartier;4 jours après le Dernier Quartier;999;Non visible;Non visible;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
