NAME;LUN;LUN_REDUCED;NAME_TYPE;TYPE;SUBTYPE;PERIOD;GEOLOGY;NAME_DETAIL;NAME_ORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURY_N;CENTURY_C;BIRTH_PLACE;BIRTH_DATE;DEATH_PLACE;DEATH_DATE;FACTS;LONGI_N;LONGI_N_360;LONGI_C;LATI_N;LATI_C;FACE;QUADRANT;AREA;RUKL;RUKL_C;VISCARDY;HATFIELD;OuestFALL;WOOD;LOPAM;LENGTH_KM;WIDE_KM;LENGTH_MI;WIDE_MI;HEIGHT_M;HEIGHT_FE;RAPPORT;PROFIL;GENERAL_1;SLOPES;WALLS;FLOOR;INTEREST_N;INTEREST_C;LUNATION;MOONDAY_S;MOONDAY_M;DIAM_INST;TH_INSTRU;PR_INSTRU;IAU_FEATURE_NAME;IAU_CLEAN_FEATURE_NAME;IAU_FEATURE_ID;IAU_DIAMETER;IAU_CENTER_LATITUDE;IAU_CENTER_LONGITUDE;IAU_NordERN_LATITUDE;IAU_SudERN_LATITUDE;IAU_EstERN_LONGITUDE;IAU_OuestERN_LONGITUDE;IAU_COORDINATE_SYSTEM;IAU_CONTINENT;IAU_ETHNICITY;IAU_FEATURE_TYPE;IAU_FEATURE_TYPE_CODE;IAU_QUAD_NAME;IAU_QUAD_CODE;IAU_APPROVAL_STATUS;IAU_APPROVAL_DATE;IAU_REFERENCE;IAU_ORIGIN;IAU_LINK
NELIOTA 1;Création impossible;Création impossible;Formation non nommée;Impact météoritique contemporain;Pas de sous-type;2017;Non applicable;NELIOTA 1;Projet NELIOTA (ESA);Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;-29,2;330,8;29 ° 12 '  Ouest;-1,5;1 ° 30 '  Sud;Face visible;Sud-Ouest;Non déterminé;999;Non déterminé;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Date & heure de l'évènement : 2017 02 01 @ 17:13:57.862 UT;R Magnitude = 10,15 +/- 0,12 & I Magnitude = 9,05 +/- 0,05 > Latitude : -1,5 ° +/- 0,5 ° > Longitude : -29,2 ° +/- 0,5 °;Images R : 1 & Images I : 1;Géocroiseur validé / Durée maximale : 0,033 / Airmass : 1,66;999;Non visible;Non visible;Non visible;Non visible;Non visible;Non visible;Non visible;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
NELIOTA 2;Création impossible;Création impossible;Formation non nommée;Impact météoritique contemporain;Pas de sous-type;2017;Non applicable;NELIOTA 2;Projet NELIOTA (ESA);Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;-9,7;350,3;9 ° 42 '  Ouest;-10,3;10 ° 42 '  Sud;Face visible;Sud-Ouest;Non déterminé;999;Non déterminé;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Date & heure de l'évènement : 2017 03 01 @ 17:08:46.573 UT;R Magnitude = 6,67 +/- 0,07 & I Magnitude = 6,07 +/- 0,06 > Latitude : -10,3 ° +/- 0,5 ° > Longitude : -9,7 ° +/- 0,5 °;Images R : 2 & Images I : 4;Géocroiseur validé / Durée maximale : 0,132 / Airmass : 2,18;999;Non visible;Non visible;Non visible;Non visible;Non visible;Non visible;Non visible;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
NELIOTA 3;Création impossible;Création impossible;Formation non nommée;Impact météoritique contemporain;Pas de sous-type;2017;Non applicable;NELIOTA 3;Projet NELIOTA (ESA);Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;29,9;29,9;29 ° 54 '  Est;4,5;4 ° 30 '  Nord;Face visible;Nord-Est;Non déterminé;999;Non déterminé;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Date & heure de l'évènement : 2017 03 01 @ 17:13:17.360 UT;R Magnitude = 9,15 +/- 0,11 & I Magnitude = 8,23 +/- 0,07 > Latitude : 4,5 ° +/- 0,5 ° > Longitude : 29,9 ° +/- 0,5 °;Images R : 1 & Images I : 1;Géocroiseur validé / Durée maximale : 0,033 / Airmass : 2,18;999;Non visible;Non visible;Non visible;Non visible;Non visible;Non visible;Non visible;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
NELIOTA 4;Création impossible;Création impossible;Formation non nommée;Impact météoritique contemporain;Pas de sous-type;2017;Non applicable;NELIOTA 4;Projet NELIOTA (ESA);Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;-58,9;301,1;58 ° 54 '  Ouest;-12,7;12 ° 18 '  Sud;Face visible;Sud-Ouest;Non déterminé;999;Non déterminé;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Date & heure de l'évènement : 2017 03 04 @ 20:51:31.853 UT;R Magnitude = 9,5 +/- 0,14 & I Magnitude = 8,79 +/- 0,06 > Latitude : -12,7 ° +/- 0,5 ° > Longitude : -58,9 ° +/- 0,5 °;Images R : 1 & Images I : 1;Géocroiseur validé / Durée maximale : 0,033 / Airmass : 2,55;999;Non visible;Non visible;Non visible;Non visible;Non visible;Non visible;Non visible;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
NELIOTA 5;Création impossible;Création impossible;Formation non nommée;Impact météoritique contemporain;Pas de sous-type;2017;Non applicable;NELIOTA 5;Projet NELIOTA (ESA);Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;-58,8;301,2;58 ° 48 '  Ouest;11,6;11 ° 36 '  Nord;Face visible;Nord-Ouest;Non déterminé;999;Non déterminé;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Date & heure de l'évènement : 2017 04 01 @ 19:45:51.650 UT;R Magnitude = 10,18 +/- 0,13 & I Magnitude = 8,61 +/- 0,03 > Latitude : 11,6 ° +/- 0,5 ° > Longitude : -58,8 ° +/- 0,5 °;Images R : 1 & Images I : 1;Géocroiseur validé / Durée maximale : 0,033 / Airmass : 2,44;999;Non visible;Non visible;Non visible;Non visible;Non visible;Non visible;Non visible;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
NELIOTA 6;Création impossible;Création impossible;Formation non nommée;Impact météoritique contemporain;Pas de sous-type;2017;Non applicable;NELIOTA 6;Projet NELIOTA (ESA);Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;-43,2;316,8;43 ° 12 '  Ouest;4,7;4 ° 42 '  Nord;Face visible;Nord-Ouest;Non déterminé;999;Non déterminé;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Date & heure de l'évènement : 2017 05 01 @ 20:30:58.137 UT;R Magnitude = 10,19 +/- 0,18 & I Magnitude = 8,84 +/- 0,05 > Latitude : 4,7 ° +/- 0,5 ° > Longitude : -43,2 ° +/- 0,5 °;Images R : 1 & Images I : 2;Géocroiseur validé / Durée maximale : 0,066 / Airmass : 2,45;999;Non visible;Non visible;Non visible;Non visible;Non visible;Non visible;Non visible;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
NELIOTA 7;Création impossible;Création impossible;Formation non nommée;Impact météoritique contemporain;Pas de sous-type;2017;Non applicable;NELIOTA 7;Projet NELIOTA (ESA);Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;29,5;29,5;-30 ° 30 '  Ouest;38,5;38 ° 30 '  Nord;Face visible;Nord-Est;Non déterminé;999;Non déterminé;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Date & heure de l'évènement : 2017 05 20 @ 01:58:56.980 UT;R Magnitude = -99,99 +/- -99,99 & I Magnitude = 10,93 +/- 0,32 > Latitude : 38,5 ° +/- 0,5 ° > Longitude : 29,5 ° +/- 0,5 °;Images R : 0 & Images I : 1;Géocroiseur suspecté / Durée maximale : 0,033 / Airmass : 2,84;999;Non visible;Non visible;Non visible;Non visible;Non visible;Non visible;Non visible;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
NELIOTA 8;Création impossible;Création impossible;Formation non nommée;Impact météoritique contemporain;Pas de sous-type;2017;Non applicable;NELIOTA 8;Projet NELIOTA (ESA);Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;-25,8;334,2;25 ° 48 '  Ouest;2,4;2 ° 24 '  Nord;Face visible;Nord-Ouest;Non déterminé;999;Non déterminé;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Date & heure de l'évènement : 2017 05 29 @ 19:00:05.083 UT;R Magnitude = -99,99 +/- -99,99 & I Magnitude = 9,78 +/- 0,12 > Latitude : 2,4 ° +/- 0,5 ° > Longitude : -25,8 ° +/- 0,5 °;Images R : 0 & Images I : 1;Géocroiseur suspecté / Durée maximale : 0,033 / Airmass : 2,24;999;Non visible;Non visible;Non visible;Non visible;Non visible;Non visible;Non visible;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
NELIOTA 9;Création impossible;Création impossible;Formation non nommée;Impact météoritique contemporain;Pas de sous-type;2017;Non applicable;NELIOTA 9;Projet NELIOTA (ESA);Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;55;55;55 ° 0 '  Est;9;9 ° 0 '  Nord;Face visible;Nord-Est;Non déterminé;999;Non déterminé;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Date & heure de l'évènement : 2017 06 19 @ 01:50:34.560 UT;R Magnitude = 9,9 +/- 0,1 & I Magnitude = 9,6 +/- 0,09 > Latitude : 9 ° +/- 1 ° > Longitude : 55 ° +/- 1 °;Images R : 0 & Images I : 2;Géocroiseur suspecté / Durée maximale : 0,066 / Airmass : 2,627;999;Non visible;Non visible;Non visible;Non visible;Non visible;Non visible;Non visible;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
NELIOTA 10;Création impossible;Création impossible;Formation non nommée;Impact météoritique contemporain;Pas de sous-type;2017;Non applicable;NELIOTA 10;Projet NELIOTA (ESA);Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;19;19;19 ° 0 '  Est;34;34 ° 0 '  Nord;Face visible;Nord-Est;Non déterminé;999;Non déterminé;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Date & heure de l'évènement : 2017 06 19 @ 01:51:08.663 UT;R Magnitude = -99 +/- -99 & I Magnitude = 11,02 +/- 0,35 > Latitude : 34 ° +/- 1 ° > Longitude : 19 ° +/- 1 °;Images R : 0 & Images I : 1;Faible géocroiseur suspecté / Durée maximale : 0,033 / Airmass : 2,627;999;Non visible;Non visible;Non visible;Non visible;Non visible;Non visible;Non visible;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
