NAME;LUN;LUN_REDUCED;NAME_TYPE;TYPE;TYPE_IAU;SUBTYPE;PROCESS;PERIOD;PERIOD_SOURCE;GEOLOGY;NAME_DETAIL;NAME_ORIGIN;IAU_APPROVAL;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURY_N;CENTURY_C;BIRTH_PLACE;BIRTH_DATE;DEATH_PLACE;DEATH_DATE;FACTS;LONGI_N;LONGI_N_360;LONGI_C;LATI_N;LATI_C;FACE;QUADRANT;AREA;RUKL;RUKL_C;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTH_KM;LENGTH_KM_ILCD;WIDE_KM;LENGTH_MI;WIDE_MI;LENGTH_ARCSEC;HEIGHT_M;HEIGHT_FE;RAPPORT;PROFIL;FLOOR_DIAMETER_KM;PEAK_HEIGHT_KM;PEAK_DIAMETER_KM;EXCAVATION_DEPTH_KM;MELTING_DEPTH_KM;EJECTA_THICK_M_1RADIUS;EJECTA_THICK_M_3RADIUS;EJECTA_THICK_M_5RADIUS;RADAR_BRIGHT_HALO_RADIUS;RADAR_DARK_HALO_RADIUS;GENERAL_1;GENERAL_2;SLOPES;WALLS;FLOOR;ELGER_1895;INTEREST_N;INTEREST_C;LUNATION;MOONDAY_S;MOONDAY_M;DIAM_INST;TH_INSTRU;PR_INSTRU;IAU_FEATURE_NAME;IAU_CLEAN_FEATURE_NAME;IAU_FEATURE_ID;IAU_DIAMETER;IAU_CENTER_LATITUDE;IAU_CENTER_LONGITUDE;IAU_NORTHERN_LATITUDE;IAU_SOUTHERN_LATITUDE;IAU_EASTERN_LONGITUDE;IAU_WESTERN_LONGITUDE;IAU_COORDINATE_SYSTEM;IAU_CONTINENT;IAU_ETHNICITY;IAU_FEATURE_TYPE;IAU_FEATURE_TYPE_CODE;IAU_QUAD_NAME;IAU_QUAD_CODE;IAU_APPROVAL_STATUS;IAU_APPROVAL_DATE;IAU_REFERENCE;IAU_ORIGIN;IAU_LINK;
ABBE;AA5758S17477E;5758S17477E;IAU Named formation;Crater;AA;Not determined;Meteoritic impact;Nectarian (From -3.92 billions years to -3.85 billions years);Byrne / Personal communication / 2008;No details;Ernst K. Abbe;IAU 1970 ?;01/01/1970 00:00:00;Not known;Not known;Not known;physicist;Germany;German;19;19 th century;Eisenach;1840;Iena;1905;Director of Iena observatory. Author of a classical theory of microscopes in 1877 and of sinuses relations. Associated with Carl Zeiss. Conceiver of a refractometer and of the first apochromatic objectives and of orthoscopic eyepieces.;174.774969;174.774969;174.775° East;-57.575482;57.575° South;Farside;South-East;Not determined;No map;No map;No map or picture;No map or picture;No map or picture;Not described;V-065-M;66;63,98;66;39;39;31,9;3650;11680;0,057052617999224;A__________________________________A;33,6969704432092;0;0;5,14696587984631;10,0525031739832;301,882941710781;11,1808496929919;2,41506353368624;86,9446524997725;131,08196006868;Not observable;;;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable;Abbe;Abbe;9;63.976;-57.5754823530759;174.774969010485;-56.5205917358398;-58.6303691864014;176.736333847046;172.813470840454;LOLA2011;Europe;Germany;Crater, craters;AA;Hess;LAC-132;Adopted by IAU;01/01/1970 00:00:00;;Ernst Karl. German optician, physicist, astronomer (1840-1905).;http://planetarynames.wr.usgs.gov/Feature/9;
ABBOT;AA0556N05474E;0556N05474E;IAU Named formation;Crater;AA;Not determined;Meteoritic impact;Imbrian (From -3.85 billions years to -3.2 billions years) ?;Period source not found;No details;Charles Greeley Abbot (ex Apollonius K);?;01/01/1973 00:00:00;Not named;Not named;Not named;Astrophysicist;U. S. A.;American;20;20 th century;Wilton;1872;Washington;1973;Director of the observatory of the Smithsonian Institution. Determination of the value of the solar constant and the distribution of energy in the solar spectrum.;54.743059;54.743059;54.743° East;5.556162;5.556° North;Nearside;North-East;North edge of Mare Fecunditatis;37;Taruntius;229;3c2;315C 124C;Not described;;10;10,4;10;6;6;5,2;2086;6675,2;0,200644105105784;A________A;1,93386225831192;0;0;0,8736;1,01510197846795;208;7,7037037037037;1,664;9,47206230720819;28,5264139678943;Circular formation isolated with bowl shape.;;Pretty steep slopes.;Few high walls.;Rounded floor.;;1;Low interest or difficult formation;3;3 days after New Moon;2 days after Full Moon;50;50 mm refractor;100 mm refractor;Abbot;Abbot;10;10.4043;5.55616226346136;54.7430589309508;5.72772026062012;5.38460731506348;54.9154148101807;54.570707321167;LOLA2011;North America;American;Crater, craters;AA;Mare Undarum;LAC-62;Adopted by IAU;01/01/1973 00:00:00;;Charles Greeley. American astrophysicist (1872-1973).;http://planetarynames.wr.usgs.gov/Feature/10;
ABEL;AA3463S08578E;3463S08578E;IAU Named formation;Crater;AA;Not determined;Meteoritic impact;Pre-Nectarian (From -4.55 billions years to -3.92 billions years);Wilhelms / 1987 / Geological history of the Moon table;No details;Niels Henrik Abel;Franz (1913);01/01/1964 00:00:00;Not named;Not named;Not named;Mathematician;Norway;Norwegian;19;19 th century;Finnoy Island;1802;Arendal;1829;Specialist of the theory of elliptic integrals and works on the so called abelian integrals.;85.776219;85.776219;85.776° East;-34.625700;34.626° South;Librations zone;South-East;Moon South-East limb;69;Furnerius;112;Not determined;291S Q4SE;Not described;IV-009-H3;114;137,35;114;69;69;68,6;4593;14697,6;0,033447084140138;A__________________________________________________________A;0;0;33,00365;9,85299025037303;23,273703173735;531,323530885953;19,6786492920723;4,25058824708762;195,777974393604;248,910246921087;Circular formation situated in the zone of librations.;;Few steep slopes supporting Abel L to the West, Barnard and Abel A to the North.;Few high walls almost gobbled to the East in the Mare Australe lava.;Flat floor filled with lava supporting a ghost crater to the North-east.;;2;Pretty interesting formation;2;2 days after New Moon;1 day after Full Moon;5;Naked eye;10x binoculars;Abel;Abel;12;137.349;-34.6257003361427;85.7762185311885;-32.5447616577148;-36.7717876434326;88.2099132537842;83.4320240020752;LOLA2011;Europe;Norway;Crater, craters;AA;Mare Australe;LAC-116;Adopted by IAU;01/01/1964 00:00:00;;Niels Henrik. Norwegian mathematician (1802-1829).;http://planetarynames.wr.usgs.gov/Feature/12;
ABENEZRA;AA2099S01189E;2099S01189E;IAU Named formation;Crater;AA;Not determined;Meteoritic impact;Upper Imbrian (From -3.8 billions years to -3.2 billions years);Wilhelms / 1987 / Geological history of the Moon table;No details;Abraham Bar Rabbi ben Ezra;Riccioli (1651);01/01/1935 00:00:00;Schirley;Not named;Abenezra;Philosopher and astronomer;Spain;Spanish;12;12 th century;?;1092;?;1167;?;11.890657;11.890657;11.891° East;-20.993564;20.994° South;Nearside;South-East;East of Catharina crater region;56;Azophi;154;13d3;351S 357S 154S 161S 167S;Not described;IV-096-H1;41;43,19;42;25;25;21,5;3243;10377,6;0,075087498976741;A__________________________A;20,6269600947305;0,999668856428053;8,61621;3,68544056976759;6,52736989887673;225,709277136817;8,35960285691914;1,80567421709453;57,2684633157551;94,2518876204715;Circular formation with hexagon shape composing a remarkable gathering with Azophi and Abenezra C;;Pretty steep slopes crushing Abenezra C to the West and supporting Azophi to the South-West.;Walls in high terraces.;Tormented floor.  Circular crest lines. Hills.;When observed near the morning terminator, this noteworthy ring-plain, 27 miles in diameter, seems to be divided into two by a curved ridge which traverses the formation from N. to S., and extends beyond its limits. The irregular border rises on the W. to a height of more than 14,000 feet above the deeply-sunken floor, which includes several craters, hills, and ridges.;4;Exceptional formation;6;6 days after New Moon;5 days after Full Moon;30;10x binoculars;50 mm refractor;Abenezra;Abenezra;14;43.1887;-20.9935637435813;11.8906568620438;-20.2814178466797;-21.7057094573975;12.6534671783447;11.1278171539307;LOLA2011;Europe;Spain;Crater, craters;AA;Rupes Altai;LAC-96;Adopted by IAU;01/01/1935 00:00:00;;Abraham ben Meir Ibn Ezra. Spanish mathematician, astronomer (1092-1164/1167).;http://planetarynames.wr.usgs.gov/Feature/14;
ABETTI;AA2011N02782E;2011N02782E;IAU Named formation;Crater;AA;Not determined;Meteoritic impact;Imbrian (From -3.85 billions years to -3.2 billions years) ?;Period source not found;No details;Antonio Abetti;?;01/01/1976 00:00:00;Not named;Not named;Not named;Astronomer;Italy;Italian;19;19 th century;?;1846;?;1928;?;27.815724;27.815724;27.816° East;20.112727;20.113° North;Nearside;North-East;South-East part of Mare Serenitatis;24;Bessel;284;Not determined;343C 143C 148C;Not described;;17;1,6;17;10;10;0,8;315;1008;0,196923375362373;A__________A;0,071061351539304;0;0;0,1344;0,090276619219788;32;1,18518518518519;0,256;0,912647041656915;5,92772037489911;Ghost circular formation.;;Almost flat slopes.;Very flat walls.;Flat floor filled with the lava of Mare Serenitatis.;;2;Pretty interesting formation;5;5 days after New Moon;4 days after Full Moon;50;50 mm refractor;100 mm refractor;Abetti;Abetti;16;1.59879;20.1127273642687;27.8157242752838;20.1390933990479;20.0863666534424;27.8438014984131;27.7876529693604;LOLA2011;Europe;Italy;Crater, craters;AA;Mare Serenitatis;LAC-42;Adopted by IAU;01/01/1976 00:00:00;;Antonio. Italian astronomer (1846-1928). Giorgio. Italian astronomer (1882-1982).;http://planetarynames.wr.usgs.gov/Feature/16;
ABUL WAFA;AA0096N11663E;0096N11663E;IAU Named formation;Crater;AA;Not determined;Meteoritic impact;Birth period not found;Period source not found;No details;Abu al-Wafa al-Buzadjani;IAU 1985 ?;01/01/1970 00:00:00;Not known;Not known;Not known;mathematician;Iran;Iranian;10;10 th century;Buzadjan;940;Bagdad;997;Author of an arithmetrical treaty and of a precise method for sinuses calculations. ;116.630644;116.630644;116.631° East;0.962556;0.963° North;Farside;North-East;Not determined;No map;No map;No map or picture;No map or picture;No map or picture;Not described;;55;55;55;32;32;0;Unknown;Unknown;Unknown height. Impossible calculation;Unknown height. Impossible drawing;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Not observable;;;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable; Abul W?fa;Abul Wafa;22;54.1787;0.962556433777243;116.630644476252;1.85593605041504;0.0691814422607422;117.524133682251;115.737173080444;LOLA2011;Asia;Persian;Crater, craters;AA;Ostwald;LAC-65;Adopted by IAU;01/01/1970 00:00:00;; Ab? al-Waf? al-B?zaj?ni. Persian mathematician. astronomer (940-998).;http://planetarynames.wr.usgs.gov/Feature/22;
ABULFEDA;AA1387S01391E;1387S01391E;IAU Named formation;Crater;AA;Not determined;Meteoritic impact;Nectarian (From -3.92 billions years to -3.85 billions years);Wilhelms / 1987 / Geological history of the Moon table;No details;Isma'il Abu al-Fida;Riccioli (1651);01/01/1935 00:00:00;Derkenni;Not named;Abulfeda;Historian;Araby;Arabian;14;14 th century;Damas;1273;Hamah;1331;"Prince of the dynasty of Ayyubides. Author of  the ""History"" that follows Ibn al-Athir work";13.910298;13.910298;13.910° East;-13.865087;13.865° South;Nearside;South-East;East of Ptolemaeus crater region;45;Andel;202;13c5 / 13d5;351C/S 154C/S 16LS 167C;Not described;IV-089-H2;63;62,23;62;38;38;31,1;3619;11580,8;0,058169407175781;A__________________________________A;32,5497275656376;0;13,54757;5,02705364468413;9,75076815789919;295,750638983686;10,9537273697661;2,36600511186949;84,4200614791399;128,065700162555;Damaged circular formation.;Partly covered by imbrian ejecta. Typical ;Steep slopes supporting many craterlets whose Abulfeda R to the North-West and Abulfeda S and W to the North.;Very high walls in terraces overlapped by Catena Abulfeda to the South and by Abulfeda U & Y to the North.;Extensive flat floor filled with lava.  White stpot off center and hills.  Craterlets to the North-East and to the South-West.;A larger and more massive formation than Almanon, 39 miles in diameter, the E. wall rising about 10,000 feet above the interior, which is depressed more than 3000 feet. It is continuous on the W., but much broken by transverse valleys on the S.E., and by little depressions on the N. On the S.E. originates the very curious bright crater-row which runs in a straight line to the N.W. wall of Almanon, crossing for the first few miles the lofty table-land lying on the S.E. side of the border. With the exception of a low central mountain, the interior of Abulfeda contains no visible detail. The rampart is finely terraced on the E. and W. The E. _glacis_ is very rugged.;3;Very interesting formation;6;6 days after New Moon;5 days after Full Moon;30;10x binoculars;50 mm refractor;Abulfeda;Abulfeda;23;62.2345;-13.8650869926429;13.9102981681918;-12.8388595581055;-14.8913135528564;14.9672718048096;12.8533458709717;LOLA2011;Asia;Syria;Crater, craters;AA;Theophilus;LAC-78;Adopted by IAU;01/01/1935 00:00:00;; Ismail Ibn Ab? al-Fid?. Syrian geographer (1273-1331).;http://planetarynames.wr.usgs.gov/Feature/23;
ACOSTA;AA0565S06014E;0565S06014E;IAU Named formation;Crater;AA;Not determined;Meteoritic impact;Copernician (From -1.1 billions years to present days) ?;Period source not found;No details;Cristobal Acosta (ex Langrenus C);?;01/01/1976 00:00:00;Not named;Not named;Not named;Doctor and historian;Portugal;Portugese;16;16 th century;?;1515;?;1580;?;60.139473;60.139473;60.139° East;-5.645305;5.645° South;Nearside;South-East;Moon East limb;49;Langrenus;189;15b6 / 15c6;105C 112C 119C;Not described;;13;13,06;13;8;8;6,5;2626;8403,2;0,201101589438419;A________A;2,89068920836416;0;0;1,09704;1,36263742379177;261,2;9,67407407407407;2,0896;12,591626798956;34,5360049583768;Circular formation with bowl shape situated on the North slope of Langrenus;;Pretty steep slopes.;Pretty high walls.;Rounded floor.;;2;Pretty interesting formation;3;3 days after New Moon;2 days after Full Moon;50;50 mm refractor;100 mm refractor;Acosta;Acosta;40;13.0615;-5.64530508826036;60.1394730652901;-5.42993354797363;-5.86067581176758;60.3558940887451;59.9230518341064;LOLA2011;Europe;Portugal;Crater, craters;AA;Langrenus;LAC-80;Adopted by IAU;01/01/1976 00:00:00;; ;http://planetarynames.wr.usgs.gov/Feature/40;
ADAMS;AA3189S06839E;3189S06839E;IAU Named formation;Crater;AA;Not determined;Meteoritic impact;Nectarian (From -3.92 billions years to -3.85 billions years);Wilhelms / 1987 / Geological history of the Moon table;No details;John Couch Adams;Birt / Lee (1865);01/01/1970 00:00:00;Not named;Not named;Not named;Astronomer;Great Britain;British;19;19 th century;Laneast;1819;Cambridge;1892;Has demonstrated the existence and indicated the position of Neptune independently of Le Verrier, but his works have not been published by the Royal Observatory.;68.386902;68.386902;68.387° East;-31.891634;31.892° South;Nearside;South-East;Moon South-East limb;69;Furnerius;113;15d1 / 16b7;303S Q4SE 099C 105C 112C;Not described;IV-038-H3 IV-096-H2 IV-039-H1 IV-184-H2;66;63,27;66;40;40;31,6;3637;11638,4;0,05749938669167;A__________________________________A;33,2305631925042;0;13,81693;5,09837584811206;9,92998529701271;299,400303595217;11,0889001331562;2,39520242876174;85,919862761001;129,859838229515;Isolated circular formation;;Pretty steep slopes supporting Adams B to the West and Adams D to the East.;Pretty high walls in terraces overlapped by two craterlets to the North and a crater to the South.;Flat floor with craterlets whose a central.;;3;Very interesting formation;2;2 days after New Moon;1 day after Full Moon;30;10x binoculars;50 mm refractor;Adams;Adams;47;63.2702;-31.8916341691825;68.3869015353649;-30.8483333587646;-32.9349346160889;69.6150379180908;67.1587657928467;LOLA2011;North America;American;Crater, craters;AA;Petavius;LAC-98;Adopted by IAU;01/01/1970 00:00:00;;John Couch. British astronomer (1819-1892). Charles Hitchcock. American astronomer (1868-1951). Walter Sydney. American astronomer (1876-1956).;http://planetarynames.wr.usgs.gov/Feature/47;
AEPINUS;AA8796N10969W;8796N10969W;IAU Named formation;Crater;AA;Not determined;Meteoritic impact;Not found;Period source not found;No details;Franz Maria Ulrich Theodor Hoch;IAU;22/01/2009 00:00:00;Not known;Not known;Not known;Astronomer;Europe;Germany;18;18th century;Unknown;1724;Unknown;1802;Unknown;-109.686947;250.313053;109.687° West;87.958199;87.958° North;Farside;North-West;Peary;99;Not determined;Not determined;Not determined;Not determined;Not described;Not determined;16.7447;16,74;16.7447;10.03;10.03;8,3;2438;7801,6;0,14564495193994;A____________A;4,48012436164;0;0;1,64666716057073;2,30360876355444;111,929580118203;4,14554000437791;0,895436640945628;20,9199694054813;42,5372806964263;Not observable;;;;;;;Not observable;0;not observable;not observable;;;;Aepinus;Aepinus;14523;16.7447;87.9581992969988;250.313052641107;88.2343044281006;87.6820964813232;258.086297988892;242.539808273315;LOLA2011;Europe;Germany;Crater, craters;AA;Peary;LAC-1;Adopted by IAU;22/01/2009 00:00:00;;Franz Maria Ulrich Theodor Hoch. German-Russian astronomer (1724-1802).;http://planetarynames.wr.usgs.gov/Feature/14523;
