NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURY;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS_UK;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
ABBE;Crater;;Ernst K. Abbe;UAI 1970 ?;Not known;Not known;Not known;physicist;Germany;German;19;19 th century;Eisenach;1840;Iena;1905;Director of Iena observatory. Author of a classical theory of microscopes in 1877 and of sinuses relations. Associated with Carl Zeiss. Conceiver of a refractometer and of the first apochromatic objectives and of orthoscopic eyepieces.;175,2;175,2 ° East;-57,3;57,3 ° South;South-East;;No map;;No map or picture;No map or picture;No map or picture;;V-065-M;66;66;39;39;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
ABUL WAFA;Crater;;Abu al-Wafa al-Buzadjani;UAI 1985 ?;Not known;Not known;Not known;mathematician;Iran;Iranian;10;10 th century;Buzadjan;940;Bagdad;997;Author of an arithmetrical treaty and of a precise method for sinuses calculations. ;116,6;116,6 ° East;1;1 ° North;North-East;;No map;;No map or picture;No map or picture;No map or picture;;;55;55;32;32;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
AITKEN;Crater;;Robert Grant Aitken;UAI 1970 ?;Not known;Not known;Not known;astronomer;USA;American;20;20 th century;Jackson;1864;Berkeley;1954;Author of New General Catalogue of Double Stars in 1932.;173,4;173,4 ° East;-16,8;16,8 ° South;South-East;;No map;;No map or picture;No map or picture;No map or picture;;II-033-H3 II-075-M II-033-H2 II-033-M;135;135;79;79;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
AL BIRUNI;Crater;;Al-Biruni;UAI 1984 ?;Not known;Not known;Not known;scientist;Iran;Iranian;11;11 th century;Kath;973;Rhazni;1050;Great traveller. Astrologist of Rhazni Sultan in 1017. Civilizations historian. Author of Kitah al Qanun al Mas'udi, general astronomy treaty inpired from Ptolemeaus.;92,5;92,5 ° East;17,9;17,9 ° North;North-East;;III;Mare Marginis;No map or picture;No map or picture;No map or picture;;;77;77;45;45;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Circular formation situated in the zone of librations.;;;;1;Low interest or difficult formation;1;2 days after New Moon;1 day after Full Moon;30;x10 binoculars;50 mm refractor
ALDEN;Crater;;Harold L.Alden;UAI 1970 ?;Not known;Not known;Not known;astronomer;USA;American;20;20 th century;??;1890;??;1964;??;110,8;110,8 ° East;-23,6;23,6 ° South;South-East;;No map;;No map or picture;No map or picture;No map or picture;;III-121-M;104;104;61;61;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
ALDER;Crater;;Kurt Alder;UAI 1970 ?;Not known;Not known;Not known;chemist;Germany;German;20;20 th century;Königshütte;1902;Koln;1958;Professor in Koln University in 1940. Nobel prize in 1950 with Otto Diels.;-177,4;177,4 ° West;-48,6;48,6 ° South;South-West;;No map;;No map or picture;No map or picture;No map or picture;;V-065-M;77;77;45;45;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
ALEKHIN;Crater;;Nikolaj P. Alekhin;UAI 1970 ?;Not known;Not known;Not known;engineer;USSR;Soviet;20;20 th century;??;1913;??;1964;Rockets designer.;-131,3;131,3 ° West;-68,2;68,2 ° South;South-West;;No map;;No map or picture;No map or picture;No map or picture;;;70;70;41;41;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
AL-KHWARIZMI;Crater;;Al-Khwarizmi;UAI 1991 ?;Not known;Not known;Not known;mathematician;Iraq;Iraqi;9;9 th century;??;??;??;825;??;106,4;106,4 ° East;7,1;7,1 ° North;North-East;;No map;;No map or picture;No map or picture;No map or picture;;;65;65;38;38;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
ALTER;Crater;;Dinsmore Alter;UAI 1979 ?;Not known;Not known;Not known;astronomer;USA;American;20;20 th century;??;1888;??;1968;??;-107,5;107,5 ° West;18,7;18,7 ° North;North-West;;No map;;No map or picture;No map or picture;No map or picture;;V-015-H2;64;64;38;38;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
AMICI;Crater;;Giovanni Battista Amici;UAI 1970 ?;Not known;Not known;Not known;optician;Italy;Italian;19;19 th century;Modena;1786;Florence;1863;Director of Florence observatory. Inventor of a specteoscope with prism. Survey on cristals orientation in minerals.;-172,1;172,1 ° West;-9,9;9,9 ° South;South-West;;No map;;No map or picture;No map or picture;No map or picture;;;54;54;32;32;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
ANDERS;Crater;;William A. Anders;UAI 1970 ?;Not known;Not known;Not known;astronaut;USA;American;20;20 th century;??;1933;;;Apollo 8 mission astronaut in december 1968 with Frank Borman and Jim Lovell.;-142,9;142,9 ° West;-41,3;41,3 ° South;South-West;;No map;;No map or picture;No map or picture;No map or picture;;V-030-H1;40;40;24;24;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
ANDERSON;Crater;;John A. Anderson;UAI 1970 ?;Not known;Not known;Not known;astronomer;USA;American;20;20 th century;??;1876;??;1959;??;171,1;171,1 ° East;15,8;15,8 ° North;North-East;;No map;;No map or picture;No map or picture;No map or picture;;II-034-M;109;109;64;64;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
ANDERSSON;Crater;;Leif Erland;UAI 1970 ?;Not known;Not known;Not known;astronomer;USA;American;20;20 th century;??;1943;??;1979;??;-95,3;95,3 ° West;-49,7;49,7 ° South;South-West;;VI;Hausen;No map or picture;No map or picture;No map or picture;;;13;13;8;8;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Circular formation situated in the zone of librations.;;;;1;Low interest or difficult formation;14;Full Moon;6 days after Last Quarter;30;x10 binoculars;50 mm refractor
ANDRONOV;Crater;;Aleksandr Aleksandrovich Andronov;UAI 1970 ?;Not known;Not known;Not known;physicist;USSR;Soviet;20;20 th century;??;1901;??;1952;??;146,1;146,1 ° East;-22,7;22,7 ° South;South-East;;No map;;No map or picture;No map or picture;No map or picture;;;16;16;9;9;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
ANTONIADI;Crater;;Eugène M. Antoniadi;UAI 1970 ?;Not known;Not known;Not known;astronomer;France;French;20;20 th century;Istanbul;1870;Meudon;1944;Survey of planetary surfaces (Mars and Mercury principally) with 82 cm Meudon refractor. Opponant to Lowell theory of Mars channels.;-172;172 ° West;-69,7;69,7 ° South;South-West;;No map;;No map or picture;No map or picture;No map or picture;;;143;143;84;84;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
ANUCHIN;Crater;;Dimitri N. Anuchin;UAI 1970 ?;Not known;Not known;Not known;geographer;USSR;Soviet;20;20 th century;??;1843;??;1923;??;101,3;101,3 ° East;-49;49 ° South;South-East;;V;Hale;No map or picture;No map or picture;No map or picture;;IV-009-H1 IV-008-M ;57;57;34;34;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Circular formation situated in the zone of librations.;;;;1;Low interest or difficult formation;1;2 days after New Moon;1 day after Full Moon;30;x10 binoculars;50 mm refractor
APOLLO;Crater;;Apollo american missions;UAI 1970 ?;Not known;Not known;Not known;lunar landings;USA;American;20;20 th century;;1967;;1972;Dedicated to Apollo american human missions that brought 12 astrnauts on the Moon surface.;-151,8;151,8 ° West;-36,1;36,1 ° South;South-West;;No map;;No map or picture;No map or picture;No map or picture;;;537;537;316;316;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
APPLETON;Crater;;Sir Edward Victor Appleton;UAI 1985 ?;Not known;Not known;Not known;physicist;United Kingdom;British;20;20 th century;Bradford;1892;Edimburg;1965;Assistant de Rutherford. Ministre de la recherche en 1939. Etude sur l'ionosphère. Auteur du premierécho radar sur la Lune en 1946.Prix Nobel en 1947. Rutherford assistant. Research Ministry in 1939. Surveys on atmosphere. Author of firdt radar echo on the Moon in 1946. Nobel laureate in 1947.;158,3;158,3 ° East;37,2;37,2 ° North;North-East;;No map;;No map or picture;No map or picture;No map or picture;;V-085-H2 V-085-M V-103-M;63;63;37;37;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
ARIOSTO;Crater;;Ludovico Ariosto dit L'Arioste;UAI 1970 ?;Not known;Not known;Not known;writer;Italy;Italian;16;16 th centur:y;??;1474;??;1533;??;95,6;95,6 ° East;-3,6;3,6 ° South;South-East;;No map;;No map or picture;No map or picture;No map or picture;;;23;23;14;14;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Circular formation situated in the zone of librations.;;;;1;Low interest or difficult formation;1;2 days after New Moon;1 day after Full Moon;30;x10 binoculars;50 mm refractor
ARMINSKI;Crater;;Franciszek Arminski;UAI 1970 ?;Not known;Not known;Not known;astronomer;Polska;Polish;19;19 th century;??;1789;??;1848;??;154,2;154,2 ° East;-16,4;16,4 ° South;South-East;;No map;;No map or picture;No map or picture;No map or picture;;II-075-M II-075-H1;26;26;15;15;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
ARRHENIUS;Crater;;Svante A. Arrhenius;UAI 1970 ?;Not known;Not known;Not known;scientist;Sweden;Swedish;20;20 th century;Wijk;1859;Stockholm;1927;Director of Stockholm university in 1897. Director of Nobel institute in 1905. Author of a theory of electrolytes ionization in 1887. Author of panspermia hypothesis in 1900 and of a cosmogonic theory. Chemistry Nobel laureate in 1903. ;-91,3;91,3 ° West;-55,6;55,6 ° South;South-West;;VI;Hausen;No map or picture;No map or picture;No map or picture;;IV-038-H2 IV-193-H3;40;40;24;24;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Circular formation situated in the zone of librations.;;;;1;Low interest or difficult formation;14;Full Moon;6 days after Last Quarter;30;x10 binoculars;50 mm refractor
ARTAMONOV;Crater;;Nikolaj N. Artamonov;UAI 1970 ?;Not known;Not known;Not known;engineer;USSR;Soviet;20;20 th century;??;1906;??;1965;Scientist involved in the soviet space program.;103,5;103,5 ° East;25,5;25,5 ° North;North-East;;No map;;No map or picture;No map or picture;No map or picture;;;60;60;35;35;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
ARTEM'EV;Crater;;Vladimir A. Artem'ev;UAI 1970 ?;Not known;Not known;Not known;engineer;USSR;Soviet;20;20 th century;??;1885;??;1962;Scientist involved in the soviet space program.;-144,4;144,4 ° West;10,8;10,8 ° North;North-West;;No map;;No map or picture;No map or picture;No map or picture;;V-032-M;67;67;39;39;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
AVICENNA;Crater;;Abu Ali Al Husayn Ibn Sina;UAI 1970 ?;Not known;Not known;Not known;philosophist;Iran;Iranian;11;11th century;Afchana;980;Hamadhan;1037;Doctor of prince Boukhara. Author of medecine cannons. Numerous deseases description and of their treatment. Author of a cosmology based on possible and necessary beings.;-97,2;97,2 ° West;39,7;39,7 ° North;North-West;;VIII;Röntgen;No map or picture;No map or picture;No map or picture;;;74;74;44;44;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Circular formation situated in the zone of librations.;;;;1;Low interest or difficult formation;14;Full Moon;6 days after Last Quarter;30;x10 binoculars;50 mm refractor
AVOGADRO;Crater;;Amedeo (Conte Di Quarengna e Cerreto);UAI 1970 ?;Not known;Not known;Not known;chemist;Italy;Italian;19;19 th century;Turino;1776;Turino;1856;Physics professor in Turino university in 1820. Discoverer of atoms number in an atom-gram. Author of  a law on gases density.;164,9;164,9 ° East;63,1;63,1 ° North;North-East;;No map;;No map or picture;No map or picture;No map or picture;;;139;139;82;82;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
BABAKIN;Crater;;Georgij N. Babakin;UAI 1970 ?;Not known;Not known;Not known;engineer;USSR;Soviet;20;20 th century;??;1914;??;1971;Scientist involved in the soviet space program.;123,3;123,3 ° East;-20,8;20,8 ° South;South-East;;No map;;No map or picture;No map or picture;No map or picture;;;20;20;12;12;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
