NAME;LUN;LUN_REDUCED;NAMETYPE;TYPE;SUBTYPE;PERIOD;GEOLOGY;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIN360;LONGIC;LATIN;LATIC;FACE;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU;IAU_FEATURE_NAME;IAU_CLEAN_FEATURE_NAME;IAU_FEATURE_ID;IAU_DIAMETER;IAU_CENTER_LATITUDE;IAU_CENTER_LONGITUDE;IAU_NORTHERN_LATITUDE;IAU_SOUTHERN_LATITUDE;IAU_EASTERN_LONGITUDE;IAU_WESTERN_LONGITUDE;IAU_COORDINATE_SYSTEM;IAU_CONTINENT;IAU_ETHNICITY;IAU_FEATURE_TYPE;IAU_FEATURE_TYPE_CODE;IAU_QUAD_NAME;IAU_QUAD_CODE;IAU_APPROVAL_STATUS;IAU_APPROVAL_DATE;IAU_REFERENCE;IAU_ORIGIN;IAU_LINK
ABBE;AA5758S17477E;5758S17477;AA;Cratère;;;;Ernst K. Abbe;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Physicien;Allemagne;allemand;19;19 ème siècle;Eisenach;1840;Iéna;1905;Directeur de l'observatoire d'Iéna. Auteur de la théorie classique du microscope en 1877 et de la relation des sinus. Associé avec Carl Zeiss. Inventeur d'un réfractomètre et des premiers objectifs apochromatiques et oculaires orthoscopiques.;174.774969;174.774969;174.775° Est;-57.575482;57.575° Sud;Face cachée;Sud-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;V-065-M;66;66;39;39;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable;Abbe;Abbe;9;63.976;-57.5754823530759;174.774969010485;-56.5205917358398;-58.6303691864014;176.736333847046;172.813470840454;LOLA2011;Europe;Germany;Crater, craters;AA;Hess;LAC-132;Adopted by IAU;1970-01-01 00:00:00;;Ernst Karl. German optician, physicist, astronomer (1840-1905).;http://planetarynames.wr.usgs.gov/Feature/9
ABUL WAFA;AA0096N11663E;0096N11663;AA;Cratère;;;;Abu al-Wafa al-Buzadjani;UAI 1985 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Mathématicien;Iran;iranien;10;10 ème siècle;Buzadjan;940;Bagdad;997;Auteur d'un traité d'arithmétique et d'une méthode précise de calcul des sinus.. ;116.630644;116.630644;116.631° Est;0.962556;0.963° Nord;Face cachée;Nord-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;55;55;32;32;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable;Abul Wáfa;Abul Wafa;22;54.1787;0.962556433777243;116.630644476252;1.85593605041504;0.0691814422607422;117.524133682251;115.737173080444;LOLA2011;Asia;Persian;Crater, craters;AA;Ostwald;LAC-65;Adopted by IAU;1970-01-01 00:00:00;;Abū al-Wafā al-Būzajāni. Persian mathematician, astronomer (940-998).;http://planetarynames.wr.usgs.gov/Feature/22
AITKEN;AA1644S17296E;1644S17296;AA;Cratère;;;;Robert Grant Aitken;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astronome;Etats-Unis;américain;20;20 ème siècle;Jackson;1864;Berkeley;1954;"Auteur du ""New General Catalogue of Double Stars"" en 1932.";172.958257;172.958257;172.958° Est;-16.442982;16.443° Sud;Face cachée;Sud-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;II-033-H3 II-075-M II-033-H2 II-033-M;135;135;79;79;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable;Aitken;Aitken;119;129.693;-16.442981593682;172.958257104497;-14.3044872283936;-18.5814762115479;175.187864303589;170.728651046753;LOLA2011;North America;American;Crater, craters;AA;Van de Graaff;LAC-104;Adopted by IAU;1970-01-01 00:00:00;;Robert Grant. American astronomer (1864-1951).;http://planetarynames.wr.usgs.gov/Feature/119
AL BIRUNI;AA1807N09262E;1807N09262;AA;Cratère;;;;Al-Biruni;UAI 1984 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Savant;Iran;iranien;11;11 ème siècle;Kath;973;Rhazni;1050;"Grand voyageur. Astrologue du sultan de Rhazni en 1017. Historien des civilisations. Auteur du ""Kitah al Qanun al Mas'udi"", traité d'astronomie générale inspiré de Ptolémée.";92.616176;92.616176;92.616° Est;18.071294;18.071° Nord;Zone des librations;Nord-Est;;III;Mare Marginis;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;77;77;45;45;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Formation circulaire située dans la zone des librations.;;;;1;Formation difficile ou peu intéressante;1;2 jours après la Nouvelle Lune;1 jour après la Pleine Lune;30;Jumelles x10;Lunette 50 mm;Al-Biruni;Al Biruni;146;80.4102;18.0712940391157;92.6161762877919;19.3971767425537;16.7454166412354;94.0111713409424;91.2211856842041;LOLA2011;Asia;Persian;Crater, craters;AA;Joliot;LAC-46;Adopted by IAU;1970-01-01 00:00:00;;Abū ar-Rayhān Muhammad ibn Ahmad al-Birūnī. Persian astronomer, mathematician, geographer (973-1048).;http://planetarynames.wr.usgs.gov/Feature/146
ALDEN;AA2351S11111E;2351S11111;AA;Cratère;;;;Harold L.Alden;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astronome;Etats-Unis;américain;20;20 ème siècle;??;1890;??;1964;??;111.114134;111.114134;111.114° Est;-23.508401;23.508° Sud;Face cachée;Sud-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;III-121-M;104;104;61;61;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable;Alden;Alden;170;111.437;-23.5084011266012;111.114133901039;-21.6707038879395;-25.346097946167;113.117849349976;109.110376358032;LOLA2011;North America;American;Crater, craters;AA;Fermi;LAC-101;Adopted by IAU;1970-01-01 00:00:00;;Harold Lee. American astronomer (1890-1964).;http://planetarynames.wr.usgs.gov/Feature/170
ALDER;AA4863S17788W;4863S17788;AA;Cratère;;;;Kurt Alder;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Chimiste;Allemagne;allemand;20;20 ème siècle;Königshütte;1902;Cologne;1958;Professeur à l'université de Cologne en 1940. Prix Nobel en 1950 avec Otto Diels.;-177.883725;182.116275;177.884° Ouest;-48.625534;48.626° Sud;Face cachée;Sud-Ouest;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;V-065-M;77;77;45;45;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable;Alder;Alder;171;82.1233;-48.6255337543063;182.11627539159;-47.3111705780029;-49.9398651123047;184.151113510132;180.084394454956;LOLA2011;Europe;Germany;Crater, craters;AA;Hess;LAC-132;Adopted by IAU;1979-01-01 00:00:00;;Kurt. German organic chemist. Nobel laureate (1902-1958).;http://planetarynames.wr.usgs.gov/Feature/171
ALEKHIN;AA6794S13185W;6794S13185;AA;Cratère;;;;Nikolaj P. Alekhin;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Ingénieur;URSS;soviétique;20;20 ème siècle;??;1913;??;1964;Concepteur de lanceurs spatiaux.;-131.852393;228.147607;131.852° Ouest;-67.944046;67.944° Sud;Face cachée;Sud-Ouest;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;70;70;41;41;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable;Alekhin;Alekhin;174;74.8167;-67.9440462095697;228.147607347429;-66.7103672027588;-69.1777210235596;231.43271446228;224.862272262573;LOLA2011;Europe;Soviet;Crater, craters;AA;Zeeman;LAC-142;Adopted by IAU;1970-01-01 00:00:00;;Nikolaj Pavlovich. Soviet rocket designer, engineer (1913-1964).;http://planetarynames.wr.usgs.gov/Feature/174
AL-KHWARIZMI;AA0702N10701E;0702N10701;AA;Cratère;;;;Al-Khwarizmi;UAI 1991 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Mathématicien;Irak;irakien;9;9 ème siècle;??;??;??;825;??;107.006175;107.006175;107.006° Est;7.021853;7.022° Nord;Face cachée;Nord-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;65;65;38;38;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable;Al-Khwarizmi;Al Khwarizmi;149;56.2527;7.02185347230287;107.006175054117;7.94940376281738;6.09430503845215;107.940603256226;106.071748733521;LOLA2011;Asia;Iraq;Crater, craters;AA;Babcock;LAC-64;Adopted by IAU;1973-01-01 00:00:00;;Abū Ja'far Muhammad Ibn Mūsā. Iraqi mathematician (unkn-after 847).;http://planetarynames.wr.usgs.gov/Feature/149
ALTER;AA1874N10780W;1874N10780;AA;Cratère;;;;Dinsmore Alter;UAI 1979 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astronome;Etats-Unis;américain;20;20 ème siècle;??;1888;??;1968;??;-107.796903;252.203097;107.797° Ouest;18.740089;18.740° Nord;Face cachée;Nord-Ouest;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;V-015-H2;64;64;38;38;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable;Alter;Alter;208;64.733;18.7400891690599;252.203096651796;19.8075084686279;17.6726703643799;253.329885482788;251.076330184937;LOLA2011;North America;American;Crater, craters;AA;Robertson;LAC-54;Adopted by IAU;1970-01-01 00:00:00;;Dinsmore. American astronomer, meteorologist (1888-1968).;http://planetarynames.wr.usgs.gov/Feature/208
AMICI;AA1006S17223W;1006S17223;AA;Cratère;;;;Giovanni Battista Amici;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Opticien;Italie;italien;19;19 ème siècle;Modène;1786;Florence;1863;Directeur de l'observatoire de Florence. Inventeur d'un spectroscope à prisme et de lunettes méridiennes. Etude de l'orientation des cristaux dans les minéraux.;-172.227017;187.772983;172.227° Ouest;-10.062035;10.062° Sud;Face cachée;Sud-Ouest;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;54;54;32;32;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable;Amici;Amici;232;52.0325;-10.0620347573653;187.772983337045;-9.21210098266602;-10.9280757904053;188.650297164917;186.908155441284;LOLA2011;Europe;Italy;Crater, craters;AA;Icarus;LAC-86;Adopted by IAU;1970-01-01 00:00:00;;Giovanni Battista. Italian astronomer, optician (1786-1863).;http://planetarynames.wr.usgs.gov/Feature/232
