NAME;TYPE;PERIOD;Zénon;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
ABBE;Cratera;;Zénon;UAI 1970 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Físico;Alemanha;alemão;19;Século 19;Eisenach;1840;Iena;1905;Director do observatório de Lena. Autor da teoria clássica dos microscópios em 1877 e de relações dos senos. Associado a Carl Zeiss. Inventor do refractómetro e das primeiras objectivas apocromáticas e oculares ortoscópicas.;175,2;175,2 ° Este;-57,3;57,3 ° Sul;Sudeste;;Sem mapa;;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;V-065-M;66;66;39;39;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Não observável;;;;0;Não observável;0;Não observável;Não observável;999;Não observável;Não observável
ABUL WAFA;Cratera;;Zénon;UAI 1985 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Matemático;Irão;Iraniano;10;Século 10º;Buzadjan;940;Bagdad;997;Autor de um tratado de aritmético e um método preciso de cálculo dos senos.;116,6;116,6 ° Este;1;1 ° Norte;Nordeste;;Sem mapa;;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;;55;55;32;32;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Não observável;;;;0;Não observável;0;Não observável;Não observável;999;Não observável;Não observável
AITKEN;Cratera;;Zénon;UAI 1970 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Astrónomo;E. U. A.;norte-americano;20;Século 20;Jackson;1864;Berkeley;1954;"Autor de ""New General Catalogue of Double Stars"" em 1932.";173,4;173,4 ° Este;-16,8;16,8 ° Sul;Sudeste;;Sem mapa;;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;II-033-H3 II-075-M II-033-H2 II-033-M;135;135;79;79;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Não observável;;;;0;Não observável;0;Não observável;Não observável;999;Não observável;Não observável
AL BIRUNI;Cratera;;Zénon;UAI 1984 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Cientista;Irão;Iraniano;11;Século 11;Kath;973;Rhazni;1050;"Grande viajante. Astrólogo do Sultão de Rhazni em 1017. Historiador das civilizações. Autor ""Kitah al Qanun al Mas' udi"", um tratado de astronomia geral inspirado em Ptolomeu.";92,5;92,5 ° Este;17,9;17,9 ° Norte;Nordeste;;III;Mare Marginis;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;;77;77;45;45;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Formação circular situada na zona das librações.;;;;1;Formação de baixo interesse ou difícil;1;2 dias após a Lua Nova;1 dia após a Lua Cheia;30;Binóculo x10;Refractor 50 mm
ALDEN;Cratera;;Zénon;UAI 1970 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Astrónomo;E. U. A.;norte-americano;20;Século 20;??;1890;??;1964;;110,8;110,8 ° Este;-23,6;23,6 ° Sul;Sudeste;;Sem mapa;;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;III-121-M;104;104;61;61;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Não observável;;;;0;Não observável;0;Não observável;Não observável;999;Não observável;Não observável
ALDER;Cratera;;Zénon;UAI 1970 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Químico;Alemanha;alemão;20;Século 20;Königshütte;1902;Koln;1958;Professor da Universidade de Colónia em 1940 de Prémio Nobel em 1950 com Otto Diels.;-177,4;177,4 ° Oeste;-48,6;48,6 ° Sul;Sudoeste;;Sem mapa;;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;V-065-M;77;77;45;45;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Não observável;;;;0;Não observável;0;Não observável;Não observável;999;Não observável;Não observável
ALEKHIN;Cratera;;Zénon;UAI 1970 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Engenheiro;U. R. S. S.;soviético;20;Século 20;??;1913;??;1964;Projectista de lançamentos espaciais.;-131,3;131,3 ° Oeste;-68,2;68,2 ° Sul;Sudoeste;;Sem mapa;;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;;70;70;41;41;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Não observável;;;;0;Não observável;0;Não observável;Não observável;999;Não observável;Não observável
AL-KHWARIZMI;Cratera;;Zénon;UAI 1991 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Matemático;Iraque;iraquiano;9;Século 9º;??;??;??;825;;106,4;106,4 ° Este;7,1;7,1 ° Norte;Nordeste;;Sem mapa;;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;;65;65;38;38;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Não observável;;;;0;Não observável;0;Não observável;Não observável;999;Não observável;Não observável
ALTER;Cratera;;Zénon;UAI 1979 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Astrónomo;E. U. A.;norte-americano;20;Século 20;??;1888;??;1968;;-107,5;107,5 ° Oeste;18,7;18,7 ° Norte;Noroeste;;Sem mapa;;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;V-015-H2;64;64;38;38;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Não observável;;;;0;Não observável;0;Não observável;Não observável;999;Não observável;Não observável
AMICI;Cratera;;Zénon;UAI 1970 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Óptico;Itália;italiano;19;Século 19;Modena;1786;Florence;1863;Director do observatório de Florença. Inventor de um espectroscópio de prisma e de lunetas meridianas. Estudo da orientação dos cristais nos minerais.;-172,1;172,1 ° Oeste;-9,9;9,9 ° Sul;Sudoeste;;Sem mapa;;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;;54;54;32;32;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Não observável;;;;0;Não observável;0;Não observável;Não observável;999;Não observável;Não observável
