NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;SKYTEL;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
ABBE;Кратер;;Ernst K. Abbe;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;физик;Германии;Германский;19;19-го века;Eisenach;1840;Iena;1905;Director of Iena observatory. Author of a classical theory of microscopes in 1877 and of sinuses relations. Associated with Carl Zeiss. Conceiver of a refractometer and of the first apochromatic objectives and of orthoscopic eyepieces.;175,2;175,2 ° Восток;-57,3;57,3 ° Юг;Юго-Восточный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;V-065-M;66;66;39;39;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
ABUL WAFA;Кратер;;Abu al-Wafa al-Buzadjani;UAI 1985 ?;Неизвестно;Неизвестно;Неизвестно;математик;Ирана;Иранский;10;10-го века;Buzadjan;940;Bagdad;997;Author of an arithmetrical treaty and of a precise method for sinuses calculations.;116,6;116,6 ° Восток;1;1 ° Север;Северо-Восточный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;55;55;32;32;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
AITKEN;Кратер;;Robert Grant Aitken;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;астроном;США;Американский;20;20-го века;Jackson;1864;Berkeley;1954;Author of New General Catalogue of Double Stars in 1932.;173,4;173,4 ° Восток;-16,8;16,8 ° Юг;Юго-Восточный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;II-033-H3 II-075-M II-033-H2 II-033-M;135;135;79;79;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
AL BIRUNI;Кратер;;Al-Biruni;UAI 1984 ?;Неизвестно;Неизвестно;Неизвестно;ученый;Ирана;Иранский;11;11-го века;Kath;973;Rhazni;1050;Great traveller. Astrologist of Rhazni Sultan in 1017. Civilizations historian. Author of Kitah al Qanun al Mas'udi, general astronomy treaty inpired from Ptolemeaus.;92,5;92,5 ° Восток;17,9;17,9 ° Север;Северо-Восточный;;III;Mare Marginis;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;77;77;45;45;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Округлое образование, расположенное в зоне либраций.;;;;1;Малоинтересное или сложное образование;1;2 дня после Новолуния;1 день после Полнолуния;30;x10 бинокль;50 мм рефрактор
ALDEN;Кратер;;Harold L.Alden;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;астроном;США;Американский;20;20-го века;??;1890;??;1964;??;110,8;110,8 ° Восток;-23,6;23,6 ° Юг;Юго-Восточный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;III-121-M;104;104;61;61;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
ALDER;Кратер;;Kurt Alder;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;химик;Германии;Германский;20;20-го века;Kцnigshьtte;1902;Koln;1958;Professor in Koln University in 1940. Nobel prize in 1950 with Otto Diels.;-177,4;177,4 ° Запад;-48,6;48,6 ° Юг;Юго-Западный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;V-065-M;77;77;45;45;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
ALEKHIN;Кратер;;Nikolaj P. Alekhin;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;инженер;СССР;Советский;20;20-го века;??;1913;??;1964;Rockets designer.;-131,3;131,3 ° Запад;-68,2;68,2 ° Юг;Юго-Западный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;70;70;41;41;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
AL-KHWARIZMI;Кратер;;Al-Khwarizmi;UAI 1991 ?;Неизвестно;Неизвестно;Неизвестно;математик;Ирака;Иракский;9;9-го века;??;??;??;825;??;106,4;106,4 ° Восток;7,1;7,1 ° Север;Северо-Восточный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;65;65;38;38;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
ALTER;Кратер;;Dinsmore Alter;UAI 1979 ?;Неизвестно;Неизвестно;Неизвестно;астроном;США;Американский;20;20-го века;??;1888;??;1968;??;-107,5;107,5 ° Запад;18,7;18,7 ° Север;Северо-Западный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;V-015-H2;64;64;38;38;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
AMICI;Кратер;;Giovanni Battista Amici;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;оптик;Италии;Итальянский;19;19-го века;Modena;1786;Florence;1863;Director of Florence observatory. Inventor of a specteoscope with prism. Survey on cristals orientation in minerals.;-172,1;172,1 ° Запад;-9,9;9,9 ° Юг;Юго-Западный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;54;54;32;32;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
