NAME;LUN;LUN_REDUCED;NAMETYPE;TYPE;SUBTYPE;PERIOD;GEOLOGY;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIN360;LONGIC;LATIN;LATIC;FACE;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU;IAU_FEATURE_NAME;IAU_CLEAN_FEATURE_NAME;IAU_FEATURE_ID;IAU_DIAMETER;IAU_CENTER_LATITUDE;IAU_CENTER_LONGITUDE;IAU_NORTHERN_LATITUDE;IAU_SOUTHERN_LATITUDE;IAU_EASTERN_LONGITUDE;IAU_WESTERN_LONGITUDE;IAU_COORDINATE_SYSTEM;IAU_CONTINENT;IAU_ETHNICITY;IAU_FEATURE_TYPE;IAU_FEATURE_TYPE_CODE;IAU_QUAD_NAME;IAU_QUAD_CODE;IAU_APPROVAL_STATUS;IAU_APPROVAL_DATE;IAU_REFERENCE;IAU_ORIGIN;IAU_LINK
ABBE H;SF5844S17758E;5844S17758;SF;Cràter;;??;;Ernst K. Abbe;Andersson / Whitaker 1982;Desconegut en aquella època;Desconegut en aquella època;Desconegut en aquella època;Físic;Alemanya;alemany;19;segle 19;Eisenach;1840;Jena;1905;Director  de l'observatori de Jena. Autor de la teoria clàssica del microscopi en 1877 i de la relació dels sinus. Associat amb Carl Zeiss. Inventor d'un refractòmetre i dels primers objectius apocromàtics i oculars ortoscòpics.;177.584133;177.584133;177.584° East;-58.444934;58.445° South;Cara oculta;Sud-Est;No definida;No hi ha mapa;;No hi ha mapa ni imatge;No hi ha mapa ni imatge;No hi ha mapa ni imatge;No hi ha article;??;25;25;15;15;Desconeguda;Desconeguda;Altura desconeguda. Càlcul impossible.;Altura desconeguda. Dibuix impossible..;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable;Abbe H;Abbe H;7027;25.1268;-58.44493355;177.5841326;-58.03062057;-58.8592453;178.3755589;176.7927227;LOLA2011;Europe;Germany;Satellite Feature;SF;Hess;LAC-132;Adoptat per la UAI;01.01.2006 00:00;;Ernst Karl. German optician, physicist, astronomer (1840-1905).;http://planetarynames.wr.usgs.gov/Feature/7027
ABBE K;SF5982S17686E;5982S17686;SF;Cràter;;??;;Ernst K. Abbe;Andersson / Whitaker 1982;Desconegut en aquella època;Desconegut en aquella època;Desconegut en aquella època;Físic;Alemanya;alemany;19;segle 19;Eisenach;1840;Jena;1905;Director  de l'observatori de Jena. Autor de la teoria clàssica del microscopi en 1877 i de la relació dels sinus. Associat amb Carl Zeiss. Inventor d'un refractòmetre i dels primers objectius apocromàtics i oculars ortoscòpics.;176.857881;176.857881;176.858° East;-59.815856;59.816° South;Cara oculta;Sud-Est;No definida;No hi ha mapa;;No hi ha mapa ni imatge;No hi ha mapa ni imatge;No hi ha mapa ni imatge;No hi ha article;??;28;28;16;16;Desconeguda;Desconeguda;Altura desconeguda. Càlcul impossible.;Altura desconeguda. Dibuix impossible..;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable;Abbe K;Abbe K;7028;26.1044;-59.81585574;176.8578807;-59.38541985;-60.24629211;177.7140026;176.0017681;LOLA2011;Europe;Germany;Satellite Feature;SF;Hess;LAC-132;Adoptat per la UAI;01.01.2006 00:00;;Ernst Karl. German optician, physicist, astronomer (1840-1905).;http://planetarynames.wr.usgs.gov/Feature/7028
ABBE M;SF6175S17524E;6175S17524;SF;Cràter;;??;;Ernst K. Abbe;Andersson / Whitaker 1982;Desconegut en aquella època;Desconegut en aquella època;Desconegut en aquella època;Físic;Alemanya;alemany;19;segle 19;Eisenach;1840;Jena;1905;Director  de l'observatori de Jena. Autor de la teoria clàssica del microscopi en 1877 i de la relació dels sinus. Associat amb Carl Zeiss. Inventor d'un refractòmetre i dels primers objectius apocromàtics i oculars ortoscòpics.;175.239369;175.239369;175.239° East;-61.746193;61.746° South;Cara oculta;Sud-Est;No definida;No hi ha mapa;;No hi ha mapa ni imatge;No hi ha mapa ni imatge;No hi ha mapa ni imatge;No hi ha article;??;29;29;17;17;Desconeguda;Desconeguda;Altura desconeguda. Càlcul impossible.;Altura desconeguda. Dibuix impossible..;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable;Abbe M;Abbe M;7029;28.6143;-61.7461931;175.2393689;-61.2743721;-62.21801376;176.2365665;174.2421703;LOLA2011;Europe;Germany;Satellite Feature;SF;Hess;LAC-132;Adoptat per la UAI;01.01.2006 00:00;;Ernst Karl. German optician, physicist, astronomer (1840-1905).;http://planetarynames.wr.usgs.gov/Feature/7029
ABUL WAFA A;SF0140N11686E;0140N11686;SF;Cràter;;??;;Abu al-Wafa al-Buzadjani;Andersson / Whitaker 1982;Desconegut en aquella època;Desconegut en aquella època;Desconegut en aquella època;Matemàtic;Iran;iranià;10;segle 10;Buzadjan;940;Bagdad;997;Autor d'un tractat d'aritmètica i d'un mètode precís de càlcul dels sinus.;116.859355;116.859355;116.859° East;1.39713;1.397° North;Cara oculta;Nord-Est;No definida;No hi ha mapa;;No hi ha mapa ni imatge;No hi ha mapa ni imatge;No hi ha mapa ni imatge;No hi ha article;??;16;16;9;9;Desconeguda;Desconeguda;Altura desconeguda. Càlcul impossible.;Altura desconeguda. Dibuix impossible..;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable;Abul Wáfa A;Abul Wafa A;7049;14.9789;1.397129941;116.8593548;1.644117355;1.150144577;117.1064167;116.6122952;LOLA2011;Asia;Persian;Satellite Feature;SF;Ostwald;LAC-65;Adoptat per la UAI;01.01.2006 00:00;;Abū al-Wafā al-Būzajāni. Persian mathematician, astronomer (940-998).;http://planetarynames.wr.usgs.gov/Feature/7049
ABUL WAFA Q;SF0014N11588E;0014N11588;SF;Cràter;;??;;Abu al-Wafa al-Buzadjani;Andersson / Whitaker 1982;Desconegut en aquella època;Desconegut en aquella època;Desconegut en aquella època;Matemàtic;Iran;iranià;10;segle 10;Buzadjan;940;Bagdad;997;Autor d'un tractat d'aritmètica i d'un mètode precís de càlcul dels sinus.;115.883659;115.883659;115.884° East;0.143679;0.144° North;Cara oculta;Nord-Est;No definida;No hi ha mapa;;No hi ha mapa ni imatge;No hi ha mapa ni imatge;No hi ha mapa ni imatge;No hi ha article;??;30;30;18;18;Desconeguda;Desconeguda;Altura desconeguda. Càlcul impossible.;Altura desconeguda. Dibuix impossible..;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable;Abul Wáfa Q;Abul Wafa Q;7050;31.0363;0.143679263;115.8836592;0.655435562;-0.368076324;116.3954182;115.3719006;LOLA2011;Asia;Persian;Satellite Feature;SF;Ostwald;LAC-65;Adoptat per la UAI;01.01.2006 00:00;;Abū al-Wafā al-Būzajāni. Persian mathematician, astronomer (940-998).;http://planetarynames.wr.usgs.gov/Feature/7050
AITKEN A;SF1387S17346E;1387S17346;SF;Cràter;;??;;Robert Grant Aitken;Andersson / Whitaker 1982;Desconegut en aquella època;Desconegut en aquella època;Desconegut en aquella època;Astrònom;Estats Units;americà;20;segle 20;Jackson;1864;Berkeley;1954;"Autor del ""New General Catalogue of Double Stars"" en 1932.";173.463566;173.463566;173.464° East;-13.866769;13.867° South;Cara oculta;Sud-Est;No definida;No hi ha mapa;;No hi ha mapa ni imatge;No hi ha mapa ni imatge;No hi ha mapa ni imatge;No hi ha article;??;13;13;8;8;Desconeguda;Desconeguda;Altura desconeguda. Càlcul impossible.;Altura desconeguda. Dibuix impossible..;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable;Aitken A;Aitken A;7123;12.9385;-13.86676913;173.4635661;-13.65342712;-14.08011055;173.6833134;173.2438221;LOLA2011;North America;American;Satellite Feature;SF;Icarus;LAC-86;Adoptat per la UAI;01.01.2006 00:00;;Robert Grant. American astronomer (1864-1951).;http://planetarynames.wr.usgs.gov/Feature/7123
AITKEN C;SF1376S17557E;1376S17557;SF;Cràter;;??;;Robert Grant Aitken;Andersson / Whitaker 1982;Desconegut en aquella època;Desconegut en aquella època;Desconegut en aquella època;Astrònom;Estats Units;americà;20;segle 20;Jackson;1864;Berkeley;1954;"Autor del ""New General Catalogue of Double Stars"" en 1932.";175.574787;175.574787;175.575° East;-13.760055;13.760° South;Cara oculta;Sud-Est;No definida;No hi ha mapa;;No hi ha mapa ni imatge;No hi ha mapa ni imatge;No hi ha mapa ni imatge;No hi ha article;??;74;74;44;44;Desconeguda;Desconeguda;Altura desconeguda. Càlcul impossible.;Altura desconeguda. Dibuix impossible..;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable;Aitken C;Aitken C;7124;65.6088;-13.76005514;175.5747874;-12.67823601;-14.84187317;176.6885662;174.4610119;LOLA2011;North America;American;Satellite Feature;SF;Icarus;LAC-86;Adoptat per la UAI;01.01.2006 00:00;;Robert Grant. American astronomer (1864-1951).;http://planetarynames.wr.usgs.gov/Feature/7124
AITKEN G;SF1671S17399E;1671S17399;SF;Crateret;;??;;Robert Grant Aitken;Andersson / Whitaker 1982;Desconegut en aquella època;Desconegut en aquella època;Desconegut en aquella època;Astrònom;Estats Units;americà;20;segle 20;Jackson;1864;Berkeley;1954;"Autor del ""New General Catalogue of Double Stars"" en 1932.";173.994201;173.994201;173.994° East;-16.70982;16.710° South;Cara oculta;Sud-Est;No definida;No hi ha mapa;;No hi ha mapa ni imatge;No hi ha mapa ni imatge;No hi ha mapa ni imatge;No hi ha article;??;7;7;4;4;Desconeguda;Desconeguda;Altura desconeguda. Càlcul impossible.;Altura desconeguda. Dibuix impossible..;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable;Aitken G;Aitken G;7125;6.04762;-16.70981984;173.9942008;-16.61009979;-16.80953789;174.0983219;173.8900814;LOLA2011;North America;American;Satellite Feature;SF;Van de Graaff;LAC-104;Adoptat per la UAI;01.01.2006 00:00;;Robert Grant. American astronomer (1864-1951).;http://planetarynames.wr.usgs.gov/Feature/7125
AITKEN N;SF1763S17274E;1763S17274;SF;Crateret;;??;;Robert Grant Aitken;Andersson / Whitaker 1982;Desconegut en aquella època;Desconegut en aquella època;Desconegut en aquella època;Astrònom;Estats Units;americà;20;segle 20;Jackson;1864;Berkeley;1954;"Autor del ""New General Catalogue of Double Stars"" en 1932.";172.738614;172.738614;172.739° East;-17.631107;17.631° South;Cara oculta;Sud-Est;No definida;No hi ha mapa;;No hi ha mapa ni imatge;No hi ha mapa ni imatge;No hi ha mapa ni imatge;No hi ha article;??;7;7;4;4;Desconeguda;Desconeguda;Altura desconeguda. Càlcul impossible.;Altura desconeguda. Dibuix impossible..;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable;Aitken N;Aitken N;7126;7.14643;-17.63110702;172.7386142;-17.51326942;-17.74894333;172.8622608;172.6149693;LOLA2011;North America;American;Satellite Feature;SF;Van de Graaff;LAC-104;Adoptat per la UAI;01.01.2006 00:00;;Robert Grant. American astronomer (1864-1951).;http://planetarynames.wr.usgs.gov/Feature/7126
AITKEN Y;SF1193S17292E;1193S17292;SF;Cràter;;??;;Robert Grant Aitken;Andersson / Whitaker 1982;Desconegut en aquella època;Desconegut en aquella època;Desconegut en aquella època;Astrònom;Estats Units;americà;20;segle 20;Jackson;1864;Berkeley;1954;"Autor del ""New General Catalogue of Double Stars"" en 1932.";172.921356;172.921356;172.921° East;-11.929633;11.930° South;Cara oculta;Sud-Est;No definida;No hi ha mapa;;No hi ha mapa ni imatge;No hi ha mapa ni imatge;No hi ha mapa ni imatge;No hi ha article;??;35;35;21;21;Desconeguda;Desconeguda;Altura desconeguda. Càlcul impossible.;Altura desconeguda. Dibuix impossible..;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable;Aitken Y;Aitken Y;7127;35.7174;-11.92963277;172.9213557;-11.40325356;-12.45600891;173.5204334;172.3223858;LOLA2011;North America;American;Satellite Feature;SF;Icarus;LAC-86;Adoptat per la UAI;01.01.2006 00:00;;Robert Grant. American astronomer (1864-1951).;http://planetarynames.wr.usgs.gov/Feature/7127
