NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
ABBE H;Cratere;??;Ernst K. Abbe;Andersson / Whitaker 1982;Sconosciuto all'epoca;Sconosciuto all'epoca;Sconosciuto all'epoca;Fisico;Germania;tedesco;19;19° secolo;Eisenach;1840;Iena;1905;Direttore l'Osservatorio di Jena. Autore della teoria classica del microscopio nel 1877 e della relazione dei seni. Associato con Carl Zeiss. Inventore di un rifrattometro, dei primi obiettivi apocromatici e degli oculari ortoscopici.;177,9;177,9 ° Est;-58,2;58,2 ° Sud;Sud-Est;Non definita;Nessuna mappa;;Nessuna mappa o immagine;Nessuna mappa o immagine;Nessuna mappa o immagine;Nessun articolo;??;25;25;15;15;Sconosciuta;Sconosciuta;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Non osservabile dalla Terra;;;;0;Non osservabile dalla Terra;0;Non osservabile dalla Terra;Non osservabile dalla Terra;999;Non osservabile dalla Terra;Non osservabile dalla Terra
ABBE K;Cratere;??;Ernst K. Abbe;Andersson / Whitaker 1982;Sconosciuto all'epoca;Sconosciuto all'epoca;Sconosciuto all'epoca;Fisico;Germania;tedesco;19;19° secolo;Eisenach;1840;Iena;1905;Direttore l'Osservatorio di Jena. Autore della teoria classica del microscopio nel 1877 e della relazione dei seni. Associato con Carl Zeiss. Inventore di un rifrattometro, dei primi obiettivi apocromatici e degli oculari ortoscopici.;177,3;177,3 ° Est;-59,6;59,6 ° Sud;Sud-Est;Non definita;Nessuna mappa;;Nessuna mappa o immagine;Nessuna mappa o immagine;Nessuna mappa o immagine;Nessun articolo;??;28;28;16;16;Sconosciuta;Sconosciuta;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Non osservabile dalla Terra;;;;0;Non osservabile dalla Terra;0;Non osservabile dalla Terra;Non osservabile dalla Terra;999;Non osservabile dalla Terra;Non osservabile dalla Terra
ABBE M;Cratere;??;Ernst K. Abbe;Andersson / Whitaker 1982;Sconosciuto all'epoca;Sconosciuto all'epoca;Sconosciuto all'epoca;Fisico;Germania;tedesco;19;19° secolo;Eisenach;1840;Iena;1905;Direttore l'Osservatorio di Jena. Autore della teoria classica del microscopio nel 1877 e della relazione dei seni. Associato con Carl Zeiss. Inventore di un rifrattometro, dei primi obiettivi apocromatici e degli oculari ortoscopici.;175,3;175,3 ° Est;-61,6;61,6 ° Sud;Sud-Est;Non definita;Nessuna mappa;;Nessuna mappa o immagine;Nessuna mappa o immagine;Nessuna mappa o immagine;Nessun articolo;??;29;29;17;17;Sconosciuta;Sconosciuta;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Non osservabile dalla Terra;;;;0;Non osservabile dalla Terra;0;Non osservabile dalla Terra;Non osservabile dalla Terra;999;Non osservabile dalla Terra;Non osservabile dalla Terra
ABUL WAFA A;Cratere;??;Abu al-Wafa al-Buzadjani;Andersson / Whitaker 1982;Sconosciuto all'epoca;Sconosciuto all'epoca;Sconosciuto all'epoca;Matematico;Iran;iraniano;10;10° secolo;Buzadjan;940;Bagdad;997;Autore di un trattato di aritmetica e di un metodo preciso per il calcolo dei seni.;116,8;116,8 ° Est;1,4;1,4 ° Nord;Nord-Est;Non definita;Nessuna mappa;;Nessuna mappa o immagine;Nessuna mappa o immagine;Nessuna mappa o immagine;Nessun articolo;??;16;16;9;9;Sconosciuta;Sconosciuta;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Non osservabile dalla Terra;;;;0;Non osservabile dalla Terra;0;Non osservabile dalla Terra;Non osservabile dalla Terra;999;Non osservabile dalla Terra;Non osservabile dalla Terra
ABUL WAFA Q;Cratere;??;Abu al-Wafa al-Buzadjani;Andersson / Whitaker 1982;Sconosciuto all'epoca;Sconosciuto all'epoca;Sconosciuto all'epoca;Matematico;Iran;iraniano;10;10° secolo;Buzadjan;940;Bagdad;997;Autore di un trattato di aritmetica e di un metodo preciso per il calcolo dei seni.;115,7;115,7 ° Est;0,2;0,2 ° Nord;Nord-Est;Non definita;Nessuna mappa;;Nessuna mappa o immagine;Nessuna mappa o immagine;Nessuna mappa o immagine;Nessun articolo;??;30;30;18;18;Sconosciuta;Sconosciuta;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Non osservabile dalla Terra;;;;0;Non osservabile dalla Terra;0;Non osservabile dalla Terra;Non osservabile dalla Terra;999;Non osservabile dalla Terra;Non osservabile dalla Terra
AITKEN A;Cratere;??;Robert Grant Aitken;Andersson / Whitaker 1982;Sconosciuto all'epoca;Sconosciuto all'epoca;Sconosciuto all'epoca;Astronomo;USA;americano;20;20° secolo;Jackson;1864;Berkeley;1954;Autore del Nuovo Catalogo Generale delle Stelle Doppie nel 1932.;173,7;173,7 ° Est;-14;14 ° Sud;Sud-Est;Non definita;Nessuna mappa;;Nessuna mappa o immagine;Nessuna mappa o immagine;Nessuna mappa o immagine;Nessun articolo;??;13;13;8;8;Sconosciuta;Sconosciuta;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Non osservabile dalla Terra;;;;0;Non osservabile dalla Terra;0;Non osservabile dalla Terra;Non osservabile dalla Terra;999;Non osservabile dalla Terra;Non osservabile dalla Terra
AITKEN C;Cratere;??;Robert Grant Aitken;Andersson / Whitaker 1982;Sconosciuto all'epoca;Sconosciuto all'epoca;Sconosciuto all'epoca;Astronomo;USA;americano;20;20° secolo;Jackson;1864;Berkeley;1954;Autore del Nuovo Catalogo Generale delle Stelle Doppie nel 1932.;175,8;175,8 ° Est;-14;14 ° Sud;Sud-Est;Non definita;Nessuna mappa;;Nessuna mappa o immagine;Nessuna mappa o immagine;Nessuna mappa o immagine;Nessun articolo;??;74;74;44;44;Sconosciuta;Sconosciuta;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Non osservabile dalla Terra;;;;0;Non osservabile dalla Terra;0;Non osservabile dalla Terra;Non osservabile dalla Terra;999;Non osservabile dalla Terra;Non osservabile dalla Terra
AITKEN G;Piccolo cratere;??;Robert Grant Aitken;Andersson / Whitaker 1982;Sconosciuto all'epoca;Sconosciuto all'epoca;Sconosciuto all'epoca;Astronomo;USA;americano;20;20° secolo;Jackson;1864;Berkeley;1954;Autore del Nuovo Catalogo Generale delle Stelle Doppie nel 1932.;174,2;174,2 ° Est;-16,8;16,8 ° Sud;Sud-Est;Non definita;Nessuna mappa;;Nessuna mappa o immagine;Nessuna mappa o immagine;Nessuna mappa o immagine;Nessun articolo;??;7;7;4;4;Sconosciuta;Sconosciuta;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Non osservabile dalla Terra;;;;0;Non osservabile dalla Terra;0;Non osservabile dalla Terra;Non osservabile dalla Terra;999;Non osservabile dalla Terra;Non osservabile dalla Terra
AITKEN N;Piccolo cratere;??;Robert Grant Aitken;Andersson / Whitaker 1982;Sconosciuto all'epoca;Sconosciuto all'epoca;Sconosciuto all'epoca;Astronomo;USA;americano;20;20° secolo;Jackson;1864;Berkeley;1954;Autore del Nuovo Catalogo Generale delle Stelle Doppie nel 1932.;172,7;172,7 ° Est;-17,7;17,7 ° Sud;Sud-Est;Non definita;Nessuna mappa;;Nessuna mappa o immagine;Nessuna mappa o immagine;Nessuna mappa o immagine;Nessun articolo;??;7;7;4;4;Sconosciuta;Sconosciuta;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Non osservabile dalla Terra;;;;0;Non osservabile dalla Terra;0;Non osservabile dalla Terra;Non osservabile dalla Terra;999;Non osservabile dalla Terra;Non osservabile dalla Terra
AITKEN Y;Cratere;??;Robert Grant Aitken;Andersson / Whitaker 1982;Sconosciuto all'epoca;Sconosciuto all'epoca;Sconosciuto all'epoca;Astronomo;USA;americano;20;20° secolo;Jackson;1864;Berkeley;1954;Autore del Nuovo Catalogo Generale delle Stelle Doppie nel 1932.;173,2;173,2 ° Est;-12;12 ° Sud;Sud-Est;Non definita;Nessuna mappa;;Nessuna mappa o immagine;Nessuna mappa o immagine;Nessuna mappa o immagine;Nessun articolo;??;35;35;21;21;Sconosciuta;Sconosciuta;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Non osservabile dalla Terra;;;;0;Non osservabile dalla Terra;0;Non osservabile dalla Terra;Non osservabile dalla Terra;999;Non osservabile dalla Terra;Non osservabile dalla Terra
