NAME;LUN;LUN_REDUCED;NAMETYPE;TYPE;SUBTYPE;PERIOD;GEOLOGY;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIN360;LONGIC;LATIN;LATIC;FACE;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU;IAU_FEATURE_NAME;IAU_CLEAN_FEATURE_NAME;IAU_FEATURE_ID;IAU_DIAMETER;IAU_CENTER_LATITUDE;IAU_CENTER_LONGITUDE;IAU_NORTHERN_LATITUDE;IAU_SOUTHERN_LATITUDE;IAU_EASTERN_LONGITUDE;IAU_WESTERN_LONGITUDE;IAU_COORDINATE_SYSTEM;IAU_CONTINENT;IAU_ETHNICITY;IAU_FEATURE_TYPE;IAU_FEATURE_TYPE_CODE;IAU_QUAD_NAME;IAU_QUAD_CODE;IAU_APPROVAL_STATUS;IAU_APPROVAL_DATE;IAU_REFERENCE;IAU_ORIGIN;IAU_LINK
ABBOT;AA0556N05474E;0556N05474;AA;Krater;;Imbrianisch (Von -3.85 Mrd. bis -3.2 Jahre) ?;;Charles Greeley Abbot (ehem. Apollonius K);(??);Kein Name;Kein Name;Kein Name;Astrophysiker;U. S. A.;amerikanischerer;20;20. Jhd.;Wilton;1872;Washington;1973;Direktor des Observatory of the Smithsonian Institution. Bestimmung des Wertes der Solar Konstante und der Energieverteilung im Sonnenspektrum.;54.743059;54.743059;54.743° East;5.556162;5.556° North;Nearside;Nord-Ost;Nord Rand des Mare Fecunditatis;37;Taruntius;229;3c2;315C 124C;;;10;10;6;6;0;0;0;Unbekannte Höhe. Kann nicht gezeigt werden.;Kreisförmige Formation, isoliert, mit Schüsselform.;Ziemlich steile Stelle.;Kleine, hohe Wände.;Rundliche Ebene.;1;Wenig interessant oder schwierige Formation;3;3 Tage nach Neumond;2 Tage nach Vollmond;50;50 mm Refraktor;100 mm Refraktor;Abbot;Abbot;10;10.4043;5.55616226346136;54.7430589309508;5.72772026062012;5.38460731506348;54.9154148101807;54.570707321167;LOLA2011;North America;American;Crater, craters;AA;Mare Undarum;LAC-62;Adopted by IAU;1973-01-01 00:00:00;;Charles Greeley. American astrophysicist (1872-1973).;http://planetarynames.wr.usgs.gov/Feature/10
ABEL;AA3463S08578E;3463S08578;AA;Krater;;Pre-Nectarianische (Von -4.55 Mrd. bis -3.92 Mrd. Jahre);;Niels Henrik Abel;Franz (1913);Kein Name;Kein Name;Kein Name;Mathematiker;Norwegen;norwegischer;19;19. Jhd.;Finnoy Island;1802;Arendal;1829;Spezialist für die Theorie von elliptischen Integralen und Arbeiten über so genannte abelianische Integrale.;85.776219;85.776219;85.776° East;-34.625700;34.626° South;Librations zone;Süd-Ost;Mond Süd-Ost Bogen;69;Furnerius;112;;291S Q4SE;;;114;114;69;69;0;0;0;Unbekannte Höhe. Kann nicht gezeigt werden.;Kreisförmige Formation, gelegen in der Librationszone.;Kleine, steile Stelle, begrenzt Abel L im West, Barnard und Abel A im Nord.;Kleine, hohe Wände stark abfallend, im Osten in die Lava von Mare Australe.;Flache Ebene gefüllt mit Lava, begrenzt einen Geister-Krater im Nord-Osten.;2;Ziemlich interessante Formation;2;2 Tage nach Neumond;1 Tag nach Vollmond;5;Bloses Auge;10x Doppelfernrohr;Abel;Abel;12;137.349;-34.6257003361427;85.7762185311885;-32.5447616577148;-36.7717876434326;88.2099132537842;83.4320240020752;LOLA2011;Europe;Norway;Crater, craters;AA;Mare Australe;LAC-116;Adopted by IAU;1964-01-01 00:00:00;;Niels Henrik. Norwegian mathematician (1802-1829).;http://planetarynames.wr.usgs.gov/Feature/12
ABENEZRA;AA2099S01189E;2099S01189;AA;Krater;;Obere Imbrianische (Von -3.8 Mrd. bis -3.2 Mrd. Jahre);;Abraham Bar Rabbi ben Ezra;Riccioli (1651);Schirley;Kein Name;Abenezra;Philosoph und Astronom;Spanien;spanischer;12;12. Jhd.;?;1092;?;1167;??;11.890657;11.890657;11.891° East;-20.993564;20.994° South;Nearside;Süd-Ost;Osten der Catharina Krater Region;56;Azophi;154;13d3;351S 357S 154S 161S 167S;;;41;42;25;25;3730;11300;0.0888;A_______________________A;Kreisförmige Formation mit Sechseck-Form, bildet eine bemerkenswerte Gruppe mit Azophi und Abenezra C;Ziemlich steile Stelle, stößt an Abenezra C im Westen und begrentzt Azophi im Süd-Westen.;Wände in hohen Terassen.;Zerklüftete Ebene. Kreisförmige Kammlinien. Hügel.;4;Außergewöhnliche Formation;6;6 Tage nach Neumond;5 Tage nach Vollmond;30;10x Doppelfernrohr;50 mm Refraktor;Abenezra;Abenezra;14;43.1887;-20.9935637435813;11.8906568620438;-20.2814178466797;-21.7057094573975;12.6534671783447;11.1278171539307;LOLA2011;Europe;Spain;Crater, craters;AA;Rupes Altai;LAC-96;Adopted by IAU;1935-01-01 00:00:00;;Abraham ben Meir Ibn Ezra. Spanish mathematician, astronomer (1092-1164/1167).;http://planetarynames.wr.usgs.gov/Feature/14
ABETTI;AA2011N02782E;2011N02782;AA;Krater;;Imbrianische (Von -3.85 Mrd. bis -3.2 Mrd. Jahre) ?;;Antonio Abetti;(??);Kein Name;Kein Name;Kein Name;Astronom;Italien;italienischerer;19;19. Jhd.;?;1846;?;1928;??;27.815724;27.815724;27.816° East;20.112727;20.113° North;Nearside;Nord-Ost;Süd-Ost Teil von Mare Serenitatis;24;Bessel;284;;343C 143C 148C;;;17;17;10;10;0;0;0;Unbekannte Höhe. Kann nicht gezeigt werden.;Kreisförmige Geister-Formation.;Ziemlich flache Stelle.;Sehr flache Wände.;Flache Stelle, gefüllt mit der Lava von Mare Serenitatis.;2;Ziemlich interessante Formation;5;5 Tage nach Neumond;4 Tage nach Vollmond;50;50 mm Refraktor;100 mm Refraktor;Abetti;Abetti;16;1.59879;20.1127273642687;27.8157242752838;20.1390933990479;20.0863666534424;27.8438014984131;27.7876529693604;LOLA2011;Europe;Italy;Crater, craters;AA;Mare Serenitatis;LAC-42;Adopted by IAU;1976-01-01 00:00:00;;Antonio. Italian astronomer (1846-1928). Giorgio. Italian astronomer (1882-1982).;http://planetarynames.wr.usgs.gov/Feature/16
ABULFEDA;AA1387S01391E;1387S01391;AA;Krater;;Typische Nectarianische (Von -3.92 Mrd. bis -3.85 Mrd. Jahre);;Isma'il Abu al-Fida;Riccioli (1651);Derkenni;Kein Name;Abulfeda;Historiker;Arabien;arabischer;14;14. Jhd.;Damas;1273;Hamah;1331;Prinz der Dynastie von Ayyubides. Autor von"History" gefolgt vom Werk von Ibn al-Athir;13.910298;13.910298;13.910° East;-13.865087;13.865° South;Nearside;Süd-Ost;Osten der Ptolemaeus Krater Region;45;Andel;202;13c5 / 13d5;351C/S 154C/S 16LS 167C;;;63;62;38;38;3110;9400;0.0502;A__________________________________________A;Beschädigte, kreisförmige Formation.;steile Stelle, angrenzend an viele kleine Krater, wie Abulfeda R im Nord-Westen und Abulfeda S und W zum Norden hin.;Sehr hohe Wände in Terrassen, überlappt von Catena Abulfeda zum Süden hin und von Abulfeda U & Y zum Norden hin.;Ausgedehnte flache Ebene, gefüllt mit Lava.  Weiß geflecktes Zentrum und Hügel. Kleine Krater zum Nord-Osten hin und zum Süd-Westen hin.;3;Sehr interessante Formation;6;6 Tage nach Neumond;5 Tage nach Vollmond;30;10x Doppelfernrohr;50 mm Refraktor;Abulfeda;Abulfeda;23;62.2345;-13.8650869926429;13.9102981681918;-12.8388595581055;-14.8913135528564;14.9672718048096;12.8533458709717;LOLA2011;Asia;Syria;Crater, craters;AA;Theophilus;LAC-78;Adopted by IAU;1935-01-01 00:00:00;;Ismail Ibn Abū al-Fidā. Syrian geographer (1273-1331).;http://planetarynames.wr.usgs.gov/Feature/23
ACOSTA;AA0565S06014E;0565S06014;AA;Krater;;Copernicianische (Von -1.1 Mrd. bis heute) ?;;Cristobal Acosta (ehem. Langrenus C);(??);Kein Name;Kein Name;Kein Name;Arzt und Historiker;Portugal;portugisischer;16;16. Jhd.;?;1515;?;1580;??;60.139473;60.139473;60.139° East;-5.645305;5.645° South;Nearside;Süd-Ost;Mond Ost Bogen;49;Langrenus;189;15b6 / 15c6;105C 112C 119C;;;13;13;8;8;1750;5300;0.1346;A______________A;Kreisförmige Formation mit Schüsselform, gelegen am Nord-Abhang von Langrenus;Ziemlich steile Stelle.;Ziemlich hohe Wände.;Rundliche Ebene.;2;Ziemlich interessante Formation;3;3 Tage nach Neumond;2 Tage nach Vollmond;50;50 mm Refraktor;100 mm Refraktor;Acosta;Acosta;40;13.0615;-5.64530508826036;60.1394730652901;-5.42993354797363;-5.86067581176758;60.3558940887451;59.9230518341064;LOLA2011;Europe;Portugal;Crater, craters;AA;Langrenus;LAC-80;Adopted by IAU;1976-01-01 00:00:00;;Cristobal. Portuguese doctor, natural historian (1515-1580).;http://planetarynames.wr.usgs.gov/Feature/40
ADAMS;AA3189S06839E;3189S06839;AA;Krater;;Nectarianische (Von -3.92 Mrd. bis -3.85 Mrd. Jahre);;John Couch Adams;Birt / Lee (1865);Kein Name;Kein Name;Kein Name;Astronom;Großbritannien;britischerer;19;19. Jhd.;Laneast;1819;Cambridge;1892;Hat die Existenz von Neptun demonstriert und gab dessen Position an, unabhängig von Le Verrier, aber seine Arbeit wurde nicht vom Royal Observatory publiziert.;68.386902;68.386902;68.387° East;-31.891634;31.892° South;Nearside;Süd-Ost;Mond Süd-Ost Bogen;69;Furnerius;113;15d1 / 16b7;303S Q4SE 099C 105C 112C;;;66;66;40;40;0;0;0;Unbekannte Höhe. Kann nicht gezeigt werden.;Isolierte, kreisförmige Formation;Ziemlich steile Stelle, angrenzend an Adams B zum Westen hin und Adams D zum Osten hin.;Ziemlich hohe Wände in Terrassen, überlappt durch zwei kleine Krater zum Norden hin und ein Krater zum Süden hin.;Flache Ebene mit kleinen Kratern im Zentrum.;3;Sehr interessante Formation;2;2 Tage nach Neumond;1 Tag nach Vollmond;30;10x Doppelfernrohr;50 mm Refraktor;Adams;Adams;47;63.2702;-31.8916341691825;68.3869015353649;-30.8483333587646;-32.9349346160889;69.6150379180908;67.1587657928467;LOLA2011;North America;American;Crater, craters;AA;Petavius;LAC-98;Adopted by IAU;1970-01-01 00:00:00;;John Couch. British astronomer (1819-1892). Charles Hitchcock. American astronomer (1868-1951). Walter Sydney. American astronomer (1876-1956).;http://planetarynames.wr.usgs.gov/Feature/47
AGATHARCHIDES;AA1985S03111W;1985S03111;AA;Krater;;Pre-Imbrianische (Von -4.55 Mrd. bis -3.85 Mrd. Jahre) ?;;Agatharchide;Mädler (1837);Kein Name;Kein Name;Kein Name;Geograph und Historiker;Griechenland;griechischerer;-2;2. Jhd. BC;?;ca. 100 BC;?;?;??;-31.114619;328.885381;31.115° West;-19.853701;19.854° South;Nearside;Süd-West;Mare Humorum Region;52;Gassendi;172;9f4 / 11b3;036C/S 040C/S 048C/S 201C 2055;;;50;49;30;30;1180;3600;0.0241;A__________________________________________________________________________________________A;Beschädigte Formation, teilweise untergetaucht in die Lava von Oceanus Procellarum.;Steile Stelle, angrenzend an viele kleine Krater.;Kleine, hohe Wände teilweise zerstört zum Norden hin und zerfurcht von Agatharchides F zum Süd-Westen hin.;Ausgedehnte, flache Ebene, gefüllt mit dunkler Lava.  Ruinen eines Zentralbergs.;3;Sehr interessante Formation;10;3 Tage nach ersterm Viertel;2 Tage nach letztem Viertel;30;10x Doppelfernrohr;50 mm Refraktor;Agatharchides;Agatharchides;82;51.9832;-19.8537009804279;328.885381439857;-18.9965343475342;-20.710865020752;329.796655654907;327.974077224731;LOLA2011;Europe;Greek;Crater, craters;AA;Mare Humorum;LAC-93;Adopted by IAU;1935-01-01 00:00:00;;Agatharchides of Cnidos. Greek geographer (c. 116 B.C.).;http://planetarynames.wr.usgs.gov/Feature/82
AGRIPPA;AA0410N01047E;0410N01047;AA;Krater;;Eratosthenianische (Von -3.2 Mrd. bis -1.1 Mrd. Jahre);;Agrippa;Riccioli (1651);Urselii;Mons Ida;Agrippa;Astronom;Griechenland;griechischerer;1;1. Jhd.;?;ca. 50;?;?;Beobachtet im Jahre 92 eine Bedeckung der Pleiaden durch den Mond.;10.474135;10.474135;10.474° East;4.096399;4.096° North;Nearside;Nord-Ost;östlich von Mare Tranquillitatis Region;34;Hyginus;282;1e2 / 13d8;351C 357C 161C 167C;;;46;46;28;28;3100;9400;0.0674;A_______________________________A;Kreisförmige Formation mit zerstörter Form zum Süd-Westen hin.;Steile Stelle grenzt an Agrippa F und Tempel zum Osten hin.;Wände in Terrassen, grenzen an Agrippa H zum Norden hin.;Ziemlich flache Ebene.  Zentralberg.  Hügel und Aufschüttung zum Westen hin.  Rille und kleine Krater.;3;Sehr interessante Formation;6;6 Tage nach Neumond;5 Tage nach Vollmond;30;10x Doppelfernrohr;50 mm Refraktor;Agrippa;Agrippa;92;43.7467;4.09639942536124;10.4741346961679;4.8177547454834;3.37504768371582;11.1972904205322;9.75096321105957;LOLA2011;Europe;Greek;Crater, craters;AA;Julius Caesar;LAC-60;Adopted by IAU;1935-01-01 00:00:00;;Greek astronomer (unkn-fl. A.D. 92).;http://planetarynames.wr.usgs.gov/Feature/92
AIRY;AA1814S00561E;1814S00561;AA;Krater;;Pre-Imbrianische (Von -4.55 Mrd. bis -3.85 Mrd. Jahre) ?;;Sir George Bidel Airy;Mädler (1837);Crequii;Kein Name;Kein Name;Astronom;England;englischer;19;19. Jhd.;Alnwick;1801;London;1892;Direktor des Observatory of Greenwich im Jahre 1835. Arbeiten über die Himmelsmechanik. Autor der Theorie der 'Lichtstreuung'..;5.614858;5.614858;5.615° East;-18.141628;18.142° South;Nearside;Süd-Ost;östlich von Catharina Krater Region;56;Azophi;204;13e5 / 13f5;357S 003S 161S 167S 174S;;;36;37;22;22;0;0;0;Unbekannte Höhe. Kann nicht gezeigt werden.;Abgewrackte Formation, bildet ein ausgerichtetes Trio in Richtung Nord - Süd mit Argelander und Vogel.;Ziemlich steile Stelle, angrenzend an Argelander zum Norden hin, an Airy D zum Nord-Westen hin und Airy G zum Süd-Osten hin.;Zerklüftete und hohe Wände, zerfurcht zum Süden hin von Airy H.;Irreguläre, kleine ausgedehnte Ebene. Doppel-Zentralberg.;3;Sehr interessante Formation;7;Ersters Viertel;6 Tage nach Vollmond;30;10x Doppelfernrohr;50 mm Refraktor;Airy;Airy;113;38.8999;-18.1416280150276;5.61485798365116;-17.5002021789551;-18.783052444458;6.2898998260498;4.93980979919434;LOLA2011;Europe;Great Britain;Crater, craters;AA;Purbach;LAC-95;Adopted by IAU;1935-01-01 00:00:00;;George Biddell. British astronomer (1801-1892).;http://planetarynames.wr.usgs.gov/Feature/113
