NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
ABBOT;Cráter;Imbriano (Desde -3.85 mil millones de años hasta -3.2 mil millones de años) ?;Charles Greeley Abbot (ex Apollonius K);(??);Sin nombre;Sin nombre;Sin nombre;Astrofísico;U.S.A.;Americano;20;Siglo XX;Wilton;1872;Washington;1973;Director del Observatorio del Instituto Smithsonian. Determinación del valor de la constante solar y la distribución de la energía en el espectro solar.;54,8;54.8° Este;5,6;5.6° Norte;Norte-Este;Borde Norte de Mare Fecunditatis;37;Taruntius;229;3c2;315C 124C;;;10;10;6;6;?;?;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;Formación circular aislada con forma cóncava.;Vertientes bastante escarpadas.;Paredes de escasa altura.;Suelo redondeado.;1;Formación de bajo interés o dificultad;3;3 días después de la Luna Nueva;2 días después de la Luna Llena;50;Refractor de 50 mm;Refractor de 100 mm
ABEL;Cráter;Pre-Nectariano (Desde -4.55 mil millones de años hasta -3.92 mil millones de años);Niels Henrik Abel;Franz (1913);Sin nombre;Sin nombre;Sin nombre;Matemático;Noruega;Noruego;19;Siglo XIX;Isla Finnoy;1802;Arendal;1829;Especialista en la teoría de las integrales elípticas y trabajos en las llamadas integrales abelianas.;85;85.0° Este;-34,6;34.6° Sur;Sur-Este;Limbo Sur-Este de la Luna;69;Furnerius;112;;291S Q4SE;;IV-009-H3;117;117;69;69;?;?;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;Formación circular situada en la zona de libraciones.;Vertientes poco escarpadas conteniendo Abel L al Oeste, Barnard y Abel A al Norte.;Paredes de escasa altura casi inundadas al Este por la lava de Mare Australe.;Suelo plano relleno con lava conteniendo un cráter fantasma al Noreste.;2;Formación bastante interesante;2;2 días después de la Luna Nueva;1 día después de la Luna Llena;5;A simple vista;Prismáticos de 10x
ABENEZRA;Cráter;Imbriano Superior (Desde -3.8 mil millones de años hasta -3.2 mil millones de años);Abraham Bar Rabbi ben Ezra;Riccioli (1651);Schirley;Sin nombre;Abenezra;Filósofo y Astrónomo;España;Español;12;Siglo XII;?;1092;?;1167;??;11,9;11.9° Este;-21;21.0° Sur;Sur-Este;Al Este de la región del cráter Catharina;56;Azophi;154;13d3;351S 357S 154S 161S 167S;;IV-096-H1;43;43;25;25;3730;11300;0,0888;A_______________________A;Formación circular con forma hexagonal componiendo una destacable reunión con Azophi y Abenezra C;Vertientes bastante escarpadas aplastando Abenezra C al Oeste y conteniendo Azophi al Suroeste.;Paredes en altas terrazas.;Suelo tortuoso.  Líneas de cresta circulares. Colinas.;4;Formación excepcional;6;6 días después de la Luna Nueva;5 días después de la Luna Llena;30;Prismáticos de 10x;Refractor de 50 mm
ABETTI;Cráter;Imbriano (Desde -3.85 mil millones de años hasta -3.2 mil millones de años) ?;Antonio Abetti;(??);Sin nombre;Sin nombre;Sin nombre;Astrónomo;Italia;Italiano;19;Siglo XIX;?;1846;?;1928;??;27,7;27.7° Este;19,9;19.9° Norte;Norte-Este;Situado al Sureste de Mare Serenitatis;24;Bessel;284;;343C 143C 148C;;;17;17;10;10;?;?;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;Formación circular fantasma.;Vertientes casi planas.;Paredes muy planas.;Suelo plano relleno con la lava de Mare Serenitatis.;2;Formación bastante interesante;5;5 días después de la Luna Nueva;4 días después de la Luna Llena;50;Refractor de 50 mm;Refractor de 100 mm
ABULFEDA;Cráter;Típico Nectariano (Desde -3.92 mil millones de años hasta -3.85 mil millones de años);Isma'il Abu al-Fida;Riccioli (1651);Derkenni;Sin nombre;Abulfeda;Historiador;Arabia;Árabe;14;Siglo XIV;Damas;1273;Hamah;1331;"Príncipe de la dinastía de Ayyubides. Autor de la ""Historia"" que siguió al trabajo de Ibn al-Athir";13,9;13.9° Este;-13,8;13.8° Sur;Sur-Este;Región al Este del cráter Ptolemaeus;45;Andel;202;13c5 / 13d5;351C/S 154C/S 16LS 167C;;IV-089-H2;65;65;38;38;3110;9400;0,0502;A__________________________________________A;Formación circular dañada.;Vertientes escarpadas conteniendo varios cratercillos como Abulfeda R al Noroeste y Abulfeda S y W al Norte.;Paredes muy altas en terrazas solapadas por Catena Abulfeda al Sur y por Abulfeda U & Y al Norte.;Suelo plano y extenso relleno con lava.  Mancha blanca descentrada y colinas.  Cratercillos al Noreste y al Suroeste.;3;Formación muy interesante;6;6 días después de la Luna Nueva;5 días después de la Luna Llena;30;Prismáticos de 10x;Refractor de 50 mm
ACOSTA;Cráter;Copernicano (Desde -1.1 mil millones de años hasta nuestros días) ?;Cristobal Acosta (ex Langrenus C);(??);Sin nombre;Sin nombre;Sin nombre;Doctor e Historiador;Portugal;Portugués;16;Siglo XVI;?;1515;?;1580;??;60,1;60.1° Este;-5,6;5.6° Sur;Sur-Este;Limbo Este de la Luna;49;Langrenus;189;15b6 / 15c6;105C 112C 119C;;;14;14;8;8;1750;5300;0,1346;A______________A;Formación circular de forma cóncava situada en la vertiente Norte de Langrenus;Vertientes bastante escarpadas.;Paredes bastante altas.;Suelo redondeado.;2;Formación bastante interesante;3;3 días después de la Luna Nueva;2 días después de la Luna Llena;50;Refractor de 50 mm;Refractor de 100 mm
ADAMS;Cráter;Nectariano (Desde -3.92 mil millones de años hasta -3.85 mil millones de años);John Couch Adams;Birt / Lee (1865);Sin nombre;Sin nombre;Sin nombre;Astrónomo;Gran Bretaña;Británico;19;Siglo XIX;Laneast;1819;Cambridge;1892;Demostró e indicó la existencia de Neptuno por su posición independientemente de Le Verrier, pero su trabajo no fue publicado por el Royal Observatory.;68;68.0° Este;-31,9;31.9° Sur;Sur-Este;Limbo Sur-Este de la Luna;69;Furnerius;113;15d1 / 16b7;303S Q4SE 099C 105C 112C;;IV-038-H3 IV-096-H2 IV-039-H1 IV-184-H2;68;68;40;40;?;?;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;Formación circular aislada;Vertientes bastante escarpadas conteniendo Adams B al Oeste y Adams D al Este.;Paredes bastante altas en terrazas solapadas por dos cratercillos al Norte y un cráter al Sur.;Suelo plano con cratercillos.;3;Formación muy interesante;2;2 días después de la Luna Nueva;1 día después de la Luna Llena;30;Prismáticos de 10x;Refractor de 50 mm
AGATHARCHIDES;Cráter;Pre-Imbriano (Desde -4.55 mil millones de años hasta -3.85 mil millones de años) ?;Agatharchides;Mädler (1837);Sin nombre;Sin nombre;Sin nombre;Geógrafo e Historiador;Grecia;Griego;-2;Siglo II a. de C.;?;alrededor del año 100 a. de C.;?;?;??;-30,9;30.9° Oeste;-19,8;19.8° Sur;Sur-Oeste;Region de Mare Humorum;52;Gassendi;172;9f4 / 11b3;036C/S 040C/S 048C/S 201C 2055;;IV-132-H1;51;51;30;30;1180;3600;0,0241;A__________________________________________________________________________________________A;Formación dañada parcialmente sumergida por la lava de Oceanus Procellarum.;Vertientes escarpadas conteniendo varios cratercillos.;Paredes de escasa altura parcialmente destruidas al Norte y montadas por Agatharchides F al Suroeste.;Suelo plano y extenso relleno con lava oscura.  Ruinas de una montaña central.;3;Formación muy interesante;10;3 días después del Cuarto Creciente;2 días después del Cuarto Menguante;30;Prismáticos de 10x;Refractor de 50 mm
AGRIPPA;Cráter;Eratostheniano (Desde -3.2 mil millones de años hasta -1.1 mil millones de años);Agrippa;Riccioli (1651);Urselii;Mons Ida;Agrippa;Astrónomo;Grecia;Griego;1;Siglo I;?;alrededor del año 50;?;?;Observador en el año 92 de un eclipse de las Pléyades por la Luna.;10,5;10.5° Este;4,1;4.1° Norte;Norte-Este;Región al Este de Mare Tranquilitatis;34;Hyginus;282;1e2 / 13d8;351C 357C 161C 167C;;IV-097-H1;48;48;28;28;3100;9400;0,0674;A_______________________________A;Formación circular con forma destruida al Suroeste.;Vertientes escarpadas conteniendo Agrippa F y Tempel al Este.;Paredes en terrazas conteniendo Agrippa H al Norte.;Suelo bastante plano. Montaña central. Colinas y ruinas al Oeste. Fisura y cratercillos.;3;Formación muy interesante;6;6 días después de la Luna Nueva;5 días después de la Luna Llena;30;Prismáticos de 10x;Refractor de 50 mm
AIRY;Cráter;Pre-Imbriano (Desde -4.55 mil millones de años hasta -3.85 mil millones de años) ?;Sir George Bidel Airy;Mädler (1837);Crequii;Sin nombre;Sin nombre;Astrónomo;Inglaterra;Inglés;19;Siglo XIX;Alnwick;1801;Londres;1892;Director del Observatorio de Greenwich en 1835. Trabajos sobre mecánica celeste. Autor de una teoría sobre la difracción de la luz.;5,7;5.7° Este;-18,1;18.1° Sur;Sur-Este;Al Este de la región del cráter Catharina;56;Azophi;204;13e5 / 13f5;357S 003S 161S 167S 174S;;;37;37;22;22;?;?;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;Formación ruinosa formando un trío alineado de Norte a Sur con Argelander y Vogel.;Vertientes bastante escarpadas conteniendo Argelander al Norte, Airy D al Noroeste y Airy G al Sureste.;Paredes altas y tortuosas montadas al Sur por Airy H.;Suelo irregular y de poca anchura. Doble montaña central.;3;Formación muy interesante;7;Cuarto Creciente;6 días después de la Luna Llena;30;Prismáticos de 10x;Refractor de 50 mm
