NAME;LUN;LUN_REDUCED;NAMETYPE;TYPE;SUBTYPE;PERIOD;GEOLOGY;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIN360;LONGIC;LATIN;LATIC;FACE;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU;IAU_FEATURE_NAME;IAU_CLEAN_FEATURE_NAME;IAU_FEATURE_ID;IAU_DIAMETER;IAU_CENTER_LATITUDE;IAU_CENTER_LONGITUDE;IAU_NORTHERN_LATITUDE;IAU_SOUTHERN_LATITUDE;IAU_EASTERN_LONGITUDE;IAU_WESTERN_LONGITUDE;IAU_COORDINATE_SYSTEM;IAU_CONTINENT;IAU_ETHNICITY;IAU_FEATURE_TYPE;IAU_FEATURE_TYPE_CODE;IAU_QUAD_NAME;IAU_QUAD_CODE;IAU_APPROVAL_STATUS;IAU_APPROVAL_DATE;IAU_REFERENCE;IAU_ORIGIN;IAU_LINK
ABBOT;AA0556N05474E;0556N05474;AA;Cratère;;Imbrien (De -3,85 milliards d'années à -3,2 milliards d'années) ?;;Charles Greeley Abbot (ex Apollonius K);(??);Non nommé;Non nommé;Non nommé;Astrophysicien;Etats Unis;américain;20;20 ème siècle;Wilton;1872;Washington;1973;Directeur de l'observatoire de la Smithsonian Institution. Détermination de la valeur de la constante solaire et de la répartition de l'énergie dans le spectre solaire.;54.743059;54.743059;54.743° Est;5.556162;5.556° Nord;Face visible;Nord-Est;Bord Nord de la Mer de la Fécondité;37;Taruntius;229;3c2;315C 124C;;;10;10;6;6;?;?;Hauteur inconnue.Calcul impossible.;Hauteur inconnue. Visualisation impossible;Formation circulaire isolée en forme de bol.;Versants assez escarpés.;Muraille peu élevée.;Fond arrondi.;1;Formation peu intéressante ou difficile;3;Trois jours après la Nouvelle lune;Deux jours après la Pleine Lune;50;Lunette 50 mm;Télescope 100 mm;Abbot;Abbot;10;10.4043;5.55616226346136;54.7430589309508;5.72772026062012;5.38460731506348;54.9154148101807;54.570707321167;LOLA2011;North America;American;Crater, craters;AA;Mare Undarum;LAC-62;Adopted by IAU;1973-01-01 00:00:00;;Charles Greeley. American astrophysicist (1872-1973).;http://planetarynames.wr.usgs.gov/Feature/10
ABEL;AA3463S08578E;3463S08578;AA;Cratère;;Pré-Nectarien (De -4,55 milliards d'années à -3,92 milliards d'années) ;;Niels Henrik Abel;Franz (1913);Non nommé;Non nommé;Non nommé;Mathématicien;Norvège;norvégien;19;19 ème siècle;Ile de Finnoy;1802;Arendal;1829;Spécialiste de la théorie des intégrales elliptiques et travaux sur les intégrales dites abéliennes.;85.776219;85.776219;85.776° Est;-34.625700;34.626° Sud;Zone des librations;Sud-Est;Limbe Sud-Est de la Lune;69;Furnerius;112;;291S Q4SE;;IV-009-H3;114;114;69;69;?;?;Hauteur inconnue.Calcul impossible.;Hauteur inconnue. Visualisation impossible;Formation circulaire située dans la zone des librations.;Versants peu escarpés portant Abel L à l'Ouest, Barnard et Abel A au Nord.;Muraille peu élevée presque engloutie à l'Est dans la lave de Mare Australe.;Fond plat rempli de lave portant un cratère fantôme au Nord-Est.;2;Formation assez intéressante.;2;Deux jours après la Nouvelle Lune;Un jour après la Pleine Lune;5;Oeil nu;Jumelles x 10;Abel;Abel;12;137.349;-34.6257003361427;85.7762185311885;-32.5447616577148;-36.7717876434326;88.2099132537842;83.4320240020752;LOLA2011;Europe;Norway;Crater, craters;AA;Mare Australe;LAC-116;Adopted by IAU;1964-01-01 00:00:00;;Niels Henrik. Norwegian mathematician (1802-1829).;http://planetarynames.wr.usgs.gov/Feature/12
ABENEZRA;AA2099S01189E;2099S01189;AA;Cratère;;Imbrien Supérieur (De -3,8 milliards d'années à -3,2 milliards d'années) ;;Abraham Bar Rabbi ben Ezra;Riccioli (1651);Schirley;Non nommé;Abenezra;Philosophe et astronome;Espagne;espagnol;12;12 ème siècle;?;1092;?;1167;??;11.890657;11.890657;11.891° Est;-20.993564;20.994° Sud;Face visible;Sud-Est;Région à l'Ouest du cratère Catherine;56;Azophi;154;13d3;351S 357S 154S 161S 167S;;IV-096-H1;41;42;25;25;3730;11300;0.0888;A_______________________A;Formation circulaire de forme hexagonale constituant un trio remarquable avec Azophi et Abenezra C.;Versants assez escarpés écrasant Abenezra C à l'Ouest et portant Azophi au Sud-Ouest.;Muraille en gradins élevée.;Fond tourmenté. Lignes de crêtes circulaires. Monticules.;4;Formation exceptionnelle.;6;Six jours après la Nouvelle Lune;Cinq jours après la Pleine Lune;30;Jumelles x 10;Lunette 50 mm;Abenezra;Abenezra;14;43.1887;-20.9935637435813;11.8906568620438;-20.2814178466797;-21.7057094573975;12.6534671783447;11.1278171539307;LOLA2011;Europe;Spain;Crater, craters;AA;Rupes Altai;LAC-96;Adopted by IAU;1935-01-01 00:00:00;;Abraham ben Meir Ibn Ezra. Spanish mathematician, astronomer (1092-1164/1167).;http://planetarynames.wr.usgs.gov/Feature/14
ABETTI;AA2011N02782E;2011N02782;AA;Cratère;;Imbrien (De -3,85 milliards d'années à -3,2 milliards d'années) ?;;Antonio Abetti;(??);Non nommé;Non nommé;Non nommé;Astronome;Italie;italien;19;19 ème siècle;?;1846;?;1928;??;27.815724;27.815724;27.816° Est;20.112727;20.113° Nord;Face visible;Nord-Est;Partie Sud-Est de la Mer de la Sérénité;24;Bessel;284;;343C 143C 148C;;;17;17;10;10;?;?;Hauteur inconnue.Calcul impossible.;Hauteur inconnue. Visualisation impossible;Formation circulaire fantôme.;Versants presque plats.;Muraille très aplatie.;Fond plat rempli par la lave de Mare Serenitatis.;2;Formation assez intéressante.;5;Cinq jour après la Nouvelle Lune;Quatre jour après la Pleine Lune;50;Lunette 50 mm;Télescope 100 mm;Abetti;Abetti;16;1.59879;20.1127273642687;27.8157242752838;20.1390933990479;20.0863666534424;27.8438014984131;27.7876529693604;LOLA2011;Europe;Italy;Crater, craters;AA;Mare Serenitatis;LAC-42;Adopted by IAU;1976-01-01 00:00:00;;Antonio. Italian astronomer (1846-1928). Giorgio. Italian astronomer (1882-1982).;http://planetarynames.wr.usgs.gov/Feature/16
ABULFEDA;AA1387S01391E;1387S01391;AA;Cratère;;Nectarien typique (De -3,92 milliards d'années à -3,85 milliards d'années) ;;Isma'il Abu al-Fida;Riccioli (1651);Derkenni;Non nommé;Abulfeda;Historien et géographe;Arabie;arabe;14;14 ème siècle;Damas;1273;Hamah;1331;Prince de la dynastie des Ayyübides. Auteur de "l'Histoire" qui continue l'oeuvre de Ibn al-Athir.;13.910298;13.910298;13.910° Est;-13.865087;13.865° Sud;Face visible;Sud-Est;Région à l'Est du cratère Ptolémée;45;Andel;202;13c5 / 13d5;351C/S 154C/S 16LS 167C;;IV-089-H2;63;62;38;38;3110;9400;0.0502;A__________________________________________A;Formation circulaire abîmée.;Versants escarpés portant de nombreux craterlets dont Abulfeda R au Nord-Ouest et Abulfeda S & W au Nord.;Muraille très élevée en gradins chevauchée par Catena Abulfeda au Sud et par Abulfeda U & Y au Nord.;Fond plat étendu rempli de lave. Tache blanche excentrée et monticules. Craterlets au Nord-Est et au Sud-Ouest.;3;Formation très intéressante.;6;Six jours après la Nouvelle Lune;Cinq jours après la Pleine Lune;30;Jumelles x 10;Lunette 50 mm;Abulfeda;Abulfeda;23;62.2345;-13.8650869926429;13.9102981681918;-12.8388595581055;-14.8913135528564;14.9672718048096;12.8533458709717;LOLA2011;Asia;Syria;Crater, craters;AA;Theophilus;LAC-78;Adopted by IAU;1935-01-01 00:00:00;;Ismail Ibn Abū al-Fidā. Syrian geographer (1273-1331).;http://planetarynames.wr.usgs.gov/Feature/23
ACOSTA;AA0565S06014E;0565S06014;AA;Cratère;;Copernicien (De -1,1 milliards d'années à nos jours) ?;;Cristobal Acosta (ex Langrenus C);(??);Non nommé;Non nommé;Non nommé;Médecin et historien;Portugal;portugais;16;16 ème siècle;?;1515;?;1580;??;60.139473;60.139473;60.139° Est;-5.645305;5.645° Sud;Face visible;Sud-Est;Limbe Est de la Lune;49;Langrenus;189;15b6 / 15c6;105C 112C 119C;;;13;13;8;8;1750;5300;0.1346;A______________A;Formation circulaire en forme de bol située sur le versant Nord de Langrenus.;Versants assez escarpés.;Muraille assez élevée.;Fond arrondi.;2;Formation assez intéressante.;3;Trois jours après la Nouvelle lune;Deux jours après la Pleine Lune;50;Lunette 50 mm;Télescope 100 mm;Acosta;Acosta;40;13.0615;-5.64530508826036;60.1394730652901;-5.42993354797363;-5.86067581176758;60.3558940887451;59.9230518341064;LOLA2011;Europe;Portugal;Crater, craters;AA;Langrenus;LAC-80;Adopted by IAU;1976-01-01 00:00:00;;Cristobal. Portuguese doctor, natural historian (1515-1580).;http://planetarynames.wr.usgs.gov/Feature/40
ADAMS;AA3189S06839E;3189S06839;AA;Cratère;;Nectarien (De -3,92 milliards d'années à -3,85 milliards d'années) ;;John Couch Adams;Birt / Lee (1865);Non nommé;Non nommé;Non nommé;Astronome;Grande Bretagne;britannique;19;19 ème siècle;Laneast;1819;Cambridge;1892;A démontré l'existence et indiqué la position de Neptune indépendamment de Le Verrier, mais ses travaux n'ont pas été publiés par l'Observatoire Royal.;68.386902;68.386902;68.387° Est;-31.891634;31.892° Sud;Face visible;Sud-Est;Limbe Sud-Est de la Lune;69;Furnerius;113;15d1 / 16b7;303S Q4SE 099C 105C 112C;;IV-038-H3 IV-096-H2 IV-039-H1 IV-184-H2;66;66;40;40;?;?;Hauteur inconnue.Calcul impossible.;Hauteur inconnue. Visualisation impossible;Formation circulaire isolée.;Versants assez escarpés portant Adams B à l'Ouest et Adams D à l'Est.;Muraille assez élevée en gradins chevauchée par deux craterlets au Nord et un cratère au Sud.;Fond plat avec craterlets dont un central.;3;Formation très intéressante.;2;Deux jours après la Nouvelle Lune;Un jour après la Pleine Lune;30;Jumelles x 10;Lunette 50 mm;Adams;Adams;47;63.2702;-31.8916341691825;68.3869015353649;-30.8483333587646;-32.9349346160889;69.6150379180908;67.1587657928467;LOLA2011;North America;American;Crater, craters;AA;Petavius;LAC-98;Adopted by IAU;1970-01-01 00:00:00;;John Couch. British astronomer (1819-1892). Charles Hitchcock. American astronomer (1868-1951). Walter Sydney. American astronomer (1876-1956).;http://planetarynames.wr.usgs.gov/Feature/47
AGATHARCHIDES;AA1985S03111W;1985S03111;AA;Cratère;;Pré-Imbrien (De -4,55 milliards d'années à -3,85 milliards d'années) ?;;Agatharchide;Mädler (1837);Non nommé;Non nommé;Non nommé;Géographe et historien;Grèce;grec;-2;2 ème siècle av JC;?;vers 100 av JC;?;?;??;-31.114619;328.885381;31.115° Ouest;-19.853701;19.854° Sud;Face visible;Sud-Ouest;Secteur de la Mer des Humeurs;52;Gassendi;172;9f4 / 11b3;036C/S 040C/S 048C/S 201C 2055;;IV-132-H1;50;49;30;30;1180;3600;0.0241;A__________________________________________________________________________________________A;Formation abîmée en partie submergée par la lave d'Oceanus Procellarum.;Versants escarpés portant de nombreux craterlets.;Muraille peu élevée partiellement détruite au Nord et chevauchée par Agatharchides F au Sud-Ouest.;Fond plat étendu rempli de lave sombre. Restes de montagne centrale.;3;Formation très intéressante.;10;Trois jours après le Premier Quartier;Deux jours après le Dernier Quartier;30;Jumelles x 10;Lunette 50 mm;Agatharchides;Agatharchides;82;51.9832;-19.8537009804279;328.885381439857;-18.9965343475342;-20.710865020752;329.796655654907;327.974077224731;LOLA2011;Europe;Greek;Crater, craters;AA;Mare Humorum;LAC-93;Adopted by IAU;1935-01-01 00:00:00;;Agatharchides of Cnidos. Greek geographer (c. 116 B.C.).;http://planetarynames.wr.usgs.gov/Feature/82
AGRIPPA;AA0410N01047E;0410N01047;AA;Cratère;;Eratosthénien (De -3,2 milliards d'années à -1,1 milliards d'années);;Agrippa;Riccioli (1651);Urselii;Mons Ida;Agrippa;Astronome;Grèce;grec;1;1 er siècle;?;vers 50;?;?;Observateur en 92 d'une occultation des Pléiades par la Lune.;10.474135;10.474135;10.474° Est;4.096399;4.096° Nord;Face visible;Nord-Est;Région à l'Est de la Mer de la Tranquillité;34;Hyginus;282;1e2 / 13d8;351C 357C 161C 167C;;IV-097-H1;46;46;28;28;3100;9400;0.0674;A_______________________________A;Formation déformée au Sud-Ouest.;Versants escarpés portant Agrippa F et Tempel à l'Est.;Muraille en gradins portant Agrippa H au Nord.;Fond assez plat. Montagne centrale. Monticules et éboulis à l'Ouest. Crevasse et craterlets.;3;Formation très intéressante.;6;Six jours après la Nouvelle Lune;Cinq jours après la Pleine Lune;30;Jumelles x 10;Lunette 50 mm;Agrippa;Agrippa;92;43.7467;4.09639942536124;10.4741346961679;4.8177547454834;3.37504768371582;11.1972904205322;9.75096321105957;LOLA2011;Europe;Greek;Crater, craters;AA;Julius Caesar;LAC-60;Adopted by IAU;1935-01-01 00:00:00;;Greek astronomer (unkn-fl. A.D. 92).;http://planetarynames.wr.usgs.gov/Feature/92
AIRY;AA1814S00561E;1814S00561;AA;Cratère;;Pré-Imbrien (De -4,55 milliards d'années à -3,85 milliards d'années) ?;;Sir George Bidel Airy;Mädler (1837);Crequii;Non nommé;Non nommé;Astronome;Angleterre;anglais;19;19 ème siècle;Alnwick;1801;Londres;1892;Directeur de l'Observatoire de Greenwich en 1835. Travaux sur la mécanique céleste. Auteur d'une théorie sur la diffraction de la lumière.;5.614858;5.614858;5.615° Est;-18.141628;18.142° Sud;Face visible;Sud-Est;Région à l'Ouest du cratère Catherine;56;Azophi;204;13e5 / 13f5;357S 003S 161S 167S 174S;;;36;37;22;22;?;?;Hauteur inconnue.Calcul impossible.;Hauteur inconnue. Visualisation impossible;Formation délabrée formant un trio aligné Nord-Sud avec Argelander et Vogel.;Versants assez escarpés portant Argelander au Nord Airy D au Nord-Ouest et Airy G au Sud-Est.;Muraille élevée et tourmentée chevauchée au Sud par Airy H.;Fond irrégulier peu étendu. Montagne centrale double.;3;Formation très intéressante.;7;Au Premier Quartier;Six jours après la Pleine Lune;30;Jumelles x 10;Lunette 50 mm;Airy;Airy;113;38.8999;-18.1416280150276;5.61485798365116;-17.5002021789551;-18.783052444458;6.2898998260498;4.93980979919434;LOLA2011;Europe;Great Britain;Crater, craters;AA;Purbach;LAC-95;Adopted by IAU;1935-01-01 00:00:00;;George Biddell. British astronomer (1801-1892).;http://planetarynames.wr.usgs.gov/Feature/113
