NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
ABBOT;Cratera;Imbriano (de -3,85 mil milhões a -3,2 mil milhões de anos);Charles Greeley Abbot (ex Apollonius K);(??);Nome não atribuído ;Nome não atribuído ;Nome não atribuído ;Astrofísico;E. U. A.;Norte Americano;20;Século 20;Wilton;1872;Washington;1973;Director do observatório do Smithsonian Institution. Determinação do valor da constante solar e da distribuição da energia no espectro solar.;54,8;54.8° Este;5,6;5.6° Norte;Nordeste;Bordo Norte do Mar da Fecundidade ;37;Taruntius;229;3c2;315C 124C;;;10;10;6;6;?;?;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Formação circular isolada com forma de taça.;Vertentes bastante escarpadas.;Paredes pouco elevadas.;Fundo arredondado.;1;Formação de baixo interesse ou difícil;3;3 dias após a Lua Nova;2 dias após a Lua Cheia;50;Refractor 50 mm;Telescópio 100 mm
ABEL;Cratera;Pre-Nectariano (de -4.55 mil milhões anos a -3.92 mil milhões anos);Niels Henrik Abel;Franz (1913);Nome não atribuído ;Nome não atribuído ;Nome não atribuído ;Matemático;Noruega;norueguês;19;Século 19;Finnoy Island;1802;Arendal;1829;Especialista em teoria das integrais elipticas e trabalhos sobre as integrais abelianas.;85;85.0° Este;-34,6;34.6° Sul;Sudeste;Limbo Sudeste da Lua;69;Furnerius;112;;291S Q4SE;;IV-009-H3;114;114;69;69;?;?;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Formação circular situada na zona das librações.;Vertentes pouco escarpadas suportando Abel L a Oeste, e Barnard e Abel A a Norte.;Paredes pouco elevadas.;Fundo plano preenchido com lava, suportando uma cratera fantasma a Nordeste.;2;Formação consideravelmente interessante;2;2 dias após a Lua Nova;1 dia após a Lua Cheia;5;Olho nu;Binóculo x 10
ABENEZRA;Cratera;Imbriano Superior (de -3.8 mil milhões anos a -3.2 mil milhões anos);Abraham Bar Rabbi ben Ezra;Riccioli (1651);Schirley;Nome não atribuído ;Abenezra;Filósofo e Astrónomo;Espanha;espanhol;12;Século 12;?;1092;?;1167;;11,9;11.9° Este;-21;21.0° Sul;Sudeste;Região a Oeste da cratera Catherine;56;Azophi;154;13d3;351S 357S 154S 161S 167S;;IV-096-H1;41;42;25;25;3730;11300;0,0888;A_______________________A;Formação circular de forma hexagonal que constitui trio notável com Azophi e Abenezra C.;Vertentes bastante escarpadas esmagando Abenezra C a Oeste e suportando Azophi a Sudoeste.;Paredes em terraços elevadas.;Fundo acidentado. Linhas de cristas circulares. Colinas.;4;Formação excepcional;6;5 dias após a Lua Nova;5 dias após a Lua Cheia;30;Binóculo x 10;Refractor 50 mm
ABETTI;Cratera;Imbriano (de -3,85 mil milhões a -3,2 mil milhões de anos);Antonio Abetti;(??);Nome não atribuído ;Nome não atribuído ;Nome não atribuído ;Astrónomo;Itália;italiano;19;Século 19;?;1846;?;1928;;27,7;27.7° Este;19,9;19.9° Norte;Nordeste;Parte Sudeste do Mar da Serenidade;24;Bessel;284;;343C 143C 148C;;;17;17;10;10;?;?;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Formação circular fantasma.;Vertentes quase planas.;Paredes muito planas.;Fundo plano preenchido com lava de Mare Serenitatis.;2;Formação consideravelmente interessante;5;5 dia após a Lua Nova;4 dia após a Lua Cheia;50;Refractor 50 mm;Telescópio 100 mm
ABULFEDA;Cratera;Nectariano Típico (de -3.92 mil milhões anos a -3.85 mil milhões anos);Isma'il Abu al-Fida;Riccioli (1651);Derkenni;Nome não atribuído ;Abulfeda;Historiador;Árabia;árabe;14;Século 14;Damas;1273;Hamah;1331;"Príncipe da dinastia do Ayyübides. Autor da ""História"" que continua a obra de Ibn al-Athir.";13,9;13.9° Este;-13,8;13.8° Sul;Sudeste;Região a Este da cratera Ptolomeu;45;Andel;202;13c5 / 13d5;351C/S 154C/S 16LS 167C;;IV-089-H2;63;62;38;38;3110;9400;0,0502;A__________________________________________A;Formação circular danificada.;Vertentes escarpadas suportando numerosas pequenas crateras entre as quais Abulfeda R a Noroeste e Abulfeda S & W a Norte.;Paredes muito elevadas em terraços sobrepostas por Catena Abulfeda a Sul e por Abulfeda U & Y a Norte.;Fundo plano extenso preenchido com lava. Mancha branca descentrada e colinas. Pequenas crateras a Nordeste e o Sudoeste.;3;Formação muito interessante;6;5 dias após a Lua Nova;5 dias após a Lua Cheia;30;Binóculo x 10;Refractor 50 mm
ACOSTA;Cratera;Coperniciano (de -1.1 mil milhões anos a present days) ?;Cristobal Acosta (ex Langrenus C);(??);Nome não atribuído ;Nome não atribuído ;Nome não atribuído ;Médico e Historiador;Portugal;português;16;Século 16;?;1515;?;1580;;60,1;60.1° Este;-5,6;5.6° Sul;Sudeste;Limbo Este da Lua;49;Langrenus;189;15b6 / 15c6;105C 112C 119C;;;13;13;8;8;1750;5300;0,1346;A______________A;Formação circular com forma de taça situada sobre a vertente Norte de Langrenus.;Vertentes bastante escarpadas.;Paredes bastante elevadas.;Fundo arredondado.;2;Formação consideravelmente interessante;3;3 dias após a Lua Nova;2 dias após a Lua Cheia;50;Refractor 50 mm;Telescópio 100 mm
ADAMS;Cratera;Nectariano (de -3.92 mil milhões anos a -3.85 mil milhões anos);John Couch Adams;Birt / Lee (1865);Nome não atribuído ;Nome não atribuído ;Nome não atribuído ;Astrónomo;Grã-Bretanha;britânico;19;Século 19;Laneast;1819;Cambridge;1892;Demonstrou a existência e indicou a posição de Neptuno independentemente do Le Verrier, mas os seus trabalhos não foram publicados pelo Royal Observatory.;68;68.0° Este;-31,9;31.9° Sul;Sudeste;Limbo Sudeste da Lua;69;Furnerius;113;15d1 / 16b7;303S Q4SE 099C 105C 112C;;IV-038-H3 IV-096-H2 IV-039-H1 IV-184-H2;66;66;40;40;?;?;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Formação circular isolada.;Vertentes bastante escarpadas suportando Adams B a Oeste e Adams D a Este.;Paredes bastante elevadas em terraços sobrepostas por duas pequenas crateras a Norte e uma cratera a Sul.;Fundo plano com pequenas crateras incluindo uma central.;3;Formação muito interessante;2;2 dias após a Lua Nova;1 dia após a Lua Cheia;30;Binóculo x 10;Refractor 50 mm
AGATHARCHIDES;Cratera;Pre-Imbriano (de -4.55 mil milhões anos a -3.85 mil milhões anos) ?;Agatharchide;Mädler (1837);Nome não atribuído ;Nome não atribuído ;Nome não atribuído ;Geógrafo e Historiador;Grécia;grego;-2;Século 2º AC;?;about 100 BC;?;?;;-30,9;30.9° Oeste;-19,8;19.8° Sul;Sudoeste;Sector do Mar dos Humores;52;Gassendi;172;9f4 / 11b3;036C/S 040C/S 048C/S 201C 2055;;IV-132-H1;50;49;30;30;1180;3600;0,0241;A__________________________________________________________________________________________A;Formação danificada em parte submergida pela lava de Oceanus Procellarum.;Vertentes escarpadas suportando diversas pequenas crateras.;Paredes pouco elevadas parcialmente destruídas a Norte e sobrepostas por Agatharchides F a Sudoeste.;Fundo plano extenso preenchido com lava escura. Restos de montanha central.;3;Formação muito interessante;10;3 dias após o Quarto Crescente;2 dias após o Quarto Minguante;30;Binóculo x 10;Refractor 50 mm
AGRIPPA;Cratera;Eratosteniano (de -3.2 mil milhões anos a -1.1 mil milhões anos);Agrippa;Riccioli (1651);Urselii;Mons Ida;Agrippa;Astrónomo;Grécia;grego;1;Século 1º;?;about 50;?;?;Observador em 92 de uma ocultação de Pléiades pela Lua.;10,5;10.5° Este;4,1;4.1° Norte;Nordeste;Região a Este do Mar da Tranquilidade;34;Hyginus;282;1e2 / 13d8;351C 357C 161C 167C;;IV-097-H1;46;46;28;28;3100;9400;0,0674;A_______________________________A;Formação deformada a Sudoeste.;Vertentes escarpadas suportando Agrippa F e Tempel a Este.;Paredes em terraços suportando Agruppa H a Norte.;Fundo bastante plano. Montanha central. Colinas e detritos a Oeste. Fenda e pequenas crateras.;3;Formação muito interessante;6;5 dias após a Lua Nova;5 dias após a Lua Cheia;30;Binóculo x 10;Refractor 50 mm
AIRY;Cratera;Pre-Imbriano (de -4.55 mil milhões anos a -3.85 mil milhões anos) ?;Sir George Bidel Airy;Mädler (1837);Crequii;Nome não atribuído ;Nome não atribuído ;Astrónomo;Inglaterra;inglês;19;Século 19;Alnwick;1801;London;1892;Director do Observatório de Greenwich em 1835. Trabalhos sobre a mecânica celestial. Autor de uma teoria sobre a difracção da luz.;5,7;5.7° Este;-18,1;18.1° Sul;Sudeste;Região a Oeste da cratera Catherine;56;Azophi;204;13e5 / 13f5;357S 003S 161S 167S 174S;;;36;37;22;22;?;?;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Formação degradada que forma trio alinhado Norte-Sul com Argelander e Vogel.;Vertentes bastante escarpadas suportando Argelander a Norte, Airy D a Noroeste e Airy G a Sudeste.;Paredes altas e acidentadas sobrepostas a Sul por Airy H.;Fundo irregular pouco extenso. Montanha central dupla.;3;Formação muito interessante;7;Quarto Crescente;5 dias após a Lua Cheia;30;Binóculo x 10;Refractor 50 mm
