NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
ABEL A;Cráter;;Niels Henrik Abel;(Mädler 1837 o IAU 19.. ??);Sin nombre;Sin nombre;Sin nombre;Matemático;Noruega;Noruego;19;Siglo XIX;Isla Finnoy;1802;Arendal;1829;Especialista en la teoría de las integrales elípticas y trabajos en las llamadas integrales abelianas.;86;86.00 ° Este;-36,6;36.6 ° Sur;Sur-Este;Limbo Sur-Este de la Luna;No indicado;No indicado ?;??;No indicado;No indicado;;;19;19;11;11;Desconocido;Desconocido;Altura desconocida, Imposible de calcular,;Altura desconocida. Imposible de dibujar.;;;;;0;No evaluado;2;2 días después de la Luna Nueva;1 día después de la Luna Llena;50;Refractor de 50 mm;Refractor de 100 mm
ABEL B;Cráter;;Niels Henrik Abel;(Mädler 1837 o IAU 19.. ??);Sin nombre;Sin nombre;Sin nombre;Matemático;Noruega;Noruego;19;Siglo XIX;Isla Finnoy;1802;Arendal;1829;Especialista en la teoría de las integrales elípticas y trabajos en las llamadas integrales abelianas.;82,8;82.80 ° Este;-36,7;36.7 ° Sur;Sur-Este;Limbo Sur-Este de la Luna;No indicado;No indicado ?;??;No indicado;No indicado;;;41;41;24;24;Desconocido;Desconocido;Altura desconocida, Imposible de calcular,;Altura desconocida. Imposible de dibujar.;;;;;0;No evaluado;2;2 días después de la Luna Nueva;1 día después de la Luna Llena;30;Prismáticos de 10x;Refractor de 50 mm
ABEL C;Cráter;;Niels Henrik Abel;(Mädler 1837 o IAU 19.. ??);Sin nombre;Sin nombre;Sin nombre;Matemático;Noruega;Noruego;19;Siglo XIX;Isla Finnoy;1802;Arendal;1829;Especialista en la teoría de las integrales elípticas y trabajos en las llamadas integrales abelianas.;81;81.00 ° Este;-36;36 ° Sur;Sur-Este;Limbo Sur-Este de la Luna;No indicado;No indicado ?;??;No indicado;No indicado;;;31;31;18;18;Desconocido;Desconocido;Altura desconocida, Imposible de calcular,;Altura desconocida. Imposible de dibujar.;;;;;0;No evaluado;2;2 días después de la Luna Nueva;1 día después de la Luna Llena;30;Prismáticos de 10x;Refractor de 50 mm
ABEL D;Cráter;;Niels Henrik Abel;(Mädler 1837 o IAU 19.. ??);Sin nombre;Sin nombre;Sin nombre;Matemático;Noruega;Noruego;19;Siglo XIX;Isla Finnoy;1802;Arendal;1829;Especialista en la teoría de las integrales elípticas y trabajos en las llamadas integrales abelianas.;87,7;87.70 ° Este;-37,7;37.7 ° Sur;Sur-Este;Limbo Sur-Este de la Luna;No indicado;No indicado ?;??;No indicado;No indicado;;;30;30;18;18;Desconocido;Desconocido;Altura desconocida, Imposible de calcular,;Altura desconocida. Imposible de dibujar.;;;;;0;No evaluado;2;2 días después de la Luna Nueva;1 día después de la Luna Llena;30;Prismáticos de 10x;Refractor de 50 mm
ABEL E;Cráter;;Niels Henrik Abel;(Mädler 1837 o IAU 19.. ??);Sin nombre;Sin nombre;Sin nombre;Matemático;Noruega;Noruego;19;Siglo XIX;Isla Finnoy;1802;Arendal;1829;Especialista en la teoría de las integrales elípticas y trabajos en las llamadas integrales abelianas.;86,5;86.50 ° Este;-37,8;37.8 ° Sur;Sur-Este;Limbo Sur-Este de la Luna;No indicado;No indicado ?;??;No indicado;No indicado;;;13;13;8;8;Desconocido;Desconocido;Altura desconocida, Imposible de calcular,;Altura desconocida. Imposible de dibujar.;;;;;0;No evaluado;2;2 días después de la Luna Nueva;1 día después de la Luna Llena;50;Refractor de 50 mm;Refractor de 100 mm
ABEL J;Cráter;;Niels Henrik Abel;(Mädler 1837 o IAU 19.. ??);Sin nombre;Sin nombre;Sin nombre;Matemático;Noruega;Noruego;19;Siglo XIX;Isla Finnoy;1802;Arendal;1829;Especialista en la teoría de las integrales elípticas y trabajos en las llamadas integrales abelianas.;79;79.00 ° Este;-35,5;35.5 ° Sur;Sur-Este;Limbo Sur-Este de la Luna;No indicado;No indicado ?;??;No indicado;No indicado;;;11;11;6;6;Desconocido;Desconocido;Altura desconocida, Imposible de calcular,;Altura desconocida. Imposible de dibujar.;;;;;0;No evaluado;2;2 días después de la Luna Nueva;1 día después de la Luna Llena;50;Refractor de 50 mm;Refractor de 100 mm
ABEL K;Cratercillo;;Niels Henrik Abel;(Mädler 1837 o IAU 19.. ??);Sin nombre;Sin nombre;Sin nombre;Matemático;Noruega;Noruego;19;Siglo XIX;Isla Finnoy;1802;Arendal;1829;Especialista en la teoría de las integrales elípticas y trabajos en las llamadas integrales abelianas.;77,2;77.20 ° Este;-35;35 ° Sur;Sur-Este;Limbo Sur-Este de la Luna;No indicado;No indicado ?;??;No indicado;No indicado;;;9;9;5;5;Desconocido;Desconocido;Altura desconocida, Imposible de calcular,;Altura desconocida. Imposible de dibujar.;Formación circular aislada con forma cóncava.;Vertientes poco escarpadas.;Paredes de escasa altura.;Suelo redondeado.;0;No evaluado;2;2 días después de la Luna Nueva;1 día después de la Luna Llena;50;Refractor de 50 mm;Refractor de 100 mm
ABEL L;Cráter;;Niels Henrik Abel;(Mädler 1837 o IAU 19.. ??);Sin nombre;Sin nombre;Sin nombre;Matemático;Noruega;Noruego;19;Siglo XIX;Isla Finnoy;1802;Arendal;1829;Especialista en la teoría de las integrales elípticas y trabajos en las llamadas integrales abelianas.;82,6;82.60 ° Este;-34,4;34.4 ° Sur;Sur-Este;Limbo Sur-Este de la Luna;No indicado;No indicado ?;??;No indicado;No indicado;;;67;67;39;39;Desconocido;Desconocido;Altura desconocida, Imposible de calcular,;Altura desconocida. Imposible de dibujar.;;;;;0;No evaluado;2;2 días después de la Luna Nueva;1 día después de la Luna Llena;30;Prismáticos de 10x;Refractor de 50 mm
ABEL M;Cráter;;Niels Henrik Abel;(Mädler 1837 o IAU 19.. ??);Sin nombre;Sin nombre;Sin nombre;Matemático;Noruega;Noruego;19;Siglo XIX;Isla Finnoy;1802;Arendal;1829;Especialista en la teoría de las integrales elípticas y trabajos en las llamadas integrales abelianas.;83,6;83.60 ° Este;-32,2;32.2 ° Sur;Sur-Este;Limbo Sur-Este de la Luna;No indicado;No indicado ?;??;No indicado;No indicado;;;81;81;48;48;Desconocido;Desconocido;Altura desconocida, Imposible de calcular,;Altura desconocida. Imposible de dibujar.;;;;;0;No evaluado;2;2 días después de la Luna Nueva;1 día después de la Luna Llena;30;Prismáticos de 10x;Refractor de 50 mm
ABENEZRA A;Cráter;;Abraham Bar Rabbi ben Ezra;(Mädler 1837 o IAU 19.. ??);Sin nombre;Sin nombre;Sin nombre;Filósofo y Astrónomo;España;Español;12;Siglo XII;?;1092;?;1167;??;10,5;10.50 ° Este;-22,8;22.8 ° Sur;Sur-Este;Región al Oeste del cráter Catharina;56;Azophi ?;??;No indicado;No indicado;;;23;23;14;14;Desconocido;Desconocido;Altura desconocida, Imposible de calcular,;Altura desconocida. Imposible de dibujar.;;;;;0;No evaluado;6;6 días después de la Luna Nueva;5 días después de la Luna Llena;30;Prismáticos de 10x;Refractor de 50 mm
