NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
ABEL A;Cratera;;Niels Henrik Abel;(Mädler 1837 ou IAU 19.. ??);Nome não atribuído ;Nome não atribuído ;Nome não atribuído ;Matemático;Noruega;norueguês;19;Século 19;Finnoy Island;1802;Arendal;1829;Especialista em teoria das integrais elipticas e trabalhos sobre as integrais abelianas.;86;86.00 ° Este;-36,6;36.6 ° Sul;Sudeste;Limbo Sudeste da Lua;Não indicado;Não indicado ?;??;Não indicado;Não indicado;;;19;19;11;11;?;?;Altura desconhecida. Cálculo não possível,;Altura desconhecida. Desenho não possível.;;;;;0;Não avaliado;2;2 dias após a Lua Nova;1 dia após a Lua Cheia;50;Refractor 50 mm;Refractor 100 mm
ABEL B;Cratera;;Niels Henrik Abel;(Mädler 1837 ou IAU 19.. ??);Nome não atribuído ;Nome não atribuído ;Nome não atribuído ;Matemático;Noruega;norueguês;19;Século 19;Finnoy Island;1802;Arendal;1829;Especialista em teoria das integrais elipticas e trabalhos sobre as integrais abelianas.;82,8;82.80 ° Este;-36,7;36.7 ° Sul;Sudeste;Limbo Sudeste da Lua;Não indicado;Não indicado ?;??;Não indicado;Não indicado;;;41;41;24;24;?;?;Altura desconhecida. Cálculo não possível,;Altura desconhecida. Desenho não possível.;;;;;0;Não avaliado;2;2 dias após a Lua Nova;1 dia após a Lua Cheia;30;Binóculo x 10;Refractor 50 mm
ABEL C;Cratera;;Niels Henrik Abel;(Mädler 1837 ou IAU 19.. ??);Nome não atribuído ;Nome não atribuído ;Nome não atribuído ;Matemático;Noruega;norueguês;19;Século 19;Finnoy Island;1802;Arendal;1829;Especialista em teoria das integrais elipticas e trabalhos sobre as integrais abelianas.;81;81.00 ° Este;-36;36 ° Sul;Sudeste;Limbo Sudeste da Lua;Não indicado;Não indicado ?;??;Não indicado;Não indicado;;;31;31;18;18;?;?;Altura desconhecida. Cálculo não possível,;Altura desconhecida. Desenho não possível.;;;;;0;Não avaliado;2;2 dias após a Lua Nova;1 dia após a Lua Cheia;30;Binóculo x 10;Refractor 50 mm
ABEL D;Cratera;;Niels Henrik Abel;(Mädler 1837 ou IAU 19.. ??);Nome não atribuído ;Nome não atribuído ;Nome não atribuído ;Matemático;Noruega;norueguês;19;Século 19;Finnoy Island;1802;Arendal;1829;Especialista em teoria das integrais elipticas e trabalhos sobre as integrais abelianas.;87,7;87.70 ° Este;-37,7;37.7 ° Sul;Sudeste;Limbo Sudeste da Lua;Não indicado;Não indicado ?;??;Não indicado;Não indicado;;;30;30;18;18;?;?;Altura desconhecida. Cálculo não possível,;Altura desconhecida. Desenho não possível.;;;;;0;Não avaliado;2;2 dias após a Lua Nova;1 dia após a Lua Cheia;30;Binóculo x 10;Refractor 50 mm
ABEL E;Cratera;;Niels Henrik Abel;(Mädler 1837 ou IAU 19.. ??);Nome não atribuído ;Nome não atribuído ;Nome não atribuído ;Matemático;Noruega;norueguês;19;Século 19;Finnoy Island;1802;Arendal;1829;Especialista em teoria das integrais elipticas e trabalhos sobre as integrais abelianas.;86,5;86.50 ° Este;-37,8;37.8 ° Sul;Sudeste;Limbo Sudeste da Lua;Não indicado;Não indicado ?;??;Não indicado;Não indicado;;;13;13;8;8;?;?;Altura desconhecida. Cálculo não possível,;Altura desconhecida. Desenho não possível.;;;;;0;Não avaliado;2;2 dias após a Lua Nova;1 dia após a Lua Cheia;50;Refractor 50 mm;Refractor 100 mm
ABEL J;Cratera;;Niels Henrik Abel;(Mädler 1837 ou IAU 19.. ??);Nome não atribuído ;Nome não atribuído ;Nome não atribuído ;Matemático;Noruega;norueguês;19;Século 19;Finnoy Island;1802;Arendal;1829;Especialista em teoria das integrais elipticas e trabalhos sobre as integrais abelianas.;79;79.00 ° Este;-35,5;35.5 ° Sul;Sudeste;Limbo Sudeste da Lua;Não indicado;Não indicado ?;??;Não indicado;Não indicado;;;11;11;6;6;?;?;Altura desconhecida. Cálculo não possível,;Altura desconhecida. Desenho não possível.;;;;;0;Não avaliado;2;2 dias após a Lua Nova;1 dia após a Lua Cheia;50;Refractor 50 mm;Refractor 100 mm
ABEL K;Pequena cratera;;Niels Henrik Abel;(Mädler 1837 ou IAU 19.. ??);Nome não atribuído ;Nome não atribuído ;Nome não atribuído ;Matemático;Noruega;norueguês;19;Século 19;Finnoy Island;1802;Arendal;1829;Especialista em teoria das integrais elipticas e trabalhos sobre as integrais abelianas.;77,2;77.20 ° Este;-35;35 ° Sul;Sudeste;Limbo Sudeste da Lua;Não indicado;Não indicado ?;??;Não indicado;Não indicado;;;9;9;5;5;?;?;Altura desconhecida. Cálculo não possível,;Altura desconhecida. Desenho não possível.;Formação isolada circular com forma de taça.;Vertentes pouco escarpadas.;Paredes pouco elevadas.;Fundo arredondado.;0;Não avaliado;2;2 dias após a Lua Nova;1 dia após a Lua Cheia;50;Refractor 50 mm;Refractor 100 mm
ABEL L;Cratera;;Niels Henrik Abel;(Mädler 1837 ou IAU 19.. ??);Nome não atribuído ;Nome não atribuído ;Nome não atribuído ;Matemático;Noruega;norueguês;19;Século 19;Finnoy Island;1802;Arendal;1829;Especialista em teoria das integrais elipticas e trabalhos sobre as integrais abelianas.;82,6;82.60 ° Este;-34,4;34.4 ° Sul;Sudeste;Limbo Sudeste da Lua;Não indicado;Não indicado ?;??;Não indicado;Não indicado;;;67;67;39;39;?;?;Altura desconhecida. Cálculo não possível,;Altura desconhecida. Desenho não possível.;;;;;0;Não avaliado;2;2 dias após a Lua Nova;1 dia após a Lua Cheia;30;Binóculo x 10;Refractor 50 mm
ABEL M;Cratera;;Niels Henrik Abel;(Mädler 1837 ou IAU 19.. ??);Nome não atribuído ;Nome não atribuído ;Nome não atribuído ;Matemático;Noruega;norueguês;19;Século 19;Finnoy Island;1802;Arendal;1829;Especialista em teoria das integrais elipticas e trabalhos sobre as integrais abelianas.;83,6;83.60 ° Este;-32,2;32.2 ° Sul;Sudeste;Limbo Sudeste da Lua;Não indicado;Não indicado ?;??;Não indicado;Não indicado;;;81;81;48;48;?;?;Altura desconhecida. Cálculo não possível,;Altura desconhecida. Desenho não possível.;;;;;0;Não avaliado;2;2 dias após a Lua Nova;1 dia após a Lua Cheia;30;Binóculo x 10;Refractor 50 mm
ABENEZRA A;Cratera;;Abraham Bar Rabbi ben Ezra;(Mädler 1837 ou IAU 19.. ??);Nome não atribuído ;Nome não atribuído ;Nome não atribuído ;Filósofo e Astrónomo;Espanha;espanhol;12;Século 12;?;1092;?;1167;;10,5;10.50 ° Este;-22,8;22.8 ° Sul;Sudeste;Região a Oeste da cratera Catherine;56;Azophi ?;??;Não indicado;Não indicado;;;23;23;14;14;?;?;Altura desconhecida. Cálculo não possível,;Altura desconhecida. Desenho não possível.;;;;;0;Não avaliado;6;5 dias após a Lua Nova;5 dias após a Lua Cheia;30;Binóculo x 10;Refractor 50 mm
ABENEZRA B;Cratera;;Abraham Bar Rabbi ben Ezra;(Mädler 1837 ou IAU 19.. ??);Nome não atribuído ;Nome não atribuído ;Nome não atribuído ;Filósofo e Astrónomo;Espanha;espanhol;12;Século 12;?;1092;?;1167;;10,1;10.10 ° Este;-20,8;20.8 ° Sul;Sudeste;Região a Oeste da cratera Catherine;56;Azophi ?;??;Não indicado;Não indicado;;;14;14;8;8;?;?;Altura desconhecida. Cálculo não possível,;Altura desconhecida. Desenho não possível.;;;;;0;Não avaliado;6;5 dias após a Lua Nova;5 dias após a Lua Cheia;50;Refractor 50 mm;Refractor 100 mm
