NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
Piroclástica 'Aestatis';Área piroclástica;No determenado;Volcanismo piroclástico de Gaddis base de datos n° 1;Gaddis (1999) / Legry (2007);Sin nombre;Sin nombre;Sin nombre;;;;0;;;;No consta el lugar de fallecimiento;No consta la fecla de fallecimiento;Sin hechos relevantes;-68.4;68 ° 24 '  Oeste;-15;-15 ° 0 '  Sur;Suroeste;Limbo Oeste de la Luna;39;Grimaldi;224;11g5;075C 080C 237C 248C/S;;;0;0;0;0;0;0;Sin relación;Sin perfil;Pequeño depósito piroclástico / Area = 370 km2;Fuentes : Coombs & Hawke 1992;Comentario de las fuentes : ' Cerca de Orientale ';;3;Formación muy interesante;13;6 días después del Cuarto Creciente;5 días después del Cuarto Menguante;50;Refractor de 50 mm;Refractor de 100 mm
Piroclástica 'Alphonsus Centro';Área piroclástica;No determenado;Volcanismo piroclástico de Gaddis base de datos n° 2;Gaddis (1999) / Legry (2007);Sin nombre;Sin nombre;Sin nombre;Rey;Castilla;Castellano;13;Siglo XIII;Toledo;1221;Sevilla;1284;Iniciador de trabajos de traducción del Griego y el Árabe. Coordenador del cálculo de las 'Tablas Alfonsenas' reemplazando las tablas astronómicas de Ptolomeo en 1256.;-3.4;3 ° 24 '  Oeste;-13.7;13 ° 42 '  Sur;Suroeste;Región del cráter Ptolemaeus;44;Ptolemaeus;208;9a4 / 13g5;003S 009C/S 174C/S 179C I83C;ST03/01  MM137;IV-108-H2;0;0;0;0;0;0;Sin relación;Sin perfil;Pequeño depósito piroclástico / Area = 11 km2;Fuentes : Head & Wilson 1979;Comentario de las fuentes : ' #8, sin nombre ';;3;Formación muy interesante;7;Cuarto Creciente;6 días después de la Luna Llena;50;Refractor de 50 mm;Refractor de 100 mm
Piroclástica 'Alphonsus Este 1';Área piroclástica;No determenado;Volcanismo piroclástico de Gaddis base de datos n° 3;Gaddis (1999) / Legry (2007);Sin nombre;Sin nombre;Sin nombre;Rey;Castilla;Castellano;13;Siglo XIII;Toledo;1221;Sevilla;1284;Iniciador de trabajos de traducción del Griego y el Árabe. Coordenador del cálculo de las 'Tablas Alfonsenas' reemplazando las tablas astronómicas de Ptolomeo en 1256.;-2;2 ° 0 '  Oeste;-12.5;12 ° 30 '  Sur;Suroeste;Región del cráter Ptolemaeus;44;Ptolemaeus;208;9a4 / 13g5;003S 009C/S 174C/S 179C I83C;ST03/01  MM137;IV-108-H2;0;0;0;0;0;0;Sin relación;Sin perfil;Pequeño depósito piroclástico / Area = 8 km2;Fuentes : Head & Wilson 1979;Comentario de las fuentes : ' #1, MD-Ravi ';;3;Formación muy interesante;7;Cuarto Creciente;6 días después de la Luna Llena;50;Refractor de 50 mm;Refractor de 100 mm
Piroclástica 'Alphonsus Este 2';Área piroclástica;No determenado;Volcanismo piroclástico de Gaddis base de datos n° 4;Gaddis (1999) / Legry (2007);Sin nombre;Sin nombre;Sin nombre;Rey;Castilla;Castellano;13;Siglo XIII;Toledo;1221;Sevilla;1284;Iniciador de trabajos de traducción del Griego y el Árabe. Coordenador del cálculo de las 'Tablas Alfonsenas' reemplazando las tablas astronómicas de Ptolomeo en 1256.;-1.7;1 ° 42 '  Oeste;-12.5;12 ° 30 '  Sur;Suroeste;Región del cráter Ptolemaeus;44;Ptolemaeus;208;9a4 / 13g5;003S 009C/S 174C/S 179C I83C;ST03/01  MM137;IV-108-H2;0;0;0;0;0;0;Sin relación;Sin perfil;Pequeño depósito piroclástico / Area = 8 km2;Fuentes : Head & Wilson 1979;Comentario de las fuentes : ' #2, Monira ';;3;Formación muy interesante;7;Cuarto Creciente;6 días después de la Luna Llena;50;Refractor de 50 mm;Refractor de 100 mm
Piroclástica 'Alphonsus Este 3';Área piroclástica;No determenado;Volcanismo piroclástico de Gaddis base de datos n° 5;Gaddis (1999) / Legry (2007);Sin nombre;Sin nombre;Sin nombre;Rey;Castilla;Castellano;13;Siglo XIII;Toledo;1221;Sevilla;1284;Iniciador de trabajos de traducción del Griego y el Árabe. Coordenador del cálculo de las 'Tablas Alfonsenas' reemplazando las tablas astronómicas de Ptolomeo en 1256.;-1.7;1 ° 42 '  Oeste;-12.6;12 ° 36 '  Sur;Suroeste;Región del cráter Ptolemaeus;44;Ptolemaeus;208;9a4 / 13g5;003S 009C/S 174C/S 179C I83C;ST03/01  MM137;IV-108-H2;0;0;0;0;0;0;Sin relación;Sin perfil;Pequeño depósito piroclástico / Area = 10 km2;Fuentes : Head & Wilson 1979;Comentario de las fuentes : ' #3, Jose ';;3;Formación muy interesante;7;Cuarto Creciente;6 días después de la Luna Llena;50;Refractor de 50 mm;Refractor de 100 mm
Piroclástica 'Alphonsus Este 4';Área piroclástica;No determenado;Volcanismo piroclástico de Gaddis base de datos n° 6;Gaddis (1999) / Legry (2007);Sin nombre;Sin nombre;Sin nombre;Rey;Castilla;Castellano;13;Siglo XIII;Toledo;1221;Sevilla;1284;Iniciador de trabajos de traducción del Griego y el Árabe. Coordenador del cálculo de las 'Tablas Alfonsenas' reemplazando las tablas astronómicas de Ptolomeo en 1256.;-1.6;1 ° 36 '  Oeste;-12.8;12 ° 48 '  Sur;Suroeste;Región del cráter Ptolemaeus;44;Ptolemaeus;208;9a4 / 13g5;003S 009C/S 174C/S 179C I83C;ST03/01  MM137;IV-108-H2;0;0;0;0;0;0;Sin relación;Sin perfil;Pequeño depósito piroclástico / Area = 25 km2;Fuentes : Head & Wilson 1979;Comentario de las fuentes : ' #4, KC-Soraya ';;3;Formación muy interesante;7;Cuarto Creciente;6 días después de la Luna Llena;50;Refractor de 50 mm;Refractor de 100 mm
Piroclástica 'Alphonsus Este 5';Área piroclástica;No determenado;Volcanismo piroclástico de Gaddis base de datos n° 7;Gaddis (1999) / Legry (2007);Sin nombre;Sin nombre;Sin nombre;Rey;Castilla;Castellano;13;Siglo XIII;Toledo;1221;Sevilla;1284;Iniciador de trabajos de traducción del Griego y el Árabe. Coordenador del cálculo de las 'Tablas Alfonsenas' reemplazando las tablas astronómicas de Ptolomeo en 1256.;-1.6;1 ° 36 '  Oeste;-13;13 ° 0 '  Sur;Suroeste;Región del cráter Ptolemaeus;44;Ptolemaeus;208;9a4 / 13g5;003S 009C/S 174C/S 179C I83C;ST03/01  MM137;IV-108-H2;0;0;0;0;0;0;Sin relación;Sin perfil;Pequeño depósito piroclástico / Area = 48 km2;Fuentes : Head & Wilson 1979;Comentario de las fuentes : ' #5, sin nombre ';;3;Formación muy interesante;7;Cuarto Creciente;6 días después de la Luna Llena;50;Refractor de 50 mm;Refractor de 100 mm
Piroclástica 'Alphonsus Este 6';Área piroclástica;No determenado;Volcanismo piroclástico de Gaddis base de datos n° 8;Gaddis (1999) / Legry (2007);Sin nombre;Sin nombre;Sin nombre;Rey;Castilla;Castellano;13;Siglo XIII;Toledo;1221;Sevilla;1284;Iniciador de trabajos de traducción del Griego y el Árabe. Coordenador del cálculo de las 'Tablas Alfonsenas' reemplazando las tablas astronómicas de Ptolomeo en 1256.;-1.6;1 ° 36 '  Oeste;-13.5;13 ° 30 '  Sur;Suroeste;Región del cráter Ptolemaeus;44;Ptolemaeus;208;9a4 / 13g5;003S 009C/S 174C/S 179C I83C;ST03/01  MM137;IV-108-H2;0;0;0;0;0;0;Sin relación;Sin perfil;Pequeño depósito piroclástico / Area = 55 km2;Fuentes : Head & Wilson 1979;Comentario de las fuentes : ' #6, sin nombre ';;3;Formación muy interesante;7;Cuarto Creciente;6 días después de la Luna Llena;50;Refractor de 50 mm;Refractor de 100 mm
Piroclástica 'Alphonsus Sur';Área piroclástica;No determenado;Volcanismo piroclástico de Gaddis base de datos n° 9;Gaddis (1999) / Legry (2007);Sin nombre;Sin nombre;Sin nombre;Rey;Castilla;Castellano;13;Siglo XIII;Toledo;1221;Sevilla;1284;Iniciador de trabajos de traducción del Griego y el Árabe. Coordenador del cálculo de las 'Tablas Alfonsenas' reemplazando las tablas astronómicas de Ptolomeo en 1256.;-2;2 ° 0 '  Oeste;-14.4;14 ° 24 '  Sur;Suroeste;Región del cráter Ptolemaeus;44;Ptolemaeus;208;9a4 / 13g5;003S 009C/S 174C/S 179C I83C;ST03/01  MM137;IV-108-H2;0;0;0;0;0;0;Sin relación;Sin perfil;Pequeño depósito piroclástico / Area = 43 km2;Fuentes : Head & Wilson 1979;Comentario de las fuentes : ' #7, R ';;3;Formación muy interesante;7;Cuarto Creciente;6 días después de la Luna Llena;50;Refractor de 50 mm;Refractor de 100 mm
Piroclástica 'Alphonsus Oeste 1';Área piroclástica;No determenado;Volcanismo piroclástico de Gaddis base de datos n° 10;Gaddis (1999) / Legry (2007);Sin nombre;Sin nombre;Sin nombre;Rey;Castilla;Castellano;13;Siglo XIII;Toledo;1221;Sevilla;1284;Iniciador de trabajos de traducción del Griego y el Árabe. Coordenador del cálculo de las 'Tablas Alfonsenas' reemplazando las tablas astronómicas de Ptolomeo en 1256.;-4.1;4 ° 6 '  Oeste;-13.6;13 ° 36 '  Sur;Suroeste;Región del cráter Ptolemaeus;44;Ptolemaeus;208;9a4 / 13g5;003S 009C/S 174C/S 179C I83C;ST03/01  MM137;IV-108-H2;0;0;0;0;0;0;Sin relación;Sin perfil;Pequeño depósito piroclástico / Area = 39 km2;Fuentes : Head & Wilson 1979;Comentario de las fuentes : ' #9, CA ';;3;Formación muy interesante;7;Cuarto Creciente;6 días después de la Luna Llena;50;Refractor de 50 mm;Refractor de 100 mm
