NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
Pyroclastique 'Aestatis';Région à caractère pyroclastique;Non déterminée;Liste de volcanisme pyroclastique de Gaddis n° 1;Gaddis (1999) / Legrand (2007);Non nommé;Non nommé;Non nommé;No work;No country;No nationality ;0;No century;No birthplace;No birthdate;No deathplace;No deathdate;No facts;-68.4;68 ° 24 '  Ouest;-15;-15 ° 0 '  Sud;Sud-Ouest;Moon West limb;39;Grimaldi;224;11g5;075C 080C 237C 248C/S;;;0;0;0;0;0;0;Pas de rapport calculable;Pas de dessin possible;Petit dépôt pyroclastique / Surface = 370 km2;Sources : Coombs & Hawke 1992;Commentaires de la source : ' Près de Orientale ';;3;Formation très intéressante;13;6 jours après le Premier Quartier;5 jours après le Dernier Quartier;50;Lunette de 50 mm;Lunette de 100 mm
Pyroclastique 'Alphonsus Center';Région à caractère pyroclastique;Non déterminée;Liste de volcanisme pyroclastique de Gaddis n° 2;Gaddis (1999) / Legrand (2007);Non nommé;Non nommé;Non nommé;King;Castille;castillan;13;13 th century;Toledo;1221;Sevilla;1284;Initiator of the Greek and Arabic works translation. Coordinator of the calculation of 'Table Alphonsines' replacing astronomical tables of Ptolemee in 1256.;-3.4;3 ° 24 '  Ouest;-13.7;13 ° 42 '  Sud;Sud-Ouest;Ptolemaeus crater region;44;Ptolemaeus;208;9a4 / 13g5;003S 009C/S 174C/S 179C I83C;ST03/01  MM137;IV-108-H2;0;0;0;0;0;0;Pas de rapport calculable;Pas de dessin possible;Petit dépôt pyroclastique / Surface = 11 km2;Sources : Head & Wilson 1979;Commentaires de la source : ' #8, non nommé ';;3;Formation très intéressante;7;Au Premier Quartier;6 jours après la Pleine Lune;50;Lunette de 50 mm;Lunette de 100 mm
Pyroclastique 'Alphonsus East 1';Région à caractère pyroclastique;Non déterminée;Liste de volcanisme pyroclastique de Gaddis n° 3;Gaddis (1999) / Legrand (2007);Non nommé;Non nommé;Non nommé;King;Castille;castillan;13;13 th century;Toledo;1221;Sevilla;1284;Initiator of the Greek and Arabic works translation. Coordinator of the calculation of 'Table Alphonsines' replacing astronomical tables of Ptolemee in 1256.;-2;2 ° 0 '  Ouest;-12.5;12 ° 30 '  Sud;Sud-Ouest;Ptolemaeus crater region;44;Ptolemaeus;208;9a4 / 13g5;003S 009C/S 174C/S 179C I83C;ST03/01  MM137;IV-108-H2;0;0;0;0;0;0;Pas de rapport calculable;Pas de dessin possible;Petit dépôt pyroclastique / Surface = 8 km2;Sources : Head & Wilson 1979;Commentaires de la source : ' #1, MD-Ravi ';;3;Formation très intéressante;7;Au Premier Quartier;6 jours après la Pleine Lune;50;Lunette de 50 mm;Lunette de 100 mm
Pyroclastique 'Alphonsus East 2';Région à caractère pyroclastique;Non déterminée;Liste de volcanisme pyroclastique de Gaddis n° 4;Gaddis (1999) / Legrand (2007);Non nommé;Non nommé;Non nommé;King;Castille;castillan;13;13 th century;Toledo;1221;Sevilla;1284;Initiator of the Greek and Arabic works translation. Coordinator of the calculation of 'Table Alphonsines' replacing astronomical tables of Ptolemee in 1256.;-1.7;1 ° 42 '  Ouest;-12.5;12 ° 30 '  Sud;Sud-Ouest;Ptolemaeus crater region;44;Ptolemaeus;208;9a4 / 13g5;003S 009C/S 174C/S 179C I83C;ST03/01  MM137;IV-108-H2;0;0;0;0;0;0;Pas de rapport calculable;Pas de dessin possible;Petit dépôt pyroclastique / Surface = 8 km2;Sources : Head & Wilson 1979;Commentaires de la source : ' #2, Monira ';;3;Formation très intéressante;7;Au Premier Quartier;6 jours après la Pleine Lune;50;Lunette de 50 mm;Lunette de 100 mm
Pyroclastique 'Alphonsus East 3';Région à caractère pyroclastique;Non déterminée;Liste de volcanisme pyroclastique de Gaddis n° 5;Gaddis (1999) / Legrand (2007);Non nommé;Non nommé;Non nommé;King;Castille;castillan;13;13 th century;Toledo;1221;Sevilla;1284;Initiator of the Greek and Arabic works translation. Coordinator of the calculation of 'Table Alphonsines' replacing astronomical tables of Ptolemee in 1256.;-1.7;1 ° 42 '  Ouest;-12.6;12 ° 36 '  Sud;Sud-Ouest;Ptolemaeus crater region;44;Ptolemaeus;208;9a4 / 13g5;003S 009C/S 174C/S 179C I83C;ST03/01  MM137;IV-108-H2;0;0;0;0;0;0;Pas de rapport calculable;Pas de dessin possible;Petit dépôt pyroclastique / Surface = 10 km2;Sources : Head & Wilson 1979;Commentaires de la source : ' #3, Jose ';;3;Formation très intéressante;7;Au Premier Quartier;6 jours après la Pleine Lune;50;Lunette de 50 mm;Lunette de 100 mm
Pyroclastique 'Alphonsus East 4';Région à caractère pyroclastique;Non déterminée;Liste de volcanisme pyroclastique de Gaddis n° 6;Gaddis (1999) / Legrand (2007);Non nommé;Non nommé;Non nommé;King;Castille;castillan;13;13 th century;Toledo;1221;Sevilla;1284;Initiator of the Greek and Arabic works translation. Coordinator of the calculation of 'Table Alphonsines' replacing astronomical tables of Ptolemee in 1256.;-1.6;1 ° 36 '  Ouest;-12.8;12 ° 48 '  Sud;Sud-Ouest;Ptolemaeus crater region;44;Ptolemaeus;208;9a4 / 13g5;003S 009C/S 174C/S 179C I83C;ST03/01  MM137;IV-108-H2;0;0;0;0;0;0;Pas de rapport calculable;Pas de dessin possible;Petit dépôt pyroclastique / Surface = 25 km2;Sources : Head & Wilson 1979;Commentaires de la source : ' #4, KC-Soraya ';;3;Formation très intéressante;7;Au Premier Quartier;6 jours après la Pleine Lune;50;Lunette de 50 mm;Lunette de 100 mm
Pyroclastique 'Alphonsus East 5';Région à caractère pyroclastique;Non déterminée;Liste de volcanisme pyroclastique de Gaddis n° 7;Gaddis (1999) / Legrand (2007);Non nommé;Non nommé;Non nommé;King;Castille;castillan;13;13 th century;Toledo;1221;Sevilla;1284;Initiator of the Greek and Arabic works translation. Coordinator of the calculation of 'Table Alphonsines' replacing astronomical tables of Ptolemee in 1256.;-1.6;1 ° 36 '  Ouest;-13;13 ° 0 '  Sud;Sud-Ouest;Ptolemaeus crater region;44;Ptolemaeus;208;9a4 / 13g5;003S 009C/S 174C/S 179C I83C;ST03/01  MM137;IV-108-H2;0;0;0;0;0;0;Pas de rapport calculable;Pas de dessin possible;Petit dépôt pyroclastique / Surface = 48 km2;Sources : Head & Wilson 1979;Commentaires de la source : ' #5, non nommé ';;3;Formation très intéressante;7;Au Premier Quartier;6 jours après la Pleine Lune;50;Lunette de 50 mm;Lunette de 100 mm
Pyroclastique 'Alphonsus East 6';Région à caractère pyroclastique;Non déterminée;Liste de volcanisme pyroclastique de Gaddis n° 8;Gaddis (1999) / Legrand (2007);Non nommé;Non nommé;Non nommé;King;Castille;castillan;13;13 th century;Toledo;1221;Sevilla;1284;Initiator of the Greek and Arabic works translation. Coordinator of the calculation of 'Table Alphonsines' replacing astronomical tables of Ptolemee in 1256.;-1.6;1 ° 36 '  Ouest;-13.5;13 ° 30 '  Sud;Sud-Ouest;Ptolemaeus crater region;44;Ptolemaeus;208;9a4 / 13g5;003S 009C/S 174C/S 179C I83C;ST03/01  MM137;IV-108-H2;0;0;0;0;0;0;Pas de rapport calculable;Pas de dessin possible;Petit dépôt pyroclastique / Surface = 55 km2;Sources : Head & Wilson 1979;Commentaires de la source : ' #6, non nommé ';;3;Formation très intéressante;7;Au Premier Quartier;6 jours après la Pleine Lune;50;Lunette de 50 mm;Lunette de 100 mm
Pyroclastique 'Alphonsus Sud';Région à caractère pyroclastique;Non déterminée;Liste de volcanisme pyroclastique de Gaddis n° 9;Gaddis (1999) / Legrand (2007);Non nommé;Non nommé;Non nommé;King;Castille;castillan;13;13 th century;Toledo;1221;Sevilla;1284;Initiator of the Greek and Arabic works translation. Coordinator of the calculation of 'Table Alphonsines' replacing astronomical tables of Ptolemee in 1256.;-2;2 ° 0 '  Ouest;-14.4;14 ° 24 '  Sud;Sud-Ouest;Ptolemaeus crater region;44;Ptolemaeus;208;9a4 / 13g5;003S 009C/S 174C/S 179C I83C;ST03/01  MM137;IV-108-H2;0;0;0;0;0;0;Pas de rapport calculable;Pas de dessin possible;Petit dépôt pyroclastique / Surface = 43 km2;Sources : Head & Wilson 1979;Commentaires de la source : ' #7, R ';;3;Formation très intéressante;7;Au Premier Quartier;6 jours après la Pleine Lune;50;Lunette de 50 mm;Lunette de 100 mm
Pyroclastique 'Alphonsus West 1';Région à caractère pyroclastique;Non déterminée;Liste de volcanisme pyroclastique de Gaddis n° 10;Gaddis (1999) / Legrand (2007);Non nommé;Non nommé;Non nommé;King;Castille;castillan;13;13 th century;Toledo;1221;Sevilla;1284;Initiator of the Greek and Arabic works translation. Coordinator of the calculation of 'Table Alphonsines' replacing astronomical tables of Ptolemee in 1256.;-4.1;4 ° 6 '  Ouest;-13.6;13 ° 36 '  Sud;Sud-Ouest;Ptolemaeus crater region;44;Ptolemaeus;208;9a4 / 13g5;003S 009C/S 174C/S 179C I83C;ST03/01  MM137;IV-108-H2;0;0;0;0;0;0;Pas de rapport calculable;Pas de dessin possible;Petit dépôt pyroclastique / Surface = 39 km2;Sources : Head & Wilson 1979;Commentaires de la source : ' #9, CA ';;3;Formation très intéressante;7;Au Premier Quartier;6 jours après la Pleine Lune;50;Lunette de 50 mm;Lunette de 100 mm
