NAME;LUN;LUN_REDUCED;NAME_TYPE;TYPE;TYPE_IAU;SUBTYPE;PROCESS;PERIOD;PERIOD_SOURCE;GEOLOGY;NAME_DETAIL;NAME_ORIGIN;IAU_APPROVAL;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CALCUL NATIONLITY;CENTURY_N;CENTURY_C;BIRTH_PLACE;BIRTH_DATE;DEATH_PLACE;DEATH_DATE;FACTS;LONGI_N;LONGI_N_360;LONGI_C;LATI_N;LATI_C;FACE;QUADRANT;AREA;RUKL;RUKL_C;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTH_KM;WIDE_KM;LENGTH_MI;WIDE_MI;LENGTH_ARCSEC;HEIGHT_M;HEIGHT_FE;RAPPORT;PROFIL;FLOOR_DIAMETER_KM;PEAK_HEIGHT_KM;PEAK_DIAMETER_KM;EXCAVATION_DEPTH_KM;MELTING_DEPTH_KM;EJECTA_THICK_M_1RADIUS;EJECTA_THICK_M_3RADIUS;EJECTA_THICK_M_5RADIUS;RADAR_BRIGHT_HALO_RADIUS;RADAR_DARK_HALO_RADIUS;GENERAL_1;GENERAL_2;SLOPES;WALLS;FLOOR;ELGER_1895;INTEREST_N;INTEREST_C;LUNATION;MOONDAY_S;MOONDAY_M;DIAM_INST;TH_INSTRU;PR_INSTRU;IAU_FEATURE_NAME;IAU_CLEAN_FEATURE_NAME;IAU_FEATURE_ID;IAU_DIAMETER;IAU_CENTER_LATITUDE;IAU_CENTER_LONGITUDE;IAU_NORTHERN_LATITUDE;IAU_SOUTHERN_LATITUDE;IAU_EASTERN_LONGITUDE;IAU_WESTERN_LONGITUDE;IAU_COORDINATE_SYSTEM;IAU_CONTINENT;IAU_ETHNICITY;IAU_FEATURE_TYPE;IAU_FEATURE_TYPE_CODE;IAU_QUAD_NAME;IAU_QUAD_CODE;IAU_APPROVAL_STATUS;IAU_APPROVAL_DATE;IAU_REFERENCE;IAU_ORIGIN;IAU_LINK
DOME AGATHARCHIDES 1;TH1685S3149W;1685S3149W;Formation répertoriée;Dôme;TH;Bouclier volcanique;Volcanisme extrusif;Non déterminé;Pas de données;Non applicable;Dôme Agatharchides n° 1;ALPO (1976);Non approuvé par l'UAI;Non nommé;Non nommé;Non nommé;Géographe et historien;Grèce;grec;Grec;-2;2 ème siècle avant JC;?;Vers 100 BC;?;?;??;-31,49683694;328,50;31 ° 30 '  Ouest;-16,85795602;16 ° 51 '  Sud;Face visible;Sud - Ouest;Secteur de la Mer des Humeurs;52;Gassendi;172;9f4 / 11b3;036C/S 040C/S 048C/S 201C 2055;Non décrit;IV-132-H1;60;60;36.4;36.4;30;Hauteur non trouvée;Hauteur non trouvée;Hauteur inconnue. Calcul impossible.;Hauteur inconnue. Dessin impossible.;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;N du cratère Agatharchides;Description ALPO : Grand dôme peu élevécommunément appelé"casque de pompier";;;;Non décrit;3;Formation très intéressante;10;3 jours après le Premier Quartier;2 jours après le Dernier Quartier;30;Jumelles x10;Instruments 50 mm de diamètre;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
DOME ALBATEGNIUS 1;TH671S525E;671S525E;Formation répertoriée;Dôme;TH;Volcan;Volcanisme extrusif;Non déterminé;Pas de données;Non applicable;Dôme Albategnius n° 1;ALPO (1976);Non approuvé par l'UAI;Non nommé;Non nommé;Non nommé;Astronome;Arabie;Arabe;Arabe;9;9 ème siècle;Harran;858;Qasr al Djiss;929;Auteur du "Zidj" améliorant considérablement les connaissances astronomiques de son époque. Mesure de l'obliquité de l'Ecliptique.;5,257347498;5,26;5 ° 15 '  Est;-6,718995469;6 ° 43 '  Sud;Face visible;Sud - Est;Secteur du cratère Ptolémée;44;Ptolemaeus;204;13e5 / 13f5;357C 003C/S 161C/S 167C 174C;MM137;IV-101-H2 IV-096-H2;8;8;4.9;4.9;4;Hauteur non trouvée;Hauteur non trouvée;Hauteur inconnue. Calcul impossible.;Hauteur inconnue. Dessin impossible.;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;A l'intérieur du cratère Albategnius;Description ALPO : Abrupte. Platykurtique. Base triangulaire.;;;;Non décrit;3;Formation très intéressante;7;Premier Quartier;6 jours après la Nouvelle Lune;50;Lunette 50 mm;Instruments 100 mm de diamètre;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
DOME ALEXANDER 1;TH4039N1343E;4039N1343E;Formation répertoriée;Dôme;TH;Bouclier volcanique;Volcanisme extrusif;Non déterminé;Pas de données;Non applicable;Dôme Alexander n° 1;ALPO (1976);Non approuvé par l'UAI;Non nommé;Non nommé;Non nommé;Roi;Macédoine;macédonien;Macédonien;-4;4  ème siècle avant JC;?;356 BC;Babylone;323 av JC;Roi de Macédoine de 336 à  323 av JC. Entreprit l'expansion de son royaume vers l'Inde. S'empara de Babylone et brà»la Persépolis.;13,43800781;13,44;13 ° 26 '  Est;40,39097962;40 ° 23 '  Nord;Face visible;Nord - Est;Région au Nord de la Mer de la Sérénité;13;Eudoxus;350;2d3;351N 154N 161N;Non décrit;IV-098-H2 IV-103-H2;17;17;10.3;10.3;8,5;Hauteur non trouvée;Hauteur non trouvée;Hauteur inconnue. Calcul impossible.;Hauteur inconnue. Dessin impossible.;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;A l'intérieur du cratère Alexander;Description ALPO : Tache blanche à  la Pleine Lune.;;;;Non décrit;3;Formation très intéressante;6;6 jours après la Nouvelle Lune;5 jours après la Pleine Lune;50;Lunette 50 mm;Instruments 100 mm de diamètre;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
DOME ALEXANDER Q 1;TH3559N1701E;3559N1701E;Formation répertoriée;Dôme;TH;Bouclier volcanique;Volcanisme extrusif;Non déterminé;Pas de données;Non applicable;Dôme Alexander Q n° 1;ALPO (1976);Non approuvé par l'UAI;Non nommé;Non nommé;Non nommé;Législateur;Macédoine;macédonien;Macédonien;-4;4  ème siècle avant JC;?;356 BC;Babylone;323 av JC;Roi de Macédoine de 336 à  323 av JC. Entreprit l'expansion de son royaume vers l'Inde. S'empara de Babylone et brà»la Persépolis.;17,01817039;17,02;17 ° 1 '  Est;35,59133528;35 ° 35 '  Nord;Face visible;Nord - Est;Région au Nord de la Mer de la Sérénité;13;Eudoxus;350;2d3;351N 154N 161N;Non décrit;IV-098-H2 IV-103-H2;4;4;2.4;2.4;2;Hauteur non trouvée;Hauteur non trouvée;Hauteur inconnue. Calcul impossible.;Hauteur inconnue. Dessin impossible.;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;SE of Alexander q;Description ALPO : Pas de description physique.;;;;Non décrit;3;Formation très intéressante;6;6 jours après la Nouvelle Lune;5 jours après la Pleine Lune;100;Instruments 100 mm de diamètre;Instruments 200 mm de diamètre;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
DOME ALEXANDER Q 2;TH3601N1740E;3601N1740E;Formation répertoriée;Dôme;TH;Bouclier volcanique;Volcanisme extrusif;Non déterminé;Pas de données;Non applicable;Dôme Alexander Q n° 2;ALPO (1976);Non approuvé par l'UAI;Non nommé;Non nommé;Non nommé;Roi;Macédoine;macédonien;Macédonien;-4;4  ème siècle avant JC;?;356 BC;Babylone;323 av JC;Roi de Macédoine de 336 à  323 av JC. Entreprit l'expansion de son royaume vers l'Inde. S'empara de Babylone et brà»la Persépolis.;17,40872895;17,41;17 ° 25 '  Est;36,01521022;36 ° 1 '  Nord;Face visible;Nord - Est;Région au Nord de la Mer de la Sérénité;13;Eudoxus;350;2d3;351N 154N 161N;Non décrit;IV-098-H2 IV-103-H2;8;8;4.9;4.9;4;Hauteur non trouvée;Hauteur non trouvée;Hauteur inconnue. Calcul impossible.;Hauteur inconnue. Dessin impossible.;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;NE of Alexander q;Description ALPO : Pas de description physique.;;;;Non décrit;3;Formation très intéressante;6;6 jours après la Nouvelle Lune;5 jours après la Pleine Lune;50;Lunette 50 mm;Instruments 100 mm de diamètre;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
DOME ALMANON 1;TH1697S1527E;1697S1527E;Formation répertoriée;Dôme;TH;Bouclier volcanique;Volcanisme extrusif;Non déterminé;Pas de données;Non applicable;Dôme Almanon n° 1;ALPO (1976);Non approuvé par l'UAI;Non nommé;Non nommé;Non nommé;Calife;Perse;perse;Perse;9;9 ème siècle;Bagdad;786;Tarsus;833;Fils d'Harun Al Raschid. Organisateur de la traduction en arabe des oeuvres philosophiques et scientifiques de la Grèce antique.;15,27683388;15,28;15 ° 17 '  Est;-16,97773111;16 ° 59 '  Sud;Face visible;Sud - Est;Région à  l'Ouest du cratère Catherine;56;Azophi;198;13c4;351S 154S 161S 167C;Non décrit;IV-089-H2 IV-096-H2;?;?;?;?;Calcul impossible;Hauteur non trouvée;Hauteur non trouvée;Hauteur inconnue. Calcul impossible.;Hauteur inconnue. Dessin impossible.;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;SO du cratère Almanon;Description ALPO : Grand dôme complexe;;;;Non décrit;3;Formation très intéressante;6;6 jours après la Nouvelle Lune;5 jours après la Pleine Lune;999;Non déterminé;Non déterminé;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
DOME ALPHONSUS 1;TH1341S76W;1341S76W;Formation répertoriée;Dôme;TH;Bouclier volcanique;Volcanisme extrusif;Non déterminé;Pas de données;Non applicable;Dôme Alphonsus n° 1;ALPO (1976);Non approuvé par l'UAI;Non nommé;Non nommé;Non nommé;Roi;Castille;Castillan;Castillan;13;13 ème siècle;Toledo;1221;Seville;1284;Initiateur de la traduction d'oeuvres grecques et arabes. Coordinateur du calcul des Tables Alphonsines remplaà§ant les tables astronomiques de Ptolémée en 1256.;-0,765760482;359,23;0 ° 46 '  Ouest;-13,41484876;13 ° 25 '  Sud;Face visible;Sud - Ouest;Secteur du cratère Ptolémée;44;Ptolemaeus;208;9a4 / 13g5;003S 009C/S 174C/S 179C I83C;ST03/01  MM137;IV-108-H2;?;?;?;?;Calcul impossible;Hauteur non trouvée;Hauteur non trouvée;Hauteur inconnue. Calcul impossible.;Hauteur inconnue. Dessin impossible.;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;A l'intérieur du cratère Alphonsus;Description ALPO : Très petit;;;;Non décrit;3;Formation très intéressante;8;1 jour après le Premier Quartier;Dernier Quartier;999;Non déterminé;Non déterminé;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
DOME APOLLONIUS S 1;TH143N6472E;143N6472E;Formation répertoriée;Dôme;TH;Bouclier volcanique;Volcanisme extrusif;Non déterminé;Pas de données;Non applicable;Dôme Apollonius S n° 1;ALPO (1976);Non approuvé par l'UAI;Non nommé;Non nommé;Non nommé;Mathématicien et astronome;Grèce;grec;Grec;-3;3 ème siècle avant JC;Alexandrie;262 BC;Pergame;180 av JC;Auteur d'un important ouvrage de synthèse sur les coniques.;64,72683836;64,73;64 ° 44 '  Est;1,432543738;1 ° 26 '  Nord;Face visible;Nord - Est;Limbe Est de la Lune;38;Neper;228;3b2;303C 309C 099C I05N 112C 119C;Non décrit;;34,5;34.5;20.9;20.9;17,2;Hauteur non trouvée;Hauteur non trouvée;Hauteur inconnue. Calcul impossible.;Hauteur inconnue. Dessin impossible.;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;E du cratère Apollonius S;Description ALPO : Platykurtique. Bord irrégulier;;;;Non décrit;3;Formation très intéressante;3;3 jours après la Nouvelle Lune;2 jours après la Pleine Lune;30;Jumelles x10;Instruments 50 mm de diamètre;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
DOME ARAGO 1;TH447N2085E;447N2085E;Formation répertoriée;Dôme;TH;Bouclier volcanique;Volcanisme extrusif;Non déterminé;Pas de données;Non applicable;Dôme Arago n° 1;ALPO (1976);Non approuvé par l'UAI;Non nommé;Non nommé;Non nommé;Astronome et physicien;France;français;Français;19;19 ème siècle;Estagel;1786;Paris;1853;Directeur de l'observatoire de Paris. Travaux sur la polarisation. Mesure du diamètre des planètes. Découverte de la chromosphère solaire. Membre de l'Académie des Sciences en 1809.  Ministre ayant aboli l'esclavage dans les colonies.;20,85994776;20,86;20 ° 52 '  Est;4,473614892;4 ° 28 '  Nord;Face visible;Nord - Est;Partie Est de la Mer de la Tranquillité;35;Arago;278;1c2 / 2h3;343C 148C 154C;MM86;IV-085-H1;13;14;7.9;8.5;6,5;Hauteur non trouvée;Hauteur non trouvée;Hauteur inconnue. Calcul impossible.;Hauteur inconnue. Dessin impossible.;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;S du cratère Arago;Description ALPO : Taille moyenne. Forme hémisphérique.;;;;Non décrit;3;Formation très intéressante;6;6 jours après la Nouvelle Lune;5 jours après la Pleine Lune;50;Lunette 50 mm;Instruments 100 mm de diamètre;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
DOME ARAGO 1;TH926N2070E;926N2070E;Formation répertoriée;Dôme;TH;Bouclier volcanique;Volcanisme extrusif;Non déterminé;Pas de données;Non applicable;Dôme Arago n° 1;ALPO (1976);Non approuvé par l'UAI;Non nommé;Non nommé;Non nommé;Astronome et physicien;France;français;Français;19;19 ème siècle;Estagel;1786;Paris;1853;Directeur de l'observatoire de Paris. Travaux sur la polarisation. Mesure du diamètre des planètes. Découverte de la chromosphère solaire. Membre de l'Académie des Sciences en 1809.  Ministre ayant aboli l'esclavage dans les colonies.;20,70846796;20,71;20 ° 43 '  Est;9,264944551;9 ° 16 '  Nord;Face visible;Nord - Est;Partie Est de la Mer de la Tranquillité;35;Arago;278;1c2 / 2h3;343C 148C 154C;MM86;IV-085-H1;5;6.8;3;4.1;2,5;Hauteur non trouvée;Hauteur non trouvée;Hauteur inconnue. Calcul impossible.;Hauteur inconnue. Dessin impossible.;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;NNO du cratère Arago;Description ALPO : Complexe. Peut être double.;;;;Non décrit;3;Formation très intéressante;6;6 jours après la Nouvelle Lune;5 jours après la Pleine Lune;50;Lunette 50 mm;Instruments 100 mm de diamètre;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
