GLO_WORD;GLO_TEXT
albedo;Rácio entre a quantidade de luz recebida por um corpo celeste e a quantidade reflectida. Um corpo totalmente reflector tem um albedo igual a 1 e um corpo totalmente absorvente tem um albedo igual a 0.
altitude absoluta;A Lua tem a forma aproximada de uma esfera com um raio médio de 1738 km. As altitudes absolutas comummente dadas nas diferentes cartas, mormente impressas, reportam-se a este raio. A altitude absoluta de uma formação pode portanto ser negativa, quando abaixo deste valor.
altitude relativa;As altitudes dadas no Atlas Virtual da Lua são altitudes relativas, chamadas <a href="#altura">altura</a>. Elas indicam a elevação da formação relativamente aos terrenos circundantes.
altura;Na <a href="#bdlua">bdlua</a> a elevação de uma formação corresponde, de facto, à sua <a href="#altitude relativa">altitude relativa</a> face às áreas circundantes.
apogeu;O ponto mais distante da órbita elíptica de um astro em torno da Terra.
Apollo;Missões tripuladas norte-americanas que conduziram à alunagem (i.e., aterragem de artefactos na superfície da Lua).
ângulo da fase;Ângulo formado pelos eixos Terra-Sol e Terra-Lua. Permite conhecer a fracção iluminada da <a href="#face visível">face visível</a> da Lua.
basalto;Rocha ígnea que pode ser encontrada como <a href="#lava">lavas</a> solidificadas e está presente no magma. Vários tipos foram encontrados em rochas lunares trazidas de volta à Terra pelas missões <a href="#Apollo">Apollo</a>.
bdlua;A base de dados do Altas Virtual da Lua, elaborada por Christian Legrand.
brilho terrestre;Equivalente ao <a href="#luar">luar</a> para um hipotético <a href="#selenita">selenita</a>. Luz do Sol que, depois de reflectida pela Terra, atinge a Lua.
cabo;Vede <a href="#promontório">promontório</a>
caldeira;<a href="#cratera">Cratera</a> de vulcão de grande dimensão geralmente formada pela explosão da chaminé e derrame de lava.
catena;Termo latino empregue pela União Astronómica Internacional (UAI) para nomear oficialmente uma cadeia de crateras.
chão;Parte interna de uma <a href="#formação crateriforme">formação crateriforme</a>, limitada por um perímetro de <a href="#parede">paredes</a>.
colongitude;Valor matemático obtido a partir de tabelas existentes e utilizado para conhecer a <a href="#longitude selenográfica">longitude selenográfica</a> do <a href="#terminador da manhã">terminador da manhã</a> ou do <a href="#terminador da noite">terminador da noite</a>.
continente;Ampla área montanhosa ou tormentosa da superfície lunar.
coordenadas selenográficas;Conjunto das coordenadas composto pela <a href="#longitude selenográfica">longitude selenográfica</a> e pela <a href="#latitude selenográfica">latitude selenográfica</a>, as quais permitem situar uma formação sobre o globo lunar.
cratera;Na Lua, geralmente uma formação circular causada por impactos de meteoritos. Uma <a href="#formação crateriforme">formação crateriforme</a> é chamada «cratera» na <a href="#bdlua">bdlua</a> se o seu diâmetro é superior a 10 km. O seu comprimento é aproximadamente igual à sua largura, com excepções.
cúpula;Formação em forma de colina arredondada sem dúvida de formação vulcânica. Algumas têm uma caldeira no seu cume. O seu diâmetro está por norma compreendido entre 10 e 20 km e a sua <a href="#altura">altura</a> não ultrapassa as centenas de metros.
dorsa;Latim, termo usado pela União Astronómica Internacional (UAI) para nomear oficialmente um complexo de dorsais (vede <a href="#dorsal">dorsal</a>) marinhas (marinho = relativo ao mar) lunares.
dorsal; Também chamado «Crista». Cume montanhoso estreito e comprido de inclinações suaves e pequena altura (algumas centenas de metros) serpenteando nos mares lunares. São verosimilmente de origem vulcânica.
dorsum;Latim, termo usado pela União Astronómica Internacional (UAI) para nomear oficialmente um <a href="#dorsal">dorsal</a>.
eclipse anular;Diz-se de um <a href="eclipse total">eclipse total</a> no decurso do qual a Lua se encontra no seu ponto mais distante da Terra (e subsequentemente o seu diâmetro aparente é menor), circunstância em que disco solar não oculta completamente o disco lunar permanecendo visível um anel (anulo) de luz.
eclipse lunar;Desaparecimento do disco lunar por efeito da sua passagem na sombra ou penumbra da Terra. Para que este fenómeno ocorra é necessário que o Sol, a Terra e a Lua estejam alinhados próximo de certas <a href="#Lua Cheia">Lua Cheias</a>.
eclipse solar;Desaparecimento do disco solar por detrás do disco lunar aquando de certas <a href="#Lua Nova">Luas Novas </a>quando o Sol, a Lua e Terra estão alinhados.
eclipse parcial;Diz-se dos <a href="#eclipse lunar">Eclipses Lunares</a> ou dos <a href="#eclipse solar">eclipse solares</a> quando o astro ocultante obscurece apenas parcialmente o astro ocultado.
eclipse total;Diz-se de um <a href="#eclipse lunar">eclipse lunar</a> ou de um <a href="#eclipse solar">eclipse solar</a> quando o astro ocultado é totalmente coberto pelo astro ocultante.
encosta;Vede <a href="#vertente">vertente</a>.
escarpa;Inclinação mais ou menos marcada que separa dois terrenos vizinhos e de <a href="#altitude relativa">altitudes relativas</a> diferentes.
face oculta;Parte da superfície do disco lunar localizada no lado oposto (relativamente à Terra) do globo lunar e por isso nunca visível devido ao fenómeno da <a href="#rotação síncrona">rotação síncrona</a>. Uma pequena porção do Lado Oculto da Lua pode ser visível quando uma <a href="#libração">libração</a> favorável tem lugar.
face visível;Parte do globo lunar virada sempre para a Terra pelo efeito da <a href="#rotação síncrona">rotação síncrona</a> da Lua. Podemos, no entanto, ver uma pequena porção da <a href="#face oculta">face oculta</a> da Lua graças ao fenómeno da <a href="#libração">libração</a>.
falcada;Expressão popular (de origem presumivelmente transmontana, provindo do latim «falcata», i.e. em forma de foice) para descrever a forma incompletamente redonda da superfície lunar entre a <a href="#Lua Nova">Lua Nova</a> e o o <a href="#Quarto Crescente">Quarto Crescente</a> (primeira falcada) e o <a href="#Quarto Minguante">Quarto Minguante</a> e <a href="#Lua Nova">Lua Nova</a> (segunda falcada).
fase;Mudança no aspecto da Lua devido à variação da extensão iluminada e da posição do <a href="#terminador">terminador</a> sobre o globo lunar. Distinguimos a <a href="#Lua Nova">Lua Nova</a>, o <a href="#Quarto Crescente">Quarto Crescente</a>, a <a href="#Lua Cheia">Lua Cheia</a> e o <a href="#Quarto Minguante">Quarto Minguante</a>.
falha;Também aludida por vezes como «fissura» ou «fenda». Formação linear mais ou menos sinuosa geralmente situada em terrenos do tipo <a href="#mar">mar</a>. Trata-se sem dúvida de antigos canais ou túneis de <a href="#lava">lava</a> cujo tecto terá abatido.
fenda;Vede <a href="#falha">falha</a>.
fundo;Vede <a href="#chão">chão</a>.
