NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
APOLLO 13 S IV B;Materiale inerte / Impatto volontario;13/04/1970;Terzo stadio del razzo S IV B Saturno 5 della missione Apollo 13;(NASA/USA);Non esistente all'epoca;Non esistente all'epoca;Non esistente all'epoca;Non è un personaggio;;;;;;;;;;-27,86;27,86° Ovest;-2,75;2,75° Sud;Sud-Ovest;Parte Sud-Orientale dell'Oceanus Procellarum;41;Non indicato;Non indicato;Non indicato;Non indicato;;??;0;0;0;0;0;0;Dati non disponibili.;Dati non disponibili.;Lanciato il 13 Aprile 1970 da Cape Kennedy.;Terzo stadio del razzo Saturno 5 della missione Apollo 13 (stadio per l'inserimento in orbita di trasferimento lunare), mandato a schiantarsi sulla Luna per attivare i sismografi lasciati sulla superficie. L'impatto è avvenuto il 15 Aprile 1970 alle 1h 9m 41s nella parte orientale dell'Oceanus Procellarum.;Impatto a  2,58 km/s con un angolo di 76°. Energia: 4,63 x 10^17 erg.;;0;Formazione non visibile;9;2 giorni dopo il Primo Quarto;1 giorno dopo l'Ultimo Quarto;999;Non visibile;Non visibile
LUNA 2;Sonda / Impatto volontario;12/09/1959;Luna 2 / Lunik 2 (Classe E-1A);(URSS / Korolev);Non esistente all'epoca;Non esistente all'epoca;Non esistente all'epoca;Non è un personaggio;;;;;;;;;;-0,10;0,1° Ovest;30,10;30,1° Nord;Nord-Ovest;Regione a Nord del cratere Archimedes;12;Aristillus;333;Non indicato;Non indicato;;??;0;0;0;0;0;0;Dati non disponibili.;Dati non disponibili.;Lanciato il 12 Settembre 1959 / 22h 02m (TU) da Baïkonour.;Sonda senza strumenti: 1,2 m di diametro e 390,2 kg di massa. Lancio di una nube di sodio nello spazio per facilitare la visualizzazione. Conferma dell'assenza di campo magnetico e di fasce di radiazione attorno la Luna.;"Impatto a 3,3 km/s con un angolo di 60° il 13 Settembre alle 21h 02m 24s nella Palus Putredinis. Primo oggetto umano a raggiungere un altro corpo celeste. Due capsule di 9 cm e di 15 cm di larghezza, frantumatesi nell'impatto in pentagoni con la scritta ""URSS Settembre 1959"".";30 minuti più tardi, il terzo stadio del razzo vettore si è schiantato sul suolo lunare in un punto di coordinate ignote.;0;Formazione non visibile;7;al Primo Quarto;6 giorni dopo la Luna Piena;999;Non visibile;Non visibile
RANGER 4;Sonda / Impatto involontario;23/04/1962;Ranger 4 (Classe Block 2);(NASA/USA);Non esistente all'epoca;Non esistente all'epoca;Non esistente all'epoca;Non è un personaggio;;;;;;;;;;-130,70;130,7° Ovest;-15,50;15,5° Sud;Sud-Ovest;Non definita;Nessuna mappa;;;Non indicato;Non indicato;;??;0;0;0;0;0;0;Dati non disponibili.;Dati non disponibili.;Lanciato il 23 Aprile 1962 / 20h 50m (TU) da Cape Kennedy.;Sonda: 3,6 m di altezza e 306 kg di massa. 6 fotocamere, di cui 4 ad alta risoluzione. 2 pannelli solari di 5,2 m di apertura. Retrorazzo di 140 kg in previsione di un allunaggio morbido di una capsula di legno di balsa di 65 cm di diametro.;Malfunzionamento del calcolatore di bordo. Nessuna immagine è stata trasmessa. Impatto sulla faccia nascosta della Luna il 26 Aprile 1962 alle 12h 49m 53s a una velocità di 9600 km/h.;;0;Formazione non visibile;99;Non visibile;Non visibile;999;Non visibile;Non visibile
RANGER 6;Sonda / Impatto volontario;30/01/1964;Ranger 6 (Classe Block 3);(NASA/USA);Non esistente all'epoca;Non esistente all'epoca;Non esistente all'epoca;Non è un personaggio;;;;;;;;;;21,50;21,5° Est;9,30;9,3° Nord;Nord-Est;Parte Orientale del Mare Tranquillitatis;35;Arago;279;Non indicato;Non indicato;;??;0;0;0;0;0;0;Dati non disponibili.;Dati non disponibili.;Lanciato il 30 Gennaio 1964 / 15h 49m (TU) da Cape Kennedy.;Sonda: 3,6 m di altezza e 306 kg di massa. 6 fotocamere, di cui 4 ad alta risoluzione. 2 pannelli solari di 4,6 m di apertura.;Impatto il 2 Febbraio 1964 nel Mare Tranquillitatis vicino al cratere Arago a 32 km dal punto previsto. Guasto alla telecamera prima dell'impatto.;;0;Formazione non visibile;5;5 giorni dopo la Luna Nuova;4 giorni dopo la Luna Piena;999;Non visibile;Non visibile
RANGER 7;Sonda / Impatto volontario;28/07/1964;Ranger 7 (Classe Block 3);(NASA/USA);Non esistente all'epoca;Non esistente all'epoca;Non esistente all'epoca;Non è un personaggio;;;;;;;;;;-20,66;20,66° Ovest;-10,35;10,35° Sud;Sud-Ovest;Regione Sud-Orientale dell'Oceanus Procellarum;42;Fra Mauro;216;Non indicato;Non indicato;;??;0;0;0;0;0;0;Dati non disponibili.;Dati non disponibili.;Lanciato il 28 Luglio 1964 / 16h 50 m (TU) da Cape Kennedy.;Sonda: 3,6 m di altezza e 306 kg di massa. 2 fotocamere grandangolari (25°) e 4 ad alta definizione (da 8,4° a 2,1°). 2 pannelli solari di 4,6 m di apertura che fornivano 200 W. Sensori terrestri ottici e antenna di trasmissione ad alto guadagno. 2 reti interne di alimentazione per una migliore affidabilità. Registrazione su nastro magnetico e su pellicola delle fotografie dello schermo a bordo.;Volo di 64 ore. Orbita iperbolica con un angolo di 26,8°. Ha trasmesso 4308 immagini dalle 13h 08m alle 13h 25m del 31 Luglio, da un'altitudine di 2110 km. L'ultima foto è stata presa da 519 m di altitudine con una risoluzione di 50 cm. Impatto a 16 km dal punto previsto, con una velocità di 2,62 km/s.;;0;Formazione non visibile;9;2 giorni dopo il Primo Quarto;1 giorno dopo l'Ultimo Quarto;999;Non visibile;Non visibile
RANGER 8;Sonda / Impatto volontario;17/02/1965;Ranger 8 (Classe Block 3);(NASA/USA);Non esistente all'epoca;Non esistente all'epoca;Non esistente all'epoca;Non è un personaggio;;;;;;;;;;24,65;24,65° Est;2,67;2,67° Nord;Nord-Est;Parte Orientale del Mare Tranquillitatis;35;Arago;276;Non indicato;Non indicato;;??;0;0;0;0;0;0;Dati non disponibili.;Dati non disponibili.;Lanciato il 17 Febbraio 1965 / 17h 05m (TU) da Cape Kennedy.;Sonda: 3,6 m di altezza e 306 kg di massa. 2 fotocamere grandangolari (25°) e 4 ad alta definizione (da 8,4° a 2,1°). 2 pannelli solari di 4,6 m di apertura che fornivano 200 W. Sensori terrestri ottici e antenna di trasmissione ad alto guadagno. 2 reti interne di alimentazione per una migliore affidabilità. Registrazione su nastro magnetico e su pellicola delle fotografie dello schermo a bordo.;Perdita di potenza durante il volo e poi ritornata normale. 7137 immagini di cui 540 ad alta risoluzione trasmesse dalle 9h 34m (prese da 2510 km di altitudine) alle 9h 57m. Ultima fotografia con una risoluzione di 1,5 m. Impatto programmato con un angolo di 42°, per consentire una veduta panoramica, il 20 Febbraio, con una velocità di 2,68 km/s, nel Mare Tranquillitatis, a 70 km dal punto del futuro allunaggio dell'Apollo 11.;;0;Formazione non visibile;5;5 giorni dopo la Luna Nuova;4 giorni dopo la Luna Piena;999;Non visibile;Non visibile
RANGER 9;Sonda / Impatto volontario;21/03/1965;Ranger 9 (Classe Block 3);(NASA/USA);Non esistente all'epoca;Non esistente all'epoca;Non esistente all'epoca;Non è un personaggio;;;;;;;;;;-2,37;2,37° Ovest;-12,83;12,83° Sud;Sud-Ovest;Regione del cratere Ptolemeus;44;Ptolemaeus;;Non indicato;Non indicato;;??;0;0;0;0;0;0;Dati non disponibili.;Dati non disponibili.;Lanciato il 21 Marzo 1965 / 21h 37m (TU) da Cape Kennedy.;Sonda: 3,6 m di altezza e 306 kg di massa. 2 fotocamere grandangolari (25°) e 4 ad alta definizione (da 8,4° a 2,1°). 2 pannelli solari di 4,6 m di apertura che fornivano 200 W. Sensori terrestri ottici e antenna di trasmissione ad alto guadagno. 2 reti interne di alimentazione per una migliore affidabilità. Registrazione su nastro magnetico e su pellicola delle fotografie dello schermo a bordo.;5814 fotografie prese (da un'altitudine di 2363 km) dalle 13h 49m alle 14h 08m 20s del 24 Marzo. L'ultima foto è stata presa con una risoluzione di 30 cm. Impatto a 4,9 km dal punto previsto con una velocità di 2,67 km/s.;;0;Formazione non visibile;7;al Primo Quarto;6 giorni dopo la Luna Piena;999;Non visibile;Non visibile
LUNA 5;Sonda / Impatto involontario;09/05/1965;Luna 5 / Lunik 5 (Lunik Classe E-6);(URSS  / RSVN / Korolev);Non esistente all'epoca;Non esistente all'epoca;Non esistente all'epoca;Non è un personaggio;;;;;;;;;;-25,10;25,1° Ovest;-1,60;1,6° Sud;Sud-Ovest;Regione Sud-Orientale dell'Oceanus Procellarum;42;Fra Mauro;252;Non indicato;Non indicato;;??;0;0;0;0;0;0;Dati non disponibili.;Dati non disponibili.;Lanciato il 9 Maggio 1965 / 7h 55m (TU) da Baïkonour.;Sonda di 1474 kg. Stessa classe della futura Luna 9. Comprendeva un modulo di allunaggio morbido di 84 kg, ma il tentativo è fallito per un guasto al retrorazzo a 84 km di altitudine. La sonda di è schiantata al suolo il 9 Maggio 1965 sul bordo meridionale del Mare Nubium.;;;0;Formazione non visibile;9;2 giorni dopo il Primo Quarto;1 giorno dopo l'Ultimo Quarto;999;Non visibile;Non visibile
LUNA 7;Sonda / Impatto involontario;03/10/1965;Luna 7 / Lunik 7 (Lunik Classe E-6);(URSS  / RSVN / Korolev);Non esistente all'epoca;Non esistente all'epoca;Non esistente all'epoca;Non è un personaggio;;;;;;;;;;-40,00;40,0° Ovest ?;9,00;9,0° Nord ?;Nord-Ovest;Regione Sud-Orientale dell'Oceanus Procellarum;30;Non indicato;;Non indicato;Non indicato;;??;0;0;0;0;0;0;Dati non disponibili.;Dati non disponibili.;Lanciato il 3 Ottobre 1965 da Baïkonour.;Sonda di 1474 kg. Stessa classe della futura Luna 9. Comprendeva un modulo di allunaggio morbido di 84 kg, ma il tentativo è fallito per un guasto al retrorazzo. La sonda di è schiantata al suolo l' 8 Ottobre 1965 sull'Oceanus Procellarum a 40 km a Sud-Est del cratere Marius.;;;0;Formazione non visibile;11;4 giorni dopo il Primo Quarto;3 giorni dopo l'Ultimo Quarto;999;Non visibile;Non visibile
LUNA 8;Sonda / Impatto involontario;03/12/1965;Luna 8 / Lunik 8 (Lunik Classe E-6);(URSS  / RSVN / Korolev);Non esistente all'epoca;Non esistente all'epoca;Non esistente all'epoca;Non è un personaggio;;;;;;;;;;-63,10;63,1° Ovest;9,10;9,1° Nord;Nord-Ovest;Bordo Occidentale della Luna;28;Galilei;261;Non indicato;Non indicato;;??;0;0;0;0;0;0;Dati non disponibili.;Dati non disponibili.;Lanciato il 3 Dicembre 1965 / 10h 48m (TU) da Baïkonour.;Sonda di 1552 kg. Stessa classe della futura Luna 9. Comprendeva un modulo di allunaggio morbido di 84 kg, contenuto in un pallone. Probabilmente l'allunaggio morbido è avvenuto il 7 Dicembre 1965 nell'Oceanus Procellarum, a 40 km a Sud del cratere Galilei, ma si è perduto il contatto poco prima dell'allunaggio.;;;0;Formazione non visibile;12;5 giorni dopo il Primo Quarto;4 giorni dopo l'Ultimo Quarto;999;Non visibile;Non visibile
