NAME;LUN;LUN_REDUCED;NAMETYPE;TYPE;SUBTYPE;PERIOD;GEOLOGY;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIN360;LONGIC;LATIN;LATIC;FACE;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU;IAU_FEATURE_NAME;IAU_CLEAN_FEATURE_NAME;IAU_FEATURE_ID;IAU_DIAMETER;IAU_CENTER_LATITUDE;IAU_CENTER_LONGITUDE;IAU_NORTHERN_LATITUDE;IAU_SOUTHERN_LATITUDE;IAU_EASTERN_LONGITUDE;IAU_WESTERN_LONGITUDE;IAU_COORDINATE_SYSTEM;IAU_CONTINENT;IAU_ETHNICITY;IAU_FEATURE_TYPE;IAU_FEATURE_TYPE_CODE;IAU_QUAD_NAME;IAU_QUAD_CODE;IAU_APPROVAL_STATUS;IAU_APPROVAL_DATE;IAU_REFERENCE;IAU_ORIGIN;IAU_LINK
ABBOT;AA0556N05474E;0556N05474;AA;Cràter;;Imbrià (De -3,85 mils de milions d'anys a -3,2 mils de milions d'anys) ?;;Charles Greeley Abbot (ex Apollonius K);(??);;;;Astrofísic;U. S. A.;americà;20;20è segle;Wilton;1872;Washington;1973;Director de l'observatori de la Smithsonian Institution. Determinació del valor de la constant solar i la distribució de l'energia en l'espectre solar.;54.743059;54.743059;54.743° East;5.556162;5.556° North;Cara visible;Nord-Est;Vora nord del Mar de la Fecunditat;37;Taruntius;229;3c2;315C 124C;;;10;10;6;6;?;?;Alçada desconeguda. Càlcul impossible;Alçada desconeguda. No es pot dibuixar..;Formació circular aïllada en forma de bol.;Vessants bastant acinglerats.;Muralla poc elevada.;Fons arrodonit.;1;Formació poc interessant o difícil;3;3 dies després de Lluna nova;2 dies després de Lluna plena;50;Refractor 50 mm;Telescopi 100 mm;Abbot;Abbot;10;10.4043;5.556162263;54.74305893;5.727720261;5.384607315;54.91541481;54.57070732;LOLA2011;Nord-Amèrica;Americà;Crater, craters;AA;Mare Undarum;LAC-62;Adopted by IAU;01.01.1973 00:00;;Charles Greeley. Americà, astrofísic (1872-1973).;http://planetarynames.wr.usgs.gov/Feature/10
ABEL;AA3463S08578E;3463S08578;AA;Cràter;;Pre-Nectarià (De -4,55 mils de milions d'anys a -3,92 mils de milions d'anys) ;;Niels Henrik Abel;Franz (1913);;;;Matemàtic;Noruega;noruec;19;19è segle;Finnoy Island;1802;Arendal;1829;Especialista de la teoria d'integrals el·líptiques i treballs sobre les anomenades integrals abelianes.;85.776219;85.776219;85.776° East;-34.6257;34.626° South;Zona libracions;Sud-Est;Limbe sud-est de la Lluna;69;Furnerius;112;;291S Q4SE;;IV-009-H3;114;114;69;69;?;?;Alçada desconeguda. Càlcul impossible;Alçada desconeguda. No es pot dibuixar..;Formació circular situada en la zona de les libracions.;Vessants poc escarpats portant Abel L a l'Oest, Barnard i Abel A al Nord.;Muralla poc elevada gairebé engolida a l'Est en la lava de Mare Australe.;Fons pla omplert de lava portant un cràter fantasma al Nord-Est.;2;Formació força interessant;2;2 dies després de Lluna nova;1 dia després de Lluna plena;5;Simple vista;Binoculars 10x;Abel;Abel;12;137349;-34.62570034;85.77621853;-32.54476166;-36.77178764;88.20991325;83.432024;LOLA2011;Europa;Noruega;Crater, craters;AA;Mare Australe;LAC-116;Adopted by IAU;01.01.1964 00:00;;Niels Henrik. Noruec, matemàtic (1802-1829).;http://planetarynames.wr.usgs.gov/Feature/12
ABENEZRA;AA2099S01189E;2099S01189;AA;Cràter;;Imbrià Superior (De -3,8 mils de milions d'anys a -3,2 mils de milions d'anys) ;;Abraham Bar Rabbi ben Ezra;Riccioli (1651);Schirley;;Abenezra;Filòsof i astrònom;Espanya;espanyol;12;12è segle;?;1092;?;1167;??;11.890657;11.890657;11.891° East;-20.993564;20.994° South;Cara visible;Sud-Est;Regió a l'oest del cràter Caterina;56;Azophi;154;13d3;351S 357S 154S 161S 167S;;IV-096-H1;41;42;25;25;3730;11300;0.0888;A_______________________A;Formació circular de forma hexagonal constituint un trio remarcable amb Azophi i Abenezra C.;Vessants bastant acinglerats aixafant Abenezra C a l'Oest i portant Azophi al Sud-Oest.;Muralla en grades elevada.;Fons turmentat. Línies de crestes circulars. Monticles.;4;Formació excepcional;6;6 dies després de Lluna nova;5 dies després de Lluna plena;30;Binoculars 10x;Refractor 50 mm;Abenezra;Abenezra;14;43.1887;-20.99356374;11.89065686;-20.28141785;-21.70570946;12.65346718;11.12781715;LOLA2011;Europa;Espanya;Crater, craters;AA;Rupes Altai;LAC-96;Adopted by IAU;01.01.1935 00:00;;Abraham ben Meir Ibn Ezra. Espanyol matemàtic, astrònom (1092-1164/1167).;http://planetarynames.wr.usgs.gov/Feature/14
ABETTI;AA2011N02782E;2011N02782;AA;Cràter;;Imbrià (De -3,85 mils de milions d'anys a -3,2 mils de milions d'anys) ?;;Antonio Abetti;(??);;;;Astrònom;Macedònia;italià;19;19è segle;?;1846;?;1928;??;27.815724;27.815724;27.816° East;20.112727;20.113° North;Cara visible;Nord-Est;Part sud-est del Mar de la Serenitat;24;Bessel;284;;343C 143C 148C;;;17;17;10;10;?;?;Alçada desconeguda. Càlcul impossible;Alçada desconeguda. No es pot dibuixar..;Formació circular fantasma.;Vessants gairebé plans.;Muralla molt aplanada.;Fons pla omplert per la lava de Mare Serenitatis.;2;Formació força interessant;5;5 dies després de Lluna nova;4 dies després de Lluna plena;50;Refractor 50 mm;Telescopi 100 mm;Abetti;Abetti;16;1.59879;20.11272736;27.81572428;20.1390934;20.08636665;27.8438015;27.78765297;LOLA2011;Europa;Itàlia;Crater, craters;AA;Mare Serenitatis;LAC-42;Adopted by IAU;01.01.1976 00:00;;Antonio. Italià, astrònom (1846-1928). Giorgio. Italià, astrònom (1882-1982).;http://planetarynames.wr.usgs.gov/Feature/16
ABULFEDA;AA1387S01391E;1387S01391;AA;Cràter;;Nectarià típic (De -3,92 mils de milions d'anys a -3,85 mils de milions d'anys) ;;Isma'il Abu al-Fida;Riccioli (1651);Derkenni;;Abulfeda;Historiador;Aràbia;àrab;14;14è segle;Damasc;1273;Hamah;1331;Príncep de la dinastia dels Ayyubides. Autor de  la Història seguint l'obra de Ibn al-Athir;13.910298;13.910298;13.910° East;-13.865087;13.865° South;Cara visible;Sud-Est;Regió a l'est del cràter Ptolemeu;45;Andel;202;13c5 / 13d5;351C/S 154C/S 16LS 167C;;IV-089-H2;63;62;38;38;3110;9400;0.0502;A__________________________________________A;Formació circular amb danys.;Vessants escarpats portant nombrosos craterets amb Abulfeda R al Nord-Oest i Abulfeda S & W al Nord.;Muralla molt elevada en grades encavallada per Catena Abulfeda al Sud i per Abulfeda U & Y al Nord.;Fons pla extens omplert de lava. Taca blanca descentrada i monticles. Craterets al Nord-Est i al Sud-Oest.;3;Formació molt interessant;6;6 dies després de Lluna nova;5 dies després de Lluna plena;30;Binoculars 10x;Refractor 50 mm;Abulfeda;Abulfeda;23;62.2345;-13.86508699;13.91029817;-12.83885956;-14.89131355;14.9672718;12.85334587;LOLA2011;Àsia;Síria;Crater, craters;AA;Theophilus;LAC-78;Adopted by IAU;01.01.1935 00:00;;Ismail Ibn Abū al-Fidā. Sirià, geògraf (1273-1331).;http://planetarynames.wr.usgs.gov/Feature/23
ACOSTA;AA0565S06014E;0565S06014;AA;Cràter;;Copernicià (De -1,1 mils de milions d'anys als nostres dies) ?;;Cristóbal Acosta (ex Langrenus C);(??);;;;Metge i historiador;Portugal;portuguès;16;16è segle;?;1515;?;1580;??;60.139473;60.139473;60.139° East;-5.645305;5.645° South;Cara visible;Sud-Est;Limbe est de la Lluna;49;Langrenus;189;15b6 / 15c6;105C 112C 119C;;;13;13;8;8;1750;5300;0.1346;A______________A;Formació circular en forma de bol situada sobre el vessant Nord de Langrenus.;Vessants bastant acinglerats.;Muralla bastant elevada.;Fons arrodonit.;2;Formació força interessant;3;3 dies després de Lluna nova;2 dies després de Lluna plena;50;Refractor 50 mm;Telescopi 100 mm;Acosta;Acosta;40;13.0615;-5.645305088;60.13947307;-5.429933548;-5.860675812;60.35589409;59.92305183;LOLA2011;Europa;Portugal;Crater, craters;AA;Langrenus;LAC-80;Adopted by IAU;01.01.1976 00:00;;Cristobal. Portuguès, doctor, naturalista, historiador (1515-1580).;http://planetarynames.wr.usgs.gov/Feature/40
ADAMS;AA3189S06839E;3189S06839;AA;Cràter;;Nectarià (De -3,92 mils de milions d'anys a -3,85 mils de milions d'anys) ;;John Couch Adams;Birt / Lee (1865);;;;Astrònom;Gran Bretanya;britànic;19;19è segle;Laneast;1819;Cambridge;1892;Ha demostrat l'existència i indicat la posició de Neptú independentment de Le Verrier, però els seus treballs no han estat publicats pel Royal Observatory.;68.386902;68.386902;68.387° East;-31.891634;31.892° South;Cara visible;Sud-Est;Limbe sud-est de la Lluna;69;Furnerius;113;15d1 / 16b7;303S Q4SE 099C 105C 112C;;IV-038-H3 IV-096-H2 IV-039-H1 IV-184-H2;66;66;40;40;?;?;Alçada desconeguda. Càlcul impossible;Alçada desconeguda. No es pot dibuixar..;Formació circular aïllada.;Vessants bastant acinglerats portant Adams B a l'Oest i Adams D a l'Est.;Muralla bastant elevada en grades encavallada per dos craterets al Nord i un cràter al Sud.;Fons pla amb craterets amb un de central.;3;Formació molt interessant;2;2 dies després de Lluna nova;1 dia després de Lluna plena;30;Binoculars 10x;Refractor 50 mm;Adams;Adams;47;63.2702;-31.89163417;68.38690154;-30.84833336;-32.93493462;69.61503792;67.15876579;LOLA2011;Nord-Amèrica;Americà;Crater, craters;AA;Petavius;LAC-98;Adopted by IAU;01.01.1970 00:00;;John Couch. Britànic, astrònom (1819-1892). Charles Hitchcock. Americà, astrònom (1868-1951). Walter Sydney. Americà astrònom (1876-1956).;http://planetarynames.wr.usgs.gov/Feature/47
AGATHARCHIDES;AA1985S03111W;1985S03111;AA;Cràter;;Pre-Imbrià (De -4,55 mils de milions d'anys a -3,85 mils de milions d'anys) ?;;Agatharchide;Mädler (1837);;;;Geògraf i historiador;Grècia;grec;-2;2on segle aC;?;aprox. 100 AC;?;?;??;-31.114619;328.885381;31.115° West;-19.853701;19.854° South;Cara visible;Sud-Oest;Sector del Mar dels Humors;52;Gassendi;172;9f4 / 11b3;036C/S 040C/S 048C/S 201C 2055;;IV-132-H1;50;49;30;30;1180;3600;0.0241;A__________________________________________________________________________________________A;Formació amb danys en part submergida per la lava d'Oceanus Procellarum.;Vessants escarpats portant nombrosos craterets.;Muralla poc elevada parcialment destruïda al Nord i encavallada per Agatharchides F al Sud-Oest.;Fons pla extens omplert de lava fosca. Restes de muntanya central.;3;Formació molt interessant;10;3 dies després de quart creixent;2 dies després de quart minvant;30;Binoculars 10x;Refractor 50 mm;Agatharchides;Agatharchides;82;51.9832;-19.85370098;328.8853814;-18.99653435;-20.71086502;329.7966557;327.9740772;LOLA2011;Europa;Grec;Crater, craters;AA;Mare Humorum;LAC-93;Adopted by IAU;01.01.1935 00:00;;Agatàrquides de Cnidos. Grec, geògraf (c. 116 A.C.).;http://planetarynames.wr.usgs.gov/Feature/82
AGRIPPA;AA0410N01047E;0410N01047;AA;Cràter;;Eratostenià (De -3,2 mils de milions d'anys a -1,1 mils de milions d'anys);;Agrippa;Riccioli (1651);Urselii;Mons Ida;Agrippa;Astrònom;Grècia;grec;1;1er  segle;?;aprox. 50;?;?;Observador en 92 d'un eclipsi de les Plèiades per la Lluna.;10.474135;10.474135;10.474° East;4.096399;4.096° North;Cara visible;Nord-Est;Regió a l'est del Mar de la Tranquil·litat;34;Hyginus;282;1e2 / 13d8;351C 357C 161C 167C;;IV-097-H1;46;46;28;28;3100;9400;0.0674;A_______________________________A;Formació deformada al Sud-Oest.;Vessants escarpats portant Agrippa F i Tempel a l'Est.;Muralla en grades portant Agrippa H al Nord.;Fons bastant pla. Muntanya central. Monticles i esllavissaments a l'Oest. Esquerda i craterets.;3;Formació molt interessant;6;6 dies després de Lluna nova;5 dies després de Lluna plena;30;Binoculars 10x;Refractor 50 mm;Agrippa;Agrippa;92;43.7467;4.096399425;10.4741347;4.817754745;3.375047684;11.19729042;9.750963211;LOLA2011;Europa;Grec;Crater, craters;AA;Julius Caesar;LAC-60;Adopted by IAU;01.01.1935 00:00;;Grec, astrònom (unkn-fl. A.D. 92).;http://planetarynames.wr.usgs.gov/Feature/92
AIRY;AA1814S00561E;1814S00561;AA;Cràter;;Pre-Imbrià (De -4,55 mils de milions d'anys a -3,85 mils de milions d'anys) ?;;Sir George Bidel Airy;Mädler (1837);Crequii;;;Astrònom;Anglaterra;anglès;19;19è segle;Alnwick;1801;Londres;1892;Director del Observatori de Greenwich en 1835. Treballs sobre mecànica celestial. Autor de una teoria sobre la difracció de la llum.;5.614858;5.614858;5.615° East;-18.141628;18.142° South;Cara visible;Sud-Est;Regió a l'oest del cràter Caterina;56;Azophi;204;13e5 / 13f5;357S 003S 161S 167S 174S;;;36;37;22;22;?;?;Alçada desconeguda. Càlcul impossible;Alçada desconeguda. No es pot dibuixar..;Formació malmesa formant un trio alineat Nord-Sud amb Argelander i Vogel.;Vessants bastant acinglerats portant Argelander al Nord Airy D al Nord-Oest i Airy G al Sud-Est.;Muralla elevada i turmentada encavallada al Sud per Airy H.;Fons irregular poc extens. Muntanya central doble.;3;Formació molt interessant;7;Quart creixent;6 dies després de Lluna plena;30;Binoculars 10x;Refractor 50 mm;Airy;Airy;113;38.8999;-18.14162802;5.614857984;-17.50020218;-18.78305244;6.289899826;4.939809799;LOLA2011;Europa;Gran Bretanya;Crater, craters;AA;Purbach;LAC-95;Adopted by IAU;01.01.1935 00:00;;George Biddell. Britànic, astrònom (1801-1892).;http://planetarynames.wr.usgs.gov/Feature/113
