NAME;LUN;LUN_REDUCED;NAMETYPE;TYPE;SUBTYPE;PERIOD;GEOLOGY;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIN360;LONGIC;LATIN;LATIC;FACE;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU;IAU_FEATURE_NAME;IAU_CLEAN_FEATURE_NAME;IAU_FEATURE_ID;IAU_DIAMETER;IAU_CENTER_LATITUDE;IAU_CENTER_LONGITUDE;IAU_NORTHERN_LATITUDE;IAU_SOUTHERN_LATITUDE;IAU_EASTERN_LONGITUDE;IAU_WESTERN_LONGITUDE;IAU_COORDINATE_SYSTEM;IAU_CONTINENT;IAU_ETHNICITY;IAU_FEATURE_TYPE;IAU_FEATURE_TYPE_CODE;IAU_QUAD_NAME;IAU_QUAD_CODE;IAU_APPROVAL_STATUS;IAU_APPROVAL_DATE;IAU_REFERENCE;IAU_ORIGIN;IAU_LINK
ABBOT;AA0556N05474E;0556N05474;AA;Cráter;;Imbriano (Desde -3.85 mil millones de años hasta -3.2 mil millones de años) ?;;Charles Greeley Abbot (ex Apollonius K);(??);Sin nombre;Sin nombre;Sin nombre;Astrofísico;U.S.A.;Americano;20;Siglo XX;Wilton;1872;Washington;1973;Director del Observatorio del Instituto Smithsonian. Determinación del valor de la constante solar y la distribución de la energía en el espectro solar.;54.743059;54.743059;54.743° East;5.556162;5.556° North;Nearside;Norte-Este;Borde Norte de Mare Fecunditatis;37;Taruntius;229;3c2;315C 124C;;;10;10;6;6;?;?;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;Formación circular aislada con forma cóncava.;Vertientes bastante escarpadas.;Paredes de escasa altura.;Suelo redondeado.;1;Formación de bajo interés o dificultad;3;3 días después de la Luna Nueva;2 días después de la Luna Llena;50;Refractor de 50 mm;Refractor de 100 mm;Abbot;Abbot;10;10.4043;5.55616226346136;54.7430589309508;5.72772026062012;5.38460731506348;54.9154148101807;54.570707321167;LOLA2011;North America;American;Crater, craters;AA;Mare Undarum;LAC-62;Adopted by IAU;1973-01-01 00:00:00;;Charles Greeley. American astrophysicist (1872-1973).;http://planetarynames.wr.usgs.gov/Feature/10
ABEL;AA3463S08578E;3463S08578;AA;Cráter;;Pre-Nectariano (Desde -4.55 mil millones de años hasta -3.92 mil millones de años);;Niels Henrik Abel;Franz (1913);Sin nombre;Sin nombre;Sin nombre;Matemático;Noruega;Noruego;19;Siglo XIX;Isla Finnoy;1802;Arendal;1829;Especialista en la teoría de las integrales elípticas y trabajos en las llamadas integrales abelianas.;85.776219;85.776219;85.776° East;-34.625700;34.626° South;Librations zone;Sur-Este;Limbo Sur-Este de la Luna;69;Furnerius;112;;291S Q4SE;;IV-009-H3;114;114;69;69;?;?;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;Formación circular situada en la zona de libraciones.;Vertientes poco escarpadas conteniendo Abel L al Oeste, Barnard y Abel A al Norte.;Paredes de escasa altura casi inundadas al Este por la lava de Mare Australe.;Suelo plano relleno con lava conteniendo un cráter fantasma al Noreste.;2;Formación bastante interesante;2;2 días después de la Luna Nueva;1 día después de la Luna Llena;5;A simple vista;Prismáticos de 10x;Abel;Abel;12;137.349;-34.6257003361427;85.7762185311885;-32.5447616577148;-36.7717876434326;88.2099132537842;83.4320240020752;LOLA2011;Europe;Norway;Crater, craters;AA;Mare Australe;LAC-116;Adopted by IAU;1964-01-01 00:00:00;;Niels Henrik. Norwegian mathematician (1802-1829).;http://planetarynames.wr.usgs.gov/Feature/12
ABENEZRA;AA2099S01189E;2099S01189;AA;Cráter;;Imbriano Superior (Desde -3.8 mil millones de años hasta -3.2 mil millones de años);;Abraham Bar Rabbi ben Ezra;Riccioli (1651);Schirley;Sin nombre;Abenezra;Filósofo y Astrónomo;España;Español;12;Siglo XII;?;1092;?;1167;??;11.890657;11.890657;11.891° East;-20.993564;20.994° South;Nearside;Sur-Este;Al Este de la región del cráter Catharina;56;Azophi;154;13d3;351S 357S 154S 161S 167S;;IV-096-H1;41;42;25;25;3730;11300;0,0888;A_______________________A;Formación circular con forma hexagonal componiendo una destacable reunión con Azophi y Abenezra C;Vertientes bastante escarpadas aplastando Abenezra C al Oeste y conteniendo Azophi al Suroeste.;Paredes en altas terrazas.;Suelo tortuoso.  Líneas de cresta circulares. Colinas.;4;Formación excepcional;6;6 días después de la Luna Nueva;5 días después de la Luna Llena;30;Prismáticos de 10x;Refractor de 50 mm;Abenezra;Abenezra;14;43.1887;-20.9935637435813;11.8906568620438;-20.2814178466797;-21.7057094573975;12.6534671783447;11.1278171539307;LOLA2011;Europe;Spain;Crater, craters;AA;Rupes Altai;LAC-96;Adopted by IAU;1935-01-01 00:00:00;;Abraham ben Meir Ibn Ezra. Spanish mathematician, astronomer (1092-1164/1167).;http://planetarynames.wr.usgs.gov/Feature/14
ABETTI;AA2011N02782E;2011N02782;AA;Cráter;;Imbriano (Desde -3.85 mil millones de años hasta -3.2 mil millones de años) ?;;Antonio Abetti;(??);Sin nombre;Sin nombre;Sin nombre;Astrónomo;Italia;Italiano;19;Siglo XIX;?;1846;?;1928;??;27.815724;27.815724;27.816° East;20.112727;20.113° North;Nearside;Norte-Este;Situado al Sureste de Mare Serenitatis;24;Bessel;284;;343C 143C 148C;;;17;17;10;10;?;?;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;Formación circular fantasma.;Vertientes casi planas.;Paredes muy planas.;Suelo plano relleno con la lava de Mare Serenitatis.;2;Formación bastante interesante;5;5 días después de la Luna Nueva;4 días después de la Luna Llena;50;Refractor de 50 mm;Refractor de 100 mm;Abetti;Abetti;16;1.59879;20.1127273642687;27.8157242752838;20.1390933990479;20.0863666534424;27.8438014984131;27.7876529693604;LOLA2011;Europe;Italy;Crater, craters;AA;Mare Serenitatis;LAC-42;Adopted by IAU;1976-01-01 00:00:00;;Antonio. Italian astronomer (1846-1928). Giorgio. Italian astronomer (1882-1982).;http://planetarynames.wr.usgs.gov/Feature/16
ABULFEDA;AA1387S01391E;1387S01391;AA;Cráter;;Típico Nectariano (Desde -3.92 mil millones de años hasta -3.85 mil millones de años);;Isma'il Abu al-Fida;Riccioli (1651);Derkenni;Sin nombre;Abulfeda;Historiador;Arabia;Árabe;14;Siglo XIV;Damas;1273;Hamah;1331;"Príncipe de la dinastía de Ayyubides. Autor de la ""Historia"" que siguió al trabajo de Ibn al-Athir";13.910298;13.910298;13.910° East;-13.865087;13.865° South;Nearside;Sur-Este;Región al Este del cráter Ptolemaeus;45;Andel;202;13c5 / 13d5;351C/S 154C/S 16LS 167C;;IV-089-H2;63;62;38;38;3110;9400;0,0502;A__________________________________________A;Formación circular dañada.;Vertientes escarpadas conteniendo varios cratercillos como Abulfeda R al Noroeste y Abulfeda S y W al Norte.;Paredes muy altas en terrazas solapadas por Catena Abulfeda al Sur y por Abulfeda U & Y al Norte.;Suelo plano y extenso relleno con lava.  Mancha blanca descentrada y colinas.  Cratercillos al Noreste y al Suroeste.;3;Formación muy interesante;6;6 días después de la Luna Nueva;5 días después de la Luna Llena;30;Prismáticos de 10x;Refractor de 50 mm;Abulfeda;Abulfeda;23;62.2345;-13.8650869926429;13.9102981681918;-12.8388595581055;-14.8913135528564;14.9672718048096;12.8533458709717;LOLA2011;Asia;Syria;Crater, craters;AA;Theophilus;LAC-78;Adopted by IAU;1935-01-01 00:00:00;;Ismail Ibn Abū al-Fidā. Syrian geographer (1273-1331).;http://planetarynames.wr.usgs.gov/Feature/23
ACOSTA;AA0565S06014E;0565S06014;AA;Cráter;;Copernicano (Desde -1.1 mil millones de años hasta nuestros días) ?;;Cristobal Acosta (ex Langrenus C);(??);Sin nombre;Sin nombre;Sin nombre;Doctor e Historiador;Portugal;Portugués;16;Siglo XVI;?;1515;?;1580;??;60.139473;60.139473;60.139° East;-5.645305;5.645° South;Nearside;Sur-Este;Limbo Este de la Luna;49;Langrenus;189;15b6 / 15c6;105C 112C 119C;;;13;13;8;8;1750;5300;0,1346;A______________A;Formación circular de forma cóncava situada en la vertiente Norte de Langrenus;Vertientes bastante escarpadas.;Paredes bastante altas.;Suelo redondeado.;2;Formación bastante interesante;3;3 días después de la Luna Nueva;2 días después de la Luna Llena;50;Refractor de 50 mm;Refractor de 100 mm;Acosta;Acosta;40;13.0615;-5.64530508826036;60.1394730652901;-5.42993354797363;-5.86067581176758;60.3558940887451;59.9230518341064;LOLA2011;Europe;Portugal;Crater, craters;AA;Langrenus;LAC-80;Adopted by IAU;1976-01-01 00:00:00;;Cristobal. Portuguese doctor, natural historian (1515-1580).;http://planetarynames.wr.usgs.gov/Feature/40
ADAMS;AA3189S06839E;3189S06839;AA;Cráter;;Nectariano (Desde -3.92 mil millones de años hasta -3.85 mil millones de años);;John Couch Adams;Birt / Lee (1865);Sin nombre;Sin nombre;Sin nombre;Astrónomo;Gran Bretaña;Británico;19;Siglo XIX;Laneast;1819;Cambridge;1892;Demostró e indicó la existencia de Neptuno por su posición independientemente de Le Verrier, pero su trabajo no fue publicado por el Royal Observatory.;68.386902;68.386902;68.387° East;-31.891634;31.892° South;Nearside;Sur-Este;Limbo Sur-Este de la Luna;69;Furnerius;113;15d1 / 16b7;303S Q4SE 099C 105C 112C;;IV-038-H3 IV-096-H2 IV-039-H1 IV-184-H2;66;66;40;40;?;?;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;Formación circular aislada;Vertientes bastante escarpadas conteniendo Adams B al Oeste y Adams D al Este.;Paredes bastante altas en terrazas solapadas por dos cratercillos al Norte y un cráter al Sur.;Suelo plano con cratercillos.;3;Formación muy interesante;2;2 días después de la Luna Nueva;1 día después de la Luna Llena;30;Prismáticos de 10x;Refractor de 50 mm;Adams;Adams;47;63.2702;-31.8916341691825;68.3869015353649;-30.8483333587646;-32.9349346160889;69.6150379180908;67.1587657928467;LOLA2011;North America;American;Crater, craters;AA;Petavius;LAC-98;Adopted by IAU;1970-01-01 00:00:00;;John Couch. British astronomer (1819-1892). Charles Hitchcock. American astronomer (1868-1951). Walter Sydney. American astronomer (1876-1956).;http://planetarynames.wr.usgs.gov/Feature/47
AGATHARCHIDES;AA1985S03111W;1985S03111;AA;Cráter;;Pre-Imbriano (Desde -4.55 mil millones de años hasta -3.85 mil millones de años) ?;;Agatharchides;Mädler (1837);Sin nombre;Sin nombre;Sin nombre;Geógrafo e Historiador;Grecia;Griego;-2;Siglo II a. de C.;?;alrededor del año 100 a. de C.;?;?;??;-31.114619;328.885381;31.115° West;-19.853701;19.854° South;Nearside;Sur-Oeste;Region de Mare Humorum;52;Gassendi;172;9f4 / 11b3;036C/S 040C/S 048C/S 201C 2055;;IV-132-H1;50;49;30;30;1180;3600;0,0241;A__________________________________________________________________________________________A;Formación dañada parcialmente sumergida por la lava de Oceanus Procellarum.;Vertientes escarpadas conteniendo varios cratercillos.;Paredes de escasa altura parcialmente destruidas al Norte y montadas por Agatharchides F al Suroeste.;Suelo plano y extenso relleno con lava oscura.  Ruinas de una montaña central.;3;Formación muy interesante;10;3 días después del Cuarto Creciente;2 días después del Cuarto Menguante;30;Prismáticos de 10x;Refractor de 50 mm;Agatharchides;Agatharchides;82;51.9832;-19.8537009804279;328.885381439857;-18.9965343475342;-20.710865020752;329.796655654907;327.974077224731;LOLA2011;Europe;Greek;Crater, craters;AA;Mare Humorum;LAC-93;Adopted by IAU;1935-01-01 00:00:00;;Agatharchides of Cnidos. Greek geographer (c. 116 B.C.).;http://planetarynames.wr.usgs.gov/Feature/82
AGRIPPA;AA0410N01047E;0410N01047;AA;Cráter;;Eratostheniano (Desde -3.2 mil millones de años hasta -1.1 mil millones de años);;Agrippa;Riccioli (1651);Urselii;Mons Ida;Agrippa;Astrónomo;Grecia;Griego;1;Siglo I;?;alrededor del año 50;?;?;Observador en el año 92 de un eclipse de las Pléyades por la Luna.;10.474135;10.474135;10.474° East;4.096399;4.096° North;Nearside;Norte-Este;Región al Este de Mare Tranquilitatis;34;Hyginus;282;1e2 / 13d8;351C 357C 161C 167C;;IV-097-H1;46;46;28;28;3100;9400;0,0674;A_______________________________A;Formación circular con forma destruida al Suroeste.;Vertientes escarpadas conteniendo Agrippa F y Tempel al Este.;Paredes en terrazas conteniendo Agrippa H al Norte.;Suelo bastante plano. Montaña central. Colinas y ruinas al Oeste. Fisura y cratercillos.;3;Formación muy interesante;6;6 días después de la Luna Nueva;5 días después de la Luna Llena;30;Prismáticos de 10x;Refractor de 50 mm;Agrippa;Agrippa;92;43.7467;4.09639942536124;10.4741346961679;4.8177547454834;3.37504768371582;11.1972904205322;9.75096321105957;LOLA2011;Europe;Greek;Crater, craters;AA;Julius Caesar;LAC-60;Adopted by IAU;1935-01-01 00:00:00;;Greek astronomer (unkn-fl. A.D. 92).;http://planetarynames.wr.usgs.gov/Feature/92
AIRY;AA1814S00561E;1814S00561;AA;Cráter;;Pre-Imbriano (Desde -4.55 mil millones de años hasta -3.85 mil millones de años) ?;;Sir George Bidel Airy;Mädler (1837);Crequii;Sin nombre;Sin nombre;Astrónomo;Inglaterra;Inglés;19;Siglo XIX;Alnwick;1801;Londres;1892;Director del Observatorio de Greenwich en 1835. Trabajos sobre mecánica celeste. Autor de una teoría sobre la difracción de la luz.;5.614858;5.614858;5.615° East;-18.141628;18.142° South;Nearside;Sur-Este;Al Este de la región del cráter Catharina;56;Azophi;204;13e5 / 13f5;357S 003S 161S 167S 174S;;;36;37;22;22;?;?;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;Formación ruinosa formando un trío alineado de Norte a Sur con Argelander y Vogel.;Vertientes bastante escarpadas conteniendo Argelander al Norte, Airy D al Noroeste y Airy G al Sureste.;Paredes altas y tortuosas montadas al Sur por Airy H.;Suelo irregular y de poca anchura. Doble montaña central.;3;Formación muy interesante;7;Cuarto Creciente;6 días después de la Luna Llena;30;Prismáticos de 10x;Refractor de 50 mm;Airy;Airy;113;38.8999;-18.1416280150276;5.61485798365116;-17.5002021789551;-18.783052444458;6.2898998260498;4.93980979919434;LOLA2011;Europe;Great Britain;Crater, craters;AA;Purbach;LAC-95;Adopted by IAU;1935-01-01 00:00:00;;George Biddell. British astronomer (1801-1892).;http://planetarynames.wr.usgs.gov/Feature/113
