NAME;LUN;NAME_TYPE;IAU_TYPE;TYPE;SUBTYPE;PROCESS;PERIOD;PERIOD_SOURCE;GEOLOGY;NAME_DETAIL;NAME_ORIGIN;IAU_APPROVAL;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURY_N;CENTURY_C;BIRTH_PLACE;BIRTH_DATE;DEATH_PLACE;DEATH_DATE;FACTS;LONGI_N;LONGI_N_360;LONGI_C;LATI_N;LATI_C;FACE;QUADRANT;AREA;LENGTH_KM;WIDE_KM;LENGTH_ARCSEC;HEIGHT_M;RAPPORT;GENERAL_1;GENERAL_2;SLOPES;WALLS;FLOOR;INTEREST_N;INTEREST_C;LUNATION;MOONDAY_S;MOONDAY_M;DIAM_INST;TH_INSTRU;PR_INSTRU
ABBOT;AA0556N05474E;;AA;Cràter;;;Imbrià (De -3,85 mils de milions d'anys a -3,2 mils de milions d'anys) ?;;;Charles Greeley Abbot (ex Apollonius K);(??);;;;;Astrofísic;U. S. A.;americà;20;20è segle;Wilton;1872;Washington;1973;Director de l'observatori de la Smithsonian Institution. Determinació del valor de la constant solar i la distribució de l'energia en l'espectre solar.;54.743059;54.743059;54.743° East;5.556162;5.556° North;Cara visible;Nord-Est;Vora nord del Mar de la Fecunditat;10;10;;?;Alçada desconeguda. Càlcul impossible;Formació circular aïllada en forma de bol.;;Vessants bastant acinglerats.;Muralla poc elevada.;Fons arrodonit.;1;Formació poc interessant o difícil;3;3 dies després de Lluna nova;2 dies després de Lluna plena;50;Refractor 50 mm;Telescopi 100 mm
ABEL;AA3463S08578E;;AA;Cràter;;;Pre-Nectarià (De -4,55 mils de milions d'anys a -3,92 mils de milions d'anys) ;;;Niels Henrik Abel;Franz (1913);;;;;Matemàtic;Noruega;noruec;19;19è segle;Finnoy Island;1802;Arendal;1829;Especialista de la teoria d'integrals el·líptiques i treballs sobre les anomenades integrals abelianes.;85.776219;85.776219;85.776° East;-34.6257;34.626° South;Zona libracions;Sud-Est;Limbe sud-est de la Lluna;114;114;;?;Alçada desconeguda. Càlcul impossible;Formació circular situada en la zona de les libracions.;;Vessants poc escarpats portant Abel L a l'Oest, Barnard i Abel A al Nord.;Muralla poc elevada gairebé engolida a l'Est en la lava de Mare Australe.;Fons pla omplert de lava portant un cràter fantasma al Nord-Est.;2;Formació força interessant;2;2 dies després de Lluna nova;1 dia després de Lluna plena;5;Simple vista;Binoculars 10x
ABENEZRA;AA2099S01189E;;AA;Cràter;;;Imbrià Superior (De -3,8 mils de milions d'anys a -3,2 mils de milions d'anys) ;;;Abraham Bar Rabbi ben Ezra;Riccioli (1651);;Schirley;;Abenezra;Filòsof i astrònom;Espanya;espanyol;12;12è segle;?;1092;?;1167;??;11.890657;11.890657;11.891° East;-20.993564;20.994° South;Cara visible;Sud-Est;Regió a l'oest del cràter Caterina;41;42;;3730;0.0888;Formació circular de forma hexagonal constituint un trio remarcable amb Azophi i Abenezra C.;;Vessants bastant acinglerats aixafant Abenezra C a l'Oest i portant Azophi al Sud-Oest.;Muralla en grades elevada.;Fons turmentat. Línies de crestes circulars. Monticles.;4;Formació excepcional;6;6 dies després de Lluna nova;5 dies després de Lluna plena;30;Binoculars 10x;Refractor 50 mm
ABETTI;AA2011N02782E;;AA;Cràter;;;Imbrià (De -3,85 mils de milions d'anys a -3,2 mils de milions d'anys) ?;;;Antonio Abetti;(??);;;;;Astrònom;Macedònia;italià;19;19è segle;?;1846;?;1928;??;27.815724;27.815724;27.816° East;20.112727;20.113° North;Cara visible;Nord-Est;Part sud-est del Mar de la Serenitat;17;17;;?;Alçada desconeguda. Càlcul impossible;Formació circular fantasma.;;Vessants gairebé plans.;Muralla molt aplanada.;Fons pla omplert per la lava de Mare Serenitatis.;2;Formació força interessant;5;5 dies després de Lluna nova;4 dies després de Lluna plena;50;Refractor 50 mm;Telescopi 100 mm
ABULFEDA;AA1387S01391E;;AA;Cràter;;;Nectarià típic (De -3,92 mils de milions d'anys a -3,85 mils de milions d'anys) ;;;Isma'il Abu al-Fida;Riccioli (1651);;Derkenni;;Abulfeda;Historiador;Aràbia;àrab;14;14è segle;Damasc;1273;Hamah;1331;Príncep de la dinastia dels Ayyubides. Autor de  la Història seguint l'obra de Ibn al-Athir;13.910298;13.910298;13.910° East;-13.865087;13.865° South;Cara visible;Sud-Est;Regió a l'est del cràter Ptolemeu;63;62;;3110;0.0502;Formació circular amb danys.;;Vessants escarpats portant nombrosos craterets amb Abulfeda R al Nord-Oest i Abulfeda S & W al Nord.;Muralla molt elevada en grades encavallada per Catena Abulfeda al Sud i per Abulfeda U & Y al Nord.;Fons pla extens omplert de lava. Taca blanca descentrada i monticles. Craterets al Nord-Est i al Sud-Oest.;3;Formació molt interessant;6;6 dies després de Lluna nova;5 dies després de Lluna plena;30;Binoculars 10x;Refractor 50 mm
ACOSTA;AA0565S06014E;;AA;Cràter;;;Copernicià (De -1,1 mils de milions d'anys als nostres dies) ?;;;Cristóbal Acosta (ex Langrenus C);(??);;;;;Metge i historiador;Portugal;portuguès;16;16è segle;?;1515;?;1580;??;60.139473;60.139473;60.139° East;-5.645305;5.645° South;Cara visible;Sud-Est;Limbe est de la Lluna;13;13;;1750;0.1346;Formació circular en forma de bol situada sobre el vessant Nord de Langrenus.;;Vessants bastant acinglerats.;Muralla bastant elevada.;Fons arrodonit.;2;Formació força interessant;3;3 dies després de Lluna nova;2 dies després de Lluna plena;50;Refractor 50 mm;Telescopi 100 mm
ADAMS;AA3189S06839E;;AA;Cràter;;;Nectarià (De -3,92 mils de milions d'anys a -3,85 mils de milions d'anys) ;;;John Couch Adams;Birt / Lee (1865);;;;;Astrònom;Gran Bretanya;britànic;19;19è segle;Laneast;1819;Cambridge;1892;Ha demostrat l'existència i indicat la posició de Neptú independentment de Le Verrier, però els seus treballs no han estat publicats pel Royal Observatory.;68.386902;68.386902;68.387° East;-31.891634;31.892° South;Cara visible;Sud-Est;Limbe sud-est de la Lluna;66;66;;?;Alçada desconeguda. Càlcul impossible;Formació circular aïllada.;;Vessants bastant acinglerats portant Adams B a l'Oest i Adams D a l'Est.;Muralla bastant elevada en grades encavallada per dos craterets al Nord i un cràter al Sud.;Fons pla amb craterets amb un de central.;3;Formació molt interessant;2;2 dies després de Lluna nova;1 dia després de Lluna plena;30;Binoculars 10x;Refractor 50 mm
AGATHARCHIDES;AA1985S03111W;;AA;Cràter;;;Pre-Imbrià (De -4,55 mils de milions d'anys a -3,85 mils de milions d'anys) ?;;;Agatharchide;Mädler (1837);;;;;Geògraf i historiador;Grècia;grec;-2;2on segle aC;?;aprox. 100 AC;?;?;??;-31.114619;328.885381;31.115° West;-19.853701;19.854° South;Cara visible;Sud-Oest;Sector del Mar dels Humors;50;49;;1180;0.0241;Formació amb danys en part submergida per la lava d'Oceanus Procellarum.;;Vessants escarpats portant nombrosos craterets.;Muralla poc elevada parcialment destruïda al Nord i encavallada per Agatharchides F al Sud-Oest.;Fons pla extens omplert de lava fosca. Restes de muntanya central.;3;Formació molt interessant;10;3 dies després de quart creixent;2 dies després de quart minvant;30;Binoculars 10x;Refractor 50 mm
AGRIPPA;AA0410N01047E;;AA;Cràter;;;Eratostenià (De -3,2 mils de milions d'anys a -1,1 mils de milions d'anys);;;Agrippa;Riccioli (1651);;Urselii;Mons Ida;Agrippa;Astrònom;Grècia;grec;1;1er  segle;?;aprox. 50;?;?;Observador en 92 d'un eclipsi de les Plèiades per la Lluna.;10.474135;10.474135;10.474° East;4.096399;4.096° North;Cara visible;Nord-Est;Regió a l'est del Mar de la Tranquil·litat;46;46;;3100;0.0674;Formació deformada al Sud-Oest.;;Vessants escarpats portant Agrippa F i Tempel a l'Est.;Muralla en grades portant Agrippa H al Nord.;Fons bastant pla. Muntanya central. Monticles i esllavissaments a l'Oest. Esquerda i craterets.;3;Formació molt interessant;6;6 dies després de Lluna nova;5 dies després de Lluna plena;30;Binoculars 10x;Refractor 50 mm
AIRY;AA1814S00561E;;AA;Cràter;;;Pre-Imbrià (De -4,55 mils de milions d'anys a -3,85 mils de milions d'anys) ?;;;Sir George Bidel Airy;Mädler (1837);;Crequii;;;Astrònom;Anglaterra;anglès;19;19è segle;Alnwick;1801;Londres;1892;Director del Observatori de Greenwich en 1835. Treballs sobre mecànica celestial. Autor de una teoria sobre la difracció de la llum.;5.614858;5.614858;5.615° East;-18.141628;18.142° South;Cara visible;Sud-Est;Regió a l'oest del cràter Caterina;36;37;;?;Alçada desconeguda. Càlcul impossible;Formació malmesa formant un trio alineat Nord-Sud amb Argelander i Vogel.;;Vessants bastant acinglerats portant Argelander al Nord Airy D al Nord-Oest i Airy G al Sud-Est.;Muralla elevada i turmentada encavallada al Sud per Airy H.;Fons irregular poc extens. Muntanya central doble.;3;Formació molt interessant;7;Quart creixent;6 dies després de Lluna plena;30;Binoculars 10x;Refractor 50 mm
