NAME;LUN;NAME_TYPE;IAU_TYPE;TYPE;SUBTYPE;PROCESS;PERIOD;PERIOD_SOURCE;GEOLOGY;NAME_DETAIL;NAME_ORIGIN;IAU_APPROVAL;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURY_N;CENTURY_C;BIRTH_PLACE;BIRTH_DATE;DEATH_PLACE;DEATH_DATE;FACTS;LONGI_N;LONGI_N_360;LONGI_C;LATI_N;LATI_C;FACE;QUADRANT;AREA;LENGTH_KM;WIDE_KM;LENGTH_ARCSEC;HEIGHT_M;RAPPORT;GENERAL_1;GENERAL_2;SLOPES;WALLS;FLOOR;INTEREST_N;INTEREST_C;LUNATION;MOONDAY_S;MOONDAY_M;DIAM_INST;TH_INSTRU;PR_INSTRU
8 HOMEWARD;AA120200S970900;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Formation period not found;Period source not found;No details;8 Homeward;IAU 2018;05/10/2018 00:00:00;Not known;Not known;Not known;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;97.09;97.09;97 ° 5 ' East;-12.02;12 ° 1 ' South;Librations zone;South-East;South of Mare Smythii;12.52;12.52;6.2;Unknown height.;Unknown height. Impossible calculation.;Crater visible on the iconic color picture taken by W. A. Anders onboard Apollo 8 mission on the December 24th 1968. Symbolise Apollo 8 return to Earth. Previously named Ganskiy or Hansky M.;;Not described in this VMA version.;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
ABBE;AA5758S17477E;;AA;Crater;;;;;;Ernst K. Abbe;UAI 1970 ?;;Not known;Not known;Not known;physicist;Germany;German;19;;Eisenach;1840;Iena;1905;Director of Iena observatory. Author of a classical theory of microscopes in 1877 and of sinuses relations. Associated with Carl Zeiss. Conceiver of a refractometer and of the first apochromatic objectives and of orthoscopic eyepieces.;174.774969;174.774969;174.775° East;-57.575482;57.575° South;Farside;South-East;;66;66;;Unknown;Unknown height. Impossible calculation.;Not observable;;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
ABBOT;AA0556N05474E;;AA;Krater;;;Imbrianisch (Von -3.85 Mrd. bis -3.2 Jahre) ?;;;Charles Greeley Abbot (ehem. Apollonius K);(??);;Kein Name;Kein Name;Kein Name;Astrophysiker;U. S. A.;amerikanischerer;20;20. Jhd.;Wilton;1872;Washington;1973;Direktor des Observatory of the Smithsonian Institution. Bestimmung des Wertes der Solar Konstante und der Energieverteilung im Sonnenspektrum.;54.743059;54.743059;54.743° East;5.556162;5.556° North;Nearside;Nord-Ost;Nord Rand des Mare Fecunditatis;10;10;;0;0;Kreisförmige Formation, isoliert, mit Schüsselform.;;Ziemlich steile Stelle.;Kleine, hohe Wände.;Rundliche Ebene.;1;Wenig interessant oder schwierige Formation;3;3 Tage nach Neumond;2 Tage nach Vollmond;50;50 mm Refraktor;100 mm Refraktor
ABEL;AA3463S08578E;;AA;Krater;;;Pre-Nectarianische (Von -4.55 Mrd. bis -3.92 Mrd. Jahre);;;Niels Henrik Abel;Franz (1913);;Kein Name;Kein Name;Kein Name;Mathematiker;Norwegen;norwegischer;19;19. Jhd.;Finnoy Island;1802;Arendal;1829;Spezialist für die Theorie von elliptischen Integralen und Arbeiten über so genannte abelianische Integrale.;85.776219;85.776219;85.776° East;-34.6257;34.626° South;Librations zone;Süd-Ost;Mond Süd-Ost Bogen;114;114;;0;0;Kreisförmige Formation, gelegen in der Librationszone.;;Kleine, steile Stelle, begrenzt Abel L im West, Barnard und Abel A im Nord.;Kleine, hohe Wände stark abfallend, im Osten in die Lava von Mare Australe.;Flache Ebene gefüllt mit Lava, begrenzt einen Geister-Krater im Nord-Osten.;2;Ziemlich interessante Formation;2;2 Tage nach Neumond;1 Tag nach Vollmond;5;Bloses Auge;10x Doppelfernrohr
ABENEZRA;AA2099S01189E;;AA;Krater;;;Obere Imbrianische (Von -3.8 Mrd. bis -3.2 Mrd. Jahre);;;Abraham Bar Rabbi ben Ezra;Riccioli (1651);;Schirley;Kein Name;Abenezra;Philosoph und Astronom;Spanien;spanischer;12;12. Jhd.;?;1092;?;1167;??;11.890657;11.890657;11.891° East;-20.993564;20.994° South;Nearside;Süd-Ost;Osten der Catharina Krater Region;41;42;;3730;0.0888;Kreisförmige Formation mit Sechseck-Form, bildet eine bemerkenswerte Gruppe mit Azophi und Abenezra C;;Ziemlich steile Stelle, stößt an Abenezra C im Westen und begrentzt Azophi im Süd-Westen.;Wände in hohen Terassen.;Zerklüftete Ebene. Kreisförmige Kammlinien. Hügel.;4;Außergewöhnliche Formation;6;6 Tage nach Neumond;5 Tage nach Vollmond;30;10x Doppelfernrohr;50 mm Refraktor
ABETTI;AA2011N02782E;;AA;Krater;;;Imbrianische (Von -3.85 Mrd. bis -3.2 Mrd. Jahre) ?;;;Antonio Abetti;(??);;Kein Name;Kein Name;Kein Name;Astronom;Italien;italienischerer;19;19. Jhd.;?;1846;?;1928;??;27.815724;27.815724;27.816° East;20.112727;20.113° North;Nearside;Nord-Ost;Süd-Ost Teil von Mare Serenitatis;17;17;;0;0;Kreisförmige Geister-Formation.;;Ziemlich flache Stelle.;Sehr flache Wände.;Flache Stelle, gefüllt mit der Lava von Mare Serenitatis.;2;Ziemlich interessante Formation;5;5 Tage nach Neumond;4 Tage nach Vollmond;50;50 mm Refraktor;100 mm Refraktor
ABUL WAFA;AA0096N11663E;;AA;Crater;;;;;;Abu al-Wafa al-Buzadjani;UAI 1985 ?;;Not known;Not known;Not known;mathematician;Iran;Iranian;10;;Buzadjan;940;Bagdad;997;Author of an arithmetrical treaty and of a precise method for sinuses calculations. ;116.630644;116.630644;116.631° East;0.962556;0.963° North;Farside;North-East;;55;55;;Unknown;Unknown height. Impossible calculation.;Not observable;;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
ABULFEDA;AA1387S01391E;;AA;Krater;;;Typische Nectarianische (Von -3.92 Mrd. bis -3.85 Mrd. Jahre);;;Isma'il Abu al-Fida;Riccioli (1651);;Derkenni;Kein Name;Abulfeda;Historiker;Arabien;arabischer;14;14. Jhd.;Damas;1273;Hamah;1331;Prinz der Dynastie von Ayyubides. Autor von"History" gefolgt vom Werk von Ibn al-Athir;13.910298;13.910298;13.910° East;-13.865087;13.865° South;Nearside;Süd-Ost;Osten der Ptolemaeus Krater Region;63;62;;3110;0.0502;Beschädigte, kreisförmige Formation.;;steile Stelle, angrenzend an viele kleine Krater, wie Abulfeda R im Nord-Westen und Abulfeda S und W zum Norden hin.;Sehr hohe Wände in Terrassen, überlappt von Catena Abulfeda zum Süden hin und von Abulfeda U & Y zum Norden hin.;Ausgedehnte flache Ebene, gefüllt mit Lava.  Weiß geflecktes Zentrum und Hügel. Kleine Krater zum Nord-Osten hin und zum Süd-Westen hin.;3;Sehr interessante Formation;6;6 Tage nach Neumond;5 Tage nach Vollmond;30;10x Doppelfernrohr;50 mm Refraktor
ACOSTA;AA0565S06014E;;AA;Krater;;;Copernicianische (Von -1.1 Mrd. bis heute) ?;;;Cristobal Acosta (ehem. Langrenus C);(??);;Kein Name;Kein Name;Kein Name;Arzt und Historiker;Portugal;portugisischer;16;16. Jhd.;?;1515;?;1580;??;60.139473;60.139473;60.139° East;-5.645305;5.645° South;Nearside;Süd-Ost;Mond Ost Bogen;13;13;;1750;0.1346;Kreisförmige Formation mit Schüsselform, gelegen am Nord-Abhang von Langrenus;;Ziemlich steile Stelle.;Ziemlich hohe Wände.;Rundliche Ebene.;2;Ziemlich interessante Formation;3;3 Tage nach Neumond;2 Tage nach Vollmond;50;50 mm Refraktor;100 mm Refraktor
ADAMS;AA3189S06839E;;AA;Krater;;;Nectarianische (Von -3.92 Mrd. bis -3.85 Mrd. Jahre);;;John Couch Adams;Birt / Lee (1865);;Kein Name;Kein Name;Kein Name;Astronom;Großbritannien;britischerer;19;19. Jhd.;Laneast;1819;Cambridge;1892;Hat die Existenz von Neptun demonstriert und gab dessen Position an, unabhängig von Le Verrier, aber seine Arbeit wurde nicht vom Royal Observatory publiziert.;68.386902;68.386902;68.387° East;-31.891634;31.892° South;Nearside;Süd-Ost;Mond Süd-Ost Bogen;66;66;;0;0;Isolierte, kreisförmige Formation;;Ziemlich steile Stelle, angrenzend an Adams B zum Westen hin und Adams D zum Osten hin.;Ziemlich hohe Wände in Terrassen, überlappt durch zwei kleine Krater zum Norden hin und ein Krater zum Süden hin.;Flache Ebene mit kleinen Kratern im Zentrum.;3;Sehr interessante Formation;2;2 Tage nach Neumond;1 Tag nach Vollmond;30;10x Doppelfernrohr;50 mm Refraktor
