NAME;LUN;NAME_TYPE;IAU_TYPE;TYPE;SUBTYPE;PROCESS;PERIOD;PERIOD_SOURCE;GEOLOGY;NAME_DETAIL;NAME_ORIGIN;IAU_APPROVAL;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURY_N;CENTURY_C;BIRTH_PLACE;BIRTH_DATE;DEATH_PLACE;DEATH_DATE;FACTS;LONGI_N;LONGI_N_360;LONGI_C;LATI_N;LATI_C;FACE;QUADRANT;AREA;LENGTH_KM;WIDE_KM;LENGTH_ARCSEC;HEIGHT_M;RAPPORT;GENERAL_1;GENERAL_2;SLOPES;WALLS;FLOOR;INTEREST_N;INTEREST_C;LUNATION;MOONDAY_S;MOONDAY_M;DIAM_INST;TH_INSTRU;PR_INSTRU
ABBOT;AA0556N05474E;;AA;Cráter;;;Imbriano (Desde -3.85 mil millones de años hasta -3.2 mil millones de años) ?;;;Charles Greeley Abbot (ex Apollonius K);(??);;Sin nombre;Sin nombre;Sin nombre;Astrofísico;U.S.A.;Americano;20;Siglo XX;Wilton;1872;Washington;1973;Director del Observatorio del Instituto Smithsonian. Determinación del valor de la constante solar y la distribución de la energía en el espectro solar.;54.743059;54.743059;54.743° East;5.556162;5.556° North;Nearside;Norte-Este;Borde Norte de Mare Fecunditatis;10;10;;?;Altura desconocida. Cálculo imposible.;Formación circular aislada con forma cóncava.;;Vertientes bastante escarpadas.;Paredes de escasa altura.;Suelo redondeado.;1;Formación de bajo interés o dificultad;3;3 días después de la Luna Nueva;2 días después de la Luna Llena;50;Refractor de 50 mm;Refractor de 100 mm
ABEL;AA3463S08578E;;AA;Cráter;;;Pre-Nectariano (Desde -4.55 mil millones de años hasta -3.92 mil millones de años);;;Niels Henrik Abel;Franz (1913);;Sin nombre;Sin nombre;Sin nombre;Matemático;Noruega;Noruego;19;Siglo XIX;Isla Finnoy;1802;Arendal;1829;Especialista en la teoría de las integrales elípticas y trabajos en las llamadas integrales abelianas.;85.776219;85.776219;85.776° East;-34.6257;34.626° South;Librations zone;Sur-Este;Limbo Sur-Este de la Luna;114;114;;?;Altura desconocida. Cálculo imposible.;Formación circular situada en la zona de libraciones.;;Vertientes poco escarpadas conteniendo Abel L al Oeste, Barnard y Abel A al Norte.;Paredes de escasa altura casi inundadas al Este por la lava de Mare Australe.;Suelo plano relleno con lava conteniendo un cráter fantasma al Noreste.;2;Formación bastante interesante;2;2 días después de la Luna Nueva;1 día después de la Luna Llena;5;A simple vista;Prismáticos de 10x
ABENEZRA;AA2099S01189E;;AA;Cráter;;;Imbriano Superior (Desde -3.8 mil millones de años hasta -3.2 mil millones de años);;;Abraham Bar Rabbi ben Ezra;Riccioli (1651);;Schirley;Sin nombre;Abenezra;Filósofo y Astrónomo;España;Español;12;Siglo XII;?;1092;?;1167;??;11.890657;11.890657;11.891° East;-20.993564;20.994° South;Nearside;Sur-Este;Al Este de la región del cráter Catharina;41;42;;3730;0,0888;Formación circular con forma hexagonal componiendo una destacable reunión con Azophi y Abenezra C;;Vertientes bastante escarpadas aplastando Abenezra C al Oeste y conteniendo Azophi al Suroeste.;Paredes en altas terrazas.;Suelo tortuoso.  Líneas de cresta circulares. Colinas.;4;Formación excepcional;6;6 días después de la Luna Nueva;5 días después de la Luna Llena;30;Prismáticos de 10x;Refractor de 50 mm
ABETTI;AA2011N02782E;;AA;Cráter;;;Imbriano (Desde -3.85 mil millones de años hasta -3.2 mil millones de años) ?;;;Antonio Abetti;(??);;Sin nombre;Sin nombre;Sin nombre;Astrónomo;Italia;Italiano;19;Siglo XIX;?;1846;?;1928;??;27.815724;27.815724;27.816° East;20.112727;20.113° North;Nearside;Norte-Este;Situado al Sureste de Mare Serenitatis;17;17;;?;Altura desconocida. Cálculo imposible.;Formación circular fantasma.;;Vertientes casi planas.;Paredes muy planas.;Suelo plano relleno con la lava de Mare Serenitatis.;2;Formación bastante interesante;5;5 días después de la Luna Nueva;4 días después de la Luna Llena;50;Refractor de 50 mm;Refractor de 100 mm
ABULFEDA;AA1387S01391E;;AA;Cráter;;;Típico Nectariano (Desde -3.92 mil millones de años hasta -3.85 mil millones de años);;;Isma'il Abu al-Fida;Riccioli (1651);;Derkenni;Sin nombre;Abulfeda;Historiador;Arabia;Árabe;14;Siglo XIV;Damas;1273;Hamah;1331;"Príncipe de la dinastía de Ayyubides. Autor de la ""Historia"" que siguió al trabajo de Ibn al-Athir";13.910298;13.910298;13.910° East;-13.865087;13.865° South;Nearside;Sur-Este;Región al Este del cráter Ptolemaeus;63;62;;3110;0,0502;Formación circular dañada.;;Vertientes escarpadas conteniendo varios cratercillos como Abulfeda R al Noroeste y Abulfeda S y W al Norte.;Paredes muy altas en terrazas solapadas por Catena Abulfeda al Sur y por Abulfeda U & Y al Norte.;Suelo plano y extenso relleno con lava.  Mancha blanca descentrada y colinas.  Cratercillos al Noreste y al Suroeste.;3;Formación muy interesante;6;6 días después de la Luna Nueva;5 días después de la Luna Llena;30;Prismáticos de 10x;Refractor de 50 mm
ACOSTA;AA0565S06014E;;AA;Cráter;;;Copernicano (Desde -1.1 mil millones de años hasta nuestros días) ?;;;Cristobal Acosta (ex Langrenus C);(??);;Sin nombre;Sin nombre;Sin nombre;Doctor e Historiador;Portugal;Portugués;16;Siglo XVI;?;1515;?;1580;??;60.139473;60.139473;60.139° East;-5.645305;5.645° South;Nearside;Sur-Este;Limbo Este de la Luna;13;13;;1750;0,1346;Formación circular de forma cóncava situada en la vertiente Norte de Langrenus;;Vertientes bastante escarpadas.;Paredes bastante altas.;Suelo redondeado.;2;Formación bastante interesante;3;3 días después de la Luna Nueva;2 días después de la Luna Llena;50;Refractor de 50 mm;Refractor de 100 mm
ADAMS;AA3189S06839E;;AA;Cráter;;;Nectariano (Desde -3.92 mil millones de años hasta -3.85 mil millones de años);;;John Couch Adams;Birt / Lee (1865);;Sin nombre;Sin nombre;Sin nombre;Astrónomo;Gran Bretaña;Británico;19;Siglo XIX;Laneast;1819;Cambridge;1892;Demostró e indicó la existencia de Neptuno por su posición independientemente de Le Verrier, pero su trabajo no fue publicado por el Royal Observatory.;68.386902;68.386902;68.387° East;-31.891634;31.892° South;Nearside;Sur-Este;Limbo Sur-Este de la Luna;66;66;;?;Altura desconocida. Cálculo imposible.;Formación circular aislada;;Vertientes bastante escarpadas conteniendo Adams B al Oeste y Adams D al Este.;Paredes bastante altas en terrazas solapadas por dos cratercillos al Norte y un cráter al Sur.;Suelo plano con cratercillos.;3;Formación muy interesante;2;2 días después de la Luna Nueva;1 día después de la Luna Llena;30;Prismáticos de 10x;Refractor de 50 mm
AGATHARCHIDES;AA1985S03111W;;AA;Cráter;;;Pre-Imbriano (Desde -4.55 mil millones de años hasta -3.85 mil millones de años) ?;;;Agatharchides;Mädler (1837);;Sin nombre;Sin nombre;Sin nombre;Geógrafo e Historiador;Grecia;Griego;-2;Siglo II a. de C.;?;alrededor del año 100 a. de C.;?;?;??;-31.114619;328.885381;31.115° West;-19.853701;19.854° South;Nearside;Sur-Oeste;Region de Mare Humorum;50;49;;1180;0,0241;Formación dañada parcialmente sumergida por la lava de Oceanus Procellarum.;;Vertientes escarpadas conteniendo varios cratercillos.;Paredes de escasa altura parcialmente destruidas al Norte y montadas por Agatharchides F al Suroeste.;Suelo plano y extenso relleno con lava oscura.  Ruinas de una montaña central.;3;Formación muy interesante;10;3 días después del Cuarto Creciente;2 días después del Cuarto Menguante;30;Prismáticos de 10x;Refractor de 50 mm
AGRIPPA;AA0410N01047E;;AA;Cráter;;;Eratostheniano (Desde -3.2 mil millones de años hasta -1.1 mil millones de años);;;Agrippa;Riccioli (1651);;Urselii;Mons Ida;Agrippa;Astrónomo;Grecia;Griego;1;Siglo I;?;alrededor del año 50;?;?;Observador en el año 92 de un eclipse de las Pléyades por la Luna.;10.474135;10.474135;10.474° East;4.096399;4.096° North;Nearside;Norte-Este;Región al Este de Mare Tranquilitatis;46;46;;3100;0,0674;Formación circular con forma destruida al Suroeste.;;Vertientes escarpadas conteniendo Agrippa F y Tempel al Este.;Paredes en terrazas conteniendo Agrippa H al Norte.;Suelo bastante plano. Montaña central. Colinas y ruinas al Oeste. Fisura y cratercillos.;3;Formación muy interesante;6;6 días después de la Luna Nueva;5 días después de la Luna Llena;30;Prismáticos de 10x;Refractor de 50 mm
AIRY;AA1814S00561E;;AA;Cráter;;;Pre-Imbriano (Desde -4.55 mil millones de años hasta -3.85 mil millones de años) ?;;;Sir George Bidel Airy;Mädler (1837);;Crequii;Sin nombre;Sin nombre;Astrónomo;Inglaterra;Inglés;19;Siglo XIX;Alnwick;1801;Londres;1892;Director del Observatorio de Greenwich en 1835. Trabajos sobre mecánica celeste. Autor de una teoría sobre la difracción de la luz.;5.614858;5.614858;5.615° East;-18.141628;18.142° South;Nearside;Sur-Este;Al Este de la región del cráter Catharina;36;37;;?;Altura desconocida. Cálculo imposible.;Formación ruinosa formando un trío alineado de Norte a Sur con Argelander y Vogel.;;Vertientes bastante escarpadas conteniendo Argelander al Norte, Airy D al Noroeste y Airy G al Sureste.;Paredes altas y tortuosas montadas al Sur por Airy H.;Suelo irregular y de poca anchura. Doble montaña central.;3;Formación muy interesante;7;Cuarto Creciente;6 días después de la Luna Llena;30;Prismáticos de 10x;Refractor de 50 mm
