NAME;LUN;NAME_TYPE;IAU_TYPE;TYPE;SUBTYPE;PROCESS;PERIOD;PERIOD_SOURCE;GEOLOGY;NAME_DETAIL;NAME_ORIGIN;IAU_APPROVAL;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURY_N;CENTURY_C;BIRTH_PLACE;BIRTH_DATE;DEATH_PLACE;DEATH_DATE;FACTS;LONGI_N;LONGI_N_360;LONGI_C;LATI_N;LATI_C;FACE;QUADRANT;AREA;LENGTH_KM;WIDE_KM;LENGTH_ARCSEC;HEIGHT_M;RAPPORT;GENERAL_1;GENERAL_2;SLOPES;WALLS;FLOOR;INTEREST_N;INTEREST_C;LUNATION;MOONDAY_S;MOONDAY_M;DIAM_INST;TH_INSTRU;PR_INSTRU
ABBOT;AA0556N05474E;;AA;Cratere;;;Imbriano (da -3.85 miliardi di anni a -3.2 miliardi di anni) ?;;;Charles Greeley Abbot (ex Apollonius K);(??);;Nome non assegnato;Nome non assegnato;Nome non assegnato;Astrofisico;USA;americano;20;20° secolo;Wilton;1872;Washington;1973;Direttore dell'Osservatorio dello 'Smithsonian Institution'. Determinazione del valore della costante solare e della distribuzione dell'energia nello spettro solare.;54.743059;54.743059;54.743° East;5.556162;5.556° North;Nearside;Nord-Est;Bordo Settentrionale del Mare Fecunditatis;10;10;;?;Altezza ignota. Calcolo impossibile.;Formazione circolare isolata a forma di conca.;;Versanti abbastanza scoscesi.;Pareti poco elevate.;Fondo arrotondato.;1;Formazione di scarso interesse;3;3 giorni dopo la Luna Nuova;2 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm
ABEL;AA3463S08578E;;AA;Cratere;;;Pre-Nectariano (da -4.55 miliardi di anni a -3.92 miliardi di anni);;;Niels Henrik Abel;Franz (1913);;Nome non assegnato;Nome non assegnato;Nome non assegnato;Matematico;Norvegia;norvegese;19;19° secolo;Isola di Finnoy;1802;Arendal;1829;Specialista della teoria degli integrali ellittici e lavori sui cosiddetti integrali abeliani.;85.776219;85.776219;85.776° East;-34.6257;34.626° South;Librations zone;Sud-Est;Bordo Sud-Orientale della Luna;117;117;;?;Altezza ignota. Calcolo impossibile.;Formazione circolare situata nella zona delle librazioni.;;Versanti poco scoscesi su cui si trovano Abel L ad Ovest, Barnard e Abel A a Nord.;Pareti poco elevate quasi inglobate ad Est nella lava del Mare Australe.;Fondo piatto riempito di lava che sorregge un cratere fantasma a Nord-Est.;2;Formazione abbastanza interessante;2;2 giorni dopo la Luna Nuova;1 giorno dopo la Luna Piena;5;Occhio nudo;Binocolo 10x
ABENEZRA;AA2099S01189E;;AA;Cratere;;;Imbriano Superiore (da -3.8 miliardi di anni a -3.2 miliardi di anni);;;Abraham Bar Rabbi ben Ezra;Riccioli (1651);;Schirley;Nome non assegnato;Abenezra;Filosofo e astronomo;Spagna;spagnolo;12;12° secolo;?;1092;?;1167;??;11.890657;11.890657;11.891° East;-20.993564;20.994° South;Nearside;Sud-Est;Regione ad Est del cratere Catharina;43;43;;3730;0.0888;Formazione circolare di forma esagonale che costituisce una notevole composizione insieme a Azophi e Abenezra C;;Versanti abbastanza scoscesi che hanno rovinato Abenezra C ad Ovest e su cui si trova Azophi a Sud-Ovest.;Pareti con alti terrazzamenti.;Fondo tormentato.  Linee di creste circolari. Collinette.;4;Formazione eccezionale;6;6 giorni dopo la Luna Nuova;5 giorni dopo la Luna Piena;30;Binocolo 10x;Rifrattore da 50 mm
ABETTI;AA2011N02782E;;AA;Cratere;;;Imbriano (da -3.85 miliardi di anni a -3.2 miliardi di anni) ?;;;Antonio Abetti;(??);;Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo;Italia;italiano;19;19° secolo;?;1846;?;1928;??;27.815724;27.815724;27.816° East;20.112727;20.113° North;Nearside;Nord-Est;Parte Sud-Orientale del Mare Serenitatis;17;17;;?;Altezza ignota. Calcolo impossibile.;Formazione circolare fantasma.;;Versanti quasi piatti.;Pareti molto piatte.;Fondo piatto riempito con la lava del Mare Serenitatis.;2;Formazione abbastanza interessante;5;5 giorni dopo la Luna Nuova;4 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm
ABULFEDA;AA1387S01391E;;AA;Cratere;;;Nectariano Tipico (da -3.92 miliardi di anni a -3.85 miliardi di anni);;;Isma'il Abu al-Fida;Riccioli (1651);;Derkenni;Nome non assegnato;Abulfeda;Storico;Arabia;arabo;14;14° secolo;Damasco;1273;Hamah;1331;Principe della dinastia degli Ayyubides. Autore della 'Storia' che descrive i lavori di Ibn al-Athir.;13.910298;13.910298;13.910° East;-13.865087;13.865° South;Nearside;Sud-Est;Regione ad Est del cratere Ptolemaeus;65;65;;3110;0.0502;Formazione circolare danneggiata.;;Versanti scoscesi su cui si trovano molti piccoli crateri tra cui Abulfeda R a Nord-Ovest e Abulfeda S e W a Nord.;Pareti molto alte e terrazzate, su cui si sovrappongono la Catena Abulfeda a Sud e Abulfeda U e Y a Nord.;Esteso fondo piatto riempito di lava.  Macchie bianche decentrate e colline.  Piccoli crateri a Nord-Est e a Sud-Ovest.;3;Formazione molto interessante;6;6 giorni dopo la Luna Nuova;5 giorni dopo la Luna Piena;30;Binocolo 10x;Rifrattore da 50 mm
ACOSTA;AA0565S06014E;;AA;Cratere;;;Copernicano (da -1.1 miliardi di anni ad oggi) ?;;;Cristobal Acosta (ex Langrenus C);(??);;Nome non assegnato;Nome non assegnato;Nome non assegnato;Medico e storico;Portogallo;portoghese;16;16° secolo;?;1515;?;1580;??;60.139473;60.139473;60.139° East;-5.645305;5.645° South;Nearside;Sud-Est;Bordo Orientale della Luna;14;14;;1750;0.1346;Formazione circolare a forma di conca situata sul versante Nord di Langrenus;;Versanti abbastanza scoscesi.;Pareti abbastanza alte.;Fondo arrotondato.;2;Formazione abbastanza interessante;3;3 giorni dopo la Luna Nuova;2 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm
ADAMS;AA3189S06839E;;AA;Cratere;;;Nectariano (da -3.92 miliardi di anni a -3.85 miliardi di anni);;;John Couch Adams;Birt / Lee (1865);;Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo;Gran Bretagna;britannico;19;19° secolo;Laneast;1819;Cambridge;1892;Ha dimostrato l'esistenza e ha indicato la posizione di Nettuno, indipendentemente da Le Verrier, ma i suoi lavori non sono stati pubblicati dal 'Royal Observatory'.;68.386902;68.386902;68.387° East;-31.891634;31.892° South;Nearside;Sud-Est;Bordo Sud-Orientale della Luna;68;68;;?;Altezza ignota. Calcolo impossibile.;Formazione circolare isolata.;;Versanti abbastanza scoscesi su cui si trovano Adams B ad Ovest e Adams D ad Est.;Pareti abbastanza alte e terrazzate, su cui si sovrappongono due piccoli crateri a Nord e un cratere a Sud.;Fondo piatto con piccoli crateri, di cui uno centrale.;3;Formazione molto interessante;2;2 giorni dopo la Luna Nuova;1 giorno dopo la Luna Piena;30;Binocolo 10x;Rifrattore da 50 mm
AGATHARCHIDES;AA1985S03111W;;AA;Cratere;;;Pre-Imbriano (da -4.55 miliardi di anni a -3.85 miliardi di anni) ?;;;Agatharchide;Mädler (1837);;Nome non assegnato;Nome non assegnato;Nome non assegnato;Geografo e storico;Grecia;greco;-2;2° secolo a.C.;?;100 a.C. circa;?;?;??;-31.114619;328.885381;31.115° West;-19.853701;19.854° South;Nearside;Sud-Ovest;Regione del Mare Humorum;51;51;;1180;0.0241;Formazione danneggiata parzialmente sommersa dalla lava dell'Oceanus Procellarum.;;Versanti scoscesi su cui si trovano molti piccoli crateri.;Pareti poco elevate, parzialmente distrutte a Nord, e sormontate da Agatharchides F a Sud-Ovest.;Esteso fondo piatto riempito di lava scura.  Resti di montagna centrale.;3;Formazione molto interessante;10;3 giorni dopo il Primo Quarto;2 giorni dopo l'Ultimo Quarto;30;Binocolo 10x;Rifrattore da 50 mm
AGRIPPA;AA0410N01047E;;AA;Cratere;;;Eratosteniano (da -3.2 miliardi di anni a -1.1 miliardi di anni);;;Agrippa;Riccioli (1651);;Urselii;Mons Ida;Agrippa;Astronomo;Grecia;greco;1;1° secolo d.C.;?;51 d.C. circa;?;?;Ha osservato nell'anno 92 d.C. una occultazione delle Pleiadi da parte della Luna.;10.474135;10.474135;10.474° East;4.096399;4.096° North;Nearside;Nord-Est;Regione ad Est del Mare Tranquillitatis;48;48;;3100;0.0674;Formazione circolare in parte in rovina verso Sud-Ovest.;;Versanti scoscesi su cui si trovano Agrippa F e Tempel ad Est.;Pareti terrazzate su cui si trova Agrippa H a Nord.;Fondo abbastanza piatto.  Montagna centrale.  Collinette e detriti ad Ovest.  Solco e piccoli crateri.;3;Formazione molto interessante;6;6 giorni dopo la Luna Nuova;5 giorni dopo la Luna Piena;30;Binocolo 10x;Rifrattore da 50 mm
AIRY;AA1814S00561E;;AA;Cratere;;;Pre-Imbriano (da -4.55 miliardi di anni a -3.85 miliardi di anni) ?;;;Sir George Bidel Airy;Mädler (1837);;Crequii;Nome non assegnato;Nome non assegnato;Astronomo;Inghilterra;inglese;19;19° secolo;Alnwick;1801;Londra;1892;Direttore dell'Osservatorio di Greenwich nel 1835. Lavori sulla meccanica celeste. Autore della teoria della diffrazione della luce.;5.614858;5.614858;5.615° East;-18.141628;18.142° South;Nearside;Sud-Est;Regione ad Est del cratere Catharina;37;37;;?;Altezza ignota. Calcolo impossibile.;Formazione distrutta che forma un trio allineato Nord Sud con Argelander e Vogel.;;Versanti abbastanza scoscesi su cui si trovano Argelander a Nord, Airy D a Nord-Ovest, e Airy G a Sud-Est.;Pareti alte e tormentate, sormontate a Sud da Airy H.;Fondo irregolare poco esteso.  Doppia montagna centrale.;3;Formazione molto interessante;7;al Primo Quarto;6 giorni dopo la Luna Piena;30;Binocolo 10x;Rifrattore da 50 mm
