NAME;LUN;NAME_TYPE;IAU_TYPE;TYPE;SUBTYPE;PROCESS;PERIOD;PERIOD_SOURCE;GEOLOGY;NAME_DETAIL;NAME_ORIGIN;IAU_APPROVAL;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURY_N;CENTURY_C;BIRTH_PLACE;BIRTH_DATE;DEATH_PLACE;DEATH_DATE;FACTS;LONGI_N;LONGI_N_360;LONGI_C;LATI_N;LATI_C;FACE;QUADRANT;AREA;LENGTH_KM;WIDE_KM;LENGTH_ARCSEC;HEIGHT_M;RAPPORT;GENERAL_1;GENERAL_2;SLOPES;WALLS;FLOOR;INTEREST_N;INTEREST_C;LUNATION;MOONDAY_S;MOONDAY_M;DIAM_INST;TH_INSTRU;PR_INSTRU
ABEL A;AA3631S08580E;;AA;Cràter;;;;;;Niels Henrik Abel;(Mädler 1837 o IAU 19.. ??);;---;---;---;Matemàtic;Noruega;noruec;19;segle 19è;Illa de Finnoy;1802;Arendal;1829;Especialista de la teoria d'integrals el·líptiques i treballs sobre les anomenades integrals abelianes.;85.797305;85.797305;85.797° East;-36.314113;36.314° South;Zona libracions;Sud-Est;Limbe sud-est de la Lluna;19;19;;?;Alçada desconeguda. Càlcul impossible.;;;;;;0;Sense estimar;2;Dos dies després de la Lluna nova;Un dia després de la Lluna plena;50;Refractor 50 mm;Telescopi 100 mm
ABEL B;AA3672S08260E;;AA;Cràter;;;;;;Niels Henrik Abel;(Mädler 1837 o IAU 19.. ??);;---;---;---;Matemàtic;Noruega;noruec;19;segle 19è;Illa de Finnoy;1802;Arendal;1829;Especialista de la teoria d'integrals el·líptiques i treballs sobre les anomenades integrals abelianes.;82.595424;82.595424;82.595° East;-36.720239;36.720° South;Zona libracions;Sud-Est;Limbe sud-est de la Lluna;41;41;;?;Alçada desconeguda. Càlcul impossible.;;;;;;0;Sense estimar;2;Dos dies després de la Lluna nova;Un dia després de la Lluna plena;30;Prismàtics 10 x;Refractor 50 mm
ABEL C;AA3613S08141E;;AA;Cràter;;;;;;Niels Henrik Abel;(Mädler 1837 o IAU 19.. ??);;---;---;---;Matemàtic;Noruega;noruec;19;segle 19è;Illa de Finnoy;1802;Arendal;1829;Especialista de la teoria d'integrals el·líptiques i treballs sobre les anomenades integrals abelianes.;81.409385;81.409385;81.409° East;-36.12732;36.127° South;Zona libracions;Sud-Est;Limbe sud-est de la Lluna;31;31;;?;Alçada desconeguda. Càlcul impossible.;;;;;;0;Sense estimar;2;Dos dies després de la Lluna nova;Un dia després de la Lluna plena;30;Prismàtics 10 x;Refractor 50 mm
ABEL D;AA3767S08645E;;AA;Cràter;;;;;;Niels Henrik Abel;(Mädler 1837 o IAU 19.. ??);;---;---;---;Matemàtic;Noruega;noruec;19;segle 19è;Illa de Finnoy;1802;Arendal;1829;Especialista de la teoria d'integrals el·líptiques i treballs sobre les anomenades integrals abelianes.;86.454329;86.454329;86.454° East;-37.671636;37.672° South;Zona libracions;Sud-Est;Limbe sud-est de la Lluna;30;30;;?;Alçada desconeguda. Càlcul impossible.;;;;;;0;Sense estimar;2;Dos dies després de la Lluna nova;Un dia després de la Lluna plena;30;Prismàtics 10 x;Refractor 50 mm
ABEL E;AA3754S08444E;;AA;Cràter;;;;;;Niels Henrik Abel;(Mädler 1837 o IAU 19.. ??);;---;---;---;Matemàtic;Noruega;noruec;19;segle 19è;Illa de Finnoy;1802;Arendal;1829;Especialista de la teoria d'integrals el·líptiques i treballs sobre les anomenades integrals abelianes.;84.435411;84.435411;84.435° East;-37.535443;37.535° South;Zona libracions;Sud-Est;Limbe sud-est de la Lluna;13;13;;?;Alçada desconeguda. Càlcul impossible.;;;;;;0;Sense estimar;2;Dos dies després de la Lluna nova;Un dia després de la Lluna plena;50;Refractor 50 mm;Telescopi 100 mm
ABEL J;AA3620S07987E;;AA;Cràter;;;;;;Niels Henrik Abel;(Mädler 1837 o IAU 19.. ??);;---;---;---;Matemàtic;Noruega;noruec;19;segle 19è;Illa de Finnoy;1802;Arendal;1829;Especialista de la teoria d'integrals el·líptiques i treballs sobre les anomenades integrals abelianes.;79.87135;79.87135;79.871° East;-36.202727;36.203° South;Cara visible;Sud-Est;Limbe sud-est de la Lluna;11;11;;?;Alçada desconeguda. Càlcul impossible.;;;;;;0;Sense estimar;2;Dos dies després de la Lluna nova;Un dia després de la Lluna plena;50;Refractor 50 mm;Telescopi 100 mm
ABEL K;AA3469S07746E;;AA;Crateret;;;;;;Niels Henrik Abel;(Mädler 1837 o IAU 19.. ??);;---;---;---;Matemàtic;Noruega;noruec;19;segle 19è;Illa de Finnoy;1802;Arendal;1829;Especialista de la teoria d'integrals el·líptiques i treballs sobre les anomenades integrals abelianes.;77.457635;77.457635;77.458° East;-34.691545;34.692° South;Cara visible;Sud-Est;Limbe sud-est de la Lluna;9;9;;?;Alçada desconeguda. Càlcul impossible.;Formació aïllada circular en forma de bol.;;Vessants poc escarpats.;Muralles poc elevades.;Fons arrodonit.;0;Sense estimar;2;Dos dies després de la Lluna nova;Un dia després de la Lluna plena;50;Refractor 50 mm;Telescopi 100 mm
ABEL L;AA3455S08239E;;AA;Cràter;;;;;;Niels Henrik Abel;(Mädler 1837 o IAU 19.. ??);;---;---;---;Matemàtic;Noruega;noruec;19;segle 19è;Illa de Finnoy;1802;Arendal;1829;Especialista de la teoria d'integrals el·líptiques i treballs sobre les anomenades integrals abelianes.;82.394591;82.394591;82.395° East;-34.552536;34.553° South;Zona libracions;Sud-Est;Limbe sud-est de la Lluna;67;67;;?;Alçada desconeguda. Càlcul impossible.;;;;;;0;Sense estimar;2;Dos dies després de la Lluna nova;Un dia després de la Lluna plena;30;Prismàtics 10 x;Refractor 50 mm
ABEL M;AA3238S08352E;;AA;Cràter;;;;;;Niels Henrik Abel;(Mädler 1837 o IAU 19.. ??);;---;---;---;Matemàtic;Noruega;noruec;19;segle 19è;Illa de Finnoy;1802;Arendal;1829;Especialista de la teoria d'integrals el·líptiques i treballs sobre les anomenades integrals abelianes.;83.521793;83.521793;83.522° East;-32.376317;32.376° South;Zona libracions;Sud-Est;Limbe sud-est de la Lluna;81;81;;?;Alçada desconeguda. Càlcul impossible.;;;;;;0;Sense estimar;2;Dos dies després de la Lluna nova;Un dia després de la Lluna plena;30;Prismàtics 10 x;Refractor 50 mm
ABENEZRA A;AA2279S01044E;;AA;Cràter;;;;;;Abraham Bar Rabbi ben Ezra;(Mädler 1837 o IAU 19.. ??);;---;---;---;Filòsof i astrònom;Espanya;espanyol;12;segle 12è;?;1092;?;1167;??;10.442277;10.442277;10.442° East;-22.791538;22.792° South;Cara visible;Sud-Est;Regió à l'oest del cràter Caterina;23;23;;?;Alçada desconeguda. Càlcul impossible.;;;;;;0;Sense estimar;6;Sis dies després de la Lluna nova;Cinc dies després de la Lluna plena;30;Prismàtics 10 x;Refractor 50 mm
