NAME;LUN;NAME_TYPE;IAU_TYPE;TYPE;SUBTYPE;PROCESS;PERIOD;PERIOD_SOURCE;GEOLOGY;NAME_DETAIL;NAME_ORIGIN;IAU_APPROVAL;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURY_N;CENTURY_C;BIRTH_PLACE;BIRTH_DATE;DEATH_PLACE;DEATH_DATE;FACTS;LONGI_N;LONGI_N_360;LONGI_C;LATI_N;LATI_C;FACE;QUADRANT;AREA;LENGTH_KM;WIDE_KM;LENGTH_ARCSEC;HEIGHT_M;RAPPORT;GENERAL_1;GENERAL_2;SLOPES;WALLS;FLOOR;INTEREST_N;INTEREST_C;LUNATION;MOONDAY_S;MOONDAY_M;DIAM_INST;TH_INSTRU;PR_INSTRU
ABBE H;AA5844S17758E;;AA;Cráter;;;??;;;Ernst K. Abbe;Andersson / Whitaker 1982;;Desconocido en este periodo;Desconocido en este periodo;Desconocido en este periodo;Físico;Alemania;Alemán;19;Siglo XIX;Eisenach;1840;Iena;1905;Director del Observatorio de Iena. Autor de una teoría clásica de microscopio en 1877 y de relaciones sinusoidales. Asociaco con Carl Zeiss. Ideólogo de un refractrómetro y del primer objetivo apocromático y del ocular orthoscópico.;177.584133;177.584133;177.584° East;-58.444934;58.445° South;Farside;Sur-Este;No definido;25;25;;Desconocido;Altura desconocida. Cálculo imposible.;No observable;;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
ABBE K;AA5982S17686E;;AA;Cráter;;;??;;;Ernst K. Abbe;Andersson / Whitaker 1982;;Desconocido en este periodo;Desconocido en este periodo;Desconocido en este periodo;Físico;Alemania;Alemán;19;Siglo XIX;Eisenach;1840;Iena;1905;Director del Observatorio de Iena. Autor de una teoría clásica de microscopio en 1877 y de relaciones sinusoidales. Asociaco con Carl Zeiss. Ideólogo de un refractrómetro y del primer objetivo apocromático y del ocular orthoscópico.;176.857881;176.857881;176.858° East;-59.815856;59.816° South;Farside;Sur-Este;No definido;28;28;;Desconocido;Altura desconocida. Cálculo imposible.;No observable;;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
ABBE M;AA6175S17524E;;AA;Cráter;;;??;;;Ernst K. Abbe;Andersson / Whitaker 1982;;Desconocido en este periodo;Desconocido en este periodo;Desconocido en este periodo;Físico;Alemania;Alemán;19;Siglo XIX;Eisenach;1840;Iena;1905;Director del Observatorio de Iena. Autor de una teoría clásica de microscopio en 1877 y de relaciones sinusoidales. Asociaco con Carl Zeiss. Ideólogo de un refractrómetro y del primer objetivo apocromático y del ocular orthoscópico.;175.239369;175.239369;175.239° East;-61.746193;61.746° South;Farside;Sur-Este;No definido;29;29;;Desconocido;Altura desconocida. Cálculo imposible.;No observable;;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
ABEL A;AA3631S08580E;;AA;Cráter;;;;;;Niels Henrik Abel;(Mädler 1837 o IAU 19.. ??);;Sin nombre;Sin nombre;Sin nombre;Matemático;Noruega;Noruego;19;Siglo XIX;Isla Finnoy;1802;Arendal;1829;Especialista en la teoría de las integrales elípticas y trabajos en las llamadas integrales abelianas.;85.797305;85.797305;85.797° East;-36.314113;36.314° South;Librations zone;Sur-Este;Limbo Sur-Este de la Luna;19;19;;Desconocido;Altura desconocida, Imposible de calcular,;;;;;;0;No evaluado;2;2 días después de la Luna Nueva;1 día después de la Luna Llena;50;Refractor de 50 mm;Refractor de 100 mm
ABEL B;AA3672S08260E;;AA;Cráter;;;;;;Niels Henrik Abel;(Mädler 1837 o IAU 19.. ??);;Sin nombre;Sin nombre;Sin nombre;Matemático;Noruega;Noruego;19;Siglo XIX;Isla Finnoy;1802;Arendal;1829;Especialista en la teoría de las integrales elípticas y trabajos en las llamadas integrales abelianas.;82.595424;82.595424;82.595° East;-36.720239;36.720° South;Librations zone;Sur-Este;Limbo Sur-Este de la Luna;41;41;;Desconocido;Altura desconocida, Imposible de calcular,;;;;;;0;No evaluado;2;2 días después de la Luna Nueva;1 día después de la Luna Llena;30;Prismáticos de 10x;Refractor de 50 mm
ABEL C;AA3613S08141E;;AA;Cráter;;;;;;Niels Henrik Abel;(Mädler 1837 o IAU 19.. ??);;Sin nombre;Sin nombre;Sin nombre;Matemático;Noruega;Noruego;19;Siglo XIX;Isla Finnoy;1802;Arendal;1829;Especialista en la teoría de las integrales elípticas y trabajos en las llamadas integrales abelianas.;81.409385;81.409385;81.409° East;-36.12732;36.127° South;Librations zone;Sur-Este;Limbo Sur-Este de la Luna;31;31;;Desconocido;Altura desconocida, Imposible de calcular,;;;;;;0;No evaluado;2;2 días después de la Luna Nueva;1 día después de la Luna Llena;30;Prismáticos de 10x;Refractor de 50 mm
ABEL D;AA3767S08645E;;AA;Cráter;;;;;;Niels Henrik Abel;(Mädler 1837 o IAU 19.. ??);;Sin nombre;Sin nombre;Sin nombre;Matemático;Noruega;Noruego;19;Siglo XIX;Isla Finnoy;1802;Arendal;1829;Especialista en la teoría de las integrales elípticas y trabajos en las llamadas integrales abelianas.;86.454329;86.454329;86.454° East;-37.671636;37.672° South;Librations zone;Sur-Este;Limbo Sur-Este de la Luna;30;30;;Desconocido;Altura desconocida, Imposible de calcular,;;;;;;0;No evaluado;2;2 días después de la Luna Nueva;1 día después de la Luna Llena;30;Prismáticos de 10x;Refractor de 50 mm
ABEL E;AA3754S08444E;;AA;Cráter;;;;;;Niels Henrik Abel;(Mädler 1837 o IAU 19.. ??);;Sin nombre;Sin nombre;Sin nombre;Matemático;Noruega;Noruego;19;Siglo XIX;Isla Finnoy;1802;Arendal;1829;Especialista en la teoría de las integrales elípticas y trabajos en las llamadas integrales abelianas.;84.435411;84.435411;84.435° East;-37.535443;37.535° South;Librations zone;Sur-Este;Limbo Sur-Este de la Luna;13;13;;Desconocido;Altura desconocida, Imposible de calcular,;;;;;;0;No evaluado;2;2 días después de la Luna Nueva;1 día después de la Luna Llena;50;Refractor de 50 mm;Refractor de 100 mm
ABEL J;AA3620S07987E;;AA;Cráter;;;;;;Niels Henrik Abel;(Mädler 1837 o IAU 19.. ??);;Sin nombre;Sin nombre;Sin nombre;Matemático;Noruega;Noruego;19;Siglo XIX;Isla Finnoy;1802;Arendal;1829;Especialista en la teoría de las integrales elípticas y trabajos en las llamadas integrales abelianas.;79.87135;79.87135;79.871° East;-36.202727;36.203° South;Nearside;Sur-Este;Limbo Sur-Este de la Luna;11;11;;Desconocido;Altura desconocida, Imposible de calcular,;;;;;;0;No evaluado;2;2 días después de la Luna Nueva;1 día después de la Luna Llena;50;Refractor de 50 mm;Refractor de 100 mm
ABEL K;AA3469S07746E;;AA;Cratercillo;;;;;;Niels Henrik Abel;(Mädler 1837 o IAU 19.. ??);;Sin nombre;Sin nombre;Sin nombre;Matemático;Noruega;Noruego;19;Siglo XIX;Isla Finnoy;1802;Arendal;1829;Especialista en la teoría de las integrales elípticas y trabajos en las llamadas integrales abelianas.;77.457635;77.457635;77.458° East;-34.691545;34.692° South;Nearside;Sur-Este;Limbo Sur-Este de la Luna;9;9;;Desconocido;Altura desconocida, Imposible de calcular,;Formación circular aislada con forma cóncava.;;Vertientes poco escarpadas.;Paredes de escasa altura.;Suelo redondeado.;0;No evaluado;2;2 días después de la Luna Nueva;1 día después de la Luna Llena;50;Refractor de 50 mm;Refractor de 100 mm
