NAME;LUN;NAME_TYPE;IAU_TYPE;TYPE;SUBTYPE;PROCESS;PERIOD;PERIOD_SOURCE;GEOLOGY;NAME_DETAIL;NAME_ORIGIN;IAU_APPROVAL;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURY_N;CENTURY_C;BIRTH_PLACE;BIRTH_DATE;DEATH_PLACE;DEATH_DATE;FACTS;LONGI_N;LONGI_N_360;LONGI_C;LATI_N;LATI_C;FACE;QUADRANT;AREA;LENGTH_KM;WIDE_KM;LENGTH_ARCSEC;HEIGHT_M;RAPPORT;GENERAL_1;GENERAL_2;SLOPES;WALLS;FLOOR;INTEREST_N;INTEREST_C;LUNATION;MOONDAY_S;MOONDAY_M;DIAM_INST;TH_INSTRU;PR_INSTRU
ABBE H;AA5844S17758E;;AA;Cratere;;;??;;;Ernst K. Abbe;Andersson / Whitaker 1982;;Sconosciuto all'epoca;Sconosciuto all'epoca;Sconosciuto all'epoca;Fisico;Germania;tedesco;19;19° secolo;Eisenach;1840;Iena;1905;Direttore l'Osservatorio di Jena. Autore della teoria classica del microscopio nel 1877 e della relazione dei seni. Associato con Carl Zeiss. Inventore di un rifrattometro, dei primi obiettivi apocromatici e degli oculari ortoscopici.;177.584133;177.584133;177.584° East;-58.444934;58.445° South;Farside;Sud-Est;Non definita;25;25;;Sconosciuta;Altezza ignota. Calcolo impossibile.;Non osservabile dalla Terra;;;;;0;Non osservabile dalla Terra;0;Non osservabile dalla Terra;Non osservabile dalla Terra;999;Non osservabile dalla Terra;Non osservabile dalla Terra
ABBE K;AA5982S17686E;;AA;Cratere;;;??;;;Ernst K. Abbe;Andersson / Whitaker 1982;;Sconosciuto all'epoca;Sconosciuto all'epoca;Sconosciuto all'epoca;Fisico;Germania;tedesco;19;19° secolo;Eisenach;1840;Iena;1905;Direttore l'Osservatorio di Jena. Autore della teoria classica del microscopio nel 1877 e della relazione dei seni. Associato con Carl Zeiss. Inventore di un rifrattometro, dei primi obiettivi apocromatici e degli oculari ortoscopici.;176.857881;176.857881;176.858° East;-59.815856;59.816° South;Farside;Sud-Est;Non definita;28;28;;Sconosciuta;Altezza ignota. Calcolo impossibile.;Non osservabile dalla Terra;;;;;0;Non osservabile dalla Terra;0;Non osservabile dalla Terra;Non osservabile dalla Terra;999;Non osservabile dalla Terra;Non osservabile dalla Terra
ABBE M;AA6175S17524E;;AA;Cratere;;;??;;;Ernst K. Abbe;Andersson / Whitaker 1982;;Sconosciuto all'epoca;Sconosciuto all'epoca;Sconosciuto all'epoca;Fisico;Germania;tedesco;19;19° secolo;Eisenach;1840;Iena;1905;Direttore l'Osservatorio di Jena. Autore della teoria classica del microscopio nel 1877 e della relazione dei seni. Associato con Carl Zeiss. Inventore di un rifrattometro, dei primi obiettivi apocromatici e degli oculari ortoscopici.;175.239369;175.239369;175.239° East;-61.746193;61.746° South;Farside;Sud-Est;Non definita;29;29;;Sconosciuta;Altezza ignota. Calcolo impossibile.;Non osservabile dalla Terra;;;;;0;Non osservabile dalla Terra;0;Non osservabile dalla Terra;Non osservabile dalla Terra;999;Non osservabile dalla Terra;Non osservabile dalla Terra
ABEL A;AA3631S08580E;;AA;Cratere;;;;;;Niels Henrik Abel;(Mädler 1837 o UAI 19.. ??);;Nome non assegnato;Nome non assegnato;Nome non assegnato;Matematico;Norvegia;norvegese;19;19° secolo;Isola di Finnoy;1802;Arendal;1829;Specialista della teoria degli integrali ellittici e lavori sui cosiddetti integrali abeliani.;85.797305;85.797305;85.797° East;-36.314113;36.314° South;Librations zone;Sud-Est;Bordo Sud-Orientale della Luna;19;19;;?;Altezza ignota. Calcolo impossibile.;;;;;;0;Nessuna valutazione;2;2 giorni dopo la Luna Nuova;1 giorno dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm
ABEL B;AA3672S08260E;;AA;Cratere;;;;;;Niels Henrik Abel;(Mädler 1837 o UAI 19.. ??);;Nome non assegnato;Nome non assegnato;Nome non assegnato;Matematico;Norvegia;norvegese;19;19° secolo;Isola di Finnoy;1802;Arendal;1829;Specialista della teoria degli integrali ellittici e lavori sui cosiddetti integrali abeliani.;82.595424;82.595424;82.595° East;-36.720239;36.720° South;Librations zone;Sud-Est;Bordo Sud-Orientale della Luna;41;41;;?;Altezza ignota. Calcolo impossibile.;;;;;;0;Nessuna valutazione;2;2 giorni dopo la Luna Nuova;1 giorno dopo la Luna Piena;30;Binocolo 10x;Rifrattore da 50 mm
ABEL C;AA3613S08141E;;AA;Cratere;;;;;;Niels Henrik Abel;(Mädler 1837 o UAI 19.. ??);;Nome non assegnato;Nome non assegnato;Nome non assegnato;Matematico;Norvegia;norvegese;19;19° secolo;Isola di Finnoy;1802;Arendal;1829;Specialista della teoria degli integrali ellittici e lavori sui cosiddetti integrali abeliani.;81.409385;81.409385;81.409° East;-36.12732;36.127° South;Librations zone;Sud-Est;Bordo Sud-Orientale della Luna;31;31;;?;Altezza ignota. Calcolo impossibile.;;;;;;0;Nessuna valutazione;2;2 giorni dopo la Luna Nuova;1 giorno dopo la Luna Piena;30;Binocolo 10x;Rifrattore da 50 mm
ABEL D;AA3767S08645E;;AA;Cratere;;;;;;Niels Henrik Abel;(Mädler 1837 o UAI 19.. ??);;Nome non assegnato;Nome non assegnato;Nome non assegnato;Matematico;Norvegia;norvegese;19;19° secolo;Isola di Finnoy;1802;Arendal;1829;Specialista della teoria degli integrali ellittici e lavori sui cosiddetti integrali abeliani.;86.454329;86.454329;86.454° East;-37.671636;37.672° South;Librations zone;Sud-Est;Bordo Sud-Orientale della Luna;30;30;;?;Altezza ignota. Calcolo impossibile.;;;;;;0;Nessuna valutazione;2;2 giorni dopo la Luna Nuova;1 giorno dopo la Luna Piena;30;Binocolo 10x;Rifrattore da 50 mm
ABEL E;AA3754S08444E;;AA;Cratere;;;;;;Niels Henrik Abel;(Mädler 1837 o UAI 19.. ??);;Nome non assegnato;Nome non assegnato;Nome non assegnato;Matematico;Norvegia;norvegese;19;19° secolo;Isola di Finnoy;1802;Arendal;1829;Specialista della teoria degli integrali ellittici e lavori sui cosiddetti integrali abeliani.;84.435411;84.435411;84.435° East;-37.535443;37.535° South;Librations zone;Sud-Est;Bordo Sud-Orientale della Luna;13;13;;?;Altezza ignota. Calcolo impossibile.;;;;;;0;Nessuna valutazione;2;2 giorni dopo la Luna Nuova;1 giorno dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm
ABEL J;AA3620S07987E;;AA;Cratere;;;;;;Niels Henrik Abel;(Mädler 1837 o UAI 19.. ??);;Nome non assegnato;Nome non assegnato;Nome non assegnato;Matematico;Norvegia;norvegese;19;19° secolo;Isola di Finnoy;1802;Arendal;1829;Specialista della teoria degli integrali ellittici e lavori sui cosiddetti integrali abeliani.;79.87135;79.87135;79.871° East;-36.202727;36.203° South;Nearside;Sud-Est;Bordo Sud-Orientale della Luna;11;11;;?;Altezza ignota. Calcolo impossibile.;;;;;;0;Nessuna valutazione;2;2 giorni dopo la Luna Nuova;1 giorno dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm
ABEL K;AA3469S07746E;;AA;Piccolo cratere;;;;;;Niels Henrik Abel;(Mädler 1837 o UAI 19.. ??);;Nome non assegnato;Nome non assegnato;Nome non assegnato;Matematico;Norvegia;norvegese;19;19° secolo;Isola di Finnoy;1802;Arendal;1829;Specialista della teoria degli integrali ellittici e lavori sui cosiddetti integrali abeliani.;77.457635;77.457635;77.458° East;-34.691545;34.692° South;Nearside;Sud-Est;Bordo Sud-Orientale della Luna;9;9;;?;Altezza ignota. Calcolo impossibile.;Formazione circolare isolata a forma di conca.;;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;0;Nessuna valutazione;2;2 giorni dopo la Luna Nuova;1 giorno dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm
