GLO_WORD;GLO_TEXT
ALBEDO;Fracció reflectida de la quantitat de llum rebuda per un astre. Si la reflecta tota l'albedo val 1, i si l'absorbeix tota, l'albedo val 0.
ALTITUD;En la BDD de la Lluna l'alçada d'una formació constitueix de fet la seva ALTITUD RELATIVA en relació als terrenys veïns.
ALTITUD ABSOLUTA;La lluna és una esfera de 1738 Km de radi mitjà. Les altituds absolutes donades en alguns mapes fan referència a aquest radi. Laltitud absoluta pot, doncs, ser negativa.
ALTITUD RELATIVA;Les altituds donades en l'atles Virtual de la Lluna són altituds relatives denominades ALTITUD. Indiquen l'elevació de la formació en relació als terrenys veïns
ANGLE DE FASE;Angle format pels eixos Terra-Sol i Terra-Lluna. Permet conèixer la fracció il·luminada de la cara visible de la Lluna.
APOGEU;El punt més allunyat de l'òrbita el·líptica d'un astre que gira al voltant de la Terra.
BASALTO;Roca ígnia (provinent de materials fosos y no de sediments ni de altre minerals o roques transformades per l'activitat del medi. Es troba com LAVA solidificada i també en el magma. Se n'ha trobat en les mostres portades per les naus APOLLO.
BDD;"Abreujament de ""base de dades"". La BDD de la Lluna ha estat elaborada per Christian Legrand."
CALDERA;CRATER de volcà de gran talla generalment format per l'explosió de la xemeneia colgada per la LAVA.
CARA OCULTA;Part del globus lunar situada a l'altra costat de la Lluna i invisible des de la Terra pel fet de la ROTACIO SINCRONA de la Lluna. Es pot veure una petita part limítrofa de la cara amagada gràcies al fenomen de la LIBRACIO.
CARA VISIBLE;Part del globus lunar situada sempre al costat visible des de la Terra pel fet de la ROTACIO SINCRONA de la Lluna. Es pot veure una petita part limítrofa de la CARA OCULTA gràcies al fenomen de la LIBRACIO.
CATENA;Terme llatí usat per la Unió Astronòmica Internacional (UAI) per designar oficialment una cadena de CRATERs.
CLAR DE TERRA;Equivalent del nostre clar de Lluna per a un hipotètic habitant de la Lluna.
COLONGITUD;Dada matemàtica, obtinguda per càlcul a partir de taules preestablertes, que permet conèixer la LONGITUD SELENOGRAFICA del TERMINADOR DEL MATI o del TERMINADOR DEL VESPRE.
CONTINENT;Regió extensa muntanyosa o turmentada de la superfície de la Lluna.
COORDENADA SELENOGRAFICA;Sistema de coordenades compost de la LONGITUD SELENOGRAFICA i de la LATITUD SELENOGRAFICA que permet situar una formació sobre el globus lunar.
CRATER;En la Lluna, formació generalment circular provocada per la caiguda d'un meteorit. Una FORMACIO CRATERIFORME, el diàmetre de la qual supera els 10 Km, en la BDD de la Lluna és anomenada CRATER. La llargada i l'amplada són pràcticament iguals llevat d'algunes excepcions.
CRATERET;FORMACIO CRATERIFORME de petit diàmetre (a priori menys de 10 Km), en forma de bol amb el FONS arrodonit.
CUPULA;Formació lunar en forma de turó arrodonit, sens dubte volcànic. N'hi ha que presenten al cim una CALDERA d'alguns Km. El diàmetre està comprès entre 10 i 20 Km i l'ALTITUD no passa d'uns centenars de metres.
DORSA;Terme llatí usat per la Unió Astronòmica Internacional (UAI) per designar oficialment un sistema de DORSALs marines lunars.
DORSAL;Cresta muntanyosa lineal de pendents suaus i de poca ALTITUD ( alguns centenars de metres ) serpentejant en els MARs lunars. Són probablement d'origen volcànic.
DORSUM;Terme llatí usat per la Unió Astronòmica Internacional (UAI) per designar oficialment una DORSAL marina lunar.
ECLIPSI ANULAR;Es diu així un ECLIPSI TOTAL de Sol, quan la distància de la Lluna és màxima. El disc lunar no arriba a amagar del tot el disc del Sol.
ECLIPSI DE LLUNA;Desaparició del disc lunar pel fet de passar dins de l'ombra o penombra de la Terra. Aquest fenomen només té lloc quan el Sol, la Terra i la Lluna estan alineats en alguna LLUNA PLENA.
ECLIPSI DE SOL;Desaparició del disc solar darrera del disc lunar en algunes ocasions de LLUNA NOVA quan el  Sol, la Lluna i la Terra estan alineats.
ECLIPSI PARCIAL;ECLIPSI DE LLUNA  o bé  ECLIPSI DE SOL en els quals l'astre ocultador només tapa parcialment l'astre ocultat.
ECLIPSI TOTAL;ECLIPSI DE LLUNA  o bé  ECLIPSI DE SOL en els quals l'astre ocultador  tapa totalment l'astre ocultat.
ECLIPTICA; Òrbita aparent del recorregut del Sol en l'espai.
EDAT DE LA LLUNA;Dies passats des de la darrera LLUNA NOVA
