NOM_SITE;SITE_NAME;LANGUE;LANGUAGE;THEME_FR;THEME_EN;SOUS_THEME;SUB_THEME;ADDRESS;DESCRIPTION_FR;DESCRIPTION_EN;DATE D'ENREGISTREMENT;RECORDING DATE
ALL ABOUT SPACE;ALL ABOUT SPACE;Anglais;English;Magazine d'astronomie;Astronomy magazine;Articles sur la Lune;Moon articles;https://www.spaceanswers.com/;Magazine anglais d'astronomie d'amateur - Articles sur la Lune;UK amateur astronomy magazine - Moon article;17.10.2012;17.10.2012
ALPO / SECTION LUNE;ALPO / LUNAR SECTION;Anglais;English;Organisme non officiel;Non official organization;Association d'amateurs;Amateurs association;http://www.alpo-astronomy.org/lunarblog/;Association américaine des observateurs planétaires et lunaires / Section Lune;American Lunar and Planetary Observers / Lunar section;06.09.2012;06.09.2012
ARCHIVES DES IMAGES APOLLO;APOLLO IMAGE ARCHIVE;Anglais;English;Organisme officiel;Official organization;Missions Apollo;Apollo missions;http://apollo.sese.asu.edu/SUPPORT_DATA/;Banque d'images des missions Apollo gérée par l'Université de l'Arizona;Pictures bank of Apollo missions settled by Arizona State University;06.09.2012;06.09.2012
ASTRONOMINSK;ASTRONOMINSK;Anglais;English;Site d'images lunaires;Lunar pictures site;Photographes amateurs lunaires;Lunar amateurs imagers;http://www.astronominsk.org/Moon/Moon_en.htm;Les magnifiques images lunaires d'une équipe d'amateurs biélorusses ;Marvelous lunar pictures of a belarussian team;06.09.2012;06.09.2012
ASTRONOMY MAGAZINE;ASTRONOMY MAGAZINE;Anglais;English;Magazine d'astronomie;Astronomy magazine;Articles sur la Lune;Moon articles;https://www.astronomy.com/;Magazine US d'astronomie d'amateur - Articles sur la Lune;US amateur astronomy magazine - Moon article;17.10.2012;17.10.2012
ASTROSURF;ASTROSURF;Français;French;Magazine d'astronomie;Astronomy magazine;Articles sur la Lune;Moon articles;http://www.astrosurf.com/;Magazine français d'astronomie d'amateur - Articles sur la Lune - Rubrique Lune Extrême - Forum d'observation et d'imagerie lunaires;French amateur astronomy magazine - Moon related articles - Extreme Moon chronicle - Lunar observing and imaging forums;24/09/2022;24/09/2022
ATLAS LUNAIRE D'ALAN CHU;ALAN CHU LUNAR ATLAS;Anglais;English;Atlas lunaire en ligne;On line lunar atlas;Atlas lunaire amateur;Amateur lunar atlas;http://www.alanchuhk.com/;L'atlas photographique lunaire réalisé par Alan Chu;Photographic lunar atlas realized by Alan Chu;14/10/2022;14/10/2022
ATLAS LUNAIRE DE JEROME GRENIER;JEROME GRENIER LUNAR ATLAS;Français;French;Atlas lunaire en ligne;On line lunar atlas;Atlas lunaire amateur;Amateur lunar atlas;http://jeromegrenier.free.fr/atlas.htm;L'atlas photographique lunaire réalisé par Jérôme Grenier;Photographic lunar atlas realized by Jerome Grenier;14/10/2022;14/10/2022
ATLAS LUNAIRE RECTIFIE;THE RECTIFED LUNAR ATLAS;Anglais;English;Atlas lunaire en ligne;On line lunar atlas;Atlas lunaire professionnel;Professional lunar atlas;https://www.lpl.arizona.edu/sic/collection/rla;Le supplément au célèbre atlas lunaire de l'ère pré-spatiale réalisé Gerald P. Kuiper, Ewen A. Whitaker et al.;The add_on to the famous pre-spatial lunar atlas realized by Gerald P. Kuiper, Ewen A. Whitaker et al.;24/09/2022;24/09/2022
ATLAS LUNAIRES DE FRED DASE;FRED DASE LUNAR ATLAS;Anglais;English;Atlas lunaire en ligne;On line lunar atlas;Atlas lunaire amateur;Amateur lunar atlas;https://web.archive.org/web/20180129052121/http://www.astronomylogs.com/pages/moon.html;L'atlas photographique lunaire réalisé par Fred Dase;Photographic lunar atlas realized by Fred Dase;14/10/2022;14/10/2022
ATLAS VIRTUEL DE LA LUNE;VIRTUAL MOON ATLAS;Multilingues;Multilanguages;Logiciel lunaire;Lunar software;Atlas lunaire;Lunar atlas;http://www.ap-i.net/avl/start;Le site Web de l'Atlas Virtuel de la Lune;Virtual Moon Atlas Web site;06.09.2012;06.09.2012
BRITISH ASTRONOMICAL SOCIETY / LUNAR SECTION;BRITISH ASTRONOMICAL SOCIETY / LUNAR SECTION;Anglais;English;Organisme non officiel;Non official organization;Association d'amateurs;Amateurs association;https://britastro.org/sections/lunar;La section des observateurs lunaires de la British Astronomical Association;The lunar observers section of the British astronomical association;16.10.2012;16.10.2012
CENTRE SPATIAL JOHNSON DE LA NASA;NASA JOHNSON SPACE CENTER;Anglais;English;Organisme officiel;Official organization;Missions Apollo;Apollo missions;https://nasasearch.nasa.gov/search?query=apollo&affiliate=nasa&utf8=%E2%9C%93;Banque d'images des missions humaines américaines gérée par le Centre Spatial Johnson;Pictures bank of human missions settled by Johnson Space Center;06.09.2012;06.09.2012
CHANG'E 3 DATA  ROVER PANORAMIC CAMERA (PCAM);CHANG'E 3 DATA  ROVER PANORAMIC CAMERA (PCAM);Anglais;English;Sondes lunaires;Lunar probes;Sondes chinoises;Chinese probes;https://planetary.s3.amazonaws.com/data/change3/pcam.html;Les images panoramiques prise par le rover Yutu 2 de la mission Changé 3;Panoramic images taken by the Yutu 2 rover of Change 3 mission;14/10/2022;14/10/2022
CHANG'E 3 DATA: LANDER TERRAIN CAMERA (TCAM);CHANG'E 3 DATA: LANDER TERRAIN CAMERA (TCAM);Anglais;English;Sondes lunaires;Lunar probes;Sondes chinoises;Chinese probes;https://planetary.s3.amazonaws.com/data/change3/tcam.html;Les images prises par le lander de la mission Changé 3;Images taken by the Change 3 mission lander;14/10/2022;14/10/2022
CHRONOLOGIE LUNAIRE NASA;NASA LUNAR TIMELINE;Anglais;English;Sondes lunaires;Lunar probes;Sondes tous pays;All countries probes;https://nssdc.gsfc.nasa.gov/planetary/lunar/lunartimeline.html;Fiches de la NASA sur toutes les missions lunaires;NASA informations on all lunar missions;06.09.2012;06.09.2012
CIEL ET ESPACE;CIEL ET ESPACE;Français;French;Magazine d'astronomie;Astronomy magazine;Articles sur la Lune;Moon articles;http://www.cieletespace.fr/;La plus importante revue d'astronomie amateur de France;The most important french amateur astronomy magazine;06.09.2012;06.09.2012
