NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
Agatharchides 1;Domo;Non determinato;Domo di Agatharchides n° 1;ALPO 1976;Nome non assegnato;Nome non assegnato;Nome non assegnato;Geografo e storico;Grecia;greco;-2;2° secolo a.C.;?;circa 100 a.C.;?;?;??;-31.49683694;31 ° 30 '  Ovest;-16.85795602;16 ° 51 '  Sud;Sud - Ovest;Regione del Mare Humorum;52;Gassendi;172;9f4 / 11b3;036C/S 040C/S 048C/S 201C 2055;;IV-132-H1;60;60;36.4;36.4;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;A Nord del cratere Agatharchides;Scudo vulcanico;Vulcanismo estrusivo;Descrizione ALPO: Grande domo poco elevato. Comunemente noto come il “Cappello del pompiere”;3;Formazione molto interessante;10;3 giorni dopo il Primo Quarto;2 giorni dopo l'Ultimo Quarto;30;Binocolo 10x;Rifrattore da 50 mm
Albategnius 1;Domo;Non determinato;Domo di Albategnius n° 1;ALPO 1976;Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo;Arabia;arabo;9;9° secolo;Harran;858;Qasr al Djiss;929;Autore dello 'Zidj', migliorando considerevolmente le conoscenze astronomiche del suo tempo. Misura dell'obliquità dell'Eclittica.;5.257347498;5 ° 15 '  Est;-6.718995469;6 ° 43 '  Sud;Sud - Est;Regione del cratere Ptolemaeus;44;Ptolemaeus;204;13e5 / 13f5;357C 003C/S 161C/S 167C 174C;MM137;IV-101-H2 IV-096-H2;8;8;4.9;4.9;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;All'interno del cratere Albategnius;Vulcano;Vulcanismo estrusivo;Descrizione ALPO: Ripido platykurtico con la base di forma triangolare;3;Formazione molto interessante;7;al Primo Quarto;6 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm
Alexander 1;Domo;Non determinato;Domo di Alexander n° 1;ALPO 1976;Nome non assegnato;Nome non assegnato;Nome non assegnato;Re;Macedonia;macedone;-4;4° secolo a.C.;?;356 a.C.;Babilonia;323 a.C.;Re di Macedonia dal 336 al 323 a.C. Ha intrapreso l'espansione del suo regno verso l'India. Ha conquistato Babilonia e incendiato Persepolis.;13.43800781;13 ° 26 '  Est;40.39097962;40 ° 23 '  Nord;Nord - Est;Regione settentrionale del Mare Serenitatis;13;Eudoxus;350;2d3;351N 154N 161N;;IV-098-H2 IV-103-H2;17;17;10.3;10.3;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;All'interno del cratere Alexander;Scudo vulcanico;Vulcanismo estrusivo;Descrizione ALPO: Appare come una bianca macchia durante la Luna Piena;3;Formazione molto interessante;6;6 giorni dopo la Luna Nuova;5 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm
Alexander Q 1;Domo;Non determinato;Domo di Alexander Q n° 1;ALPO 1976;Nome non assegnato;Nome non assegnato;Nome non assegnato;Re;Macedonia;macedone;-4;4° secolo a.C.;?;356 a.C.;Babilonia;323 a.C.;Re di Macedonia dal 336 al 323 a.C. Ha intrapreso l'espansione del suo regno verso l'India. Ha conquistato Babilonia e incendiato Persepolis.;17.01817039;17 ° 1 '  Est;35.59133528;35 ° 35 '  Nord;Nord - Est;Regione settentrionale del Mare Serenitatis;13;Eudoxus;350;2d3;351N 154N 161N;;IV-098-H2 IV-103-H2;4;4;2.4;2.4;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;A Sud-Est di Alexander q;Scudo vulcanico;Vulcanismo estrusivo;Descrizione ALPO: Domo nel Mare Serenitatis;3;Formazione molto interessante;6;6 giorni dopo la Luna Nuova;5 giorni dopo la Luna Piena;100;Rifrattore da 100 mm;Riflettore da 200 mm
Alexander Q 2;Domo;Non determinato;Domo di Alexander Q n° 2;ALPO 1976;Nome non assegnato;Nome non assegnato;Nome non assegnato;Re;Macedonia;macedone;-4;4° secolo a.C.;?;356 a.C.;Babilonia;323 a.C.;Re di Macedonia dal 336 al 323 a.C. Ha intrapreso l'espansione del suo regno verso l'India. Ha conquistato Babilonia e incendiato Persepolis.;17.40872895;17 ° 25 '  Est;36.01521022;36 ° 1 '  Nord;Nord - Est;Regione settentrionale del Mare Serenitatis;13;Eudoxus;350;2d3;351N 154N 161N;;IV-098-H2 IV-103-H2;8;8;4.9;4.9;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;A Nord-Est di Alexander q;Scudo vulcanico;Vulcanismo estrusivo;Descrizione ALPO: Domo nel Mare Serenitatis;3;Formazione molto interessante;6;6 giorni dopo la Luna Nuova;5 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm
Almanon 1;Domo;Non determinato;Domo di Almanon n° 1;ALPO 1976;Nome non assegnato;Nome non assegnato;Nome non assegnato;Califfo;Persia;persiano;9;9° secolo;Bagdad;786;Tarso;833;Figlio di Harun Al Raschid. Organizzatore della traduzione in arabo delle opere scientifiche e filosofiche degli antichi autori greci.;15.27683388;15 ° 17 '  Est;-16.97773111;16 ° 59 '  Sud;Sud - Est;Regione orientale del cratere Catharina;56;Azophi;198;13c4;351S 154S 161S 167C;;IV-089-H2 IV-096-H2;?;?;?;?;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;A Sud-Ovest del cratere Almanon;Scudo vulcanico;Vulcanismo estrusivo;Descrizione ALPO: Domo grande e complesso;3;Formazione molto interessante;6;6 giorni dopo la Luna Nuova;5 giorni dopo la Luna Piena;999;Non determinato;Non determinato
Alphonsus 1;Domo;Non determinato;Domo di Alphonsus n° 1;ALPO 1976;Nome non assegnato;Nome non assegnato;Nome non assegnato;Re;Castiglia;castigliano;13;13° secolo;Toledo;1221;Siviglia;1284;Iniziatore della traduzione delle opere greche ed arabe. Coordinatore del calcolo delle 'Tavole Alfonsine', nel 1256, per sostituire le tavole astronomiche di Tolomeo.;-0.765760482;0 ° 46 '  Ovest;-13.41484876;13 ° 25 '  Sud;Sud - Ovest;Regione del cratere Ptolemaeus;44;Ptolemaeus;208;9a4 / 13g5;003S 009C/S 174C/S 179C I83C;ST03/01  MM137;IV-108-H2;?;?;?;?;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;All'interno del cratere Alphonsus;Scudo vulcanico;Vulcanismo estrusivo;Descrizione ALPO: Domo molto piccolo. Visibile nelle immagini del Ranger IX;3;Formazione molto interessante;8;1 giorno dopo il Primo Quarto;all'Ultimo Quarto;999;Non determinato;Non determinato
Apollonius S 1;Domo;Non determinato;Domo di Apollonius S n° 1;ALPO 1976;Nome non assegnato;Nome non assegnato;Nome non assegnato;Matematico e astronomo;Grecia;greco;-3;3° secolo a.C.;Alessandria;262 a.C.;Pergamo;180 a.C.;Autore di un importante lavoro di sintesi sulle coniche.;64.72683836;64 ° 44 '  Est;1.432543738;1 ° 26 '  Nord;Nord - Est;Bordo orientale della Luna;38;Neper;228;3b2;303C 309C 099C I05N 112C 119C;;;34.5;34.5;20.9;20.9;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Ad Est del cratere Apollonius S;Scudo vulcanico;Vulcanismo estrusivo;Descrizione ALPO: Platykurtico con bordi irregolari;3;Formazione molto interessante;3;3 giorni dopo la Luna Nuova;2 giorni dopo la Luna Piena;30;Binocolo 10x;Rifrattore da 50 mm
Arago 1;Domo;Non determinato;Domo di Arago n° 1;ALPO 1976;Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo e fisico;Francia;francese;19;19° secolo;Estagel;1786;Parigi;1853;;20.85994776;20 ° 52 '  Est;4.473614892;4 ° 28 '  Nord;Nord - Est;Parte orientale del Mare Tranquillitatis;35;Arago;278;1c2 / 2h3;343C 148C 154C;MM86;IV-085-H1;13;14;7.9;8.5;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;A Sud del cratere Arago;Scudo vulcanico;Vulcanismo estrusivo;Descrizione ALPO: Domo di mare di media grandezza e di forma emisferica;3;Formazione molto interessante;6;6 giorni dopo la Luna Nuova;5 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm
Arago 1;Domo;Non determinato;Domo di Arago n° 1;ALPO 1976;Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo e fisico;Francia;francese;19;19° secolo;Estagel;1786;Parigi;1853;;20.70846796;20 ° 43 '  Est;9.264944551;9 ° 16 '  Nord;Nord - Est;Parte orientale del Mare Tranquillitatis;35;Arago;278;1c2 / 2h3;343C 148C 154C;MM86;IV-085-H1;5;6.8;3;4.1;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;A Nord-Ovest del cratere Arago;Scudo vulcanico;Vulcanismo estrusivo;Descrizione ALPO: Domo complesso. Forse doppio oppure attraversato da un solco sulla sommità;3;Formazione molto interessante;6;6 giorni dopo la Luna Nuova;5 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm
