NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
ABBOT;Cràter;Imbrià (De -3,85 mils de milions d'anys a -3,2 mils de milions d'anys) ?;Charles Greeley Abbot (ex Apollonius K);(??);;;;Astrofísic;U. S. A.;americà;20;20è segle;Wilton;1872;Washington;1973;Director de l'observatori de la Smithsonian Institution. Determinació del valor de la constant solar i la distribució de l'energia en l'espectre solar.;54.8;54.8° Est;5.6;5.6° Nord;Nord-Est;Vora nord del Mar de la Fecunditat;37;Taruntius;229;3c2;315C 124C;;;10;10;6;6;?;?;Alçada desconeguda. Càlcul impossible;Alçada desconeguda. No es pot dibuixar..;Formació circular aïllada en forma de bol.;Vessants bastant acinglerats.;Muralla poc elevada.;Fons arrodonit.;1;Formació poc interessant o difícil;3;3 dies després de Lluna nova;2 dies després de Lluna plena;50;Refractor 50 mm;Telescopi 100 mm
ABEL;Cràter;Pre-Nectarià (De -4,55 mils de milions d'anys a -3,92 mils de milions d'anys) ;Niels Henrik Abel;Franz (1913);;;;Matemàtic;Noruega;norueg;19;19è segle;Finnoy Island;1802;Arendal;1829;Especialista de la teoria d'integrals el·líptiques i treballs sobre les anomenades integrals abelianes.;85;85.0° Est;-34.6;34.6° Sud;Sud-Est;Limbe sud-est de la Lluna;69;Furnerius;112;;291S Q4SE;;IV-009-H3;114;114;69;69;?;?;Alçada desconeguda. Càlcul impossible;Alçada desconeguda. No es pot dibuixar..;Formació circular situada en la zona de les libracions.;Vessants poc escarpats portant Abel L a l'Oest, Barnard i Abel A al Nord.;Muralla poc elevada gairebé engolida a l'Est en la lava de Mare Australe.;Fons pla omplert de lava portant un cràter fantasma al Nord-Est.;2;Formació força interessant;2;2 dies després de Lluna nova;1 dia després de Lluna plena;5;Simple vista;Binoculars 10x
ABENEZRA;Cràter;Imbrià Superior (De -3,8 mils de milions d'anys a -3,2 mils de milions d'anys) ;Abraham Bar Rabbi ben Ezra;Riccioli (1651);Schirley;;Abenezra;Filòsof i astrònom;Espanya;espanyol;12;12è segle;?;1092;?;1167;??;11.9;11.9° Est;-21;21.0° Sud;Sud-Est;Regió a l'oest del cràter Caterina;56;Azophi;154;13d3;351S 357S 154S 161S 167S;;IV-096-H1;41;42;25;25;3730;11300;0.0888;A_______________________A;Formació circular de forma hexagonal constituint un trio remarcable amb Azophi i Abenezra C.;Vessants bastant acinglerats aixafant Abenezra C a l'Oest i portant Azophi al Sud-Oest.;Muralla en grades elevada.;Fons turmentat. Línies de crestes circulars. Monticles.;4;Formació excepcional;6;6 dies després de Lluna nova;5 dies després de Lluna plena;30;Binoculars 10x;Refractor 50 mm
ABETTI;Cràter;Imbrià (De -3,85 mils de milions d'anys a -3,2 mils de milions d'anys) ?;Antonio Abetti;(??);;;;Astrònom;Macedònia;italià;19;19è segle;?;1846;?;1928;??;27.7;27.7° Est;19.9;19.9° Nord;Nord-Est;Part sud-est del Mar de la Serenitat;24;Bessel;284;;343C 143C 148C;;;17;17;10;10;?;?;Alçada desconeguda. Càlcul impossible;Alçada desconeguda. No es pot dibuixar..;Formació circular fantasma.;Vessants gairebé plans.;Muralla molt aplanada.;Fons pla omplert per la lava de Mare Serenitatis.;2;Formació força interessant;5;5 dies després de Lluna nova;4 dies després de Lluna plena;50;Refractor 50 mm;Telescopi 100 mm
ABULFEDA;Cràter;Nectarià típic (De -3,92 mils de milions d'anys a -3,85 mils de milions d'anys) ;Isma'il Abu al-Fida;Riccioli (1651);Derkenni;;Abulfeda;Historiador;Aràbia;àrab;14;14è segle;Damasc;1273;Hamah;1331;"Príncep de la dinastia dels Ayyubides. Autor de  la ""Història"" seguint l'obra de Ibn al-Athir";13.9;13.9° Est;-13.8;13.8° Sud;Sud-Est;Regió a l'est del cràter Ptolemeu;45;Andel;202;13c5 / 13d5;351C/S 154C/S 16LS 167C;;IV-089-H2;63;62;38;38;3110;9400;0.0502;A__________________________________________A;Formació circular amb danys.;Vessants escarpats portant nombrosos craterets amb Abulfeda R al Nord-Oest i Abulfeda S & W al Nord.;Muralla molt elevada en grades encavallada per Catena Abulfeda al Sud i per Abulfeda U & Y al Nord.;Fons pla extens omplert de lava. Taca blanca descentrada i monticles. Craterets al Nord-Est i al Sud-Oest.;3;Formació molt interessant;6;6 dies després de Lluna nova;5 dies després de Lluna plena;30;Binoculars 10x;Refractor 50 mm
ACOSTA;Cràter;Copernicià (De -1,1 mils de milions d'anys als nostres dies) ?;Cristobal Acosta (ex Langrenus C);(??);;;;Metge i historiador;Portugal;portuguès;16;16è segle;?;1515;?;1580;??;60.1;60.1° Est;-5.6;5.6° Sud;Sud-Est;Limbe est de la Lluna;49;Langrenus;189;15b6 / 15c6;105C 112C 119C;;;13;13;8;8;1750;5300;0.1346;A______________A;Formació circular en forma de bol situada sobre el vessant Nord de Langrenus.;Vessants bastant acinglerats.;Muralla bastant elevada.;Fons arrodonit.;2;Formació força interessant;3;3 dies després de Lluna nova;2 dies després de Lluna plena;50;Refractor 50 mm;Telescopi 100 mm
ADAMS;Cràter;Nectarià (De -3,92 mils de milions d'anys a -3,85 mils de milions d'anys) ;John Couch Adams;Birt / Lee (1865);;;;Astrònom;Gran Bretanya;britànic;19;19è segle;Laneast;1819;Cambridge;1892;Ha demostrat l'existència i indicat la posició de Neptú independentment de Le Verrier, però els seus treballs no han estat publicats pel Royal Observatory.;68;68.0° Est;-31.9;31.9° Sud;Sud-Est;Limbe sud-est de la Lluna;69;Furnerius;113;15d1 / 16b7;303S Q4SE 099C 105C 112C;;IV-038-H3 IV-096-H2 IV-039-H1 IV-184-H2;66;66;40;40;?;?;Alçada desconeguda. Càlcul impossible;Alçada desconeguda. No es pot dibuixar..;Formació circular aïllada.;Vessants bastant acinglerats portant Adams B a l'Oest i Adams D a l'Est.;Muralla bastant elevada en grades encavallada per dos craterets al Nord i un cràter al Sud.;Fons pla amb craterets amb un de central.;3;Formació molt interessant;2;2 dies després de Lluna nova;1 dia després de Lluna plena;30;Binoculars 10x;Refractor 50 mm
AGATHARCHIDES;Cràter;Pre-Imbrià (De -4,55 mils de milions d'anys a -3,85 mils de milions d'anys) ?;Agatharchide;Mädler (1837);;;;Geògraf i historiador;Grècia;grec;-2;2on segle aC;?;aprox. 100 AC;?;?;??;-30.9;30.9° Oest;-19.8;19.8° Sud;Sud-Oest;Sector del Mar dels Humors;52;Gassendi;172;9f4 / 11b3;036C/S 040C/S 048C/S 201C 2055;;IV-132-H1;50;49;30;30;1180;3600;0.0241;A__________________________________________________________________________________________A;Formació amb danys en part submergida per la lava d'Oceanus Procellarum.;Vessants escarpats portant nombrosos craterets.;Muralla poc elevada parcialment destruïda al Nord i encavallada per Agatharchides F al Sud-Oest.;Fons pla extens omplert de lava fosca. Restes de muntanya central.;3;Formació molt interessant;10;3 dies després de quart creixent;2 dies després de quart minvant;30;Binoculars 10x;Refractor 50 mm
AGRIPPA;Cràter;Eratostenià (De -3,2 mils de milions d'anys a -1,1 mils de milions d'anys);Agrippa;Riccioli (1651);Urselii;Mons Ida;Agrippa;Astrònom;Grècia;grec;1;1er  segle;?;aprox. 50;?;?;Observador en 92 d'un eclipsi de les Plèiades per la Lluna.;10.5;10.5° Est;4.1;4.1° Nord;Nord-Est;Regió a l'est del Mar de la Tranquil·litat;34;Hyginus;282;1e2 / 13d8;351C 357C 161C 167C;;IV-097-H1;46;46;28;28;3100;9400;0.0674;A_______________________________A;Formació deformada al Sud-Oest.;Vessants escarpats portant Agrippa F i Tempel a l'Est.;Muralla en grades portant Agrippa H al Nord.;Fons bastant pla. Muntanya central. Monticles i esllavissaments a l'Oest. Esquerda i craterets.;3;Formació molt interessant;6;6 dies després de Lluna nova;5 dies després de Lluna plena;30;Binoculars 10x;Refractor 50 mm
AIRY;Cràter;Pre-Imbrià (De -4,55 mils de milions d'anys a -3,85 mils de milions d'anys) ?;Sir George Bidel Airy;Mädler (1837);Crequii;;;Astrònom;Anglaterra;anglès;19;19è segle;Alnwick;1801;Londres;1892;Director del Observatori de Greenwich en 1835. Treballs sobre mecànica celestial. Autor de una teoria sobre la difracció de la llum.;5.7;5.7° Est;-18.1;18.1° Sud;Sud-Est;Regió a l'oest del cràter Caterina;56;Azophi;204;13e5 / 13f5;357S 003S 161S 167S 174S;;;36;37;22;22;?;?;Alçada desconeguda. Càlcul impossible;Alçada desconeguda. No es pot dibuixar..;Formació malmesa formant un trio alineat Nord-Sud amb Argelander i Vogel.;Vessants bastant acinglerats portant Argelander al Nord Airy D al Nord-Oest i Airy G al Sud-Est.;Muralla elevada i turmentada encavallada al Sud per Airy H.;Fons irregular poc extens. Muntanya central doble.;3;Formació molt interessant;7;Quart creixent;6 dies després de Lluna plena;30;Binoculars 10x;Refractor 50 mm
