NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGHTMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
ABBOT;Кратер;Имбрийский (с -3.85 миллиардов лет до -3.2 миллиардов лет) ?;Charles Greeley Abbot (ex Apollonius K);(??);Не названо;Не названо;Не названо;астрофизик;США;Американский;20;20-го века;Wilton;1872;Washington;1973;Director of the observatory of the Smithsonian Institution. Determination of the value of the solar constant and the distribution of energy in the solar spectrum.;54,8;54.8° Восток;5,6;5.6° Север;Северо-Восточный;Северная граница Mare Fecunditatis;37;Taruntius;229;3c2;315C 124C;;;10;10;6;6;?;?;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Circular formation isolated with bowl shape.;Pretty steep slopes.;Few high walls.;Rounded floor.;1;Малоинтересное или сложное образование;3;3 дня после Новолуния;2 дня после Полнолуния;50;50 мм рефрактор;100 мм рефрактор
ABEL;Кратер;Донектарийский (с -4.55 миллиардов лет до -3.92 миллиардов лет);Niels Henrik Abel;Franz (1913);Не названо;Не названо;Не названо;математик;Норвегии;Норвежский;19;19-го века;Finnoy Island;1802;Arendal;1829;Specialist of the theory of elliptic integrals and works on the so called abelian integrals.;85;85.0° Восток;-34,6;34.6° Юг;Юго-Восточный;Юго-Восточный лимб Луны;69;Furnerius;112;;291S Q4SE;;IV-009-H3;117;117;69;69;?;?;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Circular formation situated in the zone of librations.;Few steep slopes supporting Abel L to the West, Barnard and Abel A to the North.;Few high walls almost gobbled to the East in the Mare Australe lava.;Flat floor filled with lava supporting a ghost crater to the North-east.;2;Довольно интересное образование;2;2 дня после Новолуния;1 день после Полнолуния;5;Невооруженный глаз;10x бинокль
ABENEZRA;Кратер;Верхний Имбрийский (с -3.8 миллиардов лет до -3.2 миллиардов лет);Abraham Bar Rabbi ben Ezra;Riccioli (1651);Schirley;Не названо;Abenezra;философ и астроном;Испании;Испанский;12;12-го века;?;1092;?;1167;??;11,9;11.9° Восток;-21;21.0° Юг;Юго-Восточный;Восточный район кратера Catharina;56;Azophi;154;13d3;351S 357S 154S 161S 167S;;IV-096-H1;43;43;25;25;3730;11300;0,0888;A_______________________A;Circular formation with hexagon shape composing a remarkable gathering with Azophi and Abenezra C;Pretty steep slopes crushing Abenezra C to the West and supporting Azophi to the South-West.;Walls in high terraces.;Tormented floor.  Circular crest lines. Hills.;4;Исключительное образование;6;6 дней после Новолуния;5 дней после Полнолуния;30;10x бинокль;50 мм рефрактор
ABETTI;Кратер;Имбрийский (с -3.85 миллиардов лет до -3.2 миллиардов лет) ?;Antonio Abetti;(??);Не названо;Не названо;Не названо;астроном;Италии;Итальянский;19;19-го века;?;1846;?;1928;??;27,7;27.7° Восток;19,9;19.9° Север;Северо-Восточный;Юго-Восточная часть Mare Serenitatis;24;Bessel;284;;343C 143C 148C;;;17;17;10;10;?;?;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Ghost circular formation.;Almost flat slopes.;Very flat walls.;Flat floor filled with the lava of Mare Serenitatis.;2;Довольно интересное образование;5;5 дней после Новолуния;4 дня после Полнолуния;50;50 мм рефрактор;100 мм рефрактор
ABULFEDA;Кратер;Обычный Нектарийский (с -3.92 миллиардов лет до -3.85 миллиардов лет);Isma'il Abu al-Fida;Riccioli (1651);Derkenni;Не названо;Abulfeda;историк;Аравии;Арабский;14;14-го века;Damas;1273;Hamah;1331;Prince of the dynasty of Ayyubides. Author of  the """"History"""" that follows Ibn al-Athir work;13,9;13.9° Восток;-13,8;13.8° Юг;Юго-Восточный;Восточный район кратера Ptolemaeus;45;Andel;202;13c5 / 13d5;351C/S 154C/S 16LS 167C;;IV-089-H2;65;65;38;38;3110;9400;0,0502;A__________________________________________A;Damaged circular formation.;Steep slopes supporting many craterlets whose Abulfeda R to the North-West and Abulfeda S and W to the North.;Very high walls in terraces overlapped by Catena Abulfeda to the South and by Abulfeda U & Y to the North.;Extensive flat floor filled with lava.  White stpot off center and hills.  Craterlets to the North-East and to the South-West.;3;Очень интересное образование;6;6 дней после Новолуния;5 дней после Полнолуния;30;10x бинокль;50 мм рефрактор
ACOSTA;Кратер;Коперниковский (с -1.1 миллиардов лет до наших дней) ?;Cristobal Acosta (ex Langrenus C);(??);Не названо;Не названо;Не названо;философ и историк;Португалии;Португальский;16;16-го века;?;1515;?;1580;??;60,1;60.1° Восток;-5,6;5.6° Юг;Юго-Восточный;Восточный лимб Луны;49;Langrenus;189;15b6 / 15c6;105C 112C 119C;;;14;14;8;8;1750;5300;0,1346;A______________A;Circular formation with bowl shape situated on the North slope of Langrenus;Pretty steep slopes.;Pretty high walls.;Rounded floor.;2;Довольно интересное образование;3;3 дня после Новолуния;2 дня после Полнолуния;50;50 мм рефрактор;100 мм рефрактор
ADAMS;Кратер;Нектарийский (с -3.92 миллиардов лет до -3.85 миллиардов лет);John Couch Adams;Birt / Lee (1865);Не названо;Не названо;Не названо;астроном;Великобритании;Британский;19;19-го века;Laneast;1819;Cambridge;1892;Has demonstrated the existence and indicated the position of Neptune independently of Le Verrier, but his works have not been published by the Royal Observatory.;68;68.0° Восток;-31,9;31.9° Юг;Юго-Восточный;Юго-Восточный лимб Луны;69;Furnerius;113;15d1 / 16b7;303S Q4SE 099C 105C 112C;;IV-038-H3 IV-096-H2 IV-039-H1 IV-184-H2;68;68;40;40;?;?;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Isolated circular formation;Pretty steep slopes supporting Adams B to the West and Adams D to the East.;Pretty high walls in terraces overlapped by two craterlets to the North and a crater to the South.;Flat floor with craterlets whose a central.;3;Очень интересное образование;2;2 дня после Новолуния;1 день после Полнолуния;30;10x бинокль;50 мм рефрактор
AGATHARCHIDES;Кратер;Доимбрийский (с -4.55 миллиардов лет до -3.85 миллиардов лет) ?;Agatharchide;Mдdler (1837);Не названо;Не названо;Не названо;географ и историк;Греции;Греческий;-2;2-го века до новой эры;?;about 100 BC;?;?;??;-30,9;30.9° Запад;-19,8;19.8° Юг;Юго-Западный;Район Mare Humorum;52;Gassendi;172;9f4 / 11b3;036C/S 040C/S 048C/S 201C 2055;;IV-132-H1;51;51;30;30;1180;3600;0,0241;A__________________________________________________________________________________________A;Damaged formation partly submerged by the lava of Oceanus Procellarum.;Steep slopes supporting many craterlets.;Few high walls partially destroyed to the North and ridden by Agatharchides F to the South-West.;Extensive flat floor filled with dark lava.  Ruins of central mountain.;3;Очень интересное образование;10;3 дня после Первой Четверти;2 дня после Последней Четверти;30;10x бинокль;50 мм рефрактор
AGRIPPA;Кратер;Эратосфеновский (с -3.2 миллиардов лет до -1.1 миллиардов лет);Agrippa;Riccioli (1651);Urselii;Mons Ida;Agrippa;астроном;Греции;Греческий;1;1-го века;?;about 50;?;?;Observer in 92 of an eclipse of Pleiads by the Moon.;10,5;10.5° Восток;4,1;4.1° Север;Северо-Восточный;Восточный район Mare Tranquillitatis;34;Hyginus;282;1e2 / 13d8;351C 357C 161C 167C;;IV-097-H1;48;48;28;28;3100;9400;0,0674;A_______________________________A;Circular  Formation with destructed shape to the South-West.;Steep slopes supporting Agrippa F and Tempel to the East.;Walls in terraces supporting Agrippa H to the North.;Pretty flat floor.  Central mountain.  Hills and debris to the West.  Rille and craterlets.;3;Очень интересное образование;6;6 дней после Новолуния;5 дней после Полнолуния;30;10x бинокль;50 мм рефрактор
AIRY;Кратер;Доимбрийский (с -4.55 миллиардов лет до -3.85 миллиардов лет) ?;Sir George Bidel Airy;Mдdler (1837);Crequii;Не названо;Не названо;астроном;Англии;Английский;19;19-го века;Alnwick;1801;London;1892;Director of the Observatory of Greenwich in 1835. Works on the celestial mechanics. Author of a theory on the diffraction of the light.;5,7;5.7° Восток;-18,1;18.1° Юг;Юго-Восточный;Восточный район кратера Catharina;56;Azophi;204;13e5 / 13f5;357S 003S 161S 167S 174S;;;37;37;22;22;?;?;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Wrecked formation forming an aligned trio North - South with Argelander and Vogel.;Pretty steep slopes supporting Argelander to the North Airy D to the North-West and Airy G to the South-East.;Tormented and high walls ridden to the South by Airy H.;Irregular Few widened floor.  Double central mountain.;3;Очень интересное образование;7;Первая Четверть;6 дней после Полнолуния;30;10x бинокль;50 мм рефрактор
