NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGHTKM;WIDEKM;LENGHTMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
ABBE H;Crater;??;Ernst K. Abbe;Andersson / Whitaker 1982;Unknown in this period;Unknown in this period;Unknown in this period;physicist;Germany;German;19;19 th century;Eisenach;1840;Iena;1905;Director of Iena observatory. Author of a classical theory of microscopes in 1877 and of sinuses relations. Associated with Carl Zeiss. Conceiver of a refractometer and of the first apochromatic objectives and of orthoscopic eyepieces.;177,9;177,9 ° East;-58,2;58,2 ° South;South-East;Not defined;No map;;No map or picture;No map or picture;No map or picture;No article;??;25;25;15;15;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
ABBE K;Crater;??;Ernst K. Abbe;Andersson / Whitaker 1982;Unknown in this period;Unknown in this period;Unknown in this period;physicist;Germany;German;19;19 th century;Eisenach;1840;Iena;1905;Director of Iena observatory. Author of a classical theory of microscopes in 1877 and of sinuses relations. Associated with Carl Zeiss. Conceiver of a refractometer and of the first apochromatic objectives and of orthoscopic eyepieces.;177,3;177,3 ° East;-59,6;59,6 ° South;South-East;Not defined;No map;;No map or picture;No map or picture;No map or picture;No article;??;28;28;16;16;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
ABBE M;Crater;??;Ernst K. Abbe;Andersson / Whitaker 1982;Unknown in this period;Unknown in this period;Unknown in this period;physicist;Germany;German;19;19 th century;Eisenach;1840;Iena;1905;Director of Iena observatory. Author of a classical theory of microscopes in 1877 and of sinuses relations. Associated with Carl Zeiss. Conceiver of a refractometer and of the first apochromatic objectives and of orthoscopic eyepieces.;175,3;175,3 ° East;-61,6;61,6 ° South;South-East;Not defined;No map;;No map or picture;No map or picture;No map or picture;No article;??;29;29;17;17;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
ABUL WAFA A;Crater;??;Abu al-Wafa al-Buzadjani;Andersson / Whitaker 1982;Unknown in this period;Unknown in this period;Unknown in this period;mathematician;Iran;Iranian;10;10 th century;Buzadjan;940;Bagdad;997;Author of an arithmetrical treaty and of a precise method for sinuses calculations. ;116,8;116,8 ° East;1,4;1,4 ° North;North-East;Not defined;No map;;No map or picture;No map or picture;No map or picture;No article;??;16;16;9;9;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
ABUL WAFA Q;Crater;??;Abu al-Wafa al-Buzadjani;Andersson / Whitaker 1982;Unknown in this period;Unknown in this period;Unknown in this period;mathematician;Iran;Iranian;10;10 th century;Buzadjan;940;Bagdad;997;Author of an arithmetrical treaty and of a precise method for sinuses calculations. ;115,7;115,7 ° East;0,2;0,2 ° North;North-East;Not defined;No map;;No map or picture;No map or picture;No map or picture;No article;??;30;30;18;18;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
AITKEN A;Crater;??;Robert Grant Aitken;Andersson / Whitaker 1982;Unknown in this period;Unknown in this period;Unknown in this period;astronomer;USA;American;20;20 th century;Jackson;1864;Berkeley;1954;Author of New General Catalogue of Double Stars in 1932.;173,7;173,7 ° East;-14;14 ° South;South-East;Not defined;No map;;No map or picture;No map or picture;No map or picture;No article;??;13;13;8;8;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
AITKEN C;Crater;??;Robert Grant Aitken;Andersson / Whitaker 1982;Unknown in this period;Unknown in this period;Unknown in this period;astronomer;USA;American;20;20 th century;Jackson;1864;Berkeley;1954;Author of New General Catalogue of Double Stars in 1932.;175,8;175,8 ° East;-14;14 ° South;South-East;Not defined;No map;;No map or picture;No map or picture;No map or picture;No article;??;74;74;44;44;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
AITKEN G;Craterlet;??;Robert Grant Aitken;Andersson / Whitaker 1982;Unknown in this period;Unknown in this period;Unknown in this period;astronomer;USA;American;20;20 th century;Jackson;1864;Berkeley;1954;Author of New General Catalogue of Double Stars in 1932.;174,2;174,2 ° East;-16,8;16,8 ° South;South-East;Not defined;No map;;No map or picture;No map or picture;No map or picture;No article;??;7;7;4;4;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
AITKEN N;Craterlet;??;Robert Grant Aitken;Andersson / Whitaker 1982;Unknown in this period;Unknown in this period;Unknown in this period;astronomer;USA;American;20;20 th century;Jackson;1864;Berkeley;1954;Author of New General Catalogue of Double Stars in 1932.;172,7;172,7 ° East;-17,7;17,7 ° South;South-East;Not defined;No map;;No map or picture;No map or picture;No map or picture;No article;??;7;7;4;4;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
AITKEN Y;Crater;??;Robert Grant Aitken;Andersson / Whitaker 1982;Unknown in this period;Unknown in this period;Unknown in this period;astronomer;USA;American;20;20 th century;Jackson;1864;Berkeley;1954;Author of New General Catalogue of Double Stars in 1932.;173,2;173,2 ° East;-12;12 ° South;South-East;Not defined;No map;;No map or picture;No map or picture;No map or picture;No article;??;35;35;21;21;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
