NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
Agatharchides 1;Dome;Not determined;Dome of Agatharchides n° n° 1;ALPO 1976;Not named;Not named;Not named;Geographer and historian;Greece;greek;-2;2 nd century BC;?;about 100 BC;?;?;??;-31.49683694;31 ° 30 '  West;-16.85795602;16 ° 51 '  South;South - West;Mare Humorum region;52;Gassendi;172;9f4 / 11b3;036C/S 040C/S 048C/S 201C 2055;;IV-132-H1;60;60;36.4;36.4;?;?;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;N of crater Agatharchides;Volcanic shield;Extrusive volcanism;Large low-profile dome, commonly known as “Fireman’s Hat”;3;Very interesting formation;10;3 days after First Quarter;2 days after Last Quarter;30;10x binoculars;50 mm refractor
Albategnius 1;Dome;Not determined;Dome of Albategnius n° n° 1;ALPO 1976;Not named;Not named;Not named;Astronomer;Araby;arabian;9;9 th century;Harran;858;Qasr al Djiss;929;Author of the 'Zidj' improving considerably astronomical knowledge of his period. Measure of the obliquity of the Ecliptique.;5.257347498;5 ° 15 '  East;-6.718995469;6 ° 43 '  South;South- East;Ptolemaeus crater region;44;Ptolemaeus;204;13e5 / 13f5;357C 003C/S 161C/S 167C 174C;MM137;IV-101-H2 IV-096-H2;8;8;4.9;4.9;?;?;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Inside crater Albategnius;Volcano;Extrusive volcanism;Steep, platykurtic, triangular shape base;3;Very interesting formation;7;First Quarter;6 days after Full Moon;50;50 mm refractor;100 mm refractor
Alexander 1;Dome;Not determined;Dome of Alexander n° 1;ALPO 1976;Not named;Not named;Not named;King;Macedony;macedonian;-4;4  th century BC;?;356 BC;Babylone;323 av JC;King of Macedoine from 336 to 323 BC. Worked for the expansion of his kingdom to India. Seized Babylone and burnt Persepolis.;13.43800781;13 ° 26 '  East;40.39097962;40 ° 23 '  North;North - East;North of Mare Serenitatis region;13;Eudoxus;350;2d3;351N 154N 161N;;IV-098-H2 IV-103-H2;17;17;10.3;10.3;?;?;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Inside crater Alexander;Volcanic shield;Extrusive volcanism;White patch under high sun;3;Very interesting formation;6;6 days after New Moon;5 days after Full Moon;50;50 mm refractor;100 mm refractor
Alexander Q 1;Dome;Not determined;Dome of Alexander Q n° 1;ALPO 1976;Not named;Not named;Not named;King;Macedony;macedonian;-4;4  th century BC;?;356 BC;Babylone;323 av JC;King of Macedoine from 336 to 323 BC. Worked for the expansion of his kingdom to India. Seized Babylone and burnt Persepolis.;17.01817039;17 ° 1 '  East;35.59133528;35 ° 35 '  North;North - East;North of Mare Serenitatis region;13;Eudoxus;350;2d3;351N 154N 161N;;IV-098-H2 IV-103-H2;4;4;2.4;2.4;?;?;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;SE of Alexander q;Volcanic shield;Extrusive volcanism;Mare dome, in Mare Serenitatis;3;Very interesting formation;6;6 days after New Moon;5 days after Full Moon;100;100 mm refractor;200 mm reflector
Alexander Q 2;Dome;Not determined;Dome of Alexander Q n° 2;ALPO 1976;Not named;Not named;Not named;King;Macedony;macedonian;-4;4  th century BC;?;356 BC;Babylone;323 av JC;King of Macedoine from 336 to 323 BC. Worked for the expansion of his kingdom to India. Seized Babylone and burnt Persepolis.;17.40872895;17 ° 25 '  East;36.01521022;36 ° 1 '  North;North - East;North of Mare Serenitatis region;13;Eudoxus;350;2d3;351N 154N 161N;;IV-098-H2 IV-103-H2;8;8;4.9;4.9;?;?;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;NE of Alexander q;Volcanic shield;Extrusive volcanism;Mare dome, in Mare Serenitatis;3;Very interesting formation;6;6 days after New Moon;5 days after Full Moon;50;50 mm refractor;100 mm refractor
Almanon 1;Dome;Not determined;Dome of Almanon n° 1;ALPO 1976;Not named;Not named;Not named;Caliph;Persia;persian;9;9 th century;Bagdad;786;Tarsus;833;Son of Harun Al Raschid. Organizer of the translation in Arabic of scientific and philosophical works of old Greek authors.;15.27683388;15 ° 17 '  East;-16.97773111;16 ° 59 '  South;South- East;East of Catharina crater region;56;Azophi;198;13c4;351S 154S 161S 167C;;IV-089-H2 IV-096-H2;?;?;?;?;?;?;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;SW of crater Almanon;Volcanic shield;Extrusive volcanism;Large complex dome;3;Very interesting formation;6;6 days after New Moon;5 days after Full Moon;999;Not determined;Not determined
Alphonsus 1;Dome;Not determined;Dome of Alphonsus n° 1;ALPO 1976;Not named;Not named;Not named;King;Castille;castillan;13;13 th century;Toledo;1221;Sevilla;1284;Initiator of the Greek and Arabic works translation. Coordinator of the calculation of 'Table Alphonsines' replacing astronomical tables of Ptolemee in 1256.;-0.765760482;0 ° 46 '  West;-13.41484876;13 ° 25 '  South;South - West;Ptolemaeus crater region;44;Ptolemaeus;208;9a4 / 13g5;003S 009C/S 174C/S 179C I83C;ST03/01  MM137;IV-108-H2;?;?;?;?;?;?;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Inside crater Alphonsus;Volcanic shield;Extrusive volcanism;Very small dome, on Ranger IX images;3;Very interesting formation;8;1 day after First Quarter;Last Quarter;999;Not determined;Not determined
Apollonius S 1;Dome;Not determined;Dome of Apollonius S n° 1;ALPO 1976;Not named;Not named;Not named;Mathematician and astronomer;Greece;greek;-3;3 rd century BC;Alexandrie;262 BC;Pergame;180 av JC;Author of an important work of synthesis on the conical.;64.72683836;64 ° 44 '  East;1.432543738;1 ° 26 '  North;North - East;Moon East limb;38;Neper;228;3b2;303C 309C 099C I05N 112C 119C;;;34.5;34.5;20.9;20.9;?;?;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;E of crater Apollonius S;Volcanic shield;Extrusive volcanism;Platykurtic, irregular border;3;Very interesting formation;3;3 days after New Moon;2 days after Full Moon;30;10x binoculars;50 mm refractor
Arago 1;Dome;Not determined;Dome of Arago n° 1;ALPO 1976;Not named;Not named;Not named;Astronomer and physicist;France;french;19;19 th century;Estagel;1786;Paris;1853;;20.85994776;20 ° 52 '  East;4.473614892;4 ° 28 '  North;North - East;East part of Mare Tranquillitatis;35;Arago;278;1c2 / 2h3;343C 148C 154C;MM86;IV-085-H1;13;14;7.9;8.5;?;?;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;S of crater Arago;Volcanic shield;Extrusive volcanism;Medium-size, hemispherical, mare dome;3;Very interesting formation;6;6 days after New Moon;5 days after Full Moon;50;50 mm refractor;100 mm refractor
Arago 1;Dome;Not determined;Dome of Arago n° 1;ALPO 1976;Not named;Not named;Not named;Astronomer and physicist;France;french;19;19 th century;Estagel;1786;Paris;1853;;20.70846796;20 ° 43 '  East;9.264944551;9 ° 16 '  North;North - East;East part of Mare Tranquillitatis;35;Arago;278;1c2 / 2h3;343C 148C 154C;MM86;IV-085-H1;5;6.8;3;4.1;?;?;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;NNW of crater Arago;Volcanic shield;Extrusive volcanism;Dome complex, appears double or possible summit traversing rille;3;Very interesting formation;6;6 days after New Moon;5 days after Full Moon;50;50 mm refractor;100 mm refractor
