NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGHTMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
LUNA 2;Sonda / Impacto voluntario;12/09/1959;Luna 2 / Lunik 2 (Clase E-1A);(USSR / Korolev);Inexistente en este periodo;Inexistente en este periodo;Inexistente en este periodo;No hay carácter;;;;;;;;;;-0,1;0,1° Oeste;30,1;30,1° Norte;Norte-Oeste;Archimedes Norte area;12;Aristillus;333;No indicado;No indicado;;??;0;0;0;0;0;0;Dato no disponible.;Dato no disponible.;Lanzada el 12 de Septiembre de 1959 a las 22h 02mn (UT) desde Baikonour.;Sonda sin instrumentos 1.2 m diámetro y 390.2 kg. Nube de sodio liberada en el espacio para ayudar a manchar. Confirma el campo magnético y la carencia de cinturones de radiación alrededor de la Luna.;Impacto a 3.3 km/s con un ángulo de 60° a las 21h 02mn 24s en Palus Putredinis. Primer objeto humano en llegar a otro cuerpo celeste distinto a la Tierra. Dos cápsulas 9 y 15 cm de anchura rotas por el impacto en pentágonos.;30 minutos más tarde, la tercera etapa del cohete de lanzamiento impacta sobra la Luna en coordenadas desconocidas.;0;Formación invisible;7;Cuarto Creciente;Seis días después de la Luna Llena;999;Invisible;Invisible
RANGER 4;Sonda / Impacto involuntario;23/04/1962;Ranger 4 (Clase Block 2);(NASA/USA);Inexistente en este periodo;Inexistente en este periodo;Inexistente en este periodo;No hay carácter;;;;;;;;;;-130,7;130,7° Oeste;-15,5;15,5° Sur;Sur-Oeste;No definido;Sin mapa;;;No indicado;No indicado;;??;0;0;0;0;0;0;Dato no disponible.;Dato no disponible.;Lanzada el 23 de Abril de 1962 a las 20h 50mn (UT) desde Cabo Kennedy.;Sonda 3.6 m de alta y 306 kg. 6 cámaras de las cuales 4 de alta resolución. 2 paneles solares 5.2 m de expansión. Retrocohete de 140 kg para proporcionar un aterrizaje suave a la cápsula de 65 cm diámetro..;Mal funcionamiento del ordenador de a bordo. Sin transmisión de fotografías. Impacto en la Cara Oculta el 26 de Abril, 1962 a las 12h 49mn 53s con una velocidad de 9600 km/h.;;0;Formación invisible;99;Invisible;Invisible;999;Invisible;Invisible
RANGER 6;Sonda / Impacto voluntario;30/01/1964;Ranger 6 (Clase Block 3);(NASA/USA);Inexistente en este periodo;Inexistente en este periodo;Inexistente en este periodo;No hay carácter;;;;;;;;;;21,5;21,5° Este;9,3;9,3° Norte;Norte-Este;Parte al Este de Mare Tranquilitatis;35;Arago;279;No indicado;No indicado;;??;0;0;0;0;0;0;Dato no disponible.;Dato no disponible.;Lanzada el 30 de Enero de 1964 a las 15h 49mn (UT) desde Cabo Kennedy.;Sonda 3.6 m de alta y 306 kg. 6 cámaras de las cuales 4 de alta resolución. 2 paneles solares 4.6 m de expansión.;Impacto el 2 de Febrero de, 32 km más lejos del sitio planeado. Fallo en la cámara de TV antes del impacto. ;;0;Formación invisible;5;Cinco días después de la Luna Nueva;Cuatro días después de la Luna Llena;999;Invisible;Invisible
RANGER 7;Sonda / Impacto voluntario;28/07/1964;Ranger 7 (Clase Block 3);(NASA/USA);Inexistente en este periodo;Inexistente en este periodo;Inexistente en este periodo;No hay carácter;;;;;;;;;;-20,66;20,66° Oeste;-10,35;10,35° Sur;Sur-Oeste;Área Sureste de Oceanus Procellarum;42;Fra Mauro;216;No indicado;No indicado;;??;0;0;0;0;0;0;Dato no disponible.;Dato no disponible.;Lanzada el 28 de Julio de 1964 a las 16h 50 mn (UT) desde Cabo Kennedy.;Sonda 3.6 m de altura y 306 kg. 2 cámaras de campo amplio (25 °) y 4 de alta definición (desde 8.4 to 2.1 °). 2 paneles solares de 4.6 m de expansión proporcionando 200W. Sensor óptico terrestre y antena de transmisión de gran ganancia. 2 sistemas de energía interna para una mejor fiabilidad. Grabaciones en cinta magnética y película fotográfica.;68 horas de vuelo. Órbita hiperbólica con un ángulo de 26.8°. 4308 fotografías transmitidas desde las 13h 08 mn hasta las 13h 25mn el 31 de Julio. Última fotografía a 519 m de altitud con una resolución de 50 cm. Impacto a 16 km de distancia del sitio planeado a 2.62 km/s.;;0;Formación invisible;9;Dos días después del Cuarto Creciente;Un día después del Cuarto Menguante;999;Invisible;Invisible
RANGER 8;Sonda / Impacto voluntario;17/02/1965;Ranger 8 (Clase Block 3);(NASA/USA);Inexistente en este periodo;Inexistente en este periodo;Inexistente en este periodo;No hay carácter;;;;;;;;;;24,65;24,65° Este;2,67;2,67° Norte;Norte-Este;Parte al Este de Mare Tranquilitatis;35;Arago;276;No indicado;No indicado;;??;0;0;0;0;0;0;Dato no disponible.;Dato no disponible.;Lanzada el 17 de Febrero de 1965 a las 17h 05mn (UT) desde Cabo Kennedy.;Sonda 3.6 m de altura y 306 kg. 2 cámaras de campo amplio (25 °) y 4 de alta definición (desde 8.4 a 2.1 °). 2 paneles solares 4.6 m de expansión proporcionando 200W. Sensor óptico terrestre y antena de transmisión de gran ganancia. 2 sistemas de energía interna para una mejor fiabilidad. Grabaciones en cinta magnética y película fotográfica.;Pérdida de energía durante el vuelo. 7137 fotografías de ellas 540 de alta resolución transmitidas desde las 9h 34mn (2510 km de altitud) hasta las 9h 57mn. Última fotografía con a 1.5 m resolution. Impacto con un ángulo de 42° permitiendo vistas panorámicas el 20 de Febrero con una velocidad de 2.68 km/h a 70 km de distancia desde el futuro lugar de alunizaje del Apolo 11.;;0;Formación invisible;5;Cinco días después de la Luna Nueva;Cuatro días después de la Luna Llena;999;Invisible;Invisible
RANGER 9;Sonda / Impacto voluntario;21/03/1965;Ranger 9 (Clase Block 3);(NASA/USA);Inexistente en este periodo;Inexistente en este periodo;Inexistente en este periodo;No hay carácter;;;;;;;;;;-2,37;2,37° Oeste;-12,83;12,83° Sur;Sur-Oeste;Área del cráter Ptoleameus;44;Ptolemaeus;;No indicado;No indicado;;??;0;0;0;0;0;0;Dato no disponible.;Dato no disponible.;Lanzada el 21 de Marzo de 1965 a las 21h 37mn (UT) desde Cabo Kennedy.;Sonda 3.6 m de altura y 306 kg. 2 cámaras de campo amplio (25 °) y 4 de alta definición (desde 8.4 a 2.1 °). 2 paneles solares 4.6 m de expansión proporcionando 200W. Sensor óptico terrestre y antena de transmisión de gran ganancia. 2 sistemas de energía interna para una mejor fiabilidad. Grabaciones en cinta magnética y película fotográfica.;5814 fotografías tomadas desde las 13h 49mn (2363 km de altitud) hasta las 14h 08mn el 24 de Marzo.  Última fotografía con una resolución de 30 cm. Impacto a 4.9 km de distancia del sitio planeado con una velocidad de 2.67 km/s. ;;0;Formación invisible;7;Cuarto Creciente;Seis días después de la Luna Llena;999;Invisible;Invisible
LUNA 5;Sonda / Impacto involuntario;09/05/1965;Luna 5 / Lunik 5 (Lunik Clase E-6);(USSR  / RSVN / Korolev);Inexistente en este periodo;Inexistente en este periodo;Inexistente en este periodo;No hay carácter;;;;;;;;;;-25,1;25,1° Oeste;-1,6;1,6° Sur;Sur-Oeste;Área Sureste de Oceanus Procellarum;42;Fra Mauro;252;No indicado;No indicado;;??;0;0;0;0;0;0;Dato no disponible.;Dato no disponible.;Lanzada el 9 de Mayo de 1965 a las 7h 55mn (UT) desde Baikonour.;Sonda 1474 kg. Misma clase que la futura Luna 9. Sonda lunar de superficie de 84 kg de peso contenida en un balón. Impacto de alta velocidad el 9 de Mayo de 1965 por un fallo del retrocohete.;;;0;Formación invisible;9;Dos días después del Cuarto Creciente;Un día después del Cuarto Menguante;999;Invisible;Invisible
LUNA 7;Sonda / Impacto involuntario;03/10/1965;Luna 7 / Lunik 7 (Lunik Clase E-6);(USSR  / RSVN / Korolev);Inexistente en este periodo;Inexistente en este periodo;Inexistente en este periodo;No hay carácter;;;;;;;;;;-40;40,0° Oeste ?;9;9,0° Norte ?;Norte-Oeste;Área Este de Oceanus Procellarum;30;No indicado;;No indicado;No indicado;;??;0;0;0;0;0;0;Dato no disponible.;Dato no disponible.;Lanzada el 3 de Octubre de 1965 desde Baikonour.;Sonda 1474 kg. Misma clase que la futura Luna 9. Sonda lunar de superficie de 84 kg de peso contenida en un balón. Impacto de alta velocidad el 9 de Mayo de 1965 por un fallo del retrocohete.;;;0;Formación invisible;11;Cuatro días después del Cuarto Creciente;Tres días después del Cuarto Menguante;999;Invisible;Invisible
LUNA 8;Sonda / Impacto involuntario;03/12/1965;Luna 8 / Lunik 8 (Lunik Clase E-6);(USSR  / RSVN / Korolev);Inexistente en este periodo;Inexistente en este periodo;Inexistente en este periodo;No hay carácter;;;;;;;;;;-63,1;63,1° Oeste;9,1;9,1° Norte;Norte-Oeste;Limbo Oeste de la Luna;28;Galilei;261;No indicado;No indicado;;??;0;0;0;0;0;0;Dato no disponible.;Dato no disponible.;Lanzada el 3 de Diciembre de 1965 a las 10h 48mn (UT) desde Baikonour.;Sonda 1552 kg. Misma clase que la futura Luna 9. Sonda lunar de superficie de 84 kg de peso contenida en un balón. Podría haber aterrizado suavemente el 7 de Diciembre de 1965. Contacto perdido justo antes de alunizar.;;;0;Formación invisible;12;Cinco días después del Cuarto Creciente;Cuatro días después del Cuarto Menguante;999;Invisible;Invisible
LUNA 9;Sonda / Alunizaje suave;31/01/1966;Luna 9 / Lunik 9 (Lunik Clase E-6);(USSR  / RSVN / Korolev);Inexistente en este periodo;Inexistente en este periodo;Inexistente en este periodo;No hay carácter;;;;;;;;;;-64,3;64,3° Oeste;7,1;7,1° Norte;Norte-Oeste;Limbo Oeste de la Luna;28;Galilei;261;No indicado;No indicado;;??;0;0;0;0;0;0;Dato no disponible.;Dato no disponible.;Lanzada el 31 de Enero de 1966 a las 11 h 45 desde Baikonour.;Sonda 1580 kg. Viaje durante 3.5 días. Retrocohete activado desde 75 km de altitud durante 46s. Sonda lunar de superficie contenida en un balón liberada pocos metros antes del impacto. Primer alunizaje suave el 3 de Febrero de 1966 a las 18h 45mn (UT).;Sonda con superficie en forma de huevo de 82 kg de peso con instrumentos y cámaras. Cuatro paneles solares abiertos tras el alunizaje. Contenedor sellado con calefactor interno y baterías. Cámara de TV con espejo orientable. 3 series de fotografías series con 27 en total de ellas el primer panorama de la superficie lunar.;Confirmación de suelo difícil. Fotografías estéreo obtenidas porque el suelo se movía. Datos de radiaciones. En funcionamiento hasta 7 de febrero cuando las baterías fallaron.;0;Formación invisible;12;Cinco días después del Cuarto Creciente;Cuatro días después del Cuarto Menguante;999;Invisible;Invisible
