NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGHTMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
LUNA 2;Зонд / Преднамеренное столкновение;12.09.1959;Luna 2 / Lunik 2 (Class E-1A);(СССР/Королев);Не существовало в это время;Не существовало в это время;Не существовало в это время;Нет главы;;;;;;;;;;-0,1;0,1° Запад;30,1;30,1° Север;Северо-Запад;Северная область Archimedes;12;Aristillus;333;Не указано;Не указано;;??;0;0;0;0;0;0;Данные недоступны.;Данные недоступны.;Запущен 12 Сентября 1959 в 22 ч. 02 мин. (GMT) с космодрома Байконур.;Зонд без оборудования 1.2 м в диаметре и 390.2 кг. Искусственная комета выпущена в космос для помощи в установлении местонахождений. Подтверждено отсутствие у Луны магнитного поля и радиационного пояса.;Impact at 3.3 km/s with a 60° angle at 21h 02mn 24s in Palus putredinis. First human object to reach another celestial body than Earth. Two capsules 9 and 15 cm wide broken in the impact in pentagons with USSR September 1959 written on them.;30 minutes later, third stage of launch rocket impacts the Moon with unknown coordinates.;0;Невидимое образование;7;Первая Четверть;6 дней после Полнолуния;999;Невидимо;Невидимо
RANGER 4;Зонд / Непреднамеренное столкновение;23.04.1962;Ranger 4 (Class Block 2);(NASA/США);Не существовало в это время;Не существовало в это время;Не существовало в это время;Нет главы;;;;;;;;;;-130,7;130,7° Запад;-15,5;15,5° Юг;Юго-Запад;Не определена;Нет карты;;;Не указано;Не указано;;??;0;0;0;0;0;0;Данные недоступны.;Данные недоступны.;Запущен 23 Апреля 1962 в 20 ч. 50 мин. (GMT) с космодрома на мысе Кеннеди (Канаверал).;Зонд 3.6 м в высоту и 306 кг. 6 камер, из которых 4 высоко разрешения. 2 солнечных панели, размахом в 5.2 м. 140 кг тормозная ракета для ожидаемой мягкой посадки 65 см в диаметре капсулы из пробковой древесины.;Bad functionning of on board computer. No picture transmission. Impact on Farside on April 26, 1962 at 12h 49mn 53s with a 9600 km/h speed.;;0;Невидимое образование;99;Невидимо;Невидимо;999;Невидимо;Невидимо
RANGER 6;Зонд / Преднамеренное столкновение;30.01.1964;Ranger 6 (Class Block 3);Невидимо;Не существовало в это время;Не существовало в это время;Не существовало в это время;Нет главы;;;;;;;;;;21,5;21,5° Восток;9,3;9,3° Север;Северо-Восток;Восточная часть Mare Tranquillitatis;35;Arago;279;Не указано;Не указано;;??;0;0;0;0;0;0;Данные недоступны.;Данные недоступны.;Запущен 30 Января 1964 в 15 ч. 49 мин. (GMT) с космодрома на мысе Кеннеди (Канаверал).;Зонд 3.6 м в высоту и 306 кг. 6 камер, из которых 4 высоко разрешения. 2 солнечных панели, размахом в 4.6 м.;Impact on the February 2, 32 km away from planned site. TV camera failure before the impact.;;0;Невидимое образование;5;5 дней после Новолуния;4 дня после Полнолуния;999;Невидимо;Невидимо
RANGER 7;Зонд / Преднамеренное столкновение;28.07.1964;Ranger 7 (Class Block 3);Невидимо;Не существовало в это время;Не существовало в это время;Не существовало в это время;Нет главы;;;;;;;;;;-20,66;20,66° Запад;-10,35;10,35° Юг;Юго-Запад;Юго-Восточная область Oceanus Procellarum;42;Fra Mauro;216;Не указано;Не указано;;??;0;0;0;0;0;0;Данные недоступны.;Данные недоступны.;Запущен 28 Июля 1964 в 16 ч. 50 мин. (GMT) с космодрома на мысе Кеннеди (Канаверал).;Зонд 3.6 м в высоту и 306 кг. 2 широкоугольных камер (25°) и 4 из них высокого разрешения (от 8.4 to 2.1°). 2 солнечных панели, размахом в 4.6 м, дающие 200 Вт. Оптический наземный датчик и антенна широкого охвата. 2 сети внутренней энергии для большей надежности. Записывающее устройство на магнитной ленте и пленке для бортовой фотосъёмки.;68 h hours flight. Hyperbolical orbit with a 26.8 ° angle. 4308 pictures transmitted from 13h 08 mn to 13h 25mn on 31 July. Last picture at 519 m altitude with a 50 cm resolution. Impact 16 km away from planned site at 2.62 km/s.;;0;Невидимое образование;9;2 дня после Первой Четверти;1 день после Последней Четверти;999;Невидимо;Невидимо
RANGER 8;Зонд / Преднамеренное столкновение;17.02.1965;Ranger 8 (Class Block 3);(NASA/США);Не существовало в это время;Не существовало в это время;Не существовало в это время;Нет главы;;;;;;;;;;24,65;24,65° Восток;2,67;2,67° Север;Северо-Восток;Восточная часть Mare Tranquillitatis;35;Arago;276;Не указано;Не указано;;??;0;0;0;0;0;0;Данные недоступны.;Данные недоступны.;Запущен 17 Февраля 1965 в 17 ч. 05 мин. (GMT) с космодрома на мысе Кеннеди (Канаверал).;Зонд 3.6 м в высоту и 306 кг. 2 широкоугольных камер (25°) и 4 из них высокого разрешения (от 8.4 to 2.1°). 2 солнечных панели, размахом в 4.6 м, дающие 200 Вт. Оптический наземный датчик и антенна широкого охвата. 2 сети внутренней энергии для большей надежности. Записывающее устройство на магнитной ленте и пленке для бортовой фотосъёмки.;Energy lost during flight then return to nominal. 7137 pictures whom 540 high resolution ones transmitted from 9h 34mn (2510 km altitude) to 9h 57mn. Last picture with a 1.5 m resolution. Impact with a 42 ° angle permitting panoramic views on the 20 february with a 2.68 km/h speed 70 km away from future Apollo 11 landing site.;;0;Невидимое образование;5;5 дней после Новолуния;4 дня после Полнолуния;999;Невидимо;Невидимо
RANGER 9;Зонд / Преднамеренное столкновение;21.03.1965;Ranger 9 (Class Block 3);(NASA/США);Не существовало в это время;Не существовало в это время;Не существовало в это время;Нет главы;;;;;;;;;;-2,37;2,37° Запад;-12,83;12,83° Юг;Юго-Запад;Область кратера Ptoleameus;44;Ptolemaeus;;Не указано;Не указано;;??;0;0;0;0;0;0;Данные недоступны.;Данные недоступны.;Запущен 21 Марта 1965 в 21 ч. 37 мин. (GMT) с космодрома на мысе Кеннеди (Канаверал).;Зонд 3.6 м в высоту и 306 кг. 2 широкоугольных камер (25°) и 4 из них высокого разрешения (от 8.4 to 2.1°). 2 солнечных панели, размахом в 4.6 м, дающие 200 Вт. Оптический наземный датчик и антенна широкого охвата. 2 сети внутренней энергии для большей надежности. Записывающее устройство на магнитной ленте и пленке для бортовой фотосъёмки.;5814 pictures taken from 13h 49mn (2363 km altitude) to 14h 08mn on 24 March. Last picture with a 30 cm resolution. Impact 4.9 km away from planned site with a 2.67 km/s speed.;;0;Невидимое образование;7;Первая Четверть;6 дней после Полнолуния;999;Невидимо;Невидимо
LUNA 5;Зонд / Непреднамеренное столкновение;09.05.1965;Luna 5 / Lunik 5 (Lunik Class E-6);(СССР/RSVN/Королев);Не существовало в это время;Не существовало в это время;Не существовало в это время;Нет главы;;;;;;;;;;-25,1;25,1° Запад;-1,6;1,6° Юг;Юго-Запад;Юго-Восточная область Oceanus Procellarum;42;Fra Mauro;252;Не указано;Не указано;;??;0;0;0;0;0;0;Данные недоступны.;Данные недоступны.;Запущен 9 Мая 1965 в 7 ч. 55 мин. (GMT) с космодрома Байконур.;Зонд 1474 кг. Такого же класса, как будущий Луна 9. Зонд лунной поверхности, массой в 84 кг, находящийся  в аэростате. Столкновение на высокой скорости 9 Мая 1965 г., в связи с отказом тормозной ракеты.;;;0;Невидимое образование;9;2 дня после Первой Четверти;1 день после Последней Четверти;999;Невидимо;Невидимо
LUNA 7;Зонд / Непреднамеренное столкновение;03.10.1965;Luna 7 / Lunik 7 (Lunik Class E-6);(СССР/RSVN/Королев);Не существовало в это время;Не существовало в это время;Не существовало в это время;Нет главы;;;;;;;;;;-40;40,0° Запад ?;9;9,0° Север ?;Северо-Запад;Восточная область Oceanus Procellarum;30;Не указано;;Не указано;Не указано;;??;0;0;0;0;0;0;Данные недоступны.;Данные недоступны.;Запущен 3 Октября 1965 с космодрома Байконур.;Зонд 1474 кг. Такого же класса, как будущий Луна 9. Зонд лунной поверхности, массой в 84 кг, находящийся  в аэростате. Столкновение на высокой скорости 9 Мая 1965 г., в связи с отказом тормозной ракеты.;;;0;Невидимое образование;11;4 дня после Первой Четверти;3 дня после Последней Четверти;999;Невидимо;Невидимо
LUNA 8;Зонд / Непреднамеренное столкновение;03.12.1965;Luna 8 / Lunik 8 (Lunik Class E-6);(СССР/RSVN/Королев);Не существовало в это время;Не существовало в это время;Не существовало в это время;Нет главы;;;;;;;;;;-63,1;63,1° Запад;9,1;9,1° Север;Северо-Запад;Западный лимб Луны;28;Galilei;261;Не указано;Не указано;;??;0;0;0;0;0;0;Данные недоступны.;Данные недоступны.;Запущен 3 Декабря 1965 в 10 ч. 48 мин. (GMT) с космодрома Байконур.;Зонд 1552 кг. Такого же класса, как будущий Луна 9. Зонд лунной поверхности, массой в 84 кг, находящийся  в аэростате. Мог мягко прилуниться 7 Декабря 1965 г. Контакт потерян прямо перед прилунением.;;;0;Невидимое образование;12;5 дней после Первой Четверти;4 дня после Последней Четверти;999;Невидимо;Невидимо
LUNA 9;Зонд / Мягкая посадка;31.01.1966;Luna 9 / Lunik 9 (Lunik Class E-6);(СССР/RSVN/Королев);Не существовало в это время;Не существовало в это время;Не существовало в это время;Нет главы;;;;;;;;;;-64,3;64,3° Запад;7,1;7,1° Север;Северо-Запад;Западный лимб Луны;28;Galilei;261;Не указано;Не указано;;??;0;0;0;0;0;0;Данные недоступны.;Данные недоступны.;Запущен 31 Января 1966 в 11 h 45 с космодрома Байконур.;Зонд 1580 кг. Полет - 3,5 дня. Тормозная ракета активирована на высоте 75 км в течение 46 сек. Зонд лунной поверхности, находящийся  в аэростате выпущен за несколько метров до столкновения. Первая лунная мягкая посадка 3 Февраля 1966 г. в 18 ч. 45 мин. (UT).;Egg shaped surface probe 82 kg with instruments and cameras. Four solar panels opened after landing. Sealed container with internal heating and batteries. TV camera with orientable mirror. 3 pictures series with 27 total whom first lunar surface panorama.;Hard soil confirmation. Stereo pictures obtained because of movement soil. Radiations datas. Functionnal until 7 february when batteries failed.;0;Невидимое образование;12;5 дней после Первой Четверти;4 дня после Последней Четверти;999;Невидимо;Невидимо
