NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGHTMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
ABBOT;Crater;Imbrian (From -3.85 billions years to -3.2 billions years) ?;Charles Greeley Abbot (ex Apollonius K);(??);Not named;Not named;Not named;Astrophysicist;U. S. A.;american;20;20 th century;Wilton;1872;Washington;1973;Director of the observatory of the Smithsonian Institution. Determination of the value of the solar constant and the distribution of energy in the solar spectrum.;54,8;54.8° East;5,6;5.6° North;North-East;North edge of Mare Fecunditatis;37;Taruntius;229;3c2;315C 124C;;;10;10;6;6;?;?;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Circular formation isolated with bowl shape.;Pretty steep slopes.;Few high walls.;Rounded floor.;1;Low interest or difficult formation;3;3 days after New Moon;2 days after Full Moon;50;50 mm refractor;100 mm refractor
ABEL;Crater;Pre-Nectarian (From -4.55 billions years to -3.92 billions years);Niels Henrik Abel;Franz (1913);Not named;Not named;Not named;Mathematician;Norway;norwegian;19;19 th century;Finnoy Island;1802;Arendal;1829;Specialist of the theory of elliptic integrals and works on the so called abelian integrals.;85;85.0° East;-34,6;34.6° South;South-East;Moon South-East limb;69;Furnerius;112;;291S Q4SE;;IV-009-H3;117;117;69;69;?;?;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Circular formation situated in the zone of librations.;Few steep slopes supporting Abel L to the West, Barnard and Abel A to the North.;Few high walls almost gobbled to the East in the Mare Australe lava.;Flat floor filled with lava supporting a ghost crater to the North-east.;2;Pretty interesting formation;2;2 days after New Moon;1 day after Full Moon;5;Naked eye;10x binoculars
ABENEZRA;Crater;Upper Imbrian (From -3.8 billions years to -3.2 billions years);Abraham Bar Rabbi ben Ezra;Riccioli (1651);Schirley;Not named;Abenezra;Philosopher and astronomer;Spain;spanish;12;12 th century;?;1092;?;1167;??;11,9;11.9° East;-21;21.0° South;South-East;East of Catharina crater region;56;Azophi;154;13d3;351S 357S 154S 161S 167S;;IV-096-H1;43;43;25;25;3730;11300;0,0888;A_______________________A;Circular formation with hexagon shape composing a remarkable gathering with Azophi and Abenezra C;Pretty steep slopes crushing Abenezra C to the West and supporting Azophi to the South-West.;Walls in high terraces.;Tormented floor.  Circular crest lines. Hills.;4;Exceptional formation;6;6 days after New Moon;5 days after Full Moon;30;10x binoculars;50 mm refractor
ABETTI;Crater;Imbrian (From -3.85 billions years to -3.2 billions years) ?;Antonio Abetti;(??);Not named;Not named;Not named;Astronomer;Italy;italian;19;19 th century;?;1846;?;1928;??;27,7;27.7° East;19,9;19.9° North;North-East;South-East part of Mare Serenitatis;24;Bessel;284;;343C 143C 148C;;;17;17;10;10;?;?;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Ghost circular formation.;Almost flat slopes.;Very flat walls.;Flat floor filled with the lava of Mare Serenitatis.;2;Pretty interesting formation;5;5 days after New Moon;4 days after Full Moon;50;50 mm refractor;100 mm refractor
ABULFEDA;Crater;Typical Nectarian (From -3.92 billions years to -3.85 billions years);Isma'il Abu al-Fida;Riccioli (1651);Derkenni;Not named;Abulfeda;Historian;Araby;arabian;14;14 th century;Damas;1273;Hamah;1331;"Prince of the dynasty of Ayyubides. Author of  the ""History"" that follows Ibn al-Athir work";13,9;13.9° East;-13,8;13.8° South;South-East;East of Ptolemaeus crater region;45;Andel;202;13c5 / 13d5;351C/S 154C/S 16LS 167C;;IV-089-H2;65;65;38;38;3110;9400;0,0502;A__________________________________________A;Damaged circular formation.;Steep slopes supporting many craterlets whose Abulfeda R to the North-West and Abulfeda S and W to the North.;Very high walls in terraces overlapped by Catena Abulfeda to the South and by Abulfeda U & Y to the North.;Extensive flat floor filled with lava.  White stpot off center and hills.  Craterlets to the North-East and to the South-West.;3;Very interesting formation;6;6 days after New Moon;5 days after Full Moon;30;10x binoculars;50 mm refractor
ACOSTA;Crater;Copernician (From -1.1 billions years to present days) ?;Cristobal Acosta (ex Langrenus C);(??);Not named;Not named;Not named;Doctor and historian;Portugal;portugese;16;16 th century;?;1515;?;1580;??;60,1;60.1° East;-5,6;5.6° South;South-East;Moon East limb;49;Langrenus;189;15b6 / 15c6;105C 112C 119C;;;14;14;8;8;1750;5300;0,1346;A______________A;Circular formation with bowl shape situated on the North slope of Langrenus;Pretty steep slopes.;Pretty high walls.;Rounded floor.;2;Pretty interesting formation;3;3 days after New Moon;2 days after Full Moon;50;50 mm refractor;100 mm refractor
ADAMS;Crater;Nectarian (From -3.92 billions years to -3.85 billions years);John Couch Adams;Birt / Lee (1865);Not named;Not named;Not named;Astronomer;Great Britain;british;19;19 th century;Laneast;1819;Cambridge;1892;Has demonstrated the existence and indicated the position of Neptune independently of Le Verrier, but his works have not been published by the Royal Observatory.;68;68.0° East;-31,9;31.9° South;South-East;Moon South-East limb;69;Furnerius;113;15d1 / 16b7;303S Q4SE 099C 105C 112C;;IV-038-H3 IV-096-H2 IV-039-H1 IV-184-H2;68;68;40;40;?;?;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Isolated circular formation;Pretty steep slopes supporting Adams B to the West and Adams D to the East.;Pretty high walls in terraces overlapped by two craterlets to the North and a crater to the South.;Flat floor with craterlets whose a central.;3;Very interesting formation;2;2 days after New Moon;1 day after Full Moon;30;10x binoculars;50 mm refractor
AGATHARCHIDES;Crater;Pre-Imbrian (From -4.55 billions years to -3.85 billions years) ?;Agatharchide;Mädler (1837);Not named;Not named;Not named;Geographer and historian;Greece;greek;-2;2 nd century BC;?;about 100 BC;?;?;??;-30,9;30.9° West;-19,8;19.8° South;South-West;Mare Humorum region;52;Gassendi;172;9f4 / 11b3;036C/S 040C/S 048C/S 201C 2055;;IV-132-H1;51;51;30;30;1180;3600;0,0241;A__________________________________________________________________________________________A;Damaged formation partly submerged by the lava of Oceanus Procellarum.;Steep slopes supporting many craterlets.;Few high walls partially destroyed to the North and ridden by Agatharchides F to the South-West.;Extensive flat floor filled with dark lava.  Ruins of central mountain.;3;Very interesting formation;10;3 days after First Quarter;2 days after Last Quarter;30;10x binoculars;50 mm refractor
AGRIPPA;Crater;Eratosthenian (From -3.2 billions years to -1.1 billions years);Agrippa;Riccioli (1651);Urselii;Mons Ida;Agrippa;Astronomer;Greece;greek;1;1 st century;?;about 50;?;?;Observer in 92 of an eclipse of Pleiads by the Moon.;10,5;10.5° East;4,1;4.1° North;North-East;East of Mare Tranquillitatis region;34;Hyginus;282;1e2 / 13d8;351C 357C 161C 167C;;IV-097-H1;48;48;28;28;3100;9400;0,0674;A_______________________________A;Circular  Formation with destructed shape to the South-West.;Steep slopes supporting Agrippa F and Tempel to the East.;Walls in terraces supporting Agrippa H to the North.;Pretty flat floor.  Central mountain.  Hills and debris to the West.  Rille and craterlets.;3;Very interesting formation;6;6 days after New Moon;5 days after Full Moon;30;10x binoculars;50 mm refractor
AIRY;Crater;Pre-Imbrian (From -4.55 billions years to -3.85 billions years) ?;Sir George Bidel Airy;Mädler (1837);Crequii;Not named;Not named;Astronomer;England;english;19;19 th century;Alnwick;1801;London;1892;Director of the Observatory of Greenwich in 1835. Works on the celestial mechanics. Author of a theory on the diffraction of the light.;5,7;5.7° East;-18,1;18.1° South;South-East;East of Catharina crater region;56;Azophi;204;13e5 / 13f5;357S 003S 161S 167S 174S;;;37;37;22;22;?;?;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Wrecked formation forming an aligned trio North - South with Argelander and Vogel.;Pretty steep slopes supporting Argelander to the North Airy D to the North-West and Airy G to the South-East.;Tormented and high walls ridden to the South by Airy H.;Irregular Few widened floor.  Double central mountain.;3;Very interesting formation;7;First Quarter;6 days after Full Moon;30;10x binoculars;50 mm refractor
