NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU;
ABBOT;Cratere;Imbriano (da -3.85 miliardi di anni a -3.2 miliardi di anni) ?;Charles Greeley Abbot (ex Apollonius K);(??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astrofisico;USA;americano;20;20° secolo;Wilton;1872;Washington;1973;Direttore dell'Osservatorio dello 'Smithsonian Institution'. Determinazione del valore della costante solare e della distribuzione dell'energia nello spettro solare.;54.8;54.8° Est;5.6;5.6° Nord;Nord-Est;Bordo Settentrionale del Mare Fecunditatis;37;Taruntius;229;3c2;315C 124C;;;10;10;6;6;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti abbastanza scoscesi.;Pareti poco elevate.;Fondo arrotondato.;1;Formazione di scarso interesse;3;3 giorni dopo la Luna Nuova;2 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;54.8
ABEL;Cratere;Pre-Nectariano (da -4.55 miliardi di anni a -3.92 miliardi di anni);Niels Henrik Abel;Franz (1913);Nome non assegnato;Nome non assegnato;Nome non assegnato;Matematico;Norvegia;norvegese;19;19° secolo;Isola di Finnoy;1802;Arendal;1829;Specialista della teoria degli integrali ellittici e lavori sui cosiddetti integrali abeliani.;85;85.0° Est;-34.6;34.6° Sud;Sud-Est;Bordo Sud-Orientale della Luna;69;Furnerius;112;;291S Q4SE;;IV-009-H3;117;117;69;69;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare situata nella zona delle librazioni.;Versanti poco scoscesi su cui si trovano Abel L ad Ovest, Barnard e Abel A a Nord.;Pareti poco elevate quasi inglobate ad Est nella lava del Mare Australe.;Fondo piatto riempito di lava che sorregge un cratere fantasma a Nord-Est.;2;Formazione abbastanza interessante;2;2 giorni dopo la Luna Nuova;1 giorno dopo la Luna Piena;5;Occhio nudo;Binocolo 10x;85
ABENEZRA;Cratere;Imbriano Superiore (da -3.8 miliardi di anni a -3.2 miliardi di anni);Abraham Bar Rabbi ben Ezra;Riccioli (1651);Schirley;Nome non assegnato;Abenezra;Filosofo e astronomo;Spagna;spagnolo;12;12° secolo;?;1092;?;1167;??;11.9;11.9° Est;-21;21.0° Sud;Sud-Est;Regione ad Est del cratere Catharina;56;Azophi;154;13d3;351S 357S 154S 161S 167S;;IV-096-H1;43;43;25;25;3730;11300;0.0888;A_______________________A;Formazione circolare di forma esagonale che costituisce una notevole composizione insieme a Azophi e Abenezra C;Versanti abbastanza scoscesi che hanno rovinato Abenezra C ad Ovest e su cui si trova Azophi a Sud-Ovest.;Pareti con alti terrazzamenti.;Fondo tormentato.  Linee di creste circolari. Collinette.;4;Formazione eccezionale;6;6 giorni dopo la Luna Nuova;5 giorni dopo la Luna Piena;30;Binocolo 10x;Rifrattore da 50 mm;
ABETTI;Cratere;Imbriano (da -3.85 miliardi di anni a -3.2 miliardi di anni) ?;Antonio Abetti;(??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo;Italia;italiano;19;19° secolo;?;1846;?;1928;??;27.7;27.7° Est;19.9;19.9° Nord;Nord-Est;Parte Sud-Orientale del Mare Serenitatis;24;Bessel;284;;343C 143C 148C;;;17;17;10;10;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare fantasma.;Versanti quasi piatti.;Pareti molto piatte.;Fondo piatto riempito con la lava del Mare Serenitatis.;2;Formazione abbastanza interessante;5;5 giorni dopo la Luna Nuova;4 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;
ABULFEDA;Cratere;Nectariano Tipico (da -3.92 miliardi di anni a -3.85 miliardi di anni);Isma'il Abu al-Fida;Riccioli (1651);Derkenni;Nome non assegnato;Abulfeda;Storico;Arabia;arabo;14;14° secolo;Damasco;1273;Hamah;1331;Principe della dinastia degli Ayyubides. Autore della 'Storia' che descrive i lavori di Ibn al-Athir.;13.9;13.9° Est;-13.8;13.8° Sud;Sud-Est;Regione ad Est del cratere Ptolemaeus;45;Andel;202;13c5 / 13d5;351C/S 154C/S 16LS 167C;;IV-089-H2;65;65;38;38;3110;9400;0.0502;A__________________________________________A;Formazione circolare danneggiata.;Versanti scoscesi su cui si trovano molti piccoli crateri tra cui Abulfeda R a Nord-Ovest e Abulfeda S e W a Nord.;Pareti molto alte e terrazzate, su cui si sovrappongono la Catena Abulfeda a Sud e Abulfeda U e Y a Nord.;Esteso fondo piatto riempito di lava.  Macchie bianche decentrate e colline.  Piccoli crateri a Nord-Est e a Sud-Ovest.;3;Formazione molto interessante;6;6 giorni dopo la Luna Nuova;5 giorni dopo la Luna Piena;30;Binocolo 10x;Rifrattore da 50 mm;Faccia visibile
ACOSTA;Cratere;Copernicano (da -1.1 miliardi di anni ad oggi) ?;Cristobal Acosta (ex Langrenus C);(??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Medico e storico;Portogallo;portoghese;16;16° secolo;?;1515;?;1580;??;60.1;60.1° Est;-5.6;5.6° Sud;Sud-Est;Bordo Orientale della Luna;49;Langrenus;189;15b6 / 15c6;105C 112C 119C;;;14;14;8;8;1750;5300;0.1346;A______________A;Formazione circolare a forma di conca situata sul versante Nord di Langrenus;Versanti abbastanza scoscesi.;Pareti abbastanza alte.;Fondo arrotondato.;2;Formazione abbastanza interessante;3;3 giorni dopo la Luna Nuova;2 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;
ADAMS;Cratere;Nectariano (da -3.92 miliardi di anni a -3.85 miliardi di anni);John Couch Adams;Birt / Lee (1865);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo;Gran Bretagna;britannico;19;19° secolo;Laneast;1819;Cambridge;1892;Ha dimostrato l'esistenza e ha indicato la posizione di Nettuno, indipendentemente da Le Verrier, ma i suoi lavori non sono stati pubblicati dal 'Royal Observatory'.;68;68.0° Est;-31.9;31.9° Sud;Sud-Est;Bordo Sud-Orientale della Luna;69;Furnerius;113;15d1 / 16b7;303S Q4SE 099C 105C 112C;;IV-038-H3 IV-096-H2 IV-039-H1 IV-184-H2;68;68;40;40;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata.;Versanti abbastanza scoscesi su cui si trovano Adams B ad Ovest e Adams D ad Est.;Pareti abbastanza alte e terrazzate, su cui si sovrappongono due piccoli crateri a Nord e un cratere a Sud.;Fondo piatto con piccoli crateri, di cui uno centrale.;3;Formazione molto interessante;2;2 giorni dopo la Luna Nuova;1 giorno dopo la Luna Piena;30;Binocolo 10x;Rifrattore da 50 mm;
AGATHARCHIDES;Cratere;Pre-Imbriano (da -4.55 miliardi di anni a -3.85 miliardi di anni) ?;Agatharchide;Mädler (1837);Nome non assegnato;Nome non assegnato;Nome non assegnato;Geografo e storico;Grecia;greco;-2;2° secolo a.C.;?;100 a.C. circa;?;?;??;-30.9;30.9° Ovest;-19.8;19.8° Sud;Sud-Ovest;Regione del Mare Humorum;52;Gassendi;172;9f4 / 11b3;036C/S 040C/S 048C/S 201C 2055;;IV-132-H1;51;51;30;30;1180;3600;0.0241;A__________________________________________________________________________________________A;Formazione danneggiata parzialmente sommersa dalla lava dell'Oceanus Procellarum.;Versanti scoscesi su cui si trovano molti piccoli crateri.;Pareti poco elevate, parzialmente distrutte a Nord, e sormontate da Agatharchides F a Sud-Ovest.;Esteso fondo piatto riempito di lava scura.  Resti di montagna centrale.;3;Formazione molto interessante;10;3 giorni dopo il Primo Quarto;2 giorni dopo l'Ultimo Quarto;30;Binocolo 10x;Rifrattore da 50 mm;
AGRIPPA;Cratere;Eratosteniano (da -3.2 miliardi di anni a -1.1 miliardi di anni);Agrippa;Riccioli (1651);Urselii;Mons Ida;Agrippa;Astronomo;Grecia;greco;1;1° secolo d.C.;?;51 d.C. circa;?;?;Ha osservato nell'anno 92 d.C. una occultazione delle Pleiadi da parte della Luna.;10.5;10.5° Est;4.1;4.1° Nord;Nord-Est;Regione ad Est del Mare Tranquillitatis;34;Hyginus;282;1e2 / 13d8;351C 357C 161C 167C;;IV-097-H1;48;48;28;28;3100;9400;0.0674;A_______________________________A;Formazione circolare in parte in rovina verso Sud-Ovest.;Versanti scoscesi su cui si trovano Agrippa F e Tempel ad Est.;Pareti terrazzate su cui si trova Agrippa H a Nord.;Fondo abbastanza piatto.  Montagna centrale.  Collinette e detriti ad Ovest.  Solco e piccoli crateri.;3;Formazione molto interessante;6;6 giorni dopo la Luna Nuova;5 giorni dopo la Luna Piena;30;Binocolo 10x;Rifrattore da 50 mm;
AIRY;Cratere;Pre-Imbriano (da -4.55 miliardi di anni a -3.85 miliardi di anni) ?;Sir George Bidel Airy;Mädler (1837);Crequii;Nome non assegnato;Nome non assegnato;Astronomo;Inghilterra;inglese;19;19° secolo;Alnwick;1801;Londra;1892;Direttore dell'Osservatorio di Greenwich nel 1835. Lavori sulla meccanica celeste. Autore della teoria della diffrazione della luce.;5.7;5.7° Est;-18.1;18.1° Sud;Sud-Est;Regione ad Est del cratere Catharina;56;Azophi;204;13e5 / 13f5;357S 003S 161S 167S 174S;;;37;37;22;22;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione distrutta che forma un trio allineato Nord Sud con Argelander e Vogel.;Versanti abbastanza scoscesi su cui si trovano Argelander a Nord, Airy D a Nord-Ovest, e Airy G a Sud-Est.;Pareti alte e tormentate, sormontate a Sud da Airy H.;Fondo irregolare poco esteso.  Doppia montagna centrale.;3;Formazione molto interessante;7;al Primo Quarto;6 giorni dopo la Luna Piena;30;Binocolo 10x;Rifrattore da 50 mm;
