NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
ABEL A;Cratère;;Niels Henrik Abel;(Mädler 1837 ou IAU 19.. ??);Non nommé;Non nommé;Non nommé;Mathématicien;Norvège;norvégien;19;19 ème siècle;Ile de Finnoy;1802;Arendal;1829;Spécialiste de la théorie des intégrales elliptiques et travaux sur les intégrales dites abéliennes.;86;86,00 ° Est ;-36,6;36,6 ° Sud;Sud-Est;Limbe Sud-Est de la Lune;69;Furnerius ?;??;Non indiqué;Non indiqué;;??;19;19;11;11;?;?;Hauteur inconnue. Calcul impossible.;Hauteur inconnue. Visualisation impossible.;;;;;0;Non côté;2;Deux jours après la Nouvelle Lune;Un jour après la Pleine Lune;50;Lunette 50 mm;Lunette 100 mm
ABEL B;Cratère;;Niels Henrik Abel;(Mädler 1837 ou IAU 19.. ??);Non nommé;Non nommé;Non nommé;Mathématicien;Norvège;norvégien;19;19 ème siècle;Ile de Finnoy;1802;Arendal;1829;Spécialiste de la théorie des intégrales elliptiques et travaux sur les intégrales dites abéliennes.;82,8;82,80 ° Est ;-36,7;36,7 ° Sud;Sud-Est;Limbe Sud-Est de la Lune;69;Furnerius ?;??;Non indiqué;Non indiqué;;??;41;41;24;24;?;?;Hauteur inconnue. Calcul impossible.;Hauteur inconnue. Visualisation impossible.;;;;;0;Non côté;2;Deux jours après la Nouvelle Lune;Un jour après la Pleine Lune;30;Jumelles x 10;Lunette 50 mm
ABEL C;Cratère;;Niels Henrik Abel;(Mädler 1837 ou IAU 19.. ??);Non nommé;Non nommé;Non nommé;Mathématicien;Norvège;norvégien;19;19 ème siècle;Ile de Finnoy;1802;Arendal;1829;Spécialiste de la théorie des intégrales elliptiques et travaux sur les intégrales dites abéliennes.;81;81,00 ° Est ;-36;36 ° Sud;Sud-Est;Limbe Sud-Est de la Lune;69;Furnerius ?;??;Non indiqué;Non indiqué;;??;31;31;18;18;?;?;Hauteur inconnue. Calcul impossible.;Hauteur inconnue. Visualisation impossible.;;;;;0;Non côté;2;Deux jours après la Nouvelle Lune;Un jour après la Pleine Lune;30;Jumelles x 10;Lunette 50 mm
ABEL D;Cratère;;Niels Henrik Abel;(Mädler 1837 ou IAU 19.. ??);Non nommé;Non nommé;Non nommé;Mathématicien;Norvège;norvégien;19;19 ème siècle;Ile de Finnoy;1802;Arendal;1829;Spécialiste de la théorie des intégrales elliptiques et travaux sur les intégrales dites abéliennes.;87,7;87,70 ° Est ;-37,7;37,7 ° Sud;Sud-Est;Limbe Sud-Est de la Lune;69;Furnerius ?;??;Non indiqué;Non indiqué;;??;30;30;18;18;?;?;Hauteur inconnue. Calcul impossible.;Hauteur inconnue. Visualisation impossible.;;;;;0;Non côté;2;Deux jours après la Nouvelle Lune;Un jour après la Pleine Lune;30;Jumelles x 10;Lunette 50 mm
ABEL E;Cratère;;Niels Henrik Abel;(Mädler 1837 ou IAU 19.. ??);Non nommé;Non nommé;Non nommé;Mathématicien;Norvège;norvégien;19;19 ème siècle;Ile de Finnoy;1802;Arendal;1829;Spécialiste de la théorie des intégrales elliptiques et travaux sur les intégrales dites abéliennes.;86,5;86,50 ° Est ;-37,8;37,8 ° Sud;Sud-Est;Limbe Sud-Est de la Lune;69;Furnerius ?;??;Non indiqué;Non indiqué;;??;13;13;8;8;?;?;Hauteur inconnue. Calcul impossible.;Hauteur inconnue. Visualisation impossible.;;;;;0;Non côté;2;Deux jours après la Nouvelle Lune;Un jour après la Pleine Lune;50;Lunette 50 mm;Lunette 100 mm
ABEL J;Cratère;;Niels Henrik Abel;(Mädler 1837 ou IAU 19.. ??);Non nommé;Non nommé;Non nommé;Mathématicien;Norvège;norvégien;19;19 ème siècle;Ile de Finnoy;1802;Arendal;1829;Spécialiste de la théorie des intégrales elliptiques et travaux sur les intégrales dites abéliennes.;79;79,00 ° Est ;-35,5;35,5 ° Sud;Sud-Est;Limbe Sud-Est de la Lune;69;Furnerius ?;??;Non indiqué;Non indiqué;;??;11;11;6;6;?;?;Hauteur inconnue. Calcul impossible.;Hauteur inconnue. Visualisation impossible.;;;;;0;Non côté;2;Deux jours après la Nouvelle Lune;Un jour après la Pleine Lune;50;Lunette 50 mm;Lunette 100 mm
ABEL K;Craterlet;;Niels Henrik Abel;(Mädler 1837 ou IAU 19.. ??);Non nommé;Non nommé;Non nommé;Mathématicien;Norvège;norvégien;19;19 ème siècle;Ile de Finnoy;1802;Arendal;1829;Spécialiste de la théorie des intégrales elliptiques et travaux sur les intégrales dites abéliennes.;77,2;77,20 ° Est ;-35;35 ° Sud;Sud-Est;Limbe Sud-Est de la Lune;69;Furnerius ?;??;Non indiqué;Non indiqué;;??;9;9;5;5;?;?;Hauteur inconnue. Calcul impossible.;Hauteur inconnue. Visualisation impossible.;Formation isolée circulaire en forme de bol.;Versants peu escarpés.;Murailles peu élevées.;Fond arrondi.;0;Non côté;2;Deux jours après la Nouvelle Lune;Un jour après la Pleine Lune;50;Lunette 50 mm;Lunette 100 mm
ABEL L;Cratère;;Niels Henrik Abel;(Mädler 1837 ou IAU 19.. ??);Non nommé;Non nommé;Non nommé;Mathématicien;Norvège;norvégien;19;19 ème siècle;Ile de Finnoy;1802;Arendal;1829;Spécialiste de la théorie des intégrales elliptiques et travaux sur les intégrales dites abéliennes.;82,6;82,60 ° Est ;-34,4;34,4 ° Sud;Sud-Est;Limbe Sud-Est de la Lune;69;Furnerius ?;??;Non indiqué;Non indiqué;;??;67;67;39;39;?;?;Hauteur inconnue. Calcul impossible.;Hauteur inconnue. Visualisation impossible.;;;;;0;Non côté;2;Deux jours après la Nouvelle Lune;Un jour après la Pleine Lune;30;Jumelles x 10;Lunette 50 mm
ABEL M;Cratère;;Niels Henrik Abel;(Mädler 1837 ou IAU 19.. ??);Non nommé;Non nommé;Non nommé;Mathématicien;Norvège;norvégien;19;19 ème siècle;Ile de Finnoy;1802;Arendal;1829;Spécialiste de la théorie des intégrales elliptiques et travaux sur les intégrales dites abéliennes.;83,6;83,60 ° Est ;-32,2;32,2 ° Sud;Sud-Est;Limbe Sud-Est de la Lune;69;Furnerius ?;??;Non indiqué;Non indiqué;;??;81;81;48;48;?;?;Hauteur inconnue. Calcul impossible.;Hauteur inconnue. Visualisation impossible.;;;;;0;Non côté;2;Deux jours après la Nouvelle Lune;Un jour après la Pleine Lune;30;Jumelles x 10;Lunette 50 mm
ABENEZRA A;Cratère;;Abraham Bar Rabbi ben Ezra;(Mädler 1837 ou IAU 19.. ??);Non nommé;Non nommé;Non nommé;Philosophe et astronome;Espagne;espagnol;12;12 ème siècle;?;1092;?;1167;??;10,5;10,50 ° Est ;-22,8;22,8 ° Sud;Sud-Est;Région à l'Ouest du cratère Catherine;56;Azophi ?;??;Non indiqué;Non indiqué;;??;23;23;14;14;?;?;Hauteur inconnue. Calcul impossible.;Hauteur inconnue. Visualisation impossible.;;;;;0;Non côté;6;Six jours après la Nouvelle Lune;Cinq jours après la Pleine Lune;30;Jumelles x 10;Lunette 50 mm
