GLO_WORD;GLO_TEXT
АБСОЛЮТНАЯ ВЫСОТА;Луна - это сфера со средним радиусом 1737 км. Значения абсолютных высот, указанные на различных картах связаны с этим радиусом. Абсолютная высота образований может иметь отрицательное значение.
АЛЬБЕДО;Отношение между количеством света, полученным небесным телом и отраженным. Полностью отражающее тело имеет альбедо, равное 1, а у полностью поглощающего свет - 0.
АНОМАЛИСТИЧЕСКИЙ МЕСЯЦ;Период времени, разделяющий два положения Луны на <a href="#ПЕРИГЕЛИЙ">перигелии</a> лунной орбиты.
АПОГЕЙ;Самая дальняя точка эллиптической орбиты Земли, обращающейся вокруг небесного тела.
АПОЛЛО (APOLLO);Американская программа высадки на Луне.
БАЗА ДАННЫХ;База данных Виртуального Атласа Луны, созданная Кристианом Леграном (Christian Legrand).
БАЗАЛЬТ;Вулканическая порода, которая может быть найден в виде затвердевшей <a href="#ЛАВА">лавы</a> и присутствует в магме. Несколько ее типов были найдены в лунных породах, доставленных на Землю <a href="#АПОЛЛО (APOLLO)">Аполлонами</a>.
БОРОЗДА;Линейные и извилистые образования, в основном найденные в <a href="#МОРЕ">морях</a>. Это древние потоки <a href="#ЛАВА">лавы</a> либо древние туннели <a href="#ЛАВА">лавы</a>, чья крыша обрушилась.
ВАЛЛИС (VALLIS,ДОЛИНА);Латинский термин, используемый Международным Астрономическим союзом (<a href="#МАС (IAU)">IAU</a>) для официального обозначения <a href="#ДОЛИНА">долин</a>.
ВЕЧЕРНИЙ ТЕРМИНАТОР;Это область лунной поверхности, где заходит Солнце. Для земного наблюдателя видимо в период между <a href="#ПОЛНОЛУНИЕ">полнолунием</a> и <a href="#НОВОЛУНИЕ">новолунием</a>... в Утреннее время.
ВИДИМАЯ СТОРОНА;Часть лунного диска всегда видимая с Земли.
ВОЗРАСТ ЛУНЫ;Период времени в днях, прошедший с последнего <a href="#НОВОЛУНИЕ">новолуния</a>.
ВРАЩЕНИЕ;Время необходимое небесному телу, чтобы совершить полный оборот вокруг своей оси (для внешнего наблюдателя).
ВТОРАЯ КОСМИЧЕСКАЯ СКОРОСТЬ;Минимальная скорость, необходимая для преодоления гравитационного притяжения небесного тела.
ВЫСОТА;В базе данных - высотой является <a href="#ОТНОСИТЕЛЬНАЯ ВЫСОТА">относительная высота</a>, зависящая от окружающего рельефа.
