NAME;F_LATIN;F_LONGIN;PLATE;IMAGE;LATIN;LONGIN
ABBE;-57.3;+175.2;V-043-M;v_043_m;-47.43;+151.42
ABBE;-57.3;+175.2;V-065-M;v_065_m;-48.77;+168.61
ABEL;-34.5;+87.3;IV-009-H3;iv_009_h3;-41.79;-96.2
ABENEZRA;-21.0;+11.9;IV-096-H1;iv_096_h1;-15.18;-10.67
ABETTI;+19.9;+27.7;IV-085-H3;iv_085_h3;+12.99;-23.94
ABUL WAFA;+1.0;+116.6;I-136-M;i_136_m;-5.4;-129.34
ABULFEDA;-13.8;+13.9;IV-089-H2;iv_089_h2;-15.09;-16.9
ABULFEDA;-13.8;+13.9;IV-096-H2;iv_096_h2;-15.18;-10.67
ABULFEDA;-13.8;+13.9;IV-096-M;iv_096_m;-15.17;-10.67
ACOSTA;-5.6;+60.1;IV-046-H3;iv_046_h3;-14.81;-63.4
ACOSTA;-5.6;+60.1;IV-184-H1;iv_184_h1;-35.18;-69.32
ADAMS;-31.9;+68.2;IV-038-H3;iv_038_h3;-42.64;-77.77
ADAMS;-31.9;+68.2;IV-039-H1;iv_039_h1;-14.9;-69.88
ADAMS;-31.9;+68.2;IV-184-H2;iv_184_h2;-35.18;-69.32
AGATHARCHIDES;-19.8;-30.9;IV-132-H1;iv_132_h1;-9.14;+29.59
AGRIPPA;+4.1;+10.5;IV-097-H1;iv_097_h1;+12.97;-9.66
AIRY;-18.1;+5.7;IV-101-H2;iv_101_h2;-15.19;-3.83
AITKEN;-16.8;+173.4;II-033-H3;ii_033_h3;-10.29;-174.09
AITKEN;-16.8;+173.4;II-033-M;ii_033_m;-10.39;-174.07
AITKEN;-16.8;+173.4;II-075-M;ii_075_m;-21.21;-157.99
AITKEN Y;-12.0;+173.2;II-033-H2;ii_033_h2;-10.29;-174.09
AL-BAKRI;+14.3;+20.2;IV-085-H2;iv_085_h2;+12.99;-23.94
AL-BAKRI;+14.3;+20.2;IV-090-H2;iv_090_h2;+13.75;-15.87
ALBATEGNIUS;-11.7;+4.3;IV-096-H2;iv_096_h2;-15.18;-10.67
ALBATEGNIUS;-11.7;+4.3;IV-101-H2;iv_101_h2;-15.19;-3.83
AL-BIRUNI;+17.9;+92.5;IV-018-H2;iv_018_h2;+14.63;-90.47
AL-BIRUNI;+17.9;+92.5;IV-165-H3;iv_165_h3;+38.84;-81.13
ALDEN;-23.6;+110.8;I-136-M;i_136_m;-5.4;-129.34
ALDEN;-23.6;+110.8;II-196-M;ii_196_m;-8.94;-100.54
ALDEN;-23.6;+110.8;III-121-M;iii_121_m;-24.13;-126.81
ALDER;-48.6;-177.4;V-043-M;v_043_m;-47.43;+151.42
ALDER;-48.6;-177.4;V-065-M;v_065_m;-48.77;+168.61
ALDRIN;+1.4;+22.1;IV-085-H1;iv_085_h1;+12.99;-23.94
ALEXANDER;+40.3;+13.5;IV-098-H2;iv_098_h2;+40.97;-18.53
ALEXANDER;+40.3;+13.5;IV-103-H2;iv_103_h2;+41.82;-11.28
ALFRAGANUS;-5.4;+19.0;IV-084-H3;iv_084_h3;-15.19;-24.28
ALFRAGANUS;-5.4;+19.0;IV-089-H3;iv_089_h3;-15.09;-16.9
