NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
ABBE;Cràter;;Ernst K. Abbe;UAI 1970 ?;Desconegut a l'època;Desconegut a l'època;Desconegut a l'època;Físic;Alemanya;alemany;19;segle 19è;Eisenach;1840;Jena;1905;Director de l'Observatori de Jena. Autor de la teoria clàssica del microscopi en 1877 i de la relació dels sinus. Associat amb Carl Zeiss. Inventor d'un refractòmetre i dels primers objectius apocromàtics i oculars ortoscòpics.;175,2;175,2 ° Est;-57,3;57,3 ° Sud;Sud-Est;;No hi ha carta;;No hi ha carta ni imatge;No hi ha carta ni imatge;No hi ha carta ni imatge;;V-065-M;66;66;39;39;Desconeguda;Desconeguda;Altura desconeguda. Càlcul impossible;Altura desconeguda. No es pot dibuixar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
ABUL WAFA;Cràter;;Abu al-Wafa al-Buzadjani;UAI 1985 ?;Desconegut a l'època;Desconegut a l'època;Desconegut a l'època;Matemàtic;Iran;iranià;10;segle 10è;Buzadjan;940;Bagdad;997;Autor d'un tractat d'aritmètica i d'un mètode precís de càlcul dels sinus.;116,6;116,6 ° Est;1;1 ° Nord;Nord-Est;;No hi ha carta;;No hi ha carta ni imatge;No hi ha carta ni imatge;No hi ha carta ni imatge;;;55;55;32;32;Desconeguda;Desconeguda;Altura desconeguda. Càlcul impossible;Altura desconeguda. No es pot dibuixar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
AITKEN;Cràter;;Robert Grant Aitken;UAI 1970 ?;Desconegut a l'època;Desconegut a l'època;Desconegut a l'època;Astrònom;Estats Units;americà;20;segle 20è;Jackson;1864;Berkeley;1954;"Autor del ""New General Catalogue of Double Stars"" en 1932.";173,4;173,4 ° Est;-16,8;16,8 ° Sud;Sud-Est;;No hi ha carta;;No hi ha carta ni imatge;No hi ha carta ni imatge;No hi ha carta ni imatge;;II-033-H3 II-075-M II-033-H2 II-033-M;135;135;79;79;Desconeguda;Desconeguda;Altura desconeguda. Càlcul impossible;Altura desconeguda. No es pot dibuixar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
AL BIRUNI;Cràter;;Al-Biruni;UAI 1984 ?;Desconegut a l'època;Desconegut a l'època;Desconegut a l'època;Savi;Iran;iranià;11;segle 11è;Kath;973;Rhazni;1050;"Gran viatger. Astròleg del sultà de Rhazni en 1017. Historiador de les civilitzacions. Autor del ""Kitah al Qanun al Mas'udi"", tractat d'astronomia general inspirat en Ptolemeu.";92,5;92,5 ° Est;17,9;17,9 ° Nord;Nord-Est;;III;Mare Marginis;No hi ha carta ni imatge;No hi ha carta ni imatge;No hi ha carta ni imatge;;;77;77;45;45;Desconeguda;Desconeguda;Altura desconeguda. Càlcul impossible;Altura desconeguda. No es pot dibuixar.;Formació circular situada a la zona de les libracions;;;;1;Formació difícil o poc interessant;1;2 dies després de la Lluna Nova;1 dia després de la Lluna Plena;30;Prismàtics 10X;Ullera de 50 mm
ALDEN;Cràter;;Harold L.Alden;UAI 1970 ?;Desconegut a l'època;Desconegut a l'època;Desconegut a l'època;Astrònom;Estats Units;americà;20;segle 20è;??;1890;??;1964;??;110,8;110,8 ° Est;-23,6;23,6 ° Sud;Sud-Est;;No hi ha carta;;No hi ha carta ni imatge;No hi ha carta ni imatge;No hi ha carta ni imatge;;III-121-M;104;104;61;61;Desconeguda;Desconeguda;Altura desconeguda. Càlcul impossible;Altura desconeguda. No es pot dibuixar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
ALDER;Cràter;;Kurt Alder;UAI 1970 ?;Desconegut a l'època;Desconegut a l'època;Desconegut a l'època;Químic;Alemanya;alemany;20;segle 20è;Königshütte;1902;Colònia;1958;Professor a la universitat de Colònia en 1940. Premi Nobel en 1950 amb Otto Diels.;-177,4;177,4 ° Oest;-48,6;48,6 ° Sud;Sud-Oest;;No hi ha carta;;No hi ha carta ni imatge;No hi ha carta ni imatge;No hi ha carta ni imatge;;V-065-M;77;77;45;45;Desconeguda;Desconeguda;Altura desconeguda. Càlcul impossible;Altura desconeguda. No es pot dibuixar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
ALEKHIN;Cràter;;Nikolaj P. Alekhin;UAI 1970 ?;Desconegut a l'època;Desconegut a l'època;Desconegut a l'època;Enginyer;URSS;soviètic;20;segle 20è;??;1913;??;1964;Dissenyador de llançadores espacials.;-131,3;131,3 ° Oest;-68,2;68,2 ° Sud;Sud-Oest;;No hi ha carta;;No hi ha carta ni imatge;No hi ha carta ni imatge;No hi ha carta ni imatge;;;70;70;41;41;Desconeguda;Desconeguda;Altura desconeguda. Càlcul impossible;Altura desconeguda. No es pot dibuixar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
AL-KHWARIZMI;Cràter;;Al-Khwarizmi;UAI 1991 ?;Desconegut a l'època;Desconegut a l'època;Desconegut a l'època;Matemàtic;Irak;iraquià;9;segle 9è;??;??;??;825;??;106,4;106,4 ° Est;7,1;7,1 ° Nord;Nord-Est;;No hi ha carta;;No hi ha carta ni imatge;No hi ha carta ni imatge;No hi ha carta ni imatge;;;65;65;38;38;Desconeguda;Desconeguda;Altura desconeguda. Càlcul impossible;Altura desconeguda. No es pot dibuixar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
ALTER;Cràter;;Dinsmore Alter;UAI 1979 ?;Desconegut a l'època;Desconegut a l'època;Desconegut a l'època;Astrònom;Estats Units;americà;20;segle 20è;??;1888;??;1968;??;-107,5;107,5 ° Oest;18,7;18,7 ° Nord;Nord-Oest;;No hi ha carta;;No hi ha carta ni imatge;No hi ha carta ni imatge;No hi ha carta ni imatge;;V-015-H2;64;64;38;38;Desconeguda;Desconeguda;Altura desconeguda. Càlcul impossible;Altura desconeguda. No es pot dibuixar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
AMICI;Cràter;;Giovanni Battista Amici;UAI 1970 ?;Desconegut a l'època;Desconegut a l'època;Desconegut a l'època;Òptic;Itàlia;italià;19;segle 19è;Modena;1786;Florència;1863;Director de l'observatori de Florència. Inventor d'un espectroscopi a prisma i d'ulleres meridianes. Estudi de l'orientació dels cristalls en els minerals.;-172,1;172,1 ° Oest;-9,9;9,9 ° Sud;Sud-Oest;;No hi ha carta;;No hi ha carta ni imatge;No hi ha carta ni imatge;No hi ha carta ni imatge;;;54;54;32;32;Desconeguda;Desconeguda;Altura desconeguda. Càlcul impossible;Altura desconeguda. No es pot dibuixar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
