NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURY;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
ABBE;Cráter;;Ernst K. Abbe;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Físico;Alemania;Alemán;19;Siglo XIX;Eisenach;1840;Iena;1905;Director del Observatorio de Iena. Autor de una teoría clásica de microscopio en 1877 y de relaciones sinusoidales. Asociaco con Carl Zeiss. Ideólogo de un refractrómetro y del primer objetivo apocromático y del ocular orthoscópico.;175,2;175,2 ° Este;-57,3;57,3 ° Sur;Sur-Este;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;V-065-M;66;66;39;39;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
ABUL WAFA;Cráter;;Abu al-Wafa al-Buzadjani;UAI 1985 ?;Desconocido;Desconocido;Desconocido;Matemático;Irán;Iraní;10;Siglo X;Buzadjan;940;Bagdad;997;Autor de un tratado aritmético y de un método precido para el cálculo de senos. ;116,6;116,6 ° Este;1;1 ° Norte;Norte-Este;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;55;55;32;32;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
AITKEN;Cráter;;Robert Grant Aitken;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Astrónomo;U.S.A.;Americano;20;Siglo XX;Jackson;1864;Berkeley;1954;Autor de New General Catalogue de Double Stars en 1932.;173,4;173,4 ° Este;-16,8;16,8 ° Sur;Sur-Este;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;II-033-H3 II-075-M II-033-H2 II-033-M;135;135;79;79;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
AL BIRUNI;Cráter;;Al-Biruni;UAI 1984 ?;Desconocido;Desconocido;Desconocido;Científico;Irán;Iraní;11;Siglo XI;Kath;973;Rhazni;1050;Gran viajero. Astrólogo del Sultán Rhazni en 1017. Historia de las civilizaciones. Autor de Kitah al Qanun al Mas'udi, tratado de astronomía general inspirado en Ptolomeo.;92,5;92,5 ° Este;17,9;17,9 ° Norte;Norte-Este;;III;Mare Marginis;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;77;77;45;45;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;Formación circular situada en la zona de libraciones.;;;;1;Formación de bajo interés o dificultad;1;2 días después de la Luna Nueva;1 día después de la Luna Llena;30;Prismáticos de 10x;Refractor de 50 mm
ALDEN;Cráter;;Harold L.Alden;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Astrónomo;U.S.A.;Americano;20;Siglo XX;??;1890;??;1964;??;110,8;110,8 ° Este;-23,6;23,6 ° Sur;Sur-Este;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;III-121-M;104;104;61;61;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
ALDER;Cráter;;Kurt Alder;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Químico;Alemania;Alemán;20;Siglo XX;Königshütte;1902;Koln;1958;Profesor en Koln University en 1940. Premio Nobel en 1950 con Otto Diels.;-177,4;177,4 ° Oeste;-48,6;48,6 ° Sur;Sur-Oeste;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;V-065-M;77;77;45;45;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
ALEKHIN;Cráter;;Nikolaj P. Alekhin;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Ingeniero;U.R.S.S.;Soviético;20;Siglo XX;??;1913;??;1964;Diseñador de cohetes.;-131,3;131,3 ° Oeste;-68,2;68,2 ° Sur;Sur-Oeste;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;70;70;41;41;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
AL-KHWARIZMI;Cráter;;Al-Khwarizmi;UAI 1991 ?;Desconocido;Desconocido;Desconocido;Matemático;Iraq;Iraquí;9;Siglo IX;??;??;??;825;??;106,4;106,4 ° Este;7,1;7,1 ° Norte;Norte-Este;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;65;65;38;38;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
ALTER;Cráter;;Dinsmore Alter;UAI 1979 ?;Desconocido;Desconocido;Desconocido;Astrónomo;U.S.A.;Americano;20;Siglo XX;??;1888;??;1968;??;-107,5;107,5 ° Oeste;18,7;18,7 ° Norte;Norte-Oeste;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;V-015-H2;64;64;38;38;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
AMICI;Cráter;;Giovanni Battista Amici;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Óptico;Italia;Italiano;19;Siglo XIX;Módena;1786;Florencia;1863;Director del Observatorio de Florencia. Inventor de un espectroscopio con prisma.;-172,1;172,1 ° Oeste;-9,9;9,9 ° Sur;Sur-Oeste;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;54;54;32;32;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
