NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
ABBE H;Cràter;??;Ernst K. Abbe;Andersson / Whitaker 1982;Desconegut en aquella època;Desconegut en aquella època;Desconegut en aquella època;Físic;Alemanya;alemany;19;segle 19;Eisenach;1840;Jena;1905;Director  de l'observatori de Jena. Autor de la teoria clàssica del microscopi en 1877 i de la relació dels sinus. Associat amb Carl Zeiss. Inventor d'un refractòmetre i dels primers objectius apocromàtics i oculars ortoscòpics.;177,9;177,9 ° Est;-58,2;58,2 ° Sud;Sud-Est;No definida;No hi ha mapa;;No hi ha mapa ni imatge;No hi ha mapa ni imatge;No hi ha mapa ni imatge;No hi ha article;??;25;25;15;15;Desconeguda;Desconeguda;Altura desconeguda. Càlcul impossible.;Altura desconeguda. Dibuix impossible..;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
ABBE K;Cràter;??;Ernst K. Abbe;Andersson / Whitaker 1982;Desconegut en aquella època;Desconegut en aquella època;Desconegut en aquella època;Físic;Alemanya;alemany;19;segle 19;Eisenach;1840;Jena;1905;Director  de l'observatori de Jena. Autor de la teoria clàssica del microscopi en 1877 i de la relació dels sinus. Associat amb Carl Zeiss. Inventor d'un refractòmetre i dels primers objectius apocromàtics i oculars ortoscòpics.;177,3;177,3 ° Est;-59,6;59,6 ° Sud;Sud-Est;No definida;No hi ha mapa;;No hi ha mapa ni imatge;No hi ha mapa ni imatge;No hi ha mapa ni imatge;No hi ha article;??;28;28;16;16;Desconeguda;Desconeguda;Altura desconeguda. Càlcul impossible.;Altura desconeguda. Dibuix impossible..;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
ABBE M;Cràter;??;Ernst K. Abbe;Andersson / Whitaker 1982;Desconegut en aquella època;Desconegut en aquella època;Desconegut en aquella època;Físic;Alemanya;alemany;19;segle 19;Eisenach;1840;Jena;1905;Director  de l'observatori de Jena. Autor de la teoria clàssica del microscopi en 1877 i de la relació dels sinus. Associat amb Carl Zeiss. Inventor d'un refractòmetre i dels primers objectius apocromàtics i oculars ortoscòpics.;175,3;175,3 ° Est;-61,6;61,6 ° Sud;Sud-Est;No definida;No hi ha mapa;;No hi ha mapa ni imatge;No hi ha mapa ni imatge;No hi ha mapa ni imatge;No hi ha article;??;29;29;17;17;Desconeguda;Desconeguda;Altura desconeguda. Càlcul impossible.;Altura desconeguda. Dibuix impossible..;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
ABUL WAFA A;Cràter;??;Abu al-Wafa al-Buzadjani;Andersson / Whitaker 1982;Desconegut en aquella època;Desconegut en aquella època;Desconegut en aquella època;Matemàtic;Iran;iranià;10;segle 10;Buzadjan;940;Bagdad;997;Autor d'un tractat d'aritmètica i d'un mètode precís de càlcul dels sinus.;116,8;116,8 ° Est;1,4;1,4 ° Nord;Nord-Est;No definida;No hi ha mapa;;No hi ha mapa ni imatge;No hi ha mapa ni imatge;No hi ha mapa ni imatge;No hi ha article;??;16;16;9;9;Desconeguda;Desconeguda;Altura desconeguda. Càlcul impossible.;Altura desconeguda. Dibuix impossible..;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
ABUL WAFA Q;Cràter;??;Abu al-Wafa al-Buzadjani;Andersson / Whitaker 1982;Desconegut en aquella època;Desconegut en aquella època;Desconegut en aquella època;Matemàtic;Iran;iranià;10;segle 10;Buzadjan;940;Bagdad;997;Autor d'un tractat d'aritmètica i d'un mètode precís de càlcul dels sinus.;115,7;115,7 ° Est;0,2;0,2 ° Nord;Nord-Est;No definida;No hi ha mapa;;No hi ha mapa ni imatge;No hi ha mapa ni imatge;No hi ha mapa ni imatge;No hi ha article;??;30;30;18;18;Desconeguda;Desconeguda;Altura desconeguda. Càlcul impossible.;Altura desconeguda. Dibuix impossible..;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
AITKEN A;Cràter;??;Robert Grant Aitken;Andersson / Whitaker 1982;Desconegut en aquella època;Desconegut en aquella època;Desconegut en aquella època;Astrònom;Estats Units;americà;20;segle 20;Jackson;1864;Berkeley;1954;"Autor del ""New General Catalogue of Double Stars"" en 1932.";173,7;173,7 ° Est;-14;14 ° Sud;Sud-Est;No definida;No hi ha mapa;;No hi ha mapa ni imatge;No hi ha mapa ni imatge;No hi ha mapa ni imatge;No hi ha article;??;13;13;8;8;Desconeguda;Desconeguda;Altura desconeguda. Càlcul impossible.;Altura desconeguda. Dibuix impossible..;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
AITKEN C;Cràter;??;Robert Grant Aitken;Andersson / Whitaker 1982;Desconegut en aquella època;Desconegut en aquella època;Desconegut en aquella època;Astrònom;Estats Units;americà;20;segle 20;Jackson;1864;Berkeley;1954;"Autor del ""New General Catalogue of Double Stars"" en 1932.";175,8;175,8 ° Est;-14;14 ° Sud;Sud-Est;No definida;No hi ha mapa;;No hi ha mapa ni imatge;No hi ha mapa ni imatge;No hi ha mapa ni imatge;No hi ha article;??;74;74;44;44;Desconeguda;Desconeguda;Altura desconeguda. Càlcul impossible.;Altura desconeguda. Dibuix impossible..;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
AITKEN G;Crateret;??;Robert Grant Aitken;Andersson / Whitaker 1982;Desconegut en aquella època;Desconegut en aquella època;Desconegut en aquella època;Astrònom;Estats Units;americà;20;segle 20;Jackson;1864;Berkeley;1954;"Autor del ""New General Catalogue of Double Stars"" en 1932.";174,2;174,2 ° Est;-16,8;16,8 ° Sud;Sud-Est;No definida;No hi ha mapa;;No hi ha mapa ni imatge;No hi ha mapa ni imatge;No hi ha mapa ni imatge;No hi ha article;??;7;7;4;4;Desconeguda;Desconeguda;Altura desconeguda. Càlcul impossible.;Altura desconeguda. Dibuix impossible..;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
AITKEN N;Crateret;??;Robert Grant Aitken;Andersson / Whitaker 1982;Desconegut en aquella època;Desconegut en aquella època;Desconegut en aquella època;Astrònom;Estats Units;americà;20;segle 20;Jackson;1864;Berkeley;1954;"Autor del ""New General Catalogue of Double Stars"" en 1932.";172,7;172,7 ° Est;-17,7;17,7 ° Sud;Sud-Est;No definida;No hi ha mapa;;No hi ha mapa ni imatge;No hi ha mapa ni imatge;No hi ha mapa ni imatge;No hi ha article;??;7;7;4;4;Desconeguda;Desconeguda;Altura desconeguda. Càlcul impossible.;Altura desconeguda. Dibuix impossible..;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
AITKEN Y;Cràter;??;Robert Grant Aitken;Andersson / Whitaker 1982;Desconegut en aquella època;Desconegut en aquella època;Desconegut en aquella època;Astrònom;Estats Units;americà;20;segle 20;Jackson;1864;Berkeley;1954;"Autor del ""New General Catalogue of Double Stars"" en 1932.";173,2;173,2 ° Est;-12;12 ° Sud;Sud-Est;No definida;No hi ha mapa;;No hi ha mapa ni imatge;No hi ha mapa ni imatge;No hi ha mapa ni imatge;No hi ha article;??;35;35;21;21;Desconeguda;Desconeguda;Altura desconeguda. Càlcul impossible.;Altura desconeguda. Dibuix impossible..;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
