NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
ABBOT;Krater;Imbrianisch (Von -3.85 Mrd. bis -3.2 Jahre) ?;Charles Greeley Abbot (ehem. Apollonius K);(??);Kein Name;Kein Name;Kein Name;Astrophysiker;U. S. A.;amerikanischerer;20;20. Jhd.;Wilton;1872;Washington;1973;Direktor des Observatory of the Smithsonian Institution. Bestimmung des Wertes der Solar Konstante und der Energieverteilung im Sonnenspektrum.;54.8;54.8° Ost;5.6;5.6° Nord;Nord-Ost;Nord Rand des Mare Fecunditatis;37;Taruntius;229;3c2;315C 124C;;;10;10;6;6;0;0;0;Unbekannte Höhe. Kann nicht gezeigt werden.;Kreisförmige Formation, isoliert, mit Schüsselform.;Ziemlich steile Stelle.;Kleine, hohe Wände.;Rundliche Ebene.;1;Wenig interessant oder schwierige Formation;3;3 Tage nach Neumond;2 Tage nach Vollmond;50;50 mm Refraktor;100 mm Refraktor
ABEL;Krater;Pre-Nectarianische (Von -4.55 Mrd. bis -3.92 Mrd. Jahre);Niels Henrik Abel;Franz (1913);Kein Name;Kein Name;Kein Name;Mathematiker;Norwegen;norwegischer;19;19. Jhd.;Finnoy Island;1802;Arendal;1829;Spezialist für die Theorie von elliptischen Integralen und Arbeiten über so genannte abelianische Integrale.;85;85.0° Ost;-34.6;34.6° Süd;Süd-Ost;Mond Süd-Ost Bogen;69;Furnerius;112;;291S Q4SE;;;111;111;69;69;0;0;0;Unbekannte Höhe. Kann nicht gezeigt werden.;Kreisförmige Formation, gelegen in der Librationszone.;Kleine, steile Stelle, begrenzt Abel L im West, Barnard und Abel A im Nord.;Kleine, hohe Wände stark abfallend, im Osten in die Lava von Mare Australe.;Flache Ebene gefüllt mit Lava, begrenzt einen Geister-Krater im Nord-Osten.;2;Ziemlich interessante Formation;2;2 Tage nach Neumond;1 Tag nach Vollmond;5;Bloses Auge;10x Doppelfernrohr
ABENEZRA;Krater;Obere Imbrianische (Von -3.8 Mrd. bis -3.2 Mrd. Jahre);Abraham Bar Rabbi ben Ezra;Riccioli (1651);Schirley;Kein Name;Abenezra;Philosoph und Astronom;Spanien;spanischer;12;12. Jhd.;?;1092;?;1167;??;11.9;11.9° Ost;-21;21.0° Süd;Süd-Ost;Osten der Catharina Krater Region;56;Azophi;154;13d3;351S 357S 154S 161S 167S;;;42;42;25;25;3730;11300;0.0888;A_______________________A;Kreisförmige Formation mit Sechseck-Form, bildet eine bemerkenswerte Gruppe mit Azophi und Abenezra C;Ziemlich steile Stelle, stößt an Abenezra C im Westen und begrentzt Azophi im Süd-Westen.;Wände in hohen Terassen.;Zerklüftete Ebene. Kreisförmige Kammlinien. Hügel.;4;Außergewöhnliche Formation;6;6 Tage nach Neumond;5 Tage nach Vollmond;30;10x Doppelfernrohr;50 mm Refraktor
ABETTI;Krater;Imbrianische (Von -3.85 Mrd. bis -3.2 Mrd. Jahre) ?;Antonio Abetti;(??);Kein Name;Kein Name;Kein Name;Astronom;Italien;italienischerer;19;19. Jhd.;?;1846;?;1928;??;27.7;27.7° Ost;19.9;19.9° Nord;Nord-Ost;Süd-Ost Teil von Mare Serenitatis;24;Bessel;284;;343C 143C 148C;;;17;17;10;10;0;0;0;Unbekannte Höhe. Kann nicht gezeigt werden.;Kreisförmige Geister-Formation.;Ziemlich flache Stelle.;Sehr flache Wände.;Flache Stelle, gefüllt mit der Lava von Mare Serenitatis.;2;Ziemlich interessante Formation;5;5 Tage nach Neumond;4 Tage nach Vollmond;50;50 mm Refraktor;100 mm Refraktor
ABULFEDA;Krater;Typische Nectarianische (Von -3.92 Mrd. bis -3.85 Mrd. Jahre);Isma'il Abu al-Fida;Riccioli (1651);Derkenni;Kein Name;Abulfeda;Historiker;Arabien;arabischer;14;14. Jhd.;Damas;1273;Hamah;1331;Prinz der Dynastie von Ayyubides. Autor von"History" gefolgt vom Werk von Ibn al-Athir;13.9;13.9° Ost;-13.8;13.8° Süd;Süd-Ost;Osten der Ptolemaeus Krater Region;45;Andel;202;13c5 / 13d5;351C/S 154C/S 16LS 167C;;;62;62;38;38;3110;9400;0.0502;A__________________________________________A;Beschädigte, kreisförmige Formation.;steile Stelle, angrenzend an viele kleine Krater, wie Abulfeda R im Nord-Westen und Abulfeda S und W zum Norden hin.;Sehr hohe Wände in Terrassen, überlappt von Catena Abulfeda zum Süden hin und von Abulfeda U & Y zum Norden hin.;Ausgedehnte flache Ebene, gefüllt mit Lava.  Weiß geflecktes Zentrum und Hügel. Kleine Krater zum Nord-Osten hin und zum Süd-Westen hin.;3;Sehr interessante Formation;6;6 Tage nach Neumond;5 Tage nach Vollmond;30;10x Doppelfernrohr;50 mm Refraktor
ACOSTA;Krater;Copernicianische (Von -1.1 Mrd. bis heute) ?;Cristobal Acosta (ehem. Langrenus C);(??);Kein Name;Kein Name;Kein Name;Arzt und Historiker;Portugal;portugisischer;16;16. Jhd.;?;1515;?;1580;??;60.1;60.1° Ost;-5.6;5.6° Süd;Süd-Ost;Mond Ost Bogen;49;Langrenus;189;15b6 / 15c6;105C 112C 119C;;;13;13;8;8;1750;5300;0.1346;A______________A;Kreisförmige Formation mit Schüsselform, gelegen am Nord-Abhang von Langrenus;Ziemlich steile Stelle.;Ziemlich hohe Wände.;Rundliche Ebene.;2;Ziemlich interessante Formation;3;3 Tage nach Neumond;2 Tage nach Vollmond;50;50 mm Refraktor;100 mm Refraktor
ADAMS;Krater;Nectarianische (Von -3.92 Mrd. bis -3.85 Mrd. Jahre);John Couch Adams;Birt / Lee (1865);Kein Name;Kein Name;Kein Name;Astronom;Großbritannien;britischerer;19;19. Jhd.;Laneast;1819;Cambridge;1892;Hat die Existenz von Neptun demonstriert und gab dessen Position an, unabhängig von Le Verrier, aber seine Arbeit wurde nicht vom Royal Observatory publiziert.;68;68.0° Ost;-31.9;31.9° Süd;Süd-Ost;Mond Süd-Ost Bogen;69;Furnerius;113;15d1 / 16b7;303S Q4SE 099C 105C 112C;;;64;64;40;40;0;0;0;Unbekannte Höhe. Kann nicht gezeigt werden.;Isolierte, kreisförmige Formation;Ziemlich steile Stelle, angrenzend an Adams B zum Westen hin und Adams D zum Osten hin.;Ziemlich hohe Wände in Terrassen, überlappt durch zwei kleine Krater zum Norden hin und ein Krater zum Süden hin.;Flache Ebene mit kleinen Kratern im Zentrum.;3;Sehr interessante Formation;2;2 Tage nach Neumond;1 Tag nach Vollmond;30;10x Doppelfernrohr;50 mm Refraktor
AGATHARCHIDES;Krater;Pre-Imbrianische (Von -4.55 Mrd. bis -3.85 Mrd. Jahre) ?;Agatharchide;Mädler (1837);Kein Name;Kein Name;Kein Name;Geograph und Historiker;Griechenland;griechischerer;-2;2. Jhd. BC;?;ca. 100 BC;?;?;??;-30.9;30.9° West;-19.8;19.8° Süd;Süd-West;Mare Humorum Region;52;Gassendi;172;9f4 / 11b3;036C/S 040C/S 048C/S 201C 2055;;;49;49;30;30;1180;3600;0.0241;A__________________________________________________________________________________________A;Beschädigte Formation, teilweise untergetaucht in die Lava von Oceanus Procellarum.;Steile Stelle, angrenzend an viele kleine Krater.;Kleine, hohe Wände teilweise zerstört zum Norden hin und zerfurcht von Agatharchides F zum Süd-Westen hin.;Ausgedehnte, flache Ebene, gefüllt mit dunkler Lava.  Ruinen eines Zentralbergs.;3;Sehr interessante Formation;10;3 Tage nach ersterm Viertel;2 Tage nach letztem Viertel;30;10x Doppelfernrohr;50 mm Refraktor
AGRIPPA;Krater;Eratosthenianische (Von -3.2 Mrd. bis -1.1 Mrd. Jahre);Agrippa;Riccioli (1651);Urselii;Mons Ida;Agrippa;Astronom;Griechenland;griechischerer;1;1. Jhd.;?;ca. 50;?;?;Beobachtet im Jahre 92 eine Bedeckung der Pleiaden durch den Mond.;10.5;10.5° Ost;4.1;4.1° Nord;Nord-Ost;östlich von Mare Tranquillitatis Region;34;Hyginus;282;1e2 / 13d8;351C 357C 161C 167C;;;46;46;28;28;3100;9400;0.0674;A_______________________________A;Kreisförmige Formation mit zerstörter Form zum Süd-Westen hin.;Steile Stelle grenzt an Agrippa F und Tempel zum Osten hin.;Wände in Terrassen, grenzen an Agrippa H zum Norden hin.;Ziemlich flache Ebene.  Zentralberg.  Hügel und Aufschüttung zum Westen hin.  Rille und kleine Krater.;3;Sehr interessante Formation;6;6 Tage nach Neumond;5 Tage nach Vollmond;30;10x Doppelfernrohr;50 mm Refraktor
AIRY;Krater;Pre-Imbrianische (Von -4.55 Mrd. bis -3.85 Mrd. Jahre) ?;Sir George Bidel Airy;Mädler (1837);Crequii;Kein Name;Kein Name;Astronom;England;englischer;19;19. Jhd.;Alnwick;1801;London;1892;Direktor des Observatory of Greenwich im Jahre 1835. Arbeiten über die Himmelsmechanik. Autor der Theorie der 'Lichtstreuung'..;5.7;5.7° Ost;-18.1;18.1° Süd;Süd-Ost;östlich von Catharina Krater Region;56;Azophi;204;13e5 / 13f5;357S 003S 161S 167S 174S;;;37;37;22;22;0;0;0;Unbekannte Höhe. Kann nicht gezeigt werden.;Abgewrackte Formation, bildet ein ausgerichtetes Trio in Richtung Nord - Süd mit Argelander und Vogel.;Ziemlich steile Stelle, angrenzend an Argelander zum Norden hin, an Airy D zum Nord-Westen hin und Airy G zum Süd-Osten hin.;Zerklüftete und hohe Wände, zerfurcht zum Süden hin von Airy H.;Irreguläre, kleine ausgedehnte Ebene. Doppel-Zentralberg.;3;Sehr interessante Formation;7;Ersters Viertel;6 Tage nach Vollmond;30;10x Doppelfernrohr;50 mm Refraktor
