NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
ABEL A;Cratere;;Niels Henrik Abel;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Matematico;Norvegia;norvegese;19;19° secolo;Isola di Finnoy;1802;Arendal;1829;Specialista della teoria degli integrali ellittici e lavori sui cosiddetti integrali abeliani.;86;86.00 ° Est;-36.6;36.6 ° Sud;Sud-Est;Bordo Sud-Orientale della Luna;69;Furnerius ?;??;Formazione non indicata;Formazione non indicata;;;19;19;11;11;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;;;;;0;Nessuna valutazione;2;2 giorni dopo la Luna Nuova;1 giorno dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Zona delle librazioni della faccia visibile
ABEL B;Cratere;;Niels Henrik Abel;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Matematico;Norvegia;norvegese;19;19° secolo;Isola di Finnoy;1802;Arendal;1829;Specialista della teoria degli integrali ellittici e lavori sui cosiddetti integrali abeliani.;82.8;82.80 ° Est;-36.7;36.7 ° Sud;Sud-Est;Bordo Sud-Orientale della Luna;69;Furnerius ?;??;Formazione non indicata;Formazione non indicata;;;41;41;24;24;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;;;;;0;Nessuna valutazione;2;2 giorni dopo la Luna Nuova;1 giorno dopo la Luna Piena;30;Binocolo 10x;Rifrattore da 50 mm;Zona delle librazioni della faccia visibile
ABEL C;Cratere;;Niels Henrik Abel;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Matematico;Norvegia;norvegese;19;19° secolo;Isola di Finnoy;1802;Arendal;1829;Specialista della teoria degli integrali ellittici e lavori sui cosiddetti integrali abeliani.;81;81.00 ° Est;-36;36 ° Sud;Sud-Est;Bordo Sud-Orientale della Luna;69;Furnerius ?;??;Formazione non indicata;Formazione non indicata;;;31;31;18;18;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;;;;;0;Nessuna valutazione;2;2 giorni dopo la Luna Nuova;1 giorno dopo la Luna Piena;30;Binocolo 10x;Rifrattore da 50 mm;Zona delle librazioni della faccia visibile
ABEL D;Cratere;;Niels Henrik Abel;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Matematico;Norvegia;norvegese;19;19° secolo;Isola di Finnoy;1802;Arendal;1829;Specialista della teoria degli integrali ellittici e lavori sui cosiddetti integrali abeliani.;87.7;87.70 ° Est;-37.7;37.7 ° Sud;Sud-Est;Bordo Sud-Orientale della Luna;69;Furnerius ?;??;Formazione non indicata;Formazione non indicata;;;30;30;18;18;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;;;;;0;Nessuna valutazione;2;2 giorni dopo la Luna Nuova;1 giorno dopo la Luna Piena;30;Binocolo 10x;Rifrattore da 50 mm;Zona delle librazioni della faccia visibile
ABEL E;Cratere;;Niels Henrik Abel;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Matematico;Norvegia;norvegese;19;19° secolo;Isola di Finnoy;1802;Arendal;1829;Specialista della teoria degli integrali ellittici e lavori sui cosiddetti integrali abeliani.;86.5;86.50 ° Est;-37.8;37.8 ° Sud;Sud-Est;Bordo Sud-Orientale della Luna;69;Furnerius ?;??;Formazione non indicata;Formazione non indicata;;;13;13;8;8;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;;;;;0;Nessuna valutazione;2;2 giorni dopo la Luna Nuova;1 giorno dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Zona delle librazioni della faccia visibile
ABEL J;Cratere;;Niels Henrik Abel;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Matematico;Norvegia;norvegese;19;19° secolo;Isola di Finnoy;1802;Arendal;1829;Specialista della teoria degli integrali ellittici e lavori sui cosiddetti integrali abeliani.;79;79.00 ° Est;-35.5;35.5 ° Sud;Sud-Est;Bordo Sud-Orientale della Luna;69;Furnerius ?;??;Formazione non indicata;Formazione non indicata;;;11;11;6;6;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;;;;;0;Nessuna valutazione;2;2 giorni dopo la Luna Nuova;1 giorno dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Zona delle librazioni della faccia visibile
ABEL K;Piccolo cratere;;Niels Henrik Abel;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Matematico;Norvegia;norvegese;19;19° secolo;Isola di Finnoy;1802;Arendal;1829;Specialista della teoria degli integrali ellittici e lavori sui cosiddetti integrali abeliani.;77.2;77.20 ° Est;-35;35 ° Sud;Sud-Est;Bordo Sud-Orientale della Luna;69;Furnerius ?;??;Formazione non indicata;Formazione non indicata;;;9;9;5;5;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;0;Nessuna valutazione;2;2 giorni dopo la Luna Nuova;1 giorno dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Faccia visibile
ABEL L;Cratere;;Niels Henrik Abel;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Matematico;Norvegia;norvegese;19;19° secolo;Isola di Finnoy;1802;Arendal;1829;Specialista della teoria degli integrali ellittici e lavori sui cosiddetti integrali abeliani.;82.6;82.60 ° Est;-34.4;34.4 ° Sud;Sud-Est;Bordo Sud-Orientale della Luna;69;Furnerius ?;??;Formazione non indicata;Formazione non indicata;;;67;67;39;39;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;;;;;0;Nessuna valutazione;2;2 giorni dopo la Luna Nuova;1 giorno dopo la Luna Piena;30;Binocolo 10x;Rifrattore da 50 mm;Zona delle librazioni della faccia visibile
ABEL M;Cratere;;Niels Henrik Abel;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Matematico;Norvegia;norvegese;19;19° secolo;Isola di Finnoy;1802;Arendal;1829;Specialista della teoria degli integrali ellittici e lavori sui cosiddetti integrali abeliani.;83.6;83.60 ° Est;-32.2;32.2 ° Sud;Sud-Est;Bordo Sud-Orientale della Luna;69;Furnerius ?;??;Formazione non indicata;Formazione non indicata;;;81;81;48;48;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;;;;;0;Nessuna valutazione;2;2 giorni dopo la Luna Nuova;1 giorno dopo la Luna Piena;30;Binocolo 10x;Rifrattore da 50 mm;Zona delle librazioni della faccia visibile
ABENEZRA A;Cratere;;Abraham Bar Rabbi ben Ezra;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Filosofo e astronomo;Spagna;spagnolo;12;12° secolo;?;1092;?;1167;??;10.5;10.50 ° Est;-22.8;22.8 ° Sud;Sud-Est;Regione Occidentale del cratere Catharina;56;Azophi ?;??;Formazione non indicata;Formazione non indicata;;;23;23;14;14;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;;;;;0;Nessuna valutazione;6;6 giorni dopo la Luna Nuova;5 giorni dopo la Luna Piena;30;Binocolo 10x;Rifrattore da 50 mm;Faccia visibile
