NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
Piroclàstic 'Aestatis';Regió amb caràcter piroclàstic;No determinat;Llista de vulcanisme piroclàstic de Gaddis n° 1;Gaddis (1999) / Legrand (2007);No anomenat;No anomenat;No anomenat;Cap treball;Cap país;Cap nacionalitat ;0;Cap segle;No hi ha lloc de naixement;No hi ha data de naixement;Cap lloc de defunció;No hi ha data de defunció;Cap fet;-68.4;68 ° 24 '  Oest;-15;-15 ° 0 '  Sud;Sud-Oest;Limbe oest de la Lluna;39;Grimaldi;224;11g5;075C 080C 237C 248C/S;;;0;0;0;0;0;0;Cap relació calculable;Cap dibuix possible;Petit dipòsit piroclàstic / Superfície = 370 km2;Origen : Coombs & Hawke 1992;Comentaris de la font : ' Prop de Orientale ';;3;Formació força interessant;13;6 dies després del quart creixent;5 dies després del quart minvant;50;Refractor de 50 mm;Refractor de 100 mm
Piroclàstic 'Alphonsus Center';Regió amb caràcter piroclàstic;No determinat;Llista de vulcanisme piroclàstic de Gaddis n° 2;Gaddis (1999) / Legrand (2007);No anomenat;No anomenat;No anomenat;Rei;Castella;castellà;13;13è segle;Toledo;1221;Sevilla;1284;Iniciador dels treballs de traducció del grec i l'àrab. Coordinador del càlcul de les 'Taules Alfonsines' que reemplaçaven les taules astronòmiques de Ptolemeu en 1256.;-3.4;3 ° 24 '  Oest;-13.7;13 ° 42 '  Sud;Sud-Oest;Regió de cràters de Ptolemaeus;44;Ptolemaeus;208;9a4 / 13g5;003S 009C/S 174C/S 179C I83C;ST03/01  MM137;IV-108-H2;0;0;0;0;0;0;Cap relació calculable;Cap dibuix possible;Petit dipòsit piroclàstic / Superfície = 11 km2;Origen : Head & Wilson 1979;Comentaris de la font : ' #8, no anomenat ';;3;Formació força interessant;7;Al quart creixent;6 dies després de la Lluna plena;50;Refractor de 50 mm;Refractor de 100 mm
Piroclàstic 'Alphonsus East 1';Regió amb caràcter piroclàstic;No determinat;Llista de vulcanisme piroclàstic de Gaddis n° 3;Gaddis (1999) / Legrand (2007);No anomenat;No anomenat;No anomenat;Rei;Castella;castellà;13;13è segle;Toledo;1221;Sevilla;1284;Iniciador dels treballs de traducció del grec i l'àrab. Coordinador del càlcul de les 'Taules Alfonsines' que reemplaçaven les taules astronòmiques de Ptolemeu en 1256.;-2;2 ° 0 '  Oest;-12.5;12 ° 30 '  Sud;Sud-Oest;Regió de cràters de Ptolemaeus;44;Ptolemaeus;208;9a4 / 13g5;003S 009C/S 174C/S 179C I83C;ST03/01  MM137;IV-108-H2;0;0;0;0;0;0;Cap relació calculable;Cap dibuix possible;Petit dipòsit piroclàstic / Superfície = 8 km2;Origen : Head & Wilson 1979;Comentaris de la font : ' #1, MD-Ravi ';;3;Formació força interessant;7;Al quart creixent;6 dies després de la Lluna plena;50;Refractor de 50 mm;Refractor de 100 mm
Piroclàstic 'Alphonsus East 2';Regió amb caràcter piroclàstic;No determinat;Llista de vulcanisme piroclàstic de Gaddis n° 4;Gaddis (1999) / Legrand (2007);No anomenat;No anomenat;No anomenat;Rei;Castella;castellà;13;13è segle;Toledo;1221;Sevilla;1284;Iniciador dels treballs de traducció del grec i l'àrab. Coordinador del càlcul de les 'Taules Alfonsines' que reemplaçaven les taules astronòmiques de Ptolemeu en 1256.;-1.7;1 ° 42 '  Oest;-12.5;12 ° 30 '  Sud;Sud-Oest;Regió de cràters de Ptolemaeus;44;Ptolemaeus;208;9a4 / 13g5;003S 009C/S 174C/S 179C I83C;ST03/01  MM137;IV-108-H2;0;0;0;0;0;0;Cap relació calculable;Cap dibuix possible;Petit dipòsit piroclàstic / Superfície = 8 km2;Origen : Head & Wilson 1979;Comentaris de la font : ' #2, Monira ';;3;Formació força interessant;7;Al quart creixent;6 dies després de la Lluna plena;50;Refractor de 50 mm;Refractor de 100 mm
Piroclàstic 'Alphonsus East 3';Regió amb caràcter piroclàstic;No determinat;Llista de vulcanisme piroclàstic de Gaddis n° 5;Gaddis (1999) / Legrand (2007);No anomenat;No anomenat;No anomenat;Rei;Castella;castellà;13;13è segle;Toledo;1221;Sevilla;1284;Iniciador dels treballs de traducció del grec i l'àrab. Coordinador del càlcul de les 'Taules Alfonsines' que reemplaçaven les taules astronòmiques de Ptolemeu en 1256.;-1.7;1 ° 42 '  Oest;-12.6;12 ° 36 '  Sud;Sud-Oest;Regió de cràters de Ptolemaeus;44;Ptolemaeus;208;9a4 / 13g5;003S 009C/S 174C/S 179C I83C;ST03/01  MM137;IV-108-H2;0;0;0;0;0;0;Cap relació calculable;Cap dibuix possible;Petit dipòsit piroclàstic / Superfície = 10 km2;Origen : Head & Wilson 1979;Comentaris de la font : ' #3, Jose ';;3;Formació força interessant;7;Al quart creixent;6 dies després de la Lluna plena;50;Refractor de 50 mm;Refractor de 100 mm
Piroclàstic 'Alphonsus East 4';Regió amb caràcter piroclàstic;No determinat;Llista de vulcanisme piroclàstic de Gaddis n° 6;Gaddis (1999) / Legrand (2007);No anomenat;No anomenat;No anomenat;Rei;Castella;castellà;13;13è segle;Toledo;1221;Sevilla;1284;Iniciador dels treballs de traducció del grec i l'àrab. Coordinador del càlcul de les 'Taules Alfonsines' que reemplaçaven les taules astronòmiques de Ptolemeu en 1256.;-1.6;1 ° 36 '  Oest;-12.8;12 ° 48 '  Sud;Sud-Oest;Regió de cràters de Ptolemaeus;44;Ptolemaeus;208;9a4 / 13g5;003S 009C/S 174C/S 179C I83C;ST03/01  MM137;IV-108-H2;0;0;0;0;0;0;Cap relació calculable;Cap dibuix possible;Petit dipòsit piroclàstic / Superfície = 25 km2;Origen : Head & Wilson 1979;Comentaris de la font : ' #4, KC-Soraya ';;3;Formació força interessant;7;Al quart creixent;6 dies després de la Lluna plena;50;Refractor de 50 mm;Refractor de 100 mm
Piroclàstic 'Alphonsus East 5';Regió amb caràcter piroclàstic;No determinat;Llista de vulcanisme piroclàstic de Gaddis n° 7;Gaddis (1999) / Legrand (2007);No anomenat;No anomenat;No anomenat;Rei;Castella;castellà;13;13è segle;Toledo;1221;Sevilla;1284;Iniciador dels treballs de traducció del grec i l'àrab. Coordinador del càlcul de les 'Taules Alfonsines' que reemplaçaven les taules astronòmiques de Ptolemeu en 1256.;-1.6;1 ° 36 '  Oest;-13;13 ° 0 '  Sud;Sud-Oest;Regió de cràters de Ptolemaeus;44;Ptolemaeus;208;9a4 / 13g5;003S 009C/S 174C/S 179C I83C;ST03/01  MM137;IV-108-H2;0;0;0;0;0;0;Cap relació calculable;Cap dibuix possible;Petit dipòsit piroclàstic / Superfície = 48 km2;Origen : Head & Wilson 1979;Comentaris de la font : ' #5, no anomenat ';;3;Formació força interessant;7;Al quart creixent;6 dies després de la Lluna plena;50;Refractor de 50 mm;Refractor de 100 mm
Piroclàstic 'Alphonsus East 6';Regió amb caràcter piroclàstic;No determinat;Llista de vulcanisme piroclàstic de Gaddis n° 8;Gaddis (1999) / Legrand (2007);No anomenat;No anomenat;No anomenat;Rei;Castella;castellà;13;13è segle;Toledo;1221;Sevilla;1284;Iniciador dels treballs de traducció del grec i l'àrab. Coordinador del càlcul de les 'Taules Alfonsines' que reemplaçaven les taules astronòmiques de Ptolemeu en 1256.;-1.6;1 ° 36 '  Oest;-13.5;13 ° 30 '  Sud;Sud-Oest;Regió de cràters de Ptolemaeus;44;Ptolemaeus;208;9a4 / 13g5;003S 009C/S 174C/S 179C I83C;ST03/01  MM137;IV-108-H2;0;0;0;0;0;0;Cap relació calculable;Cap dibuix possible;Petit dipòsit piroclàstic / Superfície = 55 km2;Origen : Head & Wilson 1979;Comentaris de la font : ' #6, no anomenat ';;3;Formació força interessant;7;Al quart creixent;6 dies després de la Lluna plena;50;Refractor de 50 mm;Refractor de 100 mm
Piroclàstic 'Alphonsus Sud';Regió amb caràcter piroclàstic;No determinat;Llista de vulcanisme piroclàstic de Gaddis n° 9;Gaddis (1999) / Legrand (2007);No anomenat;No anomenat;No anomenat;Rei;Castella;castellà;13;13è segle;Toledo;1221;Sevilla;1284;Iniciador dels treballs de traducció del grec i l'àrab. Coordinador del càlcul de les 'Taules Alfonsines' que reemplaçaven les taules astronòmiques de Ptolemeu en 1256.;-2;2 ° 0 '  Oest;-14.4;14 ° 24 '  Sud;Sud-Oest;Regió de cràters de Ptolemaeus;44;Ptolemaeus;208;9a4 / 13g5;003S 009C/S 174C/S 179C I83C;ST03/01  MM137;IV-108-H2;0;0;0;0;0;0;Cap relació calculable;Cap dibuix possible;Petit dipòsit piroclàstic / Superfície = 43 km2;Origen : Head & Wilson 1979;Comentaris de la font : ' #7, R ';;3;Formació força interessant;7;Al quart creixent;6 dies després de la Lluna plena;50;Refractor de 50 mm;Refractor de 100 mm
Piroclàstic 'Alphonsus West 1';Regió amb caràcter piroclàstic;No determinat;Llista de vulcanisme piroclàstic de Gaddis n° 10;Gaddis (1999) / Legrand (2007);No anomenat;No anomenat;No anomenat;Rei;Castella;castellà;13;13è segle;Toledo;1221;Sevilla;1284;Iniciador dels treballs de traducció del grec i l'àrab. Coordinador del càlcul de les 'Taules Alfonsines' que reemplaçaven les taules astronòmiques de Ptolemeu en 1256.;-4.1;4 ° 6 '  Oest;-13.6;13 ° 36 '  Sud;Sud-Oest;Regió de cràters de Ptolemaeus;44;Ptolemaeus;208;9a4 / 13g5;003S 009C/S 174C/S 179C I83C;ST03/01  MM137;IV-108-H2;0;0;0;0;0;0;Cap relació calculable;Cap dibuix possible;Petit dipòsit piroclàstic / Superfície = 39 km2;Origen : Head & Wilson 1979;Comentaris de la font : ' #9, CA ';;3;Formació força interessant;7;Al quart creixent;6 dies després de la Lluna plena;50;Refractor de 50 mm;Refractor de 100 mm
