NAME;LUN;LUN_REDUCED;NAMETYPE;TYPE;SUBTYPE;PERIOD;GEOLOGY;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIN360;LONGIC;LATIN;LATIC;FACE;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU;IAU_FEATURE_NAME;IAU_CLEAN_FEATURE_NAME;IAU_FEATURE_ID;IAU_DIAMETER;IAU_CENTER_LATITUDE;IAU_CENTER_LONGITUDE;IAU_NORTHERN_LATITUDE;IAU_SOUTHERN_LATITUDE;IAU_EASTERN_LONGITUDE;IAU_WESTERN_LONGITUDE;IAU_COORDINATE_SYSTEM;IAU_CONTINENT;IAU_ETHNICITY;IAU_FEATURE_TYPE;IAU_FEATURE_TYPE_CODE;IAU_QUAD_NAME;IAU_QUAD_CODE;IAU_APPROVAL_STATUS;IAU_APPROVAL_DATE;IAU_REFERENCE;IAU_ORIGIN;IAU_LINK
ABBE;AA5758S17477E;5758S17477;AA;Cràter;;;;Ernst K. Abbe;UAI 1970 ?;Desconegut a l'època;Desconegut a l'època;Desconegut a l'època;Físic;Alemanya;alemany;19;segle 19è;Eisenach;1840;Jena;1905;Director de l'Observatori de Jena. Autor de la teoria clàssica del microscopi en 1877 i de la relació dels sinus. Associat amb Carl Zeiss. Inventor d'un refractòmetre i dels primers objectius apocromàtics i oculars ortoscòpics.;174.774969;174.774969;174.775° East;-57.575482;57.575° South;Cara oculta;Sud-Est;;No hi ha carta;;No hi ha carta ni imatge;No hi ha carta ni imatge;No hi ha carta ni imatge;;V-065-M;66;66;39;39;Desconeguda;Desconeguda;Altura desconeguda. Càlcul impossible;Altura desconeguda. No es pot dibuixar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable;Abbe;Abbe;9;63.976;-57.57548235;174.774969;-56.52059174;-58.63036919;176.7363338;172.8134708;LOLA2011;Europe;Germany;Crater, craters;AA;Hess;LAC-132;Adopted by IAU;01.01.1970 00:00;;Ernst Karl. German optician, physicist, astronomer (1840-1905).;http://planetarynames.wr.usgs.gov/Feature/9
ABUL WAFA;AA0096N11663E;0096N11663;AA;Cràter;;;;Abu al-Wafa al-Buzadjani;UAI 1985 ?;Desconegut a l'època;Desconegut a l'època;Desconegut a l'època;Matemàtic;Iran;iranià;10;segle 10è;Buzadjan;940;Bagdad;997;Autor d'un tractat d'aritmètica i d'un mètode precís de càlcul dels sinus.;116.630644;116.630644;116.631° East;0.962556;0.963° North;Cara oculta;Nord-Est;;No hi ha carta;;No hi ha carta ni imatge;No hi ha carta ni imatge;No hi ha carta ni imatge;;;55;55;32;32;Desconeguda;Desconeguda;Altura desconeguda. Càlcul impossible;Altura desconeguda. No es pot dibuixar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable;Abul Wáfa;Abul Wafa;22;54.1787;0.962556434;116.6306445;1.85593605;0.069181442;117.5241337;115.7371731;LOLA2011;Asia;Persian;Crater, craters;AA;Ostwald;LAC-65;Adopted by IAU;01.01.1970 00:00;;Abū al-Wafā al-Būzajāni. Persian mathematician, astronomer (940-998).;http://planetarynames.wr.usgs.gov/Feature/22
AITKEN;AA1644S17296E;1644S17296;AA;Cràter;;;;Robert Grant Aitken;UAI 1970 ?;Desconegut a l'època;Desconegut a l'època;Desconegut a l'època;Astrònom;Estats Units;americà;20;segle 20è;Jackson;1864;Berkeley;1954;"Autor del ""New General Catalogue of Double Stars"" en 1932.";172.958257;172.958257;172.958° East;-16.442982;16.443° South;Cara oculta;Sud-Est;;No hi ha carta;;No hi ha carta ni imatge;No hi ha carta ni imatge;No hi ha carta ni imatge;;II-033-H3 II-075-M II-033-H2 II-033-M;135;135;79;79;Desconeguda;Desconeguda;Altura desconeguda. Càlcul impossible;Altura desconeguda. No es pot dibuixar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable;Aitken;Aitken;119;129.693;-16.44298159;172.9582571;-14.30448723;-18.58147621;175.1878643;170.728651;LOLA2011;North America;American;Crater, craters;AA;Van de Graaff;LAC-104;Adopted by IAU;01.01.1970 00:00;;Robert Grant. American astronomer (1864-1951).;http://planetarynames.wr.usgs.gov/Feature/119
AL BIRUNI;AA1807N09262E;1807N09262;AA;Cràter;;;;Al-Biruni;UAI 1984 ?;Desconegut a l'època;Desconegut a l'època;Desconegut a l'època;Savi;Iran;iranià;11;segle 11è;Kath;973;Rhazni;1050;"Gran viatger. Astròleg del sultà de Rhazni en 1017. Historiador de les civilitzacions. Autor del ""Kitah al Qanun al Mas'udi"", tractat d'astronomia general inspirat en Ptolemeu.";92.616176;92.616176;92.616° East;18.071294;18.071° North;Zona libracions;Nord-Est;;III;Mare Marginis;No hi ha carta ni imatge;No hi ha carta ni imatge;No hi ha carta ni imatge;;;77;77;45;45;Desconeguda;Desconeguda;Altura desconeguda. Càlcul impossible;Altura desconeguda. No es pot dibuixar.;Formació circular situada a la zona de les libracions;;;;1;Formació difícil o poc interessant;1;2 dies després de la Lluna Nova;1 dia després de la Lluna Plena;30;Prismàtics 10X;Ullera de 50 mm;Al-Biruni;Al Biruni;146;80.4102;18.07129404;92.61617629;19.39717674;16.74541664;94.01117134;91.22118568;LOLA2011;Asia;Persian;Crater, craters;AA;Joliot;LAC-46;Adopted by IAU;01.01.1970 00:00;;Abū ar-Rayhān Muhammad ibn Ahmad al-Birūnī. Persian astronomer, mathematician, geographer (973-1048).;http://planetarynames.wr.usgs.gov/Feature/146
ALDEN;AA2351S11111E;2351S11111;AA;Cràter;;;;Harold L.Alden;UAI 1970 ?;Desconegut a l'època;Desconegut a l'època;Desconegut a l'època;Astrònom;Estats Units;americà;20;segle 20è;??;1890;??;1964;??;111.114134;111.114134;111.114° East;-23.508401;23.508° South;Cara oculta;Sud-Est;;No hi ha carta;;No hi ha carta ni imatge;No hi ha carta ni imatge;No hi ha carta ni imatge;;III-121-M;104;104;61;61;Desconeguda;Desconeguda;Altura desconeguda. Càlcul impossible;Altura desconeguda. No es pot dibuixar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable;Alden;Alden;170;111.437;-23.50840113;111.1141339;-21.67070389;-25.34609795;113.1178493;109.1103764;LOLA2011;North America;American;Crater, craters;AA;Fermi;LAC-101;Adopted by IAU;01.01.1970 00:00;;Harold Lee. American astronomer (1890-1964).;http://planetarynames.wr.usgs.gov/Feature/170
ALDER;AA4863S17788W;4863S17788;AA;Cràter;;;;Kurt Alder;UAI 1970 ?;Desconegut a l'època;Desconegut a l'època;Desconegut a l'època;Químic;Alemanya;alemany;20;segle 20è;Königshütte;1902;Colònia;1958;Professor a la universitat de Colònia en 1940. Premi Nobel en 1950 amb Otto Diels.;-177.883725;182.116275;177.884° West;-48.625534;48.626° South;Cara oculta;Sud-Oest;;No hi ha carta;;No hi ha carta ni imatge;No hi ha carta ni imatge;No hi ha carta ni imatge;;V-065-M;77;77;45;45;Desconeguda;Desconeguda;Altura desconeguda. Càlcul impossible;Altura desconeguda. No es pot dibuixar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable;Alder;Alder;171;82.1233;-48.62553375;182.1162754;-47.31117058;-49.93986511;184.1511135;180.0843945;LOLA2011;Europe;Germany;Crater, craters;AA;Hess;LAC-132;Adopted by IAU;01.01.1979 00:00;;Kurt. German organic chemist. Nobel laureate (1902-1958).;http://planetarynames.wr.usgs.gov/Feature/171
ALEKHIN;AA6794S13185W;6794S13185;AA;Cràter;;;;Nikolaj P. Alekhin;UAI 1970 ?;Desconegut a l'època;Desconegut a l'època;Desconegut a l'època;Enginyer;URSS;soviètic;20;segle 20è;??;1913;??;1964;Dissenyador de llançadores espacials.;-131.852393;228.147607;131.852° West;-67.944046;67.944° South;Cara oculta;Sud-Oest;;No hi ha carta;;No hi ha carta ni imatge;No hi ha carta ni imatge;No hi ha carta ni imatge;;;70;70;41;41;Desconeguda;Desconeguda;Altura desconeguda. Càlcul impossible;Altura desconeguda. No es pot dibuixar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable;Alekhin;Alekhin;174;74.8167;-67.94404621;228.1476073;-66.7103672;-69.17772102;231.4327145;224.8622723;LOLA2011;Europe;Soviet;Crater, craters;AA;Zeeman;LAC-142;Adopted by IAU;01.01.1970 00:00;;Nikolaj Pavlovich. Soviet rocket designer, engineer (1913-1964).;http://planetarynames.wr.usgs.gov/Feature/174
AL-KHWARIZMI;AA0702N10701E;0702N10701;AA;Cràter;;;;Al-Khwarizmi;UAI 1991 ?;Desconegut a l'època;Desconegut a l'època;Desconegut a l'època;Matemàtic;Irak;iraquià;9;segle 9è;??;??;??;825;??;107.006175;107.006175;107.006° East;7.021853;7.022° North;Cara oculta;Nord-Est;;No hi ha carta;;No hi ha carta ni imatge;No hi ha carta ni imatge;No hi ha carta ni imatge;;;65;65;38;38;Desconeguda;Desconeguda;Altura desconeguda. Càlcul impossible;Altura desconeguda. No es pot dibuixar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable;Al-Khwarizmi;Al Khwarizmi;149;56.2527;7.021853472;107.0061751;7.949403763;6.094305038;107.9406033;106.0717487;LOLA2011;Asia;Iraq;Crater, craters;AA;Babcock;LAC-64;Adopted by IAU;01.01.1973 00:00;;Abū Ja'far Muhammad Ibn Mūsā. Iraqi mathematician (unkn-after 847).;http://planetarynames.wr.usgs.gov/Feature/149
ALTER;AA1874N10780W;1874N10780;AA;Cràter;;;;Dinsmore Alter;UAI 1979 ?;Desconegut a l'època;Desconegut a l'època;Desconegut a l'època;Astrònom;Estats Units;americà;20;segle 20è;??;1888;??;1968;??;-107.796903;252.203097;107.797° West;18.740089;18.740° North;Cara oculta;Nord-Oest;;No hi ha carta;;No hi ha carta ni imatge;No hi ha carta ni imatge;No hi ha carta ni imatge;;V-015-H2;64;64;38;38;Desconeguda;Desconeguda;Altura desconeguda. Càlcul impossible;Altura desconeguda. No es pot dibuixar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable;Alter;Alter;208;64.733;18.74008917;252.2030967;19.80750847;17.67267036;253.3298855;251.0763302;LOLA2011;North America;American;Crater, craters;AA;Robertson;LAC-54;Adopted by IAU;01.01.1970 00:00;;Dinsmore. American astronomer, meteorologist (1888-1968).;http://planetarynames.wr.usgs.gov/Feature/208
AMICI;AA1006S17223W;1006S17223;AA;Cràter;;;;Giovanni Battista Amici;UAI 1970 ?;Desconegut a l'època;Desconegut a l'època;Desconegut a l'època;Òptic;Itàlia;italià;19;segle 19è;Modena;1786;Florència;1863;Director de l'observatori de Florència. Inventor d'un espectroscopi a prisma i d'ulleres meridianes. Estudi de l'orientació dels cristalls en els minerals.;-172.227017;187.772983;172.227° West;-10.062035;10.062° South;Cara oculta;Sud-Oest;;No hi ha carta;;No hi ha carta ni imatge;No hi ha carta ni imatge;No hi ha carta ni imatge;;;54;54;32;32;Desconeguda;Desconeguda;Altura desconeguda. Càlcul impossible;Altura desconeguda. No es pot dibuixar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable;Amici;Amici;232;52.0325;-10.06203476;187.7729833;-9.212100983;-10.92807579;188.6502972;186.9081554;LOLA2011;Europe;Italy;Crater, craters;AA;Icarus;LAC-86;Adopted by IAU;01.01.1970 00:00;;Giovanni Battista. Italian astronomer, optician (1786-1863).;http://planetarynames.wr.usgs.gov/Feature/232
