NAME;LUN;LUN_REDUCED;NAMETYPE;TYPE;SUBTYPE;PERIOD;GEOLOGY;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIN360;LONGIC;LATIN;LATIC;FACE;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU;IAU_FEATURE_NAME;IAU_CLEAN_FEATURE_NAME;IAU_FEATURE_ID;IAU_DIAMETER;IAU_CENTER_LATITUDE;IAU_CENTER_LONGITUDE;IAU_NORTHERN_LATITUDE;IAU_SOUTHERN_LATITUDE;IAU_EASTERN_LONGITUDE;IAU_WESTERN_LONGITUDE;IAU_COORDINATE_SYSTEM;IAU_CONTINENT;IAU_ETHNICITY;IAU_FEATURE_TYPE;IAU_FEATURE_TYPE_CODE;IAU_QUAD_NAME;IAU_QUAD_CODE;IAU_APPROVAL_STATUS;IAU_APPROVAL_DATE;IAU_REFERENCE;IAU_ORIGIN;IAU_LINK
ABBE;AA5758S17477E;5758S17477;AA;Crater;;;;Ernst K. Abbe;UAI 1970 ?;Not known;Not known;Not known;physicist;Germany;German;19;;Eisenach;1840;Iena;1905;Director of Iena observatory. Author of a classical theory of microscopes in 1877 and of sinuses relations. Associated with Carl Zeiss. Conceiver of a refractometer and of the first apochromatic objectives and of orthoscopic eyepieces.;174.774969;174.774969;174.775° East;-57.575482;57.575° South;Farside;South-East;;No map;;No map or picture;No map or picture;No map or picture;;V-065-M;66;66;39;39;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable;Abbe;Abbe;9;63.976;-57.5754823530759;174.774969010485;-56.5205917358398;-58.6303691864014;176.736333847046;172.813470840454;LOLA2011;Europe;Germany;Crater, craters;AA;Hess;LAC-132;Adopted by IAU;1970-01-01 00:00:00;;Ernst Karl. German optician, physicist, astronomer (1840-1905).;http://planetarynames.wr.usgs.gov/Feature/9
ABUL WAFA;AA0096N11663E;0096N11663;AA;Crater;;;;Abu al-Wafa al-Buzadjani;UAI 1985 ?;Not known;Not known;Not known;mathematician;Iran;Iranian;10;;Buzadjan;940;Bagdad;997;Author of an arithmetrical treaty and of a precise method for sinuses calculations. ;116.630644;116.630644;116.631° East;0.962556;0.963° North;Farside;North-East;;No map;;No map or picture;No map or picture;No map or picture;;;55;55;32;32;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable;Abul Wáfa;Abul Wafa;22;54.1787;0.962556433777243;116.630644476252;1.85593605041504;0.0691814422607422;117.524133682251;115.737173080444;LOLA2011;Asia;Persian;Crater, craters;AA;Ostwald;LAC-65;Adopted by IAU;1970-01-01 00:00:00;;Abū al-Wafā al-Būzajāni. Persian mathematician, astronomer (940-998).;http://planetarynames.wr.usgs.gov/Feature/22
AITKEN;AA1644S17296E;1644S17296;AA;Crater;;;;Robert Grant Aitken;UAI 1970 ?;Not known;Not known;Not known;astronomer;USA;American;20;;Jackson;1864;Berkeley;1954;Author of New General Catalogue of Double Stars in 1932.;172.958257;172.958257;172.958° East;-16.442982;16.443° South;Farside;South-East;;No map;;No map or picture;No map or picture;No map or picture;;II-033-H3 II-075-M II-033-H2 II-033-M;135;135;79;79;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable;Aitken;Aitken;119;129.693;-16.442981593682;172.958257104497;-14.3044872283936;-18.5814762115479;175.187864303589;170.728651046753;LOLA2011;North America;American;Crater, craters;AA;Van de Graaff;LAC-104;Adopted by IAU;1970-01-01 00:00:00;;Robert Grant. American astronomer (1864-1951).;http://planetarynames.wr.usgs.gov/Feature/119
AL BIRUNI;AA1807N09262E;1807N09262;AA;Crater;;;;Al-Biruni;UAI 1984 ?;Not known;Not known;Not known;scientist;Iran;Iranian;11;;Kath;973;Rhazni;1050;Great traveller. Astrologist of Rhazni Sultan in 1017. Civilizations historian. Author of Kitah al Qanun al Mas'udi, general astronomy treaty inpired from Ptolemeaus.;92.616176;92.616176;92.616° East;18.071294;18.071° North;Librations zone;North-East;;III;Mare Marginis;No map or picture;No map or picture;No map or picture;;;77;77;45;45;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Circular formation situated in the zone of librations.;;;;1;Low interest or difficult formation;1;2 days after New Moon;1 day after Full Moon;30;x10 binoculars;50 mm refractor;Al-Biruni;Al Biruni;146;80.4102;18.0712940391157;92.6161762877919;19.3971767425537;16.7454166412354;94.0111713409424;91.2211856842041;LOLA2011;Asia;Persian;Crater, craters;AA;Joliot;LAC-46;Adopted by IAU;1970-01-01 00:00:00;;Abū ar-Rayhān Muhammad ibn Ahmad al-Birūnī. Persian astronomer, mathematician, geographer (973-1048).;http://planetarynames.wr.usgs.gov/Feature/146
ALDEN;AA2351S11111E;2351S11111;AA;Crater;;;;Harold L.Alden;UAI 1970 ?;Not known;Not known;Not known;astronomer;USA;American;20;;??;1890;??;1964;??;111.114134;111.114134;111.114° East;-23.508401;23.508° South;Farside;South-East;;No map;;No map or picture;No map or picture;No map or picture;;III-121-M;104;104;61;61;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable;Alden;Alden;170;111.437;-23.5084011266012;111.114133901039;-21.6707038879395;-25.346097946167;113.117849349976;109.110376358032;LOLA2011;North America;American;Crater, craters;AA;Fermi;LAC-101;Adopted by IAU;1970-01-01 00:00:00;;Harold Lee. American astronomer (1890-1964).;http://planetarynames.wr.usgs.gov/Feature/170
ALDER;AA4863S17788W;4863S17788;AA;Crater;;;;Kurt Alder;UAI 1970 ?;Not known;Not known;Not known;chemist;Germany;German;20;;Königshütte;1902;Koln;1958;Professor in Koln University in 1940. Nobel prize in 1950 with Otto Diels.;-177.883725;182.116275;177.884° West;-48.625534;48.626° South;Farside;South-West;;No map;;No map or picture;No map or picture;No map or picture;;V-065-M;77;77;45;45;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable;Alder;Alder;171;82.1233;-48.6255337543063;182.11627539159;-47.3111705780029;-49.9398651123047;184.151113510132;180.084394454956;LOLA2011;Europe;Germany;Crater, craters;AA;Hess;LAC-132;Adopted by IAU;1979-01-01 00:00:00;;Kurt. German organic chemist. Nobel laureate (1902-1958).;http://planetarynames.wr.usgs.gov/Feature/171
ALEKHIN;AA6794S13185W;6794S13185;AA;Crater;;;;Nikolaj P. Alekhin;UAI 1970 ?;Not known;Not known;Not known;engineer;USSR;Soviet;20;;??;1913;??;1964;Rockets designer.;-131.852393;228.147607;131.852° West;-67.944046;67.944° South;Farside;South-West;;No map;;No map or picture;No map or picture;No map or picture;;;70;70;41;41;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable;Alekhin;Alekhin;174;74.8167;-67.9440462095697;228.147607347429;-66.7103672027588;-69.1777210235596;231.43271446228;224.862272262573;LOLA2011;Europe;Soviet;Crater, craters;AA;Zeeman;LAC-142;Adopted by IAU;1970-01-01 00:00:00;;Nikolaj Pavlovich. Soviet rocket designer, engineer (1913-1964).;http://planetarynames.wr.usgs.gov/Feature/174
AL-KHWARIZMI;AA0702N10701E;0702N10701;AA;Crater;;;;Al-Khwarizmi;UAI 1991 ?;Not known;Not known;Not known;mathematician;Iraq;Iraqi;9;;??;??;??;825;??;107.006175;107.006175;107.006° East;7.021853;7.022° North;Farside;North-East;;No map;;No map or picture;No map or picture;No map or picture;;;65;65;38;38;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable;Al-Khwarizmi;Al Khwarizmi;149;56.2527;7.02185347230287;107.006175054117;7.94940376281738;6.09430503845215;107.940603256226;106.071748733521;LOLA2011;Asia;Iraq;Crater, craters;AA;Babcock;LAC-64;Adopted by IAU;1973-01-01 00:00:00;;Abū Ja'far Muhammad Ibn Mūsā. Iraqi mathematician (unkn-after 847).;http://planetarynames.wr.usgs.gov/Feature/149
ALTER;AA1874N10780W;1874N10780;AA;Crater;;;;Dinsmore Alter;UAI 1979 ?;Not known;Not known;Not known;astronomer;USA;American;20;;??;1888;??;1968;??;-107.796903;252.203097;107.797° West;18.740089;18.740° North;Farside;North-West;;No map;;No map or picture;No map or picture;No map or picture;;V-015-H2;64;64;38;38;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable;Alter;Alter;208;64.733;18.7400891690599;252.203096651796;19.8075084686279;17.6726703643799;253.329885482788;251.076330184937;LOLA2011;North America;American;Crater, craters;AA;Robertson;LAC-54;Adopted by IAU;1970-01-01 00:00:00;;Dinsmore. American astronomer, meteorologist (1888-1968).;http://planetarynames.wr.usgs.gov/Feature/208
AMICI;AA1006S17223W;1006S17223;AA;Crater;;;;Giovanni Battista Amici;UAI 1970 ?;Not known;Not known;Not known;optician;Italy;Italian;19;;Modena;1786;Florence;1863;Director of Florence observatory. Inventor of a specteoscope with prism. Survey on cristals orientation in minerals.;-172.227017;187.772983;172.227° West;-10.062035;10.062° South;Farside;South-West;;No map;;No map or picture;No map or picture;No map or picture;;;54;54;32;32;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable;Amici;Amici;232;52.0325;-10.0620347573653;187.772983337045;-9.21210098266602;-10.9280757904053;188.650297164917;186.908155441284;LOLA2011;Europe;Italy;Crater, craters;AA;Icarus;LAC-86;Adopted by IAU;1970-01-01 00:00:00;;Giovanni Battista. Italian astronomer, optician (1786-1863).;http://planetarynames.wr.usgs.gov/Feature/232
ANDERS;AA4131S14330W;4131S14330;AA;Crater;;;;William A. Anders;UAI 1970 ?;Not known;Not known;Not known;astronaut;USA;American;20;;??;1933;;;Apollo 8 mission astronaut in december 1968 with Frank Borman and Jim Lovell.;-143.300998;216.699002;143.301° West;-41.314565;41.315° South;Farside;South-West;;No map;;No map or picture;No map or picture;No map or picture;;V-030-H1;40;40;24;24;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable;Anders;Anders;259;41.3265;-41.3145650912227;216.699001995286;-40.6331272125244;-41.9960021972656;217.606531143188;215.791475296021;LOLA2011;North America;American;Crater, craters;AA;Apollo;LAC-121;Adopted by IAU;1970-01-01 00:00:00;;William Alison. American astronaut (1933-Live).;http://planetarynames.wr.usgs.gov/Feature/259
ANDERSON;AA1550N17079E;1550N17079;AA;Crater;;;;John A. Anderson;UAI 1970 ?;Not known;Not known;Not known;astronomer;USA;American;20;;??;1876;??;1959;??;170.794245;170.794245;170.794° East;15.499299;15.499° North;Farside;North-East;;No map;;No map or picture;No map or picture;No map or picture;;II-034-M;109;109;64;64;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable;Anderson;Anderson;260;105.328;15.4992990955535;170.794244715015;17.2361850738525;13.762414932251;172.598360061646;168.989912033081;LOLA2011;North America;American;Crater, craters;AA;Sharonov;LAC-68;Adopted by IAU;1970-01-01 00:00:00;;John August. American astronomer (1876-1959).;http://planetarynames.wr.usgs.gov/Feature/260
ANDERSSON;AA4995S09546W;4995S09546;AA;Crater;;;;Leif Erland;UAI 1970 ?;Not known;Not known;Not known;astronomer;USA;American;20;;??;1943;??;1979;??;-95.462756;264.537244;95.463° West;-49.949754;49.950° South;Librations zone;South-West;;VI;Hausen;No map or picture;No map or picture;No map or picture;;;13;13;8;8;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Circular formation situated in the zone of librations.;;;;1;Low interest or difficult formation;14;Full Moon;6 days after Last Quarter;30;x10 binoculars;50 mm refractor;Andersson;Andersson;261;13.4195;-49.949753650617;264.53724375419;-49.728723526001;-50.171272277832;264.880487442017;264.192422866821;LOLA2011;North America;American;Crater, craters;AA;Arrhenius;LAC-135;Adopted by IAU;1985-01-01 00:00:00;;Leif Erland. American astronomer (1943-1979).;http://planetarynames.wr.usgs.gov/Feature/261
ANDRONOV;AA2268S14611E;2268S14611;AA;Crater;;;;Aleksandr Aleksandrovich Andronov;UAI 1970 ?;Not known;Not known;Not known;physicist;USSR;Soviet;20;;??;1901;??;1952;??;146.108215;146.108215;146.108° East;-22.680696;22.681° South;Farside;South-East;;No map;;No map or picture;No map or picture;No map or picture;;;16;16;9;9;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable;Andronov;Andronov;265;16.5674;-22.6806956839837;146.108214810955;-22.4075145721436;-22.9538745880127;146.404497146606;145.811933517456;LOLA2011;Europe;Soviet;Crater, craters;AA;Gagarin;LAC-102;Adopted by IAU;1976-01-01 00:00:00;;Aleksandr Aleksandrovich. Soviet physicist (1901-1952).;http://planetarynames.wr.usgs.gov/Feature/265
ANTONIADI;AA6930S17306W;6930S17306;AA;Crater;;;;Eugène M. Antoniadi;UAI 1970 ?;Not known;Not known;Not known;astronomer;France;French;20;;Istanbul;1870;Meudon;1944;Survey of planetary surfaces (Mars and Mercury principally) with 82 cm Meudon refractor. Opponant to Lowell theory of Mars channels.;-173.058476;186.941524;173.058° West;-69.302643;69.303° South;Farside;South-West;;No map;;No map or picture;No map or picture;No map or picture;;;143;143;84;84;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable;Antoniadi;Antoniadi;296;137.917;-69.3026425030756;186.941523723255;-67.0280323028564;-71.5772457122803;193.366064071655;180.516599655151;LOLA2011;Europe;France;Crater, craters;AA;Minnaert;LAC-141;Adopted by IAU;1970-01-01 00:00:00;;Eugène Michael. Turkish-born French astronomer (1870-1944).;http://planetarynames.wr.usgs.gov/Feature/296
ANUCHIN;AA4885S10166E;4885S10166;AA;Crater;;;;Dimitri N. Anuchin;UAI 1970 ?;Not known;Not known;Not known;geographer;USSR;Soviet;20;;??;1843;??;1923;??;101.659741;101.659741;101.660° East;-48.853049;48.853° South;Farside;South-East;;V;Hale;No map or picture;No map or picture;No map or picture;;IV-009-H1 IV-008-M ;57;57;34;34;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Circular formation situated in the zone of librations.;;;;1;Low interest or difficult formation;1;2 days after New Moon;1 day after Full Moon;30;x10 binoculars;50 mm refractor;Anuchin;Anuchin;304;62.1396;-48.8530487794004;101.659740771445;-47.8351860046387;-49.8718566894531;103.190969467163;100.12428855896;LOLA2011;Europe;Russia;Crater, craters;AA;Fechner;LAC-130;Adopted by IAU;1979-01-01 00:00:00;;Dimitrii Nikolaevich. Russian geographer (1843-1923).;http://planetarynames.wr.usgs.gov/Feature/304
APOLLO;AA3569S15148W;3569S15148;AA;Crater;;;;Apollo american missions;UAI 1970 ?;Not known;Not known;Not known;lunar landings;USA;American;20;;;1967;;1972;Dedicated to Apollo american human missions that brought 12 astrnauts on the Moon surface.;-151.477727;208.522273;151.478° West;-35.687407;35.687° South;Farside;South-West;;No map;;No map or picture;No map or picture;No map or picture;;;537;537;316;316;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable;Apollo;Apollo;326;524.232;-35.6874066055336;208.522273009833;-28.1193828582764;-44.1923408508301;219.417112350464;197.925687789917;LOLA2011;Europe;Greek;Crater, craters;AA;Apollo;LAC-121;Adopted by IAU;1970-01-01 00:00:00;;Named to honor Apollo missions.;http://planetarynames.wr.usgs.gov/Feature/326
APPLETON;AA3705N15817E;3705N15817;AA;Crater;;;;Sir Edward Victor Appleton;UAI 1985 ?;Not known;Not known;Not known;physicist;United Kingdom;British;20;;Bradford;1892;Edimburg;1965;Assistant de Rutherford. Ministre de la recherche en 1939. Etude sur l'ionosphère. Auteur du premierécho radar sur la Lune en 1946.Prix Nobel en 1947. Rutherford assistant. Research Ministry in 1939. Surveys on atmosphere. Author of firdt radar echo on the Moon in 1946. Nobel laureate in 1947.;158.168905;158.168905;158.169° East;37.046473;37.046° North;Farside;North-East;;No map;;No map or picture;No map or picture;No map or picture;;V-085-H2 V-085-M V-103-M;63;63;37;37;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable;Appleton;Appleton;330;64.591;37.0464734688501;158.168904665638;38.1115245819092;35.981424331665;159.503839492798;156.834012985229;LOLA2011;Europe;England;Crater, craters;AA;Chandler;LAC-32;Adopted by IAU;1970-01-01 00:00:00;;Sir Edward Victor. British physicist. Nobel laureate (1892-1965).;http://planetarynames.wr.usgs.gov/Feature/330
ARMINSKI;AA1636S15422E;1636S15422;AA;Crater;;;;Franciszek Arminski;UAI 1970 ?;Not known;Not known;Not known;astronomer;Polska;Polish;19;;??;1789;??;1848;??;154.216222;154.216222;154.216° East;-16.362761;16.363° South;Farside;South-East;;No map;;No map or picture;No map or picture;No map or picture;;II-075-M II-075-H1;26;26;15;15;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable;Armiński;Arminski;385;26.7602;-16.3627608781313;154.216221668785;-15.9215126037598;-16.8040084838867;154.676061630249;153.756383895874;LOLA2011;Europe;Poland;Crater, craters;AA;O'Day;LAC-103;Adopted by IAU;1976-01-01 00:00:00;;Franciszek. Polish astronomer (1789-1848). (Spelling changed from Armínski.);http://planetarynames.wr.usgs.gov/Feature/385
ARRHENIUS;AA5558S09145W;5558S09145;AA;Crater;;;;Svante A. Arrhenius;UAI 1970 ?;Not known;Not known;Not known;scientist;Sweden;Swedish;20;;Wijk;1859;Stockholm;1927;Director of Stockholm university in 1897. Director of Nobel institute in 1905. Author of a theory of electrolytes ionization in 1887. Author of panspermia hypothesis in 1900 and of a cosmogonic theory. Chemistry Nobel laureate in 1903. ;-91.453660;268.546340;91.454° West;-55.583694;55.584° South;Librations zone;South-West;;VI;Hausen;No map or picture;No map or picture;No map or picture;;IV-038-H2 IV-193-H3;40;40;24;24;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Circular formation situated in the zone of librations.;;;;1;Low interest or difficult formation;14;Full Moon;6 days after Last Quarter;30;x10 binoculars;50 mm refractor;Arrhenius;Arrhenius;391;40.93;-55.5836943611335;268.546339825291;-54.9087924957275;-56.2585964202881;269.740015029907;267.352640151978;LOLA2011;Europe;Sweden;Crater, craters;AA;Arrhenius;LAC-135;Adopted by IAU;1970-01-01 00:00:00;;Svante August. Swedish chemist. Nobel laureate (1859-1927).;http://planetarynames.wr.usgs.gov/Feature/391
ARTAMONOV;AA2544N10379E;2544N10379;AA;Crater;;;;Nikolaj N. Artamonov;UAI 1970 ?;Not known;Not known;Not known;engineer;USSR;Soviet;20;;??;1906;??;1965;Scientist involved in the soviet space program.;103.785321;103.785321;103.785° East;25.438663;25.439° North;Farside;North-East;;No map;;No map or picture;No map or picture;No map or picture;;;60;60;35;35;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable;Artamonov;Artamonov;398;62.4458;25.4386629912409;103.785321092339;26.4683666229248;24.4089603424072;104.926568984985;102.644102096558;LOLA2011;Europe;Soviet;Crater, craters;AA;Joliot;LAC-46;Adopted by IAU;1970-01-01 00:00:00;;Nikolaj N.. Soviet rocket scientist (1906-1965).;http://planetarynames.wr.usgs.gov/Feature/398
ARTEM'EV;AA1040N14522W;1040N14522;AA;Crater;;;;Vladimir A. Artem'ev;UAI 1970 ?;Not known;Not known;Not known;engineer;USSR;Soviet;20;;??;1885;??;1962;Scientist involved in the soviet space program.;-145.222169;214.777831;145.222° West;10.395306;10.395° North;Farside;North-West;;No map;;No map or picture;No map or picture;No map or picture;;V-032-M;67;67;39;39;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable;Artem'ev;Artem ev;402;66.391;10.3953061736441;214.777830772232;11.4900569915771;9.30055809020996;215.890718460083;213.664827346802;LOLA2011;Europe;Soviet;Crater, craters;AA;Kibalchich;LAC-70;Adopted by IAU;1970-01-01 00:00:00;;Vladimir Andreevich. Soviet rocket scientist (1885-1962).;http://planetarynames.wr.usgs.gov/Feature/402
AVICENNA;AA3963N09728W;3963N09728;AA;Crater;;;;Abu Ali Al Husayn Ibn Sina;UAI 1970 ?;Not known;Not known;Not known;philosophist;Iran;Iranian;11;;Afchana;980;Hamadhan;1037;Doctor of prince Boukhara. Author of medecine cannons. Numerous deseases description and of their treatment. Author of a cosmology based on possible and necessary beings.;-97.276815;262.723185;97.277° West;39.625434;39.625° North;Librations zone;North-West;;VIII;Röntgen;No map or picture;No map or picture;No map or picture;;;74;74;44;44;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Circular formation situated in the zone of librations.;;;;1;Low interest or difficult formation;14;Full Moon;6 days after Last Quarter;30;x10 binoculars;50 mm refractor;Avicenna;Avicenna;509;72.9882;39.6254337800338;262.723184653644;40.8289318084717;38.4219341278076;264.286748886108;261.159624099731;LOLA2011;Asia;Persian;Crater, craters;AA;Lorentz;LAC-36;Adopted by IAU;1970-01-01 00:00:00;;Abu Ali Al-Hussein Ibn Abdallah. Persian doctor (980-1037).;http://planetarynames.wr.usgs.gov/Feature/509
