NAME;LUN;LUN_REDUCED;NAMETYPE;TYPE;SUBTYPE;PERIOD;GEOLOGY;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIN360;LONGIC;LATIN;LATIC;FACE;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU;IAU_FEATURE_NAME;IAU_CLEAN_FEATURE_NAME;IAU_FEATURE_ID;IAU_DIAMETER;IAU_CENTER_LATITUDE;IAU_CENTER_LONGITUDE;IAU_NORTHERN_LATITUDE;IAU_SOUTHERN_LATITUDE;IAU_EASTERN_LONGITUDE;IAU_WESTERN_LONGITUDE;IAU_COORDINATE_SYSTEM;IAU_CONTINENT;IAU_ETHNICITY;IAU_FEATURE_TYPE;IAU_FEATURE_TYPE_CODE;IAU_QUAD_NAME;IAU_QUAD_CODE;IAU_APPROVAL_STATUS;IAU_APPROVAL_DATE;IAU_REFERENCE;IAU_ORIGIN;IAU_LINK
ABBOT;AA0556N05474E;0556N05474;AA;Cratera;;Imbriano (de -3,85 mil milhões a -3,2 mil milhões de anos);;Charles Greeley Abbot (ex Apollonius K);(??);Nome não atribuído ;Nome não atribuído ;Nome não atribuído ;Astrofísico;E. U. A.;Norte Americano;20;Século 20;Wilton;1872;Washington;1973;Director do observatório do Smithsonian Institution. Determinação do valor da constante solar e da distribuição da energia no espectro solar.;54.743059;54.743059;54.743° East;5.556162;5.556° North;Nearside;Nordeste;Bordo Norte do Mar da Fecundidade ;37;Taruntius;229;3c2;315C 124C;;;10;10;6;6;?;?;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Formação circular isolada com forma de taça.;Vertentes bastante escarpadas.;Paredes pouco elevadas.;Fundo arredondado.;1;Formação de baixo interesse ou difícil;3;3 dias após a Lua Nova;2 dias após a Lua Cheia;50;Refractor 50 mm;Telescópio 100 mm;Abbot;Abbot;10;10.4043;5.55616226346136;54.7430589309508;5.72772026062012;5.38460731506348;54.9154148101807;54.570707321167;LOLA2011;North America;American;Crater, craters;AA;Mare Undarum;LAC-62;Adopted by IAU;1973-01-01 00:00:00;;Charles Greeley. American astrophysicist (1872-1973).;http://planetarynames.wr.usgs.gov/Feature/10
ABEL;AA3463S08578E;3463S08578;AA;Cratera;;Pre-Nectariano (de -4.55 mil milhões anos a -3.92 mil milhões anos);;Niels Henrik Abel;Franz (1913);Nome não atribuído ;Nome não atribuído ;Nome não atribuído ;Matemático;Noruega;norueguês;19;Século 19;Finnoy Island;1802;Arendal;1829;Especialista em teoria das integrais elipticas e trabalhos sobre as integrais abelianas.;85.776219;85.776219;85.776° East;-34.625700;34.626° South;Librations zone;Sudeste;Limbo Sudeste da Lua;69;Furnerius;112;;291S Q4SE;;IV-009-H3;114;114;69;69;?;?;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Formação circular situada na zona das librações.;Vertentes pouco escarpadas suportando Abel L a Oeste, e Barnard e Abel A a Norte.;Paredes pouco elevadas.;Fundo plano preenchido com lava, suportando uma cratera fantasma a Nordeste.;2;Formação consideravelmente interessante;2;2 dias após a Lua Nova;1 dia após a Lua Cheia;5;Olho nu;Binóculo x 10;Abel;Abel;12;137.349;-34.6257003361427;85.7762185311885;-32.5447616577148;-36.7717876434326;88.2099132537842;83.4320240020752;LOLA2011;Europe;Norway;Crater, craters;AA;Mare Australe;LAC-116;Adopted by IAU;1964-01-01 00:00:00;;Niels Henrik. Norwegian mathematician (1802-1829).;http://planetarynames.wr.usgs.gov/Feature/12
ABENEZRA;AA2099S01189E;2099S01189;AA;Cratera;;Imbriano Superior (de -3.8 mil milhões anos a -3.2 mil milhões anos);;Abraham Bar Rabbi ben Ezra;Riccioli (1651);Schirley;Nome não atribuído ;Abenezra;Filósofo e Astrónomo;Espanha;espanhol;12;Século 12;?;1092;?;1167;;11.890657;11.890657;11.891° East;-20.993564;20.994° South;Nearside;Sudeste;Região a Oeste da cratera Catherine;56;Azophi;154;13d3;351S 357S 154S 161S 167S;;IV-096-H1;41;42;25;25;3730;11300;0,0888;A_______________________A;Formação circular de forma hexagonal que constitui trio notável com Azophi e Abenezra C.;Vertentes bastante escarpadas esmagando Abenezra C a Oeste e suportando Azophi a Sudoeste.;Paredes em terraços elevadas.;Fundo acidentado. Linhas de cristas circulares. Colinas.;4;Formação excepcional;6;5 dias após a Lua Nova;5 dias após a Lua Cheia;30;Binóculo x 10;Refractor 50 mm;Abenezra;Abenezra;14;43.1887;-20.9935637435813;11.8906568620438;-20.2814178466797;-21.7057094573975;12.6534671783447;11.1278171539307;LOLA2011;Europe;Spain;Crater, craters;AA;Rupes Altai;LAC-96;Adopted by IAU;1935-01-01 00:00:00;;Abraham ben Meir Ibn Ezra. Spanish mathematician, astronomer (1092-1164/1167).;http://planetarynames.wr.usgs.gov/Feature/14
ABETTI;AA2011N02782E;2011N02782;AA;Cratera;;Imbriano (de -3,85 mil milhões a -3,2 mil milhões de anos);;Antonio Abetti;(??);Nome não atribuído ;Nome não atribuído ;Nome não atribuído ;Astrónomo;Itália;italiano;19;Século 19;?;1846;?;1928;;27.815724;27.815724;27.816° East;20.112727;20.113° North;Nearside;Nordeste;Parte Sudeste do Mar da Serenidade;24;Bessel;284;;343C 143C 148C;;;17;17;10;10;?;?;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Formação circular fantasma.;Vertentes quase planas.;Paredes muito planas.;Fundo plano preenchido com lava de Mare Serenitatis.;2;Formação consideravelmente interessante;5;5 dia após a Lua Nova;4 dia após a Lua Cheia;50;Refractor 50 mm;Telescópio 100 mm;Abetti;Abetti;16;1.59879;20.1127273642687;27.8157242752838;20.1390933990479;20.0863666534424;27.8438014984131;27.7876529693604;LOLA2011;Europe;Italy;Crater, craters;AA;Mare Serenitatis;LAC-42;Adopted by IAU;1976-01-01 00:00:00;;Antonio. Italian astronomer (1846-1928). Giorgio. Italian astronomer (1882-1982).;http://planetarynames.wr.usgs.gov/Feature/16
ABULFEDA;AA1387S01391E;1387S01391;AA;Cratera;;Nectariano Típico (de -3.92 mil milhões anos a -3.85 mil milhões anos);;Isma'il Abu al-Fida;Riccioli (1651);Derkenni;Nome não atribuído ;Abulfeda;Historiador;Árabia;árabe;14;Século 14;Damas;1273;Hamah;1331;"Príncipe da dinastia do Ayyübides. Autor da ""História"" que continua a obra de Ibn al-Athir.";13.910298;13.910298;13.910° East;-13.865087;13.865° South;Nearside;Sudeste;Região a Este da cratera Ptolomeu;45;Andel;202;13c5 / 13d5;351C/S 154C/S 16LS 167C;;IV-089-H2;63;62;38;38;3110;9400;0,0502;A__________________________________________A;Formação circular danificada.;Vertentes escarpadas suportando numerosas pequenas crateras entre as quais Abulfeda R a Noroeste e Abulfeda S & W a Norte.;Paredes muito elevadas em terraços sobrepostas por Catena Abulfeda a Sul e por Abulfeda U & Y a Norte.;Fundo plano extenso preenchido com lava. Mancha branca descentrada e colinas. Pequenas crateras a Nordeste e o Sudoeste.;3;Formação muito interessante;6;5 dias após a Lua Nova;5 dias após a Lua Cheia;30;Binóculo x 10;Refractor 50 mm;Abulfeda;Abulfeda;23;62.2345;-13.8650869926429;13.9102981681918;-12.8388595581055;-14.8913135528564;14.9672718048096;12.8533458709717;LOLA2011;Asia;Syria;Crater, craters;AA;Theophilus;LAC-78;Adopted by IAU;1935-01-01 00:00:00;;Ismail Ibn Abū al-Fidā. Syrian geographer (1273-1331).;http://planetarynames.wr.usgs.gov/Feature/23
ACOSTA;AA0565S06014E;0565S06014;AA;Cratera;;Coperniciano (de -1.1 mil milhões anos a present days) ?;;Cristobal Acosta (ex Langrenus C);(??);Nome não atribuído ;Nome não atribuído ;Nome não atribuído ;Médico e Historiador;Portugal;português;16;Século 16;?;1515;?;1580;;60.139473;60.139473;60.139° East;-5.645305;5.645° South;Nearside;Sudeste;Limbo Este da Lua;49;Langrenus;189;15b6 / 15c6;105C 112C 119C;;;13;13;8;8;1750;5300;0,1346;A______________A;Formação circular com forma de taça situada sobre a vertente Norte de Langrenus.;Vertentes bastante escarpadas.;Paredes bastante elevadas.;Fundo arredondado.;2;Formação consideravelmente interessante;3;3 dias após a Lua Nova;2 dias após a Lua Cheia;50;Refractor 50 mm;Telescópio 100 mm;Acosta;Acosta;40;13.0615;-5.64530508826036;60.1394730652901;-5.42993354797363;-5.86067581176758;60.3558940887451;59.9230518341064;LOLA2011;Europe;Portugal;Crater, craters;AA;Langrenus;LAC-80;Adopted by IAU;1976-01-01 00:00:00;;Cristobal. Portuguese doctor, natural historian (1515-1580).;http://planetarynames.wr.usgs.gov/Feature/40
ADAMS;AA3189S06839E;3189S06839;AA;Cratera;;Nectariano (de -3.92 mil milhões anos a -3.85 mil milhões anos);;John Couch Adams;Birt / Lee (1865);Nome não atribuído ;Nome não atribuído ;Nome não atribuído ;Astrónomo;Grã-Bretanha;britânico;19;Século 19;Laneast;1819;Cambridge;1892;Demonstrou a existência e indicou a posição de Neptuno independentemente do Le Verrier, mas os seus trabalhos não foram publicados pelo Royal Observatory.;68.386902;68.386902;68.387° East;-31.891634;31.892° South;Nearside;Sudeste;Limbo Sudeste da Lua;69;Furnerius;113;15d1 / 16b7;303S Q4SE 099C 105C 112C;;IV-038-H3 IV-096-H2 IV-039-H1 IV-184-H2;66;66;40;40;?;?;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Formação circular isolada.;Vertentes bastante escarpadas suportando Adams B a Oeste e Adams D a Este.;Paredes bastante elevadas em terraços sobrepostas por duas pequenas crateras a Norte e uma cratera a Sul.;Fundo plano com pequenas crateras incluindo uma central.;3;Formação muito interessante;2;2 dias após a Lua Nova;1 dia após a Lua Cheia;30;Binóculo x 10;Refractor 50 mm;Adams;Adams;47;63.2702;-31.8916341691825;68.3869015353649;-30.8483333587646;-32.9349346160889;69.6150379180908;67.1587657928467;LOLA2011;North America;American;Crater, craters;AA;Petavius;LAC-98;Adopted by IAU;1970-01-01 00:00:00;;John Couch. British astronomer (1819-1892). Charles Hitchcock. American astronomer (1868-1951). Walter Sydney. American astronomer (1876-1956).;http://planetarynames.wr.usgs.gov/Feature/47
AGATHARCHIDES;AA1985S03111W;1985S03111;AA;Cratera;;Pre-Imbriano (de -4.55 mil milhões anos a -3.85 mil milhões anos) ?;;Agatharchide;Mädler (1837);Nome não atribuído ;Nome não atribuído ;Nome não atribuído ;Geógrafo e Historiador;Grécia;grego;-2;Século 2º AC;?;about 100 BC;?;?;;-31.114619;328.885381;31.115° West;-19.853701;19.854° South;Nearside;Sudoeste;Sector do Mar dos Humores;52;Gassendi;172;9f4 / 11b3;036C/S 040C/S 048C/S 201C 2055;;IV-132-H1;50;49;30;30;1180;3600;0,0241;A__________________________________________________________________________________________A;Formação danificada em parte submergida pela lava de Oceanus Procellarum.;Vertentes escarpadas suportando diversas pequenas crateras.;Paredes pouco elevadas parcialmente destruídas a Norte e sobrepostas por Agatharchides F a Sudoeste.;Fundo plano extenso preenchido com lava escura. Restos de montanha central.;3;Formação muito interessante;10;3 dias após o Quarto Crescente;2 dias após o Quarto Minguante;30;Binóculo x 10;Refractor 50 mm;Agatharchides;Agatharchides;82;51.9832;-19.8537009804279;328.885381439857;-18.9965343475342;-20.710865020752;329.796655654907;327.974077224731;LOLA2011;Europe;Greek;Crater, craters;AA;Mare Humorum;LAC-93;Adopted by IAU;1935-01-01 00:00:00;;Agatharchides of Cnidos. Greek geographer (c. 116 B.C.).;http://planetarynames.wr.usgs.gov/Feature/82
AGRIPPA;AA0410N01047E;0410N01047;AA;Cratera;;Eratosteniano (de -3.2 mil milhões anos a -1.1 mil milhões anos);;Agrippa;Riccioli (1651);Urselii;Mons Ida;Agrippa;Astrónomo;Grécia;grego;1;Século 1º;?;about 50;?;?;Observador em 92 de uma ocultação de Pléiades pela Lua.;10.474135;10.474135;10.474° East;4.096399;4.096° North;Nearside;Nordeste;Região a Este do Mar da Tranquilidade;34;Hyginus;282;1e2 / 13d8;351C 357C 161C 167C;;IV-097-H1;46;46;28;28;3100;9400;0,0674;A_______________________________A;Formação deformada a Sudoeste.;Vertentes escarpadas suportando Agrippa F e Tempel a Este.;Paredes em terraços suportando Agruppa H a Norte.;Fundo bastante plano. Montanha central. Colinas e detritos a Oeste. Fenda e pequenas crateras.;3;Formação muito interessante;6;5 dias após a Lua Nova;5 dias após a Lua Cheia;30;Binóculo x 10;Refractor 50 mm;Agrippa;Agrippa;92;43.7467;4.09639942536124;10.4741346961679;4.8177547454834;3.37504768371582;11.1972904205322;9.75096321105957;LOLA2011;Europe;Greek;Crater, craters;AA;Julius Caesar;LAC-60;Adopted by IAU;1935-01-01 00:00:00;;Greek astronomer (unkn-fl. A.D. 92).;http://planetarynames.wr.usgs.gov/Feature/92
AIRY;AA1814S00561E;1814S00561;AA;Cratera;;Pre-Imbriano (de -4.55 mil milhões anos a -3.85 mil milhões anos) ?;;Sir George Bidel Airy;Mädler (1837);Crequii;Nome não atribuído ;Nome não atribuído ;Astrónomo;Inglaterra;inglês;19;Século 19;Alnwick;1801;London;1892;Director do Observatório de Greenwich em 1835. Trabalhos sobre a mecânica celestial. Autor de uma teoria sobre a difracção da luz.;5.614858;5.614858;5.615° East;-18.141628;18.142° South;Nearside;Sudeste;Região a Oeste da cratera Catherine;56;Azophi;204;13e5 / 13f5;357S 003S 161S 167S 174S;;;36;37;22;22;?;?;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Formação degradada que forma trio alinhado Norte-Sul com Argelander e Vogel.;Vertentes bastante escarpadas suportando Argelander a Norte, Airy D a Noroeste e Airy G a Sudeste.;Paredes altas e acidentadas sobrepostas a Sul por Airy H.;Fundo irregular pouco extenso. Montanha central dupla.;3;Formação muito interessante;7;Quarto Crescente;5 dias após a Lua Cheia;30;Binóculo x 10;Refractor 50 mm;Airy;Airy;113;38.8999;-18.1416280150276;5.61485798365116;-17.5002021789551;-18.783052444458;6.2898998260498;4.93980979919434;LOLA2011;Europe;Great Britain;Crater, craters;AA;Purbach;LAC-95;Adopted by IAU;1935-01-01 00:00:00;;George Biddell. British astronomer (1801-1892).;http://planetarynames.wr.usgs.gov/Feature/113
