GLO_WORD;GLO_TEXT
ABSOLUTE ALTITUDE;Moon is a 1086 miles radius mean sphere. Absolute altitudes given on different maps refer to this radius. Formation absolute altitude can be negative.
AGE OF MOON;Time period in days elapsed since last NEW MOON.
ALBEDO;Ratio between the quantity of light received by a celestial body and the quantity it reflects. A totally reflecting body has an albedo of 1 and a totally absorbing body has an albedo of 0.
ANNULAR ECLIPSE;During some TOTAL ECLIPSEs, when the Earth-Moon distance is at its greatest, the lunar disk can't completely hide the sun disk and a luminous ring remains visible.
ANOMALISTIC MONTH;Time period separating two Moons located on the LUNAR ORBIT PERIGEE.
APOGEE;Furthest point of the elliptical orbit of an Earth orbiting celestial body.
APOLLO;American human missions program to land on the Moon.
ASCENDING MOON;Popular expression describing the period between NEW MOON and FULL MOON, including FIRST QUARTER.
ASCENDING NODE;The part of the Moon's orbit which takes it above the line of the ECLIPTIC.
ASH LIGHT;Lunar phenomenon that occurs when the Moon has a crescent shape (between LAST QUARTER, NEW MOON and FIRST QUARTER). The non-lit part of the lunar disk is slightly visible because it receives light reflected by Earth (see EARTHSHINE).
BASALT;Igneous rock which can be found as solidified LAVAs and present in the magma. Several kinds have been found in lunar rocks brought back to Earth by Apollo missions.
CALDERA;Large sized VOLCANO CRATER.
CAPE;A raised part of the lunar surface which extends into a SEA.
CATENA;Latin word used by International Astronomical Union (IAU) to name officially a craters chain.
COLONGITUDE;Mathematical data obtained from existing tables used to determine SELENOGRAPHIC LONGITUDE of the MORNING TERMINATOR or EVENING TERMINATOR.
CONTINENT;Large mountainous or tormented lunar surface area.
CRATER;On the Moon, generally circular formation coming from meteoritic impacts. CRATER SHAPED FORMATIONs are called craters in DBMOON if their diameter is more than 5 miles. Normally, LENGTH is equal to WIDTH but there are exceptions (Schiller).
CRATER SHAPED FORMATION;Crater shaped formation are created by meteoritic impacts (CRATER, CRATERLET and WALLED PLAIN). They are composed with SLOPES rising above surrounding areas, WALLS descending in the formation and an internal FLOOR.
CRATERLET;A CRATER SHAPED FORMATION of small diameter with a bowl shape and rounded FLOOR.
DBMOON;The database of the Virtual Moon Atlas, written by Christian Legrand.
DESCENDING MOON;Popular expression describing the period between FULL MOON and NEW MOON, including LAST QUARTER.
