NOM_SITE;SITE_NAME;LANGUE;LANGUAGE;THEME_FR;THEME_EN;SOUS_THEME;SUB_THEME;ADDRESS;DESCRIPTION_FR;DESCRIPTION_EN;DATE D'ENREGISTREMENT;RECORDING DATE
MOONVIEWS;MOONVIEWS;Anglais;English;Sondes lunaires;Lunar probes;Lunar Orbiter;Lunar Orbiter;http://www.moonviews.com;Restauration des images des sondes Lunar Orbiter;Lunar Orbiter Image Recovery Project;30/06/2011;30/06/2011
USGS / LUNAR ORBITER DIGITIZATION PROJECT;USGS / LUNAR ORBITER DIGITIZATION PROJECT;Anglais;English;Sondes lunaires;Lunar probes;Lunar Orbiter;Lunar Orbiter;http://astrogeology.usgs.gov/Projects/LunarOrbiterDigitization/;Numérisation des images des sondes Lunar Orbiter;Digitization of Lunar Orbiter probes pictures;30/06/2011;30/06/2011
NASA / LUNAR TIMELINE;NASA / LUNAR TIMELINE;Anglais;English;Sondes lunaires;Lunar probes;Sondes lunaires;Lunar probes;http://solarsystem.nasa.gov/missions/profile.cfm?Sort=Target&Target=Moon&Era=Past;Liste établie par la NASA des sondes lunaires avec brève description;Liste of lunar probes from NASA with a brief description;30/06/2011;30/06/2011
NRL / THE CLEMENTINE MISSION;THE CLEMENTINE MISSION;Anglais;English;Sondes lunaires;Lunar probes;Clementine;Clementine;http://www.cmf.nrl.navy.mil/clementine/clementine.html;Description de la mission Clementine du Naval Reasearch Laboratory;Clementine mission description by Naval Reasearch Laboratory;30/06/2011;30/06/2011
USFS ASTROGEOLOGY SCIENCE CENTER / CLEMENTINE;USFS ASTROGEOLOGY SCIENCE CENTER / CLEMENTINE;Anglais;English;Sondes lunaires;Lunar probes;Clementine;Clementine;http://astrogeology.usgs.gov/Missions/Clementine/;Description de la mission Clementine par l'US Geological Survey avec des liens;Clementine mission description by US Geological Survey with links;30/06/2011;30/06/2011
LPI / THE CLEMENTINE MISSION;LPI / THE CLEMENTINE MISSION;Anglais;English;Sondes lunaires;Lunar probes;Clementine;Clementine;http://www.lpi.usra.edu/expmoon/clementine/clementine.html;Description de la mission Clementine par le Lunar and Planetary Institute avec des liens;Clementine mission description by Lunar and Planetary Institute with links;30/06/2011;30/06/2011
NSSDC / CLEMENTINE 1994;NSSDC / CLEMENTINE 1994;Anglais;English;Sondes lunaires;Lunar probes;Clementine;Clementine;http://nssdc.gsfc.nasa.gov/planetary/lunar/clementine1.html;Description de la mission Clementine par le National Space Science Data Center avec des liens;Clementine mission description by National Space Science Data Center with links;30/06/2011;30/06/2011
LUNAR PROSPECTOR HOMEPAGE;LUNAR PROSPECTOR HOMEPAGE;Anglais;English;Sondes lunaires;Lunar probes;Lunar Prospector;Lunar Prospector;http://lunar.arc.nasa.gov/;Site officiel de la mission Lunar Prospector de la NASA;Official site of Lunar prospector NASA mission;30/06/2011;30/06/2011
ESA / SMART 1 IMAGES;ESA / SMART 1 IMAGES;Anglais;English;Sondes lunaires;Lunar probes;Smart 1;Smart 1;http://www.esa.int/esa-mmg/mmg.pl?b=b&type=I&mission=SMART-1&start=1;Images de la sonde Smart 1 de l'European Space Agency  ;European Space Agency probe Smart 1 pictures ;30/06/2011;30/06/2011
ESA / SMART 1 HOMEPAGE;ESA / SMART 1 HOMEPAGE;Anglais;English;Sondes lunaires;Lunar probes;Smart 1;Smart 1;http://www.esa.int/esaMI/SMART-1/SEMEZ2N0LYE_0.html;Site officiel de la mission Smart 1 de l'European Space Agency;Official site of European Space Agency Smart 1 mission;30/06/2011;30/06/2011
ISRO / CHANDRAYAAN 1;ISRO / CHANDRAYAAN 1;Anglais;English;Sondes lunaires;Lunar probes;Chandrayaan 1;Chandrayaan 1;http://www.chandrayaan-i.com/index.php/chandrayaan-1.html;Site officiel de la mission Chandrayaan 1 de l'India Space Research Organisation;Official site of Chandrayaan 1 mission of India Space Research Organisation;30/06/2011;30/06/2011
JAXA / KAGUYA;JAXA / KAGUYA;Anglais;English;Sondes lunaires;Lunar probes;Kaguya;Kaguya;http://www.kaguya.jaxa.jp/index_e.htm;Site officiel de la mission Kaguya de la Japan Aerospace Exploration Agency;Officiel site of Kaguya mission of Japan Aerospace Exploration Agency;30/06/2011;30/06/2011
