Colors - Albedo - LPI;Couleurs - Albédo - LPI
Colors - Albedo reference 1967 - USAF; Couleurs - Référence Albédo 1967 - USAF
Colors - Enhanced colors - Clementine;Couleurs - Renforcées - Clementine
Colors - Ratio - Clementine;Couleurs - Rapport des couleurs - Clementine
Colors - Real colors - Clementine;Couleurs - Réelles - Clementine
Elements - Hydrogen - Lunar Prospector;Eléments - Hydrogène - Lunar Prospector
Elements - Hydrogen 2 - Lunar Prospector;Eléments - Hydrogène 2 - Lunar Prospector
Elements - Iron 1 - Lunar Prospector;Eléments - Fer 1 - Lunar Prospector
Elements - Iron 2 - Lunar Prospector;Eléments - Fer 2 - Lunar Prospector
Elements - Potassium - Lunar Prospector;Eléments - Potassium - Lunar Prospector
Elements - Titanium 1 - Lunar Prospector;Eléments - Titane 1 - Lunar Prospector
Elements - Titanium 2 - Lunar Prospector;Eléments - Titane 2 - Lunar Prospector
Geology - Geological 2013 - USGS;Géologie - Géologique 2013 - USGS
Geology - Geological 2020 - USGS;Géologie - Géologique 2020 - USGS
Geology - Rock types - Clementine;Géologie - Types de roches - Clementine
Geology - Silicates - LRO;Géologie - Silicates - LRO
Geology - Slope & surface roughness - LRO;Géologie - Pente & rugosité de surface - LRO
Geology - Soil atomic mass - Lunar Prospector;Géologie - Masse atomique des sols - Lunar Prospector
Geology - Surface roughness - LRO;Géologie - Rugosité de surface - LRO
Geology - Water - Chandrayaan 1;Géologie - Eau - Chandrayaan 1
Gravimetry - Bouger Gravity Degrees 0 to 700 - GRAIL;Gravimétrie - Gravité Bouger Degrés 0 à 700 - GRAIL
Gravimetry - Crust thickness - Clementine;Gravimétrie - Epaisseur de la croûte - Clementine
Gravimetry - Crustal Thickness - GRAIL;Gravimétrie - Epaisseur de la croûte - GRAIL
Gravimetry - Free air Gravity degrees 7 to 700 - GRAIL;Gravimétrie - Free air Bouger degrés 7 à 700 - GRAIL
Gravimetry - Free air gravity degres 2 to 700 - GRAIL;Gravimétrie - Gravité Free air degres 2 à 700 - GRAIL
Gravimetry - Geoid anomalies - Clementine;Gravimétrie - Anomalies du géoïde - Clementine
Gravimetry - Gravity Bouger - Clementine;Gravimétrie - Gravité « Bouger » - Clementine
Gravimetry - Gravity Free air - Clementine;Gravimétrie - Gravité « Free air » - Clementine
Magnetism - Moon magnetic sources depth - Wieczorek;Magnétisme - Profondeur des sources magnétiques lunaires - Wieczorek
Minerals - Christiansen feature silicates - LRO;Minéraux - Silicates selon méthode Christiansen - LRO
Minerals - Clinopyroxene - Kaguya;Minéraux - Clinopyroxene - Kaguya
Minerals - Lithologic - China Sciences Academy;Minéraux - Lithologie - Académie des sciences de Chine
Minerals - Mafic rocks - Chandrayaan 1;Minéraux - Roches mafiques - Chandrayaan 1
Minerals - Olivine - Kaguya;Minéraux - Olivine - Kaguya
Minerals - Orthopyroxene - Kaguya;Minéraux - Orthopyroxene - Kaguya
Minerals - Plagioclase - Kaguya;Minéraux - Plagioclase - Kaguya
Minerals - Pyroxene - Chandrayaan 1;Minéraux - Pyroxène - Chandrayaan 1
Neutrons - Neutrons broadband - Lunar Prospector;Neutrons - Neutrons large bande - Lunar Prospector 
Neutrons - Neutrons epithermal - Lunar Prospector;Neutrons - Neutrons épithermiques - Lunar Prospector 
Neutrons - Neutrons fast - Lunar Prospector;Neutrons - Neutrons rapides - Lunar Prospector 
Oxides - Iron oxide - Clementine;Oxydes - Oxyde de fer - Clementine
Oxides - Iron oxide - Kaguya;Oxydes - Oxyde de fer - Kaguya
Oxides - Titanium oxide - LRO;Oxydes - Oxyde de titane - LRO
Periods - Copernician 0 MY - Byrne;Périodes - Copernicien 0 MA - Byrne
Periods - Eratosthenian 800 MY - Byrne;Périodes - Eratosthénien 800 MA - Byrne
Periods - Lower Imbrian 3800 MY - Byrne;Périodes - Imbrien inférieur 3800 MA - Byrne
Periods - Megabasins 4340 MY - Byrne;Périodes - Mégabassins 4340 MA - Byrne
Periods - Nectarian 3900 MY - Byrne;Périodes - Nectarien 3900 MA - Byrne
Periods - Prenectarian 4000 MY - Byrne;Périodes - Prénectarien 4000 MA - Byrne
Periods - Upper Imbrian + Marias 3000 MY - Byrne;Périodes - Imbrien supérieur + Mers 3100 MA - Byrne
Periods - Upper Imbrian 3100 MY - Byrne;Périodes - Imbrien supérieur 3100 MA - Byrne
Radiations - Gamma rays - Kaguya;Radiations - Rayons Gamma - Kaguya
Radioactives - Gadolinium - Lunar Prospector;Radioactifs - Gadolinium - Lunar Prospector
Radioactives - Polonium - Lunar Prospector;Radioactifs - Polonium - Lunar Prospector
Radioactives - Radon - Lunar Prospector;Radioactifs - Radon - Lunar Prospector
Radioactives - Thorium - Lunar Prospector;Radioactifs - Thorium - Lunar Prospector
Radioactives - Uranium - Kaguya;Radioactifs - Uranium - Kaguya
Temperature - Average Full Moon temperature - LRO;Température - Température moyenne de la Pleine Lune - LRO
Temperature - Day temperature - Chang’e 2;Température - Température journalière - Chang’e 2
Temperature - Early night temperature 20h to 0h - LRO;Température - Température de début de nuit 20h to 0h - LRO
Temperature - Early night temperature anomalies - LRO;Température - Anomalies de température en début de nuit - LRO
Temperature - Late night temperature 0 to 4h - LRO;Température - Température de fin de nuit 0 to 4h - LRO
Temperature - Late night temperature anomalies - LRO;Température - Anomalies de température en fin de nuit - LRO
Temperature - Maximum global temperature - LRO;Température - Température maximale globale - LRO
Temperature - Mean nighttime brightness temperature difference - LRO;Température - Différence de température moyenne nocturne - LRO
Temperature - Midnight temperature - LRO;Température - Température en milieu de nuit - LRO
Temperature - Minimum global temperature - LRO;Température - Température minimale globale - LRO
Temperature - Night temperature - Chang’e 2;Température - Température nocturne - Chang’e 2
Temperature - Noon temperature - LRO;Température - Température en milieu de jour - LRO
Topography - Altitude -  Kaguya 2;Topographie - Altitude - Kaguya 2
Topography - Altitude - Clementine;Topographie - Altitude - Clementine
Topography - Altitude - ULCN 2005;Topographie - Altitude - ULCN 2005
