NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS_FR;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
Agatharchides 1;Cúpula;No determinat;Cúpula d'Agatharchides n° n° 1;ALPO 1976;;;;Geògraf i historiador;Grècia;grec;-2;Segle 2on AC;?;vers 100 AC;?;?;??;-31.49683694;31 ° 30 '  Oest;-16.85795602;16 ° 51 '  Sud;Sud-Oest;Sector del Mar dels Humors;52;Gassendi;172;9f4 / 11b3;036C/S 040C/S 048C/S 201C 2055;;IV-132-H1;60;60;36.4;36.4;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;N del cràter Agatharchides;Escut volcànic;Vulcanisme extrusiu;"Descripció ALPO : Gran cúpula poc elevada sovint anomenada ""casc de bomber""";3;Formació molt interessant;10;3 dies després de quart creixent;2 dies després de quart minvant;30;10x binoculars;50 mm refractor
Albategnius 1;Cúpula;No determinat;Cúpula d'Albategnius n° n° 1;ALPO 1976;;;;Astrònom;Aràbia;àrab;9;9è segle;Harran;858;Qasr al Djiss;929;Autor del 'Zidj' millorant considerablement el coneixement astronòmic del seu període. Mesura de l'obliqüitat de l'eclíptica.;5.257347498;5 ° 15 '  Est;-6.718995469;6 ° 43 '  Sud;Sud-Est;Sector del cràter Ptolomeu;44;Ptolemaeus;204;13e5 / 13f5;357C 003C/S 161C/S 167C 174C;MM137;IV-101-H2 IV-096-H2;8;8;40.06;4.9;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;A l'interior del cràter Albategnius;Volcà;Vulcanisme extrusiu;Descripció ALPO : Abrupte. Platicúrtic. Base triangular.;4;Formació excepcional.;7;Quart creixent;6 dies després de la Lluna plena;50;50 mm refractor;100 mm refractor
Alexander 1;Cúpula;No determinat;Cúpula d'Alexander n° 1;ALPO 1976;;;;Rei;Macedònia;macedoni;-4;Segle 4rt AC;?;356 AC;Babylone;323 AC;Rei de Macedònia des de 336 fins 323 aC. Va treballar per l'expansió del seu regne a l'Índia. S'apoderà de Babilònia i cremà Persèpolis.;13.43800781;13 ° 26 '  Est;40.39097962;40 ° 23 '  Nord;Nord-Est;Regió al nord del Mar de la Serenitat;13;Eudoxus;350;2d3;351N 154N 161N;;IV-098-H2 IV-103-H2;17;17;39.882;10.3;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;A l'interior del cràter Alexander;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : Taca blanca a la Lluna plena.;3;Formació molt interessant;6;6 dies després de la Lluna nova;5 dies després de la Lluna plena;50;50 mm refractor;100 mm refractor
Alexander Q 1;Cúpula;No determinat;Cúpula d'Alexander Q n° 1;ALPO 1976;;;;Rei;Macedònia;macedoni;-4;Segle 4rt AC;?;356 AC;Babylone;323 AC;Rei de Macedònia des de 336 fins 323 aC. Va treballar per l'expansió del seu regne a l'Índia. S'apoderà de Babilònia i cremà Persèpolis.;17.01817039;17 ° 1 '  Est;35.59133528;35 ° 35 '  Nord;Nord-Est;Regió al nord del Mar de la Serenitat;13;Eudoxus;350;2d3;351N 154N 161N;;IV-098-H2 IV-103-H2;4;4;39.905;2.4;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;SE de Alexander q;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : No hi ha descripció física.;3;Formació molt interessant;6;6 dies després de la Lluna nova;5 dies després de la Lluna plena;100;100 mm refractor;200 mm reflector
Alexander Q 2;Cúpula;No determinat;Cúpula d'Alexander Q n° 2;ALPO 1976;;;;Rei;Macedònia;macedoni;-4;Segle 4rt AC;?;356 AC;Babylone;323 AC;Rei de Macedònia des de 336 fins 323 aC. Va treballar per l'expansió del seu regne a l'Índia. S'apoderà de Babilònia i cremà Persèpolis.;17.40872895;17 ° 25 '  Est;36.01521022;36 ° 1 '  Nord;Nord-Est;Regió al nord del Mar de la Serenitat;13;Eudoxus;350;2d3;351N 154N 161N;;IV-098-H2 IV-103-H2;8;8;40.06;4.9;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;NE de Alexander q;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : No hi ha descripció física.;3;Formació molt interessant;6;6 dies després de la Lluna nova;5 dies després de la Lluna plena;50;50 mm refractor;100 mm refractor
Almanon 1;Cúpula;No determinat;Cúpula d'Almanon n° 1;ALPO 1976;;;;Califa i mecenes;Pèrsia;persa;9;9è segle;Bagdad;786;Tarsus;833;Fill de Harun Al Raschid. Organitzador de la traducció en àrab de treballs científics i filosòfics d'autors grecs antics.;15.27683388;15 ° 17 '  Est;-16.97773111;16 ° 59 '  Sud;Sud-Est;Regió a l'oest del cràter Catharina;56;Azophi;198;13c4;351S 154S 161S 167C;;IV-089-H2 IV-096-H2;?;?;?;?;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;SO del cràter Almanon;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : Gran cúpula complexa;3;Formació molt interessant;6;6 dies després de la Lluna nova;5 dies després de la Lluna plena;999;No determinat;No determinat
Alphonsus 1;Cúpula;No determinat;Cúpula d'Alphonsus n° 1;ALPO 1976;;;;Rei i astrònom;Castella;castellà;13;1Segle 3er;Toledo;1221;Séville;1284;Iniciador de treballs de traducció en grec i àrab. Coordinador del càlcul de les 'Taules Alfonsines' reemplaçant les taules astronòmiques de Ptolemeu en 1256.;-0.765760482;0 ° 46 '  Oest;-13.41484876;13 ° 25 '  Sud;Sud-Oest;Sector del cràter Ptolomeu;44;Ptolemaeus;208;9a4 / 13g5;003S 009C/S 174C/S 179C I83C;ST03/01  MM137;IV-108-H2;?;?;?;?;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;A l'interior del cràter Alphonsus;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : Molt petita;3;Formació molt interessant;8;1 dia després de quart creixent;Quart minvant;999;No determinat;No determinat
Apollonius S 1;Cúpula;No determinat;Cúpula d'Apollonius S n° 1;ALPO 1976;;;;Matemàtic i astrònom;Grècia;grec;-3;Segle 3er AC;Alexandria;262 AC;Pergame;180 AC;Autor d'un important treball de síntesi sobre les còniques.;64.72683836;64 ° 44 '  Est;1.432543738;1 ° 26 '  Nord;Nord-Est;Limbe est de la Lluna;38;Neper;228;3b2;303C 309C 099C I05N 112C 119C;;;34.5;34.5;40.076;20.9;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;E del cràter Apollonius S;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : Platicúrtic. Vora irregular;3;Formació molt interessant;3;3 dies després de la Lluna nova;2 dies després de la Lluna plena;30;10x binoculars;50 mm refractor
Arago 1;Cúpula;No determinat;Cúpula d'Arago n° 1;ALPO 1976;;;;Astrònom i físic;França;francès;19;19è segle;Estagel;1786;París;1853;Director de l'observatori de París.  Treballs sobre la polarització. Mesura del diàmetre de planetes.  Descobriment de la cromosfera solar. Membre de l'Acadèmia de Ciències en 1809.  Ministre que va abolir l'esclavitud en les colònies franceses.;20.85994776;20 ° 52 '  Est;4.473614892;4 ° 28 '  Nord;Nord-Est;Part est del Mar de la Tranquil.litat;35;Arago;278;1c2 / 2h3;343C 148C 154C;MM86;IV-085-H1;13;14;40.063;8.5;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;S del cràter Arago;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : Mida mitjana. Forma hemisfèrica.;3;Formació molt interessant;6;6 dies després de la Lluna nova;5 dies després de la Lluna plena;50;50 mm refractor;100 mm refractor
Arago 1;Cúpula;No determinat;Cúpula d'Arago n° 1;ALPO 1976;;;;Astrònom i físic;França;francès;19;19è segle;Estagel;1786;París;1853;Director de l'observatori de París.  Treballs sobre la polarització. Mesura del diàmetre de planetes.  Descobriment de la cromosfera solar. Membre de l'Acadèmia de Ciències en 1809.  Ministre que va abolir l'esclavitud en les colònies franceses.;20.70846796;20 ° 43 '  Est;9.264944551;9 ° 16 '  Nord;Nord-Est;Part est del Mar de la Tranquil.litat;35;Arago;278;1c2 / 2h3;343C 148C 154C;MM86;IV-085-H1;5;40.031;3;4.1;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;NNO del cràter Arago;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : Complexa. Potser doble.;3;Formació molt interessant;6;6 dies després de la Lluna nova;5 dies després de la Lluna plena;50;50 mm refractor;100 mm refractor
