NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;OESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
Agatharchides 1;Domo;Sin determinar;Domo de Agatharchides nº 1;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Geógrafo e historiador;Grecia;griego;-2;Siglo II AC;?;alrededor del 100 AC;?;?;??;-3.149.683.694;31 º 30 '  Oeste;-1.685.795.602;16 º 51 '  Sur;Sur - Oeste;Región de Mare Humorum;52;Gassendi;172;9f4 / 11b3;036C/S 040C/S 048C/S 201C 2055;;IV-132-H1;60;60;36.4;36.4;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;N del cráter Agatharchides;Escudo volcánico;Volcanismo extrusivo;Domo grande de perfil bajo comúnmente comocido como 'El casco de bombero';3;Formación muy interesante;10;3 días después del Cuarto Creciente;2 días después del Cuarto Menguante;30;Binoculares de 10x;Refractor de 50 mm
Albategnius 1;Domo;Sin determinar;Domo de Albategnius nº 1;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Astrónomo;Arabia;árabe;9;Siglo IX;Harran;858;Qasr al Djiss;929;Autor del 'Zidj' que mejoró considerablemente el conocimiento astronómico de su época. Medida de la oblicuidad de la Eclíiptica;5.257.347.498;5 º 15 '  Este;-6.718.995.469;6 º 43 '  Sur;Sur- Este;Región del cráter Ptolomeo;44;Ptolemaeus;204;13e5 / 13f5;357C 003C/S 161C/S 167C 174C;MM137;IV-101-H2 IV-096-H2;8;8;4.9;4.9;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;Dentro del cráter Albategnius;Volcán;Volcanismo extrusivo;Empinado. Platicúrtico (no picudo) Base de forma triangular;3;Formación muy interesante;7;Cuarto Creciente;6 días después de la Luna Llena;50;Refractor de 50 mm;Refractor de 100 mm
Alexander 1;Domo;Sin determinar;Domo de Alexander nº 1;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Rey;Macedonia;macedonio;-4;Siglo IV AC;?;356 AC;Babilonia;323 AC;Rey de Macedonia desde el 336 al 323 AC. Trabajó en la expansión de su reino hacia La India. Capturó Babilonia y quemó Persépolis.;1.343.800.781;13 º 26 '  Este;4.039.097.962;40 º 23 '  Norte;Norte - Este;Región Norte de Mare Serenitatis;13;Eudoxus;350;2d3;351N 154N 161N;;IV-098-H2 IV-103-H2;17;17;10.3;10.3;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;Dentro del cráter Alexander;Escudo volcánico;Volcanismo extrusivo;Parche blanco bajo sol de altura;3;Formación muy interesante;6;6 días después de la Luna Nueva;5 días después de la Luna Llena;50;Refractor de 50 mm;Refractor de 100 mm
Alexander Q 1;Domo;Sin determinar;Domo de Alexander Q nº 1;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Rey;Macedonia;macedonio;-4;Siglo IV AC;?;356 AC;Babilonia;323 AC;Rey de Macedonia desde el 336 al 323 AC. Trabajó en la expansión de su reino hacia La India. Capturó Babilonia y quemó Persépolis.;1.701.817.039;17 º 1 '  Este;3.559.133.528;35 º 35 '  Norte;Norte - Este;Región Norte de Mare Serenitatis;13;Eudoxus;350;2d3;351N 154N 161N;;IV-098-H2 IV-103-H2;4;4;2.4;2.4;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;SE de Alexander q;Escudo volcánico;Volcanismo extrusivo;Domo de mar, en Mare Serenitatis;3;Formación muy interesante;6;6 días después de la Luna Nueva;5 días después de la Luna Llena;100;Refractor de 100 mm;Reflector de 200 mm
Alexander Q 2;Domo;Sin determinar;Domo de Alexander Q nº 2;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Rey;Macedonia;macedonio;-4;Siglo IV AC;?;356 AC;Babilonia;323 AC;Rey de Macedonia desde el 336 al 323 AC. Trabajó en la expansión de su reino hacia La India. Capturó Babilonia y quemó Persépolis.;1.740.872.895;17 º 25 '  Este;3.601.521.022;36 º 1 '  Norte;Norte - Este;Región Norte de Mare Serenitatis;13;Eudoxus;350;2d3;351N 154N 161N;;IV-098-H2 IV-103-H2;8;8;4.9;4.9;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;NE de Alexander q;Escudo volcánico;Volcanismo extrusivo;Domo de mar, en Mare Serenitatis;3;Formación muy interesante;6;6 días después de la Luna Nueva;5 días después de la Luna Llena;50;Refractor de 50 mm;Refractor de 100 mm
Almanon 1;Domo;Sin determinar;Domo de Almanon nº 1;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Califa;Persia;persa;9;Siglo IX;Bagdad;786;Tarsus;833;Hijo de Harun Al Raschid. Organizador de la traducción al árabe de trabajos científicos y filosóficos de autores griegos.;1.527.683.388;15 º 17 '  Este;-1.697.773.111;16 º 59 '  Sur;Sur- Este;Región Este del cráter Catharina;56;Azophi;198;13c4;351S 154S 161S 167C;;IV-089-H2 IV-096-H2;?;?;?;?;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;SO del cráter Almanon;Escudo volcánico;Volcanismo extrusivo;Domo grande y complejo;3;Formación muy interesante;6;6 días después de la Luna Nueva;5 días después de la Luna Llena;999;Sin determinar;Sin determinar
Alphonsus 1;Domo;Sin determinar;Domo de Alphonsus nº 1;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Rey;Castilla;castellano;13;Siglo XIII;Toledo;1221;Sevilla;1284;Iniciador de trabajos de traducción del griego y el árabe. Coordinador del cálculo de las 'Tablas Alfonsinas' reemplazando las tablas astronómicas de Ptolomeo en 1256.;-0.765760482;0 º 46 '  Oeste;-1.341.484.876;13 º 25 '  Sur;Sur - Oeste;Región del cráter Ptolomeo;44;Ptolemaeus;208;9a4 / 13g5;003S 009C/S 174C/S 179C I83C;ST03/01  MM137;IV-108-H2;?;?;?;?;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;Dentro del cráter Alphonsus;Escudo volcánico;Volcanismo extrusivo;Domo muy pequeño, en las imágenes del Ranger IX;3;Formación muy interesante;8;1 día después del Cuarto Creciente;Cuarto Menguante;999;Sin determinar;Sin determinar
Apollonius S 1;Domo;Sin determinar;Domo de Apollonius S nº 1;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Matemático y astrónomo;Grecia;griego;-3;Siglo III AC;Alejandría;262 AC;Pérgamo;180 AC;Autor de un importante trabajo de síntesis sobre la cónica.;6.472.683.836;64 º 44 '  Este;1.432.543.738;1 º 26 '  Norte;Norte - Este;Limbo Este de la Luna;38;Neper;228;3b2;303C 309C 099C I05N 112C 119C;;;34.5;34.5;20.9;20.9;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;E del cráter Apollonius S;Escudo volcánico;Volcanismo extrusivo;Platicúrtico (no picudo), borde irregular;3;Formación muy interesante;3;3 días después de la Luna Nueva;2 días después de la Luna Llena;30;Binoculares de 10x;Refractor de 50 mm
Arago 1;Domo;Sin determinar;Domo de Arago nº 1;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Astrónomo y físico;Francia;francés;19;Siglo IX;Estagel;1786;París;1853;;2.085.994.776;20 º 52 '  Este;4.473.614.892;4 º 28 '  Norte;Norte - Este;Parte Este de Mare Tranquilitatis;35;Arago;278;1c2 / 2h3;343C 148C 154C;MM86;IV-085-H1;13;14;7.9;8.5;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;S del cráter Arago;Escudo volcánico;Volcanismo extrusivo;Tamaño medio, hemisférico, domo marino;3;Formación muy interesante;6;6 días después de la Luna Nueva;5 días después de la Luna Llena;50;Refractor de 50 mm;Refractor de 100 mm
Arago 1;Domo;Sin determinar;Domo de Arago nº 1;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Astrónomo y físico;Francia;francés;19;Siglo IX;Estagel;1786;París;1853;;2.070.846.796;20 º 43 '  Este;9.264.944.551;9 º 16 '  Norte;Norte - Este;Parte Este de Mare Tranquilitatis;35;Arago;278;1c2 / 2h3;343C 148C 154C;MM86;IV-085-H1;5;6.8;3;4.1;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;NNO del cráter Arago;Escudo volcánico;Volcanismo extrusivo;Domo complejo, parece doble o posiblemente atravesado por un arroyuelo;3;Formación muy interesante;6;6 días después de la Luna Nueva;5 días después de la Luna Llena;50;Refractor de 50 mm;Refractor de 100 mm
