NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
Agatharchides 1;Dôme;Non déterminée;Dome de Agatharchides n° n° 1;ALPO 1976;Non nommé;Non nommé;Non nommé;Géographe et historien;Grèce;grec;-2;2 ème siècle av JC;?;vers 100 av JC;?;?;??;-31.49683694;31 ° 30 '  Ouest;-16.85795602;16 ° 51 '  Sud;Sud-Ouest;Secteur de la Mer des Humeurs;52;Gassendi;172;9f4 / 11b3;036C/S 040C/S 048C/S 201C 2055;;IV-132-H1;60;60;36.4;36.4;?;?;Hauteur inconnue. Calcul impossible.;Hauteur inconnue. Dessin impossible.;N du cratère Agatharchides;Bouclier volcanique;Volcanisme extrusif;Description ALPO : Grand dôme peu élevé communément appelé "casque de pompier";3;Formation très intéressante;10;3 jours après le Premier Quartier;2 jours après le Dernier Quartier;30;10x binoculars;50 mm refractor
Albategnius 1;Dôme;Non déterminée;Dome de Albategnius n° n° 1;ALPO 1976;Non nommé;Non nommé;Non nommé;Astronome;Arabie;arabe;9;9 ème siècle;Harran;858;Qasr al Djiss;929;Auteur du "Zidj" améliorant considérablement les connaissances astronomiques de son époque. Mesure de l'obliquité de l'Ecliptique.;5.257347498;5 ° 15 '  Est;-6.718995469;6 ° 43 '  Sud;Sud-Est;Secteur du cratère Ptolémée;44;Ptolemaeus;204;13e5 / 13f5;357C 003C/S 161C/S 167C 174C;MM137;IV-101-H2 IV-096-H2;8;8;4.9;4.9;?;?;Hauteur inconnue. Calcul impossible.;Hauteur inconnue. Dessin impossible.;A l'intérieur du cratère Albategnius;Volcan;Volcanisme extrusif;Description ALPO : Abrupte. Platykurtique. Base triangulaire.;4;Formation exceptionnelle.;7;Premier Quartier;6 jours après la Pleine Lune;50;50 mm refractor;100 mm refractor
Alexander 1;Dôme;Non déterminée;Dome de Alexander n° 1;ALPO 1976;Non nommé;Non nommé;Non nommé;Roi;Macédoine;macédonien;-4;4 ème siècle av JC;?;356 av JC;Babylone;323 av JC;Roi de Macédoine de 336 à 323 av JC. Entreprit l'expansion de son royaume vers l'Inde. S'empara de Babylone et brûla Persépolis.;13.43800781;13 ° 26 '  Est;40.39097962;40 ° 23 '  Nord;Nord-Est;Région au Nord de la Mer de la Sérénité;13;Eudoxus;350;2d3;351N 154N 161N;;IV-098-H2 IV-103-H2;17;17;10.3;10.3;?;?;Hauteur inconnue. Calcul impossible.;Hauteur inconnue. Dessin impossible.;A l'intérieur du cratère Alexander;Bouclier volcanique;Volcanisme extrusif;Description ALPO : Tache blanche à la Pleine Lune.;3;Formation très intéressante;6;6 jours après la Nouvelle Lune;5 jours après la Pleine Lune;50;50 mm refractor;100 mm refractor
Alexander Q 1;Dôme;Non déterminée;Dome de Alexander Q n° 1;ALPO 1976;Non nommé;Non nommé;Non nommé;Roi;Macédoine;macédonien;-4;4 ème siècle av JC;?;356 av JC;Babylone;323 av JC;Roi de Macédoine de 336 à 323 av JC. Entreprit l'expansion de son royaume vers l'Inde. S'empara de Babylone et brûla Persépolis.;17.01817039;17 ° 1 '  Est;35.59133528;35 ° 35 '  Nord;Nord-Est;Région au Nord de la Mer de la Sérénité;13;Eudoxus;350;2d3;351N 154N 161N;;IV-098-H2 IV-103-H2;4;4;2.4;2.4;?;?;Hauteur inconnue. Calcul impossible.;Hauteur inconnue. Dessin impossible.;SE de Alexander q;Bouclier volcanique;Volcanisme extrusif;Description ALPO : Pas de description physique.;3;Formation très intéressante;6;6 jours après la Nouvelle Lune;5 jours après la Pleine Lune;100;100 mm refractor;200 mm reflector
Alexander Q 2;Dôme;Non déterminée;Dome de Alexander Q n° 2;ALPO 1976;Non nommé;Non nommé;Non nommé;Roi;Macédoine;macédonien;-4;4 ème siècle av JC;?;356 av JC;Babylone;323 av JC;Roi de Macédoine de 336 à 323 av JC. Entreprit l'expansion de son royaume vers l'Inde. S'empara de Babylone et brûla Persépolis.;17.40872895;17 ° 25 '  Est;36.01521022;36 ° 1 '  Nord;Nord-Est;Région au Nord de la Mer de la Sérénité;13;Eudoxus;350;2d3;351N 154N 161N;;IV-098-H2 IV-103-H2;8;8;4.9;4.9;?;?;Hauteur inconnue. Calcul impossible.;Hauteur inconnue. Dessin impossible.;NE de Alexander q;Bouclier volcanique;Volcanisme extrusif;Description ALPO : Pas de description physique.;3;Formation très intéressante;6;6 jours après la Nouvelle Lune;5 jours après la Pleine Lune;50;50 mm refractor;100 mm refractor
Almanon 1;Dôme;Non déterminée;Dome de Almanon n° 1;ALPO 1976;Non nommé;Non nommé;Non nommé;Calife et mécène;Perse;persan;9;9 ème siècle;Bagdad;786;Tarsus;833;Fils d'Harun Al Raschid. Organisateur de la traduction en arabe des oeuvres philosophiques et scientifiques de la Grèce antique.;15.27683388;15 ° 17 '  Est;-16.97773111;16 ° 59 '  Sud;Sud-Est;Région à l'Ouest du cratère Catherine;56;Azophi;198;13c4;351S 154S 161S 167C;;IV-089-H2 IV-096-H2;?;?;?;?;?;?;Hauteur inconnue. Calcul impossible.;Hauteur inconnue. Dessin impossible.;SO du cratère Almanon;Bouclier volcanique;Volcanisme extrusif;Description ALPO : Grand dôme complexe;3;Formation très intéressante;6;6 jours après la Nouvelle Lune;5 jours après la Pleine Lune;999;Not determined;Not determined
Alphonsus 1;Dôme;Non déterminée;Dome de Alphonsus n° 1;ALPO 1976;Non nommé;Non nommé;Non nommé;Roi et astronome;Castille;castillan;13;13 ème siècle;Tolède;1221;Séville;1284;Initiateur de la traduction d'oeuvres grecques et arabes. Coordinateur du calcul des Tables Alphonsines remplaçant les tables astronomiques de Ptolémée en 1256.;-0.765760482;0 ° 46 '  Ouest;-13.41484876;13 ° 25 '  Sud;Sud-Ouest;Secteur du cratère Ptolémée;44;Ptolemaeus;208;9a4 / 13g5;003S 009C/S 174C/S 179C I83C;ST03/01  MM137;IV-108-H2;?;?;?;?;?;?;Hauteur inconnue. Calcul impossible.;Hauteur inconnue. Dessin impossible.;A l'intérieur du cratère Alphonsus;Bouclier volcanique;Volcanisme extrusif;Description ALPO : Très petit;3;Formation très intéressante;8;1 jour après le Premier Quartier;Dernier Quartier;999;Not determined;Not determined
Apollonius S 1;Dôme;Non déterminée;Dome de Apollonius S n° 1;ALPO 1976;Non nommé;Non nommé;Non nommé;Mathématicien et astronome;Grèce;grec;-3;3 ème siècle av JC;Alexandrie;262 av JC;Pergame;180 av JC;Auteur d'un important ouvrage de synthèse sur les coniques.;64.72683836;64 ° 44 '  Est;1.432543738;1 ° 26 '  Nord;Nord-Est;Limbe Est de la Lune;38;Neper;228;3b2;303C 309C 099C I05N 112C 119C;;;34.5;34.5;20.9;20.9;?;?;Hauteur inconnue. Calcul impossible.;Hauteur inconnue. Dessin impossible.;E du cratère Apollonius S;Bouclier volcanique;Volcanisme extrusif;Description ALPO : Platykurtique. Bord irrégulier;3;Formation très intéressante;3;3 jours après la Nouvelle Lune;2 jours après la Pleine Lune;30;10x binoculars;50 mm refractor
Arago 1;Dôme;Non déterminée;Dome de Arago n° 1;ALPO 1976;Non nommé;Non nommé;Non nommé;Astronome et physicien;France;français;19;19 ème siècle;Estagel;1786;Paris;1853;Directeur de l'observatoire de Paris. Travaux sur la polarisation. Mesure du diamètre des planètes. Découverte de la chromosphère solaire. Membre de l'Académie des Sciences en 1809.  Ministre ayant aboli l'esclavage dans les colonies.;20.85994776;20 ° 52 '  Est;4.473614892;4 ° 28 '  Nord;Nord-Est;Partie Est de la Mer de la Tranquillité;35;Arago;278;1c2 / 2h3;343C 148C 154C;MM86;IV-085-H1;13;14;7.9;8.5;?;?;Hauteur inconnue. Calcul impossible.;Hauteur inconnue. Dessin impossible.;S du cratère Arago;Bouclier volcanique;Volcanisme extrusif;Description ALPO : Taille moyenne. Forme hémisphérique.;3;Formation très intéressante;6;6 jours après la Nouvelle Lune;5 jours après la Pleine Lune;50;50 mm refractor;100 mm refractor
Arago 1;Dôme;Non déterminée;Dome de Arago n° 1;ALPO 1976;Non nommé;Non nommé;Non nommé;Astronome et physicien;France;français;19;19 ème siècle;Estagel;1786;Paris;1853;Directeur de l'observatoire de Paris. Travaux sur la polarisation. Mesure du diamètre des planètes. Découverte de la chromosphère solaire. Membre de l'Académie des Sciences en 1809.  Ministre ayant aboli l'esclavage dans les colonies.;20.70846796;20 ° 43 '  Est;9.264944551;9 ° 16 '  Nord;Nord-Est;Partie Est de la Mer de la Tranquillité;35;Arago;278;1c2 / 2h3;343C 148C 154C;MM86;IV-085-H1;5;6.8;3;4.1;?;?;Hauteur inconnue. Calcul impossible.;Hauteur inconnue. Dessin impossible.;NNO du cratère Arago;Bouclier volcanique;Volcanisme extrusif;Description ALPO : Complexe. Peut être double.;3;Formation très intéressante;6;6 jours après la Nouvelle Lune;5 jours après la Pleine Lune;50;50 mm refractor;100 mm refractor
Arago 10;Dôme;Non déterminée;Dome de Arago n° 10;ALPO 1976;Non nommé;Non nommé;Non nommé;Astronome et physicien;France;français;19;19 ème siècle;Estagel;1786;Paris;1853;Directeur de l'observatoire de Paris. Travaux sur la polarisation. Mesure du diamètre des planètes. Découverte de la chromosphère solaire. Membre de l'Académie des Sciences en 1809.  Ministre ayant aboli l'esclavage dans les colonies.;20.93559973;20 ° 56 '  Est;8.916796253;8 ° 55 '  Nord;Nord-Est;Partie Est de la Mer de la Tranquillité;35;Arago;278;1c2 / 2h3;343C 148C 154C;MM86;IV-085-H1;6;9.6;3.6;5.8;?;?;Hauteur inconnue. Calcul impossible.;Hauteur inconnue. Dessin impossible.;NNO du cratère Arago;Volcan;Volcanisme extrusif;Description ALPO : Base ronde. Cratère-puits profond au sommet. Au NO d'Arago.;4;Formation exceptionnelle.;6;6 jours après la Nouvelle Lune;5 jours après la Pleine Lune;50;50 mm refractor;100 mm refractor
Arago 11;Dôme;Non déterminée;Dome de Arago n° 11;ALPO 1976;Non nommé;Non nommé;Non nommé;Astronome et physicien;France;français;19;19 ème siècle;Estagel;1786;Paris;1853;Directeur de l'observatoire de Paris. Travaux sur la polarisation. Mesure du diamètre des planètes. Découverte de la chromosphère solaire. Membre de l'Académie des Sciences en 1809.  Ministre ayant aboli l'esclavage dans les colonies.;21.57244626;21 ° 34 '  Est;9.148857422;9 ° 9 '  Nord;Nord-Est;Partie Est de la Mer de la Tranquillité;35;Arago;278;1c2 / 2h3;343C 148C 154C;MM86;IV-085-H1;6;7;3.6;4.3;?;?;Hauteur inconnue. Calcul impossible.;Hauteur inconnue. Dessin impossible.;NO du cratère Arago;Bouclier volcanique;Volcanisme extrusif;Description ALPO : Pas de description physique.;3;Formation très intéressante;6;6 jours après la Nouvelle Lune;5 jours après la Pleine Lune;50;50 mm refractor;100 mm refractor
Arago 12;Dôme;Non déterminée;Dome de Arago n° 12;ALPO 1976;Non nommé;Non nommé;Non nommé;Astronome et physicien;France;français;19;19 ème siècle;Estagel;1786;Paris;1853;Directeur de l'observatoire de Paris. Travaux sur la polarisation. Mesure du diamètre des planètes. Découverte de la chromosphère solaire. Membre de l'Académie des Sciences en 1809.  Ministre ayant aboli l'esclavage dans les colonies.;21.4778659;21 ° 29 '  Est;9.613438289;9 ° 37 '  Nord;Nord-Est;Partie Est de la Mer de la Tranquillité;35;Arago;278;1c2 / 2h3;343C 148C 154C;MM86;IV-085-H1;6;6;3.6;3.6;?;?;Hauteur inconnue. Calcul impossible.;Hauteur inconnue. Dessin impossible.;N du cratère Arago;Bouclier volcanique;Volcanisme extrusif;Description ALPO : Grand dôme au NO d'Arago.;3;Formation très intéressante;6;6 jours après la Nouvelle Lune;5 jours après la Pleine Lune;50;50 mm refractor;100 mm refractor
