NAME;LUN;LUN_REDUCED;NAMETYPE;TYPE;SUBTYPE;PERIOD;GEOLOGY;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIN360;LONGIC;LATIN;LATIC;FACE;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU;IAU_FEATURE_NAME;IAU_CLEAN_FEATURE_NAME;IAU_FEATURE_ID;IAU_DIAMETER;IAU_CENTER_LATITUDE;IAU_CENTER_LONGITUDE;IAU_NORTHERN_LATITUDE;IAU_SOUTHERN_LATITUDE;IAU_EASTERN_LONGITUDE;IAU_WESTERN_LONGITUDE;IAU_COORDINATE_SYSTEM;IAU_CONTINENT;IAU_ETHNICITY;IAU_FEATURE_TYPE;IAU_FEATURE_TYPE_CODE;IAU_QUAD_NAME;IAU_QUAD_CODE;IAU_APPROVAL_STATUS;IAU_APPROVAL_DATE;IAU_REFERENCE;IAU_ORIGIN;IAU_LINK
ABBE H;SF5844S17758E;5844S17758;SF;Cráter;;??;;Ernst K. Abbe;Andersson / Whitaker 1982;Desconocido en este periodo;Desconocido en este periodo;Desconocido en este periodo;Físico;Alemania;Alemán;19;Siglo XIX;Eisenach;1840;Iena;1905;Director del Observatorio de Iena. Autor de una teoría clásica de microscopio en 1877 y de relaciones sinusoidales. Asociaco con Carl Zeiss. Ideólogo de un refractrómetro y del primer objetivo apocromático y del ocular orthoscópico.;177.584133;177.584133;177.584° East;-58.444934;58.445° South;Farside;Sur-Este;No definido;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;Sin artículo;??;25;25;15;15;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable;Abbe H;Abbe H;7027;25.1268;-58.4449335493092;177.584132626265;-58.0306205749512;-58.859245300293;178.375558853149;176.792722702026;LOLA2011;Europe;Germany;Satellite Feature;SF;Hess;LAC-132;Adopted by IAU;2006-01-01 00:00:00;;Ernst Karl. German optician, physicist, astronomer (1840-1905).;http://planetarynames.wr.usgs.gov/Feature/7027
ABBE K;SF5982S17686E;5982S17686;SF;Cráter;;??;;Ernst K. Abbe;Andersson / Whitaker 1982;Desconocido en este periodo;Desconocido en este periodo;Desconocido en este periodo;Físico;Alemania;Alemán;19;Siglo XIX;Eisenach;1840;Iena;1905;Director del Observatorio de Iena. Autor de una teoría clásica de microscopio en 1877 y de relaciones sinusoidales. Asociaco con Carl Zeiss. Ideólogo de un refractrómetro y del primer objetivo apocromático y del ocular orthoscópico.;176.857881;176.857881;176.858° East;-59.815856;59.816° South;Farside;Sur-Este;No definido;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;Sin artículo;??;28;28;16;16;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable;Abbe K;Abbe K;7028;26.1044;-59.8158557360001;176.857880741037;-59.3854198455811;-60.2462921142578;177.714002609253;176.001768112183;LOLA2011;Europe;Germany;Satellite Feature;SF;Hess;LAC-132;Adopted by IAU;2006-01-01 00:00:00;;Ernst Karl. German optician, physicist, astronomer (1840-1905).;http://planetarynames.wr.usgs.gov/Feature/7028
ABBE M;SF6175S17524E;6175S17524;SF;Cráter;;??;;Ernst K. Abbe;Andersson / Whitaker 1982;Desconocido en este periodo;Desconocido en este periodo;Desconocido en este periodo;Físico;Alemania;Alemán;19;Siglo XIX;Eisenach;1840;Iena;1905;Director del Observatorio de Iena. Autor de una teoría clásica de microscopio en 1877 y de relaciones sinusoidales. Asociaco con Carl Zeiss. Ideólogo de un refractrómetro y del primer objetivo apocromático y del ocular orthoscópico.;175.239369;175.239369;175.239° East;-61.746193;61.746° South;Farside;Sur-Este;No definido;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;Sin artículo;??;29;29;17;17;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable;Abbe M;Abbe M;7029;28.6143;-61.746193095272;175.239368910854;-61.2743721008301;-62.2180137634277;176.236566543579;174.242170333862;LOLA2011;Europe;Germany;Satellite Feature;SF;Hess;LAC-132;Adopted by IAU;2006-01-01 00:00:00;;Ernst Karl. German optician, physicist, astronomer (1840-1905).;http://planetarynames.wr.usgs.gov/Feature/7029
ABUL WAFA A;SF0140N11686E;0140N11686;SF;Cráter;;??;;Abu al-Wafa al-Buzadjani;Andersson / Whitaker 1982;Desconocido en este periodo;Desconocido en este periodo;Desconocido en este periodo;Matemático;Irán;Iraní;10;Siglo X;Buzadjan;940;Bagdad;997;Autor de un tratado aritmético y de un método precido para el cálculo de senos. ;116.859355;116.859355;116.859° East;1.397130;1.397° North;Farside;Norte-Este;No definido;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;Sin artículo;??;16;16;9;9;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable;Abul Wáfa A;Abul Wafa A;7049;14.9789;1.39712994148182;116.859354790031;1.64411735534668;1.15014457702637;117.106416702271;116.612295150757;LOLA2011;Asia;Persian;Satellite Feature;SF;Ostwald;LAC-65;Adopted by IAU;2006-01-01 00:00:00;;Abū al-Wafā al-Būzajāni. Persian mathematician, astronomer (940-998).;http://planetarynames.wr.usgs.gov/Feature/7049
ABUL WAFA Q;SF0014N11588E;0014N11588;SF;Cráter;;??;;Abu al-Wafa al-Buzadjani;Andersson / Whitaker 1982;Desconocido en este periodo;Desconocido en este periodo;Desconocido en este periodo;Matemático;Irán;Iraní;10;Siglo X;Buzadjan;940;Bagdad;997;Autor de un tratado aritmético y de un método precido para el cálculo de senos. ;115.883659;115.883659;115.884° East;0.143679;0.144° North;Farside;Norte-Este;No definido;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;Sin artículo;??;30;30;18;18;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable;Abul Wáfa Q;Abul Wafa Q;7050;31.0363;0.143679262780859;115.883659180125;0.655435562133789;-0.368076324462891;116.395418167114;115.371900558472;LOLA2011;Asia;Persian;Satellite Feature;SF;Ostwald;LAC-65;Adopted by IAU;2006-01-01 00:00:00;;Abū al-Wafā al-Būzajāni. Persian mathematician, astronomer (940-998).;http://planetarynames.wr.usgs.gov/Feature/7050
AITKEN A;SF1387S17346E;1387S17346;SF;Cráter;;??;;Robert Grant Aitken;Andersson / Whitaker 1982;Desconocido en este periodo;Desconocido en este periodo;Desconocido en este periodo;Astrónomo;USA;Americano;20;Siglo XX;Jackson;1864;Berkeley;1954;Autor de New General Catalogue de Double Stars en 1932.;173.463566;173.463566;173.464° East;-13.866769;13.867° South;Farside;Sur-Este;No definido;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;Sin artículo;??;13;13;8;8;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable;Aitken A;Aitken A;7123;12.9385;-13.8667691332537;173.463566067384;-13.6534271240234;-14.0801105499268;173.683313369751;173.243822097778;LOLA2011;North America;American;Satellite Feature;SF;Icarus;LAC-86;Adopted by IAU;2006-01-01 00:00:00;;Robert Grant. American astronomer (1864-1951).;http://planetarynames.wr.usgs.gov/Feature/7123
AITKEN C;SF1376S17557E;1376S17557;SF;Cráter;;??;;Robert Grant Aitken;Andersson / Whitaker 1982;Desconocido en este periodo;Desconocido en este periodo;Desconocido en este periodo;Astrónomo;USA;Americano;20;Siglo XX;Jackson;1864;Berkeley;1954;Autor de New General Catalogue de Double Stars en 1932.;175.574787;175.574787;175.575° East;-13.760055;13.760° South;Farside;Sur-Este;No definido;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;Sin artículo;??;74;74;44;44;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable;Aitken C;Aitken C;7124;65.6088;-13.7600551403234;175.574787420327;-12.6782360076904;-14.8418731689453;176.688566207886;174.461011886597;LOLA2011;North America;American;Satellite Feature;SF;Icarus;LAC-86;Adopted by IAU;2006-01-01 00:00:00;;Robert Grant. American astronomer (1864-1951).;http://planetarynames.wr.usgs.gov/Feature/7124
AITKEN G;SF1671S17399E;1671S17399;SF;Cratercillo;;??;;Robert Grant Aitken;Andersson / Whitaker 1982;Desconocido en este periodo;Desconocido en este periodo;Desconocido en este periodo;Astrónomo;USA;Americano;20;Siglo XX;Jackson;1864;Berkeley;1954;Autor de New General Catalogue de Double Stars en 1932.;173.994201;173.994201;173.994° East;-16.709820;16.710° South;Farside;Sur-Este;No definido;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;Sin artículo;??;7;7;4;4;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable;Aitken G;Aitken G;7125;6.04762;-16.7098198409676;173.994200821689;-16.6100997924805;-16.8095378875732;174.098321914673;173.89008140564;LOLA2011;North America;American;Satellite Feature;SF;Van de Graaff;LAC-104;Adopted by IAU;2006-01-01 00:00:00;;Robert Grant. American astronomer (1864-1951).;http://planetarynames.wr.usgs.gov/Feature/7125
AITKEN N;SF1763S17274E;1763S17274;SF;Cratercillo;;??;;Robert Grant Aitken;Andersson / Whitaker 1982;Desconocido en este periodo;Desconocido en este periodo;Desconocido en este periodo;Astrónomo;USA;Americano;20;Siglo XX;Jackson;1864;Berkeley;1954;Autor de New General Catalogue de Double Stars en 1932.;172.738614;172.738614;172.739° East;-17.631107;17.631° South;Farside;Sur-Este;No definido;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;Sin artículo;??;7;7;4;4;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable;Aitken N;Aitken N;7126;7.14643;-17.6311070239334;172.738614222859;-17.5132694244385;-17.7489433288574;172.862260818481;172.61496925354;LOLA2011;North America;American;Satellite Feature;SF;Van de Graaff;LAC-104;Adopted by IAU;2006-01-01 00:00:00;;Robert Grant. American astronomer (1864-1951).;http://planetarynames.wr.usgs.gov/Feature/7126
AITKEN Y;SF1193S17292E;1193S17292;SF;Cráter;;??;;Robert Grant Aitken;Andersson / Whitaker 1982;Desconocido en este periodo;Desconocido en este periodo;Desconocido en este periodo;Astrónomo;USA;Americano;20;Siglo XX;Jackson;1864;Berkeley;1954;Autor de New General Catalogue de Double Stars en 1932.;172.921356;172.921356;172.921° East;-11.929633;11.930° South;Farside;Sur-Este;No definido;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;Sin artículo;??;35;35;21;21;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable;Aitken Y;Aitken Y;7127;35.7174;-11.9296327703343;172.921355650475;-11.4032535552979;-12.4560089111328;173.520433425903;172.322385787964;LOLA2011;North America;American;Satellite Feature;SF;Icarus;LAC-86;Adopted by IAU;2006-01-01 00:00:00;;Robert Grant. American astronomer (1864-1951).;http://planetarynames.wr.usgs.gov/Feature/7127
