NAME;LUN;LUN_REDUCED;NAMETYPE;TYPE;SUBTYPE;PERIOD;GEOLOGY;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIN360;LONGIC;LATIN;LATIC;FACE;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU;IAU_FEATURE_NAME;IAU_CLEAN_FEATURE_NAME;IAU_FEATURE_ID;IAU_DIAMETER;IAU_CENTER_LATITUDE;IAU_CENTER_LONGITUDE;IAU_NORTHERN_LATITUDE;IAU_SOUTHERN_LATITUDE;IAU_EASTERN_LONGITUDE;IAU_WESTERN_LONGITUDE;IAU_COORDINATE_SYSTEM;IAU_CONTINENT;IAU_ETHNICITY;IAU_FEATURE_TYPE;IAU_FEATURE_TYPE_CODE;IAU_QUAD_NAME;IAU_QUAD_CODE;IAU_APPROVAL_STATUS;IAU_APPROVAL_DATE;IAU_REFERENCE;IAU_ORIGIN;IAU_LINK
ABBOT;AA0556N05474E;0556N05474;AA;Cratere;;Imbriano (da -3.85 miliardi di anni a -3.2 miliardi di anni) ?;;Charles Greeley Abbot (ex Apollonius K);(??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astrofisico;USA;americano;20;20° secolo;Wilton;1872;Washington;1973;Direttore dell'Osservatorio dello 'Smithsonian Institution'. Determinazione del valore della costante solare e della distribuzione dell'energia nello spettro solare.;54.743059;54.743059;54.743° East;5.556162;5.556° North;Nearside;Nord-Est;Bordo Settentrionale del Mare Fecunditatis;37;Taruntius;229;3c2;315C 124C;;;10;10;6;6;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti abbastanza scoscesi.;Pareti poco elevate.;Fondo arrotondato.;1;Formazione di scarso interesse;3;3 giorni dopo la Luna Nuova;2 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Abbot;Abbot;10;10.4043;5.55616226346136;54.7430589309508;5.72772026062012;5.38460731506348;54.9154148101807;54.570707321167;LOLA2011;North America;American;Crater, craters;AA;Mare Undarum;LAC-62;Adopted by IAU;1973-01-01 00:00:00;;Charles Greeley. American astrophysicist (1872-1973).;http://planetarynames.wr.usgs.gov/Feature/10
ABEL;AA3463S08578E;3463S08578;AA;Cratere;;Pre-Nectariano (da -4.55 miliardi di anni a -3.92 miliardi di anni);;Niels Henrik Abel;Franz (1913);Nome non assegnato;Nome non assegnato;Nome non assegnato;Matematico;Norvegia;norvegese;19;19° secolo;Isola di Finnoy;1802;Arendal;1829;Specialista della teoria degli integrali ellittici e lavori sui cosiddetti integrali abeliani.;85.776219;85.776219;85.776° East;-34.625700;34.626° South;Librations zone;Sud-Est;Bordo Sud-Orientale della Luna;69;Furnerius;112;;291S Q4SE;;IV-009-H3;114;114;69;69;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare situata nella zona delle librazioni.;Versanti poco scoscesi su cui si trovano Abel L ad Ovest, Barnard e Abel A a Nord.;Pareti poco elevate quasi inglobate ad Est nella lava del Mare Australe.;Fondo piatto riempito di lava che sorregge un cratere fantasma a Nord-Est.;2;Formazione abbastanza interessante;2;2 giorni dopo la Luna Nuova;1 giorno dopo la Luna Piena;5;Occhio nudo;Binocolo 10x;Abel;Abel;12;137.349;-34.6257003361427;85.7762185311885;-32.5447616577148;-36.7717876434326;88.2099132537842;83.4320240020752;LOLA2011;Europe;Norway;Crater, craters;AA;Mare Australe;LAC-116;Adopted by IAU;1964-01-01 00:00:00;;Niels Henrik. Norwegian mathematician (1802-1829).;http://planetarynames.wr.usgs.gov/Feature/12
ABENEZRA;AA2099S01189E;2099S01189;AA;Cratere;;Imbriano Superiore (da -3.8 miliardi di anni a -3.2 miliardi di anni);;Abraham Bar Rabbi ben Ezra;Riccioli (1651);Schirley;Nome non assegnato;Abenezra;Filosofo e astronomo;Spagna;spagnolo;12;12° secolo;?;1092;?;1167;??;11.890657;11.890657;11.891° East;-20.993564;20.994° South;Nearside;Sud-Est;Regione ad Est del cratere Catharina;56;Azophi;154;13d3;351S 357S 154S 161S 167S;;IV-096-H1;41;42;25;25;3730;11300;0.0888;A_______________________A;Formazione circolare di forma esagonale che costituisce una notevole composizione insieme a Azophi e Abenezra C;Versanti abbastanza scoscesi che hanno rovinato Abenezra C ad Ovest e su cui si trova Azophi a Sud-Ovest.;Pareti con alti terrazzamenti.;Fondo tormentato.  Linee di creste circolari. Collinette.;4;Formazione eccezionale;6;6 giorni dopo la Luna Nuova;5 giorni dopo la Luna Piena;30;Binocolo 10x;Rifrattore da 50 mm;Abenezra;Abenezra;14;43.1887;-20.9935637435813;11.8906568620438;-20.2814178466797;-21.7057094573975;12.6534671783447;11.1278171539307;LOLA2011;Europe;Spain;Crater, craters;AA;Rupes Altai;LAC-96;Adopted by IAU;1935-01-01 00:00:00;;Abraham ben Meir Ibn Ezra. Spanish mathematician, astronomer (1092-1164/1167).;http://planetarynames.wr.usgs.gov/Feature/14
ABETTI;AA2011N02782E;2011N02782;AA;Cratere;;Imbriano (da -3.85 miliardi di anni a -3.2 miliardi di anni) ?;;Antonio Abetti;(??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo;Italia;italiano;19;19° secolo;?;1846;?;1928;??;27.815724;27.815724;27.816° East;20.112727;20.113° North;Nearside;Nord-Est;Parte Sud-Orientale del Mare Serenitatis;24;Bessel;284;;343C 143C 148C;;;17;17;10;10;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare fantasma.;Versanti quasi piatti.;Pareti molto piatte.;Fondo piatto riempito con la lava del Mare Serenitatis.;2;Formazione abbastanza interessante;5;5 giorni dopo la Luna Nuova;4 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Abetti;Abetti;16;1.59879;20.1127273642687;27.8157242752838;20.1390933990479;20.0863666534424;27.8438014984131;27.7876529693604;LOLA2011;Europe;Italy;Crater, craters;AA;Mare Serenitatis;LAC-42;Adopted by IAU;1976-01-01 00:00:00;;Antonio. Italian astronomer (1846-1928). Giorgio. Italian astronomer (1882-1982).;http://planetarynames.wr.usgs.gov/Feature/16
ABULFEDA;AA1387S01391E;1387S01391;AA;Cratere;;Nectariano Tipico (da -3.92 miliardi di anni a -3.85 miliardi di anni);;Isma'il Abu al-Fida;Riccioli (1651);Derkenni;Nome non assegnato;Abulfeda;Storico;Arabia;arabo;14;14° secolo;Damasco;1273;Hamah;1331;Principe della dinastia degli Ayyubides. Autore della 'Storia' che descrive i lavori di Ibn al-Athir.;13.910298;13.910298;13.910° East;-13.865087;13.865° South;Nearside;Sud-Est;Regione ad Est del cratere Ptolemaeus;45;Andel;202;13c5 / 13d5;351C/S 154C/S 16LS 167C;;IV-089-H2;63;62;38;38;3110;9400;0.0502;A__________________________________________A;Formazione circolare danneggiata.;Versanti scoscesi su cui si trovano molti piccoli crateri tra cui Abulfeda R a Nord-Ovest e Abulfeda S e W a Nord.;Pareti molto alte e terrazzate, su cui si sovrappongono la Catena Abulfeda a Sud e Abulfeda U e Y a Nord.;Esteso fondo piatto riempito di lava.  Macchie bianche decentrate e colline.  Piccoli crateri a Nord-Est e a Sud-Ovest.;3;Formazione molto interessante;6;6 giorni dopo la Luna Nuova;5 giorni dopo la Luna Piena;30;Binocolo 10x;;Abulfeda;Abulfeda;23;62.2345;-13.8650869926429;13.9102981681918;-12.8388595581055;-14.8913135528564;14.9672718048096;12.8533458709717;LOLA2011;Asia;Syria;Crater, craters;AA;Theophilus;LAC-78;Adopted by IAU;1935-01-01 00:00:00;;Ismail Ibn Abū al-Fidā. Syrian geographer (1273-1331).;http://planetarynames.wr.usgs.gov/Feature/23
Rifrattore da 50 mm;;;;Faccia visibile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACOSTA;AA0565S06014E;0565S06014;AA;Cratere;;Copernicano (da -1.1 miliardi di anni ad oggi) ?;;Cristobal Acosta (ex Langrenus C);(??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Medico e storico;Portogallo;portoghese;16;16° secolo;?;1515;?;1580;??;60.139473;60.139473;60.139° East;-5.645305;5.645° South;Nearside;Sud-Est;Bordo Orientale della Luna;49;Langrenus;189;15b6 / 15c6;105C 112C 119C;;;13;13;8;8;1750;5300;0.1346;A______________A;Formazione circolare a forma di conca situata sul versante Nord di Langrenus;Versanti abbastanza scoscesi.;Pareti abbastanza alte.;Fondo arrotondato.;2;Formazione abbastanza interessante;3;3 giorni dopo la Luna Nuova;2 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Acosta;Acosta;40;13.0615;-5.64530508826036;60.1394730652901;-5.42993354797363;-5.86067581176758;60.3558940887451;59.9230518341064;LOLA2011;Europe;Portugal;Crater, craters;AA;Langrenus;LAC-80;Adopted by IAU;1976-01-01 00:00:00;;Cristobal. Portuguese doctor, natural historian (1515-1580).;http://planetarynames.wr.usgs.gov/Feature/40
ADAMS;AA3189S06839E;3189S06839;AA;Cratere;;Nectariano (da -3.92 miliardi di anni a -3.85 miliardi di anni);;John Couch Adams;Birt / Lee (1865);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo;Gran Bretagna;britannico;19;19° secolo;Laneast;1819;Cambridge;1892;Ha dimostrato l'esistenza e ha indicato la posizione di Nettuno, indipendentemente da Le Verrier, ma i suoi lavori non sono stati pubblicati dal 'Royal Observatory'.;68.386902;68.386902;68.387° East;-31.891634;31.892° South;Nearside;Sud-Est;Bordo Sud-Orientale della Luna;69;Furnerius;113;15d1 / 16b7;303S Q4SE 099C 105C 112C;;IV-038-H3 IV-096-H2 IV-039-H1 IV-184-H2;66;66;40;40;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata.;Versanti abbastanza scoscesi su cui si trovano Adams B ad Ovest e Adams D ad Est.;Pareti abbastanza alte e terrazzate, su cui si sovrappongono due piccoli crateri a Nord e un cratere a Sud.;Fondo piatto con piccoli crateri, di cui uno centrale.;3;Formazione molto interessante;2;2 giorni dopo la Luna Nuova;1 giorno ;;;;Adams;Adams;47;63.2702;-31.8916341691825;68.3869015353649;-30.8483333587646;-32.9349346160889;69.6150379180908;67.1587657928467;LOLA2011;North America;American;Crater, craters;AA;Petavius;LAC-98;Adopted by IAU;1970-01-01 00:00:00;;John Couch. British astronomer (1819-1892). Charles Hitchcock. American astronomer (1868-1951). Walter Sydney. American astronomer (1876-1956).;http://planetarynames.wr.usgs.gov/Feature/47
dopo la Luna Piena;;;;30;;Binocolo 10x;;Rifrattore da 50 mm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AGATHARCHIDES;AA1985S03111W;1985S03111;AA;Cratere;;Pre-Imbriano (da -4.55 miliardi di anni a -3.85 miliardi di anni) ?;;Agatharchide;Mädler (1837);Nome non assegnato;Nome non assegnato;Nome non assegnato;Geografo e storico;Grecia;greco;-2;2° secolo a.C.;?;100 a.C. circa;?;?;??;-31.114619;328.885381;31.115° West;-19.853701;19.854° South;Nearside;Sud-Ovest;Regione del Mare Humorum;52;Gassendi;172;9f4 / 11b3;036C/S 040C/S 048C/S 201C 2055;;IV-132-H1;50;49;30;30;1180;3600;0.0241;A__________________________________________________________________________________________A;Formazione danneggiata parzialmente sommersa dalla lava dell'Oceanus Procellarum.;Versanti scoscesi su cui si trovano molti piccoli crateri.;Pareti poco elevate, parzialmente distrutte a Nord, e sormontate da Agatharchides F a Sud-Ovest.;Esteso fondo piatto riempito di lava scura.  Resti di montagna centrale.;3;Formazione molto interessante;10;3 giorni dopo il Primo Quarto;2 giorni dopo l'Ultimo Quarto;30;Binocolo 10x;Rifrattore da 50 mm;Agatharchides;Agatharchides;82;51.9832;-19.8537009804279;328.885381439857;-18.9965343475342;-20.710865020752;329.796655654907;327.974077224731;LOLA2011;Europe;Greek;Crater, craters;AA;Mare Humorum;LAC-93;Adopted by IAU;1935-01-01 00:00:00;;Agatharchides of Cnidos. Greek geographer (c. 116 B.C.).;http://planetarynames.wr.usgs.gov/Feature/82
